pays;volet;indicateur;valeur;unite_devise;annee_perimetre;source_nom;url;date_consultation;divergence_notes
Afrique du Sud;souverain;Dette publique brute 2021/22 (Tresor);69,9;pourcentage du PIB;exercice 2021/22, dette de pret brute du gouvernement national, hors entreprises publiques;National Treasury RSA, Medium Term Budget Policy Statement 2021, 11 novembre 2021;http://www.treasury.gov.za/documents/mtbps/2021/mtbps/FullMTBPS.pdf;2026-09-08;DIVERGENCE avec le FMI qui donne 70,7 pourcent pour le meme exercice et le meme perimetre declare. Ecart de 0,8 point, les deux valeurs conservees.
Afrique du Sud;souverain;Dette publique brute 2021/22 (FMI);70,7;pourcentage du PIB;exercice 2021/22, note 3 de la table: covers only national government debt, hors SOE;FMI, Country Report No. 22/37, Table 2;https://www.elibrary.imf.org/downloadpdf/journals/002/2022/037/002.2022.issue-037-en.pdf;2026-09-08;DIVERGENCE avec le Tresor (69,9 pourcent). Le communique FMI PR22/31 dit par ailleurs almost 70 percent of GDP in 2021 (annee civile).
Afrique du Sud;souverain;Dette publique brute 2020/21;71,2;pourcentage du PIB;exercice 2020/21, gouvernement national brut;FMI, Country Report No. 22/37, Table 2;https://www.elibrary.imf.org/downloadpdf/journals/002/2022/037/002.2022.issue-037-en.pdf;2026-09-08;
Afrique du Sud;souverain;Dette publique brute en niveau 2021/22;4319;milliards de ZAR;exercice 2021/22, gouvernement national brut;FMI, Country Report No. 22/37, Table 2;https://www.elibrary.imf.org/downloadpdf/journals/002/2022/037/002.2022.issue-037-en.pdf;2026-09-08;
Afrique du Sud;souverain;Plafond legal de dette;aucun;sans objet;en vigueur fin 2021;FMI, Country Report No. 22/37, paragraphes 30 et 32;https://www.elibrary.imf.org/downloadpdf/journals/002/2022/037/002.2022.issue-037-en.pdf;2026-09-08;Le FMI recommande un plafond de dette, les autorites le refusent: the authorities prefer to introduce it once there is more certainty about the evolution of public finances to ensure its credibility. Tableau de suivi du meme rapport: No debt ceiling was introduced.
Afrique du Sud;souverain;Ancre budgetaire effective fin 2021;plafond nominal de depense primaire dans le cadre budgetaire a moyen terme (MTEF);qualitatif;en vigueur fin 2021;FMI, Country Report No. 22/37, paragraphe 30;https://www.elibrary.imf.org/downloadpdf/journals/002/2022/037/002.2022.issue-037-en.pdf;2026-09-08;Verbatim: A well-designed public debt ceiling could usefully complement the existing nominal primary expenditure ceiling in the medium-term fiscal framework.
Afrique du Sud;souverain;Objectif de stabilisation de la dette annonce au MTBPS de novembre 2021;78,1;pourcentage du PIB, pic en 2025/26;MTBPS du 11 novembre 2021, dette brute du gouvernement national;National Treasury RSA, MTBPS 2021, chapitre 1;http://www.treasury.gov.za/documents/mtbps/2021/mtbps/FullMTBPS.pdf;2026-09-08;DIVERGENCE MAJEURE avec le FMI qui projette 84 pourcent en 2025 sans stabilisation et 88 pourcent en 2026. Confirme par le FMI comme etant la projection des autorites (debt peaking at 78 percent of GDP in FY25/26).
Afrique du Sud;souverain;Contrainte de service de la dette que se donne le Tresor;moins de 22 pourcent des recettes du budget principal d'ici 2026/27;pourcentage des recettes;MTBPS novembre 2021;National Treasury RSA, MTBPS 2021, chapitre 1;http://www.treasury.gov.za/documents/mtbps/2021/mtbps/FullMTBPS.pdf;2026-09-08;Contexte donne par le meme document: On average, 21 cents of every rand collected in revenue per year will pay for interest on public debt, et R334,5 md par an de service de la dette sur le MTEF.
Afrique du Sud;souverain;Portefeuille total de garanties de l'Etat;789,8;milliards de ZAR;au 31 mars 2021, toutes institutions publiques;National Treasury RSA, MTBPS 2021;http://www.treasury.gov.za/documents/mtbps/2021/mtbps/FullMTBPS.pdf;2026-09-08;Progression depuis R693,7 md en mars 2020. Le Budget Review 2022 ch.7 donne une exposition totale de R384,7 md pour 2020/21 sur une garantie de R581,6 md - perimetres differents (garantie accordee vs exposition).
Afrique du Sud;souverain;Passifs eventuels (contingent liabilities);20,3;pourcentage du PIB;exercice 2020/21;FMI, Country Report No. 22/37, Table 2, memorandum items (source: Table 11 du Statistical Annex du Budget Review 2021);https://www.elibrary.imf.org/downloadpdf/journals/002/2022/037/002.2022.issue-037-en.pdf;2026-09-08;Moyenne de 15,1 pourcent du PIB sur les cinq annees precedant la pandemie. Serie: 14,3 (2017/18), 15,3 (2018/19), 18,6 (2019/20), 20,3 (2020/21).
Afrique du Sud;souverain;Rapport Article IV le plus proche de novembre 2021;IMF Country Report No. 22/37, South Africa 2021 Article IV Consultation, fevrier 2022;reference;mission du 17 novembre au 7 decembre 2021, rapport acheve le 21 janvier 2022, Conseil du 7 fevrier 2022, communique PR22/31 du 11 fevrier 2022;Fonds monetaire international;https://www.elibrary.imf.org/downloadpdf/journals/002/2022/037/002.2022.issue-037-en.pdf;2026-09-08;Publie APRES la signature. Le site imf.org renvoie HTTP 403 au 2026-09-08, acces via IMF eLibrary. La mission s'est tenue deux semaines apres la signature du 2 novembre 2021.
Afrique du Sud;souverain;Verdict de soutenabilite de la dette publique (AVD 2021);debt is projected at 88 percent of GDP by 2026 and not expected to stabilize during the projection period, while gross fiscal financing needs would average 17 percent of GDP in 2021-26;citation;Annexe VIII, Public Debt Sustainability Analysis, perimetre: main budget du gouvernement national, EXCLUT les entreprises publiques;FMI, Country Report No. 22/37, Annexe VIII;https://www.elibrary.imf.org/downloadpdf/journals/002/2022/037/002.2022.issue-037-en.pdf;2026-09-08;Suite du verbatim: debt sustainability critically hinges on timely and credible policies to tackle the economy's fiscal and structural weaknesses. Et: leave no buffers for fiscal policy to respond to any future adverse shocks. Pas de verdict binaire soutenable/insoutenable: l'Afrique du Sud releve de la grille market-access.
Afrique du Sud;souverain;Test de choc de change de l'AVD externe;une depreciation de 30 pourcent porterait la dette externe au-dessus de 58 pourcent du PIB contre 45 pourcent en scenario central;citation;Annexe VI, External Debt Sustainability Analysis;FMI, Country Report No. 22/37, Annexe VI, paragraphe 5;https://www.elibrary.imf.org/downloadpdf/journals/002/2022/037/002.2022.issue-037-en.pdf;2026-09-08;
Afrique du Sud;souverain;Dernier Article IV PUBLIE avant la signature;IMF Country Report No. 20/33, South Africa 2019 Article IV Consultation, janvier 2020;reference;Conseil du 24 janvier 2020;Fonds monetaire international;https://www.elibrary.imf.org/downloadpdf/journals/002/2020/033/002.2020.issue-033-en.pdf;2026-09-08;Aucune consultation Article IV publiee en 2020 ni en 2021. Verdict: South Africa's government debt trajectory has severely and quickly worsened... Debt levels and gross financing needs are projected to exceed 70 and 15 percent of GDP respectively. Le rapport du Rapid Financing Instrument de juillet 2020 n'a PAS pu etre recupere (issues eLibrary 2020 224 a 230 testees, 226 renvoie 404).
Afrique du Sud;souverain;Recettes du budget principal 2021/22;1483,2;milliards de ZAR;exercice 2021/22, estimation revisee, budget principal du gouvernement national, net des versements SACU;National Treasury RSA, MTBPS 2021, Table 3.6;http://www.treasury.gov.za/documents/mtbps/2021/mtbps/FullMTBPS.pdf;2026-09-08;DIVERGENCE DE PERIMETRE avec le FMI qui donne R1643 md de Total revenue and grants pour le gouvernement CONSOLIDE (national + securite sociale + provinces + certaines entites). Ne pas confondre.
Afrique du Sud;souverain;Recettes fiscales brutes 2021/22;1485,4;milliards de ZAR;exercice 2021/22, revise, avant versements SACU;National Treasury RSA, MTBPS 2021, Table 3.6;http://www.treasury.gov.za/documents/mtbps/2021/mtbps/FullMTBPS.pdf;2026-09-08;
Afrique du Sud;souverain;Recettes totales du gouvernement consolide 2021/22;1643;milliards de ZAR, soit 26,9 pourcent du PIB;exercice 2021/22, gouvernement consolide;FMI, Country Report No. 22/37, Table 2;https://www.elibrary.imf.org/downloadpdf/journals/002/2022/037/002.2022.issue-037-en.pdf;2026-09-08;Perimetre plus large que le budget principal (R1483,2 md). Comparaison 2020/21: R1388 md soit 25,1 pourcent du PIB.
Afrique du Sud;souverain;Charge d'interet de la dette publique 2021/22;278;milliards de ZAR, soit 4,6 pourcent du PIB;exercice 2021/22, gouvernement consolide;FMI, Country Report No. 22/37, Table 2;https://www.elibrary.imf.org/downloadpdf/journals/002/2022/037/002.2022.issue-037-en.pdf;2026-09-08;Projetee a R503 md en 2025/26 dans le meme tableau. Le paquet entier (R132,0 md) equivaut a environ la moitie d'une annee de charge d'interet de 2021/22.
Afrique du Sud;souverain;Service de la dette additionnel implicite d'un tirage integral en prets;non calculable sans hypothese non sourcee;sans objet;2021/22;JET IP 2023-2027, paragraphe 5.7.2;https://assets.bbhub.io/company/sites/63/2022/11/south-africa_s-just-energy-transition-investment-plan-2023-2027.pdf;2026-09-08;Aucune source publique ne donne le taux, la maturite, le differe ni les commissions des prets du paquet. Le JET IP renvoie explicitement a une negociation future: interest rates lower than those available in the market, along with reasonable grace and repayment periods negotiated by mandated authorities... flexibility to negotiate the terms. Confirme par Eskom (IR2022): a technical team... will work on the conditions of the loan, tenure, payback, interest rates. Poser un taux concessionnel typique reviendrait a inventer le parametre dont depend entierement le resultat.
Afrique du Sud;souverain;Paquet total en pourcentage des recettes du budget principal 2021/22 (encours, PAS service);8,90;pourcentage des recettes annuelles;R132,0 md / R1483,2 md, taux de novembre 2021;Calcul de l'auteur sur MTBPS 2021 et Fed G.5;http://www.treasury.gov.za/documents/mtbps/2021/mtbps/FullMTBPS.pdf;2026-09-08;Ratio d'ENCOURS a recettes annuelles, pas un ratio de service de la dette. Donne la borne superieure absolue. Base recettes consolidees: 132,0/1643 = 8,03 pourcent.
Afrique du Sud;souverain;Part generatrice de dette du paquet en pourcentage des recettes du budget principal 2021/22;7,15;pourcentage des recettes annuelles;6,825 Md USD x 15,5313 = R106,0 md / R1483,2 md;Calcul de l'auteur sur JET IP Table 28, MTBPS 2021 et Fed G.5;https://assets.bbhub.io/company/sites/63/2022/11/south-africa_s-just-energy-transition-investment-plan-2023-2027.pdf;2026-09-08;Encours, pas service. Base recettes consolidees: 6,45 pourcent.
Afrique du Sud;souverain;Besoin de soutien international estime par les autorites sud-africaines;30;milliards de USD sur 5 ans;fevrier 2022, soutien international requis pour atteindre la CDN;Statement by Mr. Dumisani Mahlinza, Executive Director for South Africa, joint au FMI CR 22/37, paragraphe 22;https://www.elibrary.imf.org/downloadpdf/journals/002/2022/037/002.2022.issue-037-en.pdf;2026-09-08;DIVERGENCE MAJEURE avec le JET IP de novembre 2022 qui chiffre le besoin a 98,7 Md USD. Perimetres differents: soutien international pour la CDN (FMI) vs financement total toutes sources de cinq secteurs (JET IP). Le paquet represente 28,3 pourcent du premier, 8,6 pourcent du second.
Afrique du Sud;souverain;Paquet JETP en pourcentage du besoin de soutien international estime par les autorites;28,3;pourcentage;fevrier 2022, 8,5/30;Calcul de l'auteur sur FMI CR 22/37 paragraphe 22;https://www.elibrary.imf.org/downloadpdf/journals/002/2022/037/002.2022.issue-037-en.pdf;2026-09-08;Arithmetique de l'auteur.
Afrique du Sud;operateur;Resultat net Eskom FY2021, groupe, tel que publie;-18934;millions de ZAR;exercice clos le 31 mars 2021, groupe, tel que publie le 26 aout 2021;Eskom, Annual Financial Statements 31 March 2021;https://www.eskom.co.za/wp-content/uploads/2021/08/AFS2021.pdf;2026-09-08;DIVERGENCE PAR RETRAITEMENT: retraite a -25016 Mrand en decembre 2022 (AFS2022 note 48). C'est le chiffre de -18934 qui etait connaissable a la COP26. Ecart de 32 pourcent.
Afrique du Sud;operateur;Resultat net Eskom FY2021, groupe, retraite;-25016;millions de ZAR;exercice clos le 31 mars 2021, groupe, retraite en decembre 2022;Eskom, Annual Financial Statements 2022, note 48 Restatement of comparatives;https://www.eskom.co.za/wp-content/uploads/2022/12/2022_annual_financial_statements.pdf;2026-09-08;Ajustement de -6082 Mrand dont -8932 Mrand sur le poste Net fair value and foreign exchange gain/(loss). Cause: incorrect application of certain requirements of IFRS - comptabilite de couverture de change et de taux.
Afrique du Sud;operateur;Resultat net Eskom FY2021, entite seule, tel que publie;-20602;millions de ZAR;exercice clos le 31 mars 2021, entite (company);Eskom, AFS 31 March 2021;https://www.eskom.co.za/wp-content/uploads/2021/08/AFS2021.pdf;2026-09-08;Retraite a -26696 Mrand en decembre 2022.
Afrique du Sud;operateur;Resultat net Eskom FY2021, entite seule, retraite;-26696;millions de ZAR;exercice clos le 31 mars 2021, entite (company), retraite;Eskom, AFS 2022, note 48;https://www.eskom.co.za/wp-content/uploads/2022/12/2022_annual_financial_statements.pdf;2026-09-08;
Afrique du Sud;operateur;Resultat net Eskom FY2022, groupe;-12330;millions de ZAR;exercice clos le 31 mars 2022, groupe;Eskom, Annual Financial Statements 2022;https://www.eskom.co.za/wp-content/uploads/2022/12/2022_annual_financial_statements.pdf;2026-09-08;Verbatim du rapport d'audit: the group incurred a net loss of R12 330 million (2021: R25 016 million).
Afrique du Sud;operateur;Resultat net Eskom FY2022, entite seule;-14312;millions de ZAR;exercice clos le 31 mars 2022, entite (company);Eskom, AFS 2022;https://www.eskom.co.za/wp-content/uploads/2022/12/2022_annual_financial_statements.pdf;2026-09-08;
Afrique du Sud;operateur;Resultat net Eskom FY2020, groupe;-20769;millions de ZAR;exercice clos le 31 mars 2020, groupe;Eskom, AFS 31 March 2021;https://www.eskom.co.za/wp-content/uploads/2021/08/AFS2021.pdf;2026-09-08;
Afrique du Sud;operateur;Perte nette Eskom rapportee au PIB;environ 0,4;pourcentage du PIB par an;FY19/20 et FY20/21;FMI, Country Report No. 22/37, paragraphe 26;https://www.elibrary.imf.org/downloadpdf/journals/002/2022/037/002.2022.issue-037-en.pdf;2026-09-08;Verbatim: registering net losses of about 0.4 percent of GDP per year in FY19/20 and FY20/21. Base non retraitee.
Afrique du Sud;operateur;Dette financiere brute Eskom au 31 mars 2021;401826;millions de ZAR;gross debt securities and borrowings, groupe, HORS obligations locatives;Eskom, AFS 31 March 2021;https://www.eskom.co.za/wp-content/uploads/2021/08/AFS2021.pdf;2026-09-08;Verbatim: decreased by R81.9 billion to R401.8 billion. Definition Eskom: Gross debt is the aggregate of debt securities and borrowings and lease liabilities - les chiffres publies sont hors leases.
Afrique du Sud;operateur;Dette financiere brute Eskom au 31 mars 2022;396294;millions de ZAR;gross debt securities and borrowings, groupe, hors obligations locatives;Eskom, AFS 2022;https://www.eskom.co.za/wp-content/uploads/2022/12/2022_annual_financial_statements.pdf;2026-09-08;Recoupement independant: le JET IP (novembre 2022) parle de the restructuring of Eskom's ZAR396-billion debt en citant le Budget Review 2022 chapitre 8.
Afrique du Sud;operateur;Dette financiere brute Eskom au 31 mars 2020;483682;millions de ZAR;gross debt securities and borrowings, groupe;Eskom, AFS 31 March 2021;https://www.eskom.co.za/wp-content/uploads/2021/08/AFS2021.pdf;2026-09-08;
Afrique du Sud;operateur;Ratio dette brute sur EBITDA Eskom FY2021;13,98;multiple (x);exercice clos le 31 mars 2021, groupe, base retraitee;Eskom, Integrated Report 2022, Solvency ratios;https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf;2026-09-08;DIVERGENCE MINEURE DE RETRAITEMENT: IR2021 (aout 2021) donnait 13,96 pour le meme exercice. Definition Eskom: Gross debt divided by earnings before interest, taxation, depreciation, amortisation and fair value adjustments.
Afrique du Sud;operateur;Ratio dette brute sur EBITDA Eskom FY2022;8,63;multiple (x);exercice clos le 31 mars 2022, groupe;Eskom, Integrated Report 2022, Solvency ratios;https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf;2026-09-08;Serie longue: 8,63 (2022), 13,98 (2021), 14,43 (2020), 15,73 (2019), 9,74 (2018). La categorie investment grade se situe typiquement sous 4x.
Afrique du Sud;operateur;Debt service cover Eskom FY2021;0,30;multiple (x);exercice clos le 31 mars 2021, groupe;Eskom, Integrated Report 2022, Solvency ratios;https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf;2026-09-08;Le cash d'exploitation couvrait 30 pourcent du service de la dette. FY2022: 0,76. Definition Eskom: Cash generated from operations divided by (net interest paid from financing activities plus debt securities and borrowings repaid).
Afrique du Sud;operateur;Cash interest cover Eskom FY2021;0,85;multiple (x);exercice clos le 31 mars 2021, groupe;Eskom, Integrated Report 2022;https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf;2026-09-08;Inferieur a 1: Eskom ne couvrait pas ses interets par son cash d'exploitation. FY2022: 1,68.
Afrique du Sud;operateur;Gearing Eskom FY2021 et FY2022;67 (FY2021) et 65 (FY2022);pourcentage;groupe;Eskom, Integrated Report 2022, Solvency ratios;https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf;2026-09-08;
Afrique du Sud;operateur;EBITDA Eskom FY2021 et FY2022;32608 (FY2021 retraite) et 52374 (FY2022);millions de ZAR;groupe;Eskom, AFS 2022 et Integrated Report 2022;https://www.eskom.co.za/wp-content/uploads/2022/12/2022_annual_financial_statements.pdf;2026-09-08;EBITDA FY2021 publie en aout 2021: 32800 Mrand.
Afrique du Sud;operateur;Tresorerie Eskom au 31 mars 2021;4041;millions de ZAR;groupe, cash and cash equivalents en fin d'exercice;Eskom, Integrated Report 31 March 2021;https://www.eskom.co.za/wp-content/uploads/2021/08/2021IntegratedReport.pdf;2026-09-08;Verbatim IR2021: available balance of R4 billion at year end (2020: R23 billion) - pour un groupe portant R401,8 md de dette. FY2022: 15885 Mrand.
Afrique du Sud;operateur;Covenant chiffre de type dette sur EBITDA;non trouve;sans objet;FY2021 et FY2022;Eskom, AFS 2021, AFS 2022, IR 2021, IR 2022;https://www.eskom.co.za/wp-content/uploads/2022/12/2022_annual_financial_statements.pdf;2026-09-08;Recherche par grep sur covenant, debt/EBITDA, debt service cover, gearing dans les quatre documents. Eskom decrit les CATEGORIES de covenants (prepayment events, events of default) mais ne publie AUCUN seuil contractuel chiffre. Les ratios publies sont des cibles de gestion internes (Target 2022/2023/2025).
Afrique du Sud;operateur;Tarif moyen de vente Eskom FY2021 (chiffre Eskom);111,04;c/kWh;exercice clos le 31 mars 2021, entite, Electricity revenue per kWh incl. environmental levy;Eskom, Integrated Report 2022, Profitability and working capital;https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf;2026-09-08;DIVERGENCE AVEC NERSA qui ecrit 116,15 c/kWh pour le meme exercice. Perimetres differents: Eskom = revenu realise divise par kWh vendus, y compris ventes internationales, special pricing arrangements et revenu non recouvre. NERSA = prix moyen reglementaire base tarif standard. Ne pas moyenner.
Afrique du Sud;operateur;Tarif moyen de vente Eskom FY2021 (chiffre NERSA);116,15;c/kWh;exercice 2020/21, prix moyen reglementaire;NERSA, Reasons for Decision - Eskom 2020/21 RCA Application, paragraphe 7.1.53;https://www.nersa.org.za/files/files/2024/07/RFD-Eskom-2020_21-RCA-Application.pdf;2026-09-08;Verbatim: The average price of electricity has increased from 38.86c/kWh in 2010 to 116.15c/kWh in 2021, an increase of 199%. Volumes NERSA 192658 GWh contre 191852 GWh chez Eskom. DIVERGENCE avec le chiffre Eskom de 111,04 c/kWh.
Afrique du Sud;operateur;Tarif moyen de vente Eskom FY2022;127,32;c/kWh;exercice clos le 31 mars 2022, entite;Eskom, Integrated Report 2022;https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf;2026-09-08;Serie: 90,01 (FY2019), 101,86 (FY2020), 111,04 (FY2021), 127,32 (FY2022).
Afrique du Sud;operateur;Cout d'exploitation electrique Eskom FY2021;906,36 R/MWh soit 90,64 c/kWh;R/MWh et c/kWh;exercice clos le 31 mars 2021, entite;Eskom, Integrated Report 2022;https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf;2026-09-08;ATTENTION DEFINITION: ce cout EXCLUT l'amortissement et les charges financieres. Ce n'est PAS un cost of supply au sens reglementaire mais un cout d'exploitation cash. Divergence de retraitement: IR2021 donnait 905,32 R/MWh. Version groupe: 895,05 R/MWh.
Afrique du Sud;operateur;Cout d'exploitation electrique Eskom FY2022;990,31 R/MWh soit 99,03 c/kWh;R/MWh et c/kWh;exercice clos le 31 mars 2022, entite;Eskom, Integrated Report 2022;https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf;2026-09-08;Meme reserve de definition: hors amortissement et charges financieres. Version groupe: 979,45 R/MWh.
Afrique du Sud;operateur;Cost of supply complet en c/kWh publie par Eskom ou NERSA;non trouve;sans objet;FY2021 et FY2022;Eskom AFS/IR 2021 et 2022, NERSA RCA 2020/21;https://www.nersa.org.za/files/files/2024/07/RFD-Eskom-2020_21-RCA-Application.pdf;2026-09-08;Recherche par grep sur cost of supply, cost-reflective, c/kWh, R/MWh dans les quatre documents Eskom et le RFD de NERSA. AUCUN des deux ne publie un cout complet en c/kWh. Le manque a gagner est quantifie en revenu total (R102 md sur MYPD4, R103 md en contentieux), pas en c/kWh.
Afrique du Sud;operateur;Deficit tarifaire par kWh reconstitue (CALCUL DERIVE);environ -9,7 (FY2021) et -4,5 (FY2022);c/kWh;exercices clos les 31 mars 2021 et 2022, melange de perimetres groupe (charges) et entite (tarif);Calcul de l'auteur sur Eskom IR2022 et AFS2022;https://www.eskom.co.za/wp-content/uploads/2022/12/2022_integrated_report.pdf;2026-09-08;CALCUL DERIVE, PAS UNE DONNEE PUBLIEE. Marge brute (tarif moins cout d'exploitation) moins (amortissement plus charges financieres nettes) divise par les ventes GWh. FY2021 (26585+31142)/191852x100 = 30,09 c/kWh. FY2022 (32009+33063)/198281x100 = 32,82 c/kWh. Mesure alternative: perte nette divisee par ventes = 13,04 c/kWh (FY2021) et 6,22 c/kWh (FY2022).
Afrique du Sud;operateur;Reponse a la question le tarif couvre-t-il le cout;non pour le cout complet, oui pour les seuls couts d'exploitation courants;qualitatif;FY2021 et FY2022;Eskom, AFS 2021 note du test de depreciation (value-in-use), declaration comptable auditee;https://www.eskom.co.za/wp-content/uploads/2021/08/AFS2021.pdf;2026-09-08;Verbatim: In reality, the electricity price is not cost-reflective and Eskom earns a return on assets that is much lower than its pre-tax WACC. AFS2022 ajoute: it is estimated that it could take longer than five years to achieve a cost-reflective price.
Afrique du Sud;operateur;Manque a gagner tarifaire sur MYPD4;102;milliards de ZAR sur trois ans;FY2020 a FY2022, ecart entre la demande d'Eskom et la decision de NERSA;Eskom, Integrated Report 31 March 2021;https://www.eskom.co.za/wp-content/uploads/2021/08/2021IntegratedReport.pdf;2026-09-08;Verbatim: The decision resulted in a shortfall of R102 billion over MYPD 4. In determining the allowable revenue, NERSA deducted the annual R23 billion Government support from the return on assets, resulting in a negative return on assets. POINT ANALYTIQUE: subvention publique et tarif etaient SUBSTITUTS dans la formule reglementaire.
