pays,cohorte,cohorte_debut,cohorte_fin,perimetre,horizon_ans,n_activites,engage_MUSD_const2024,decaisse_cumul_MUSD_const2024,taux_pondere_pct,taux_median_activite_pct,taux_q1_activite_pct,taux_q3_activite_pct,activites_exclues_censure
IDN,2014-2017,2014,2017,"prets ODA, toutes modalites",4,16,2555.67,999.39,39.1,14.25,0.0,98.62,0
IDN,2014-2017,2014,2017,"dons ODA, toutes modalites",0,71,134.65,12.65,9.39,53.7,0.02,100.0,0
IDN,2014-2017,2014,2017,"dons ODA, toutes modalites",1,71,134.65,22.84,16.96,91.71,27.09,100.0,0
IDN,2014-2017,2014,2017,"dons ODA, toutes modalites",2,71,134.65,35.58,26.42,94.49,52.97,100.0,0
IDN,2014-2017,2014,2017,"dons ODA, toutes modalites",3,71,134.65,44.09,32.75,98.37,58.42,100.0,0
IDN,2014-2017,2014,2017,"dons ODA, toutes modalites",4,71,134.65,49.84,37.02,98.37,61.01,100.0,0
IDN,2014-2017,2014,2017,"prets ODA, type projet C01",0,14,2016.98,307.73,15.26,0.0,0.0,0.0,0
IDN,2014-2017,2014,2017,"prets ODA, type projet C01",1,14,2016.98,319.22,15.83,0.0,0.0,0.0,0
IDN,2014-2017,2014,2017,"prets ODA, type projet C01",2,14,2016.98,371.45,18.42,0.16,0.0,6.84,0
IDN,2014-2017,2014,2017,"prets ODA, type projet C01",3,14,2016.98,447.91,22.21,0.44,0.0,21.95,0
IDN,2014-2017,2014,2017,"prets ODA, type projet C01",4,14,2016.98,465.76,23.09,0.48,0.0,47.91,0
IDN,2014-2017,2014,2017,"dons ODA, type projet C01",0,43,105.4,7.42,7.04,49.94,0.0,100.0,0
IDN,2014-2017,2014,2017,"dons ODA, type projet C01",1,43,105.4,12.44,11.8,71.7,0.0,100.0,0
IDN,2014-2017,2014,2017,"dons ODA, type projet C01",2,43,105.4,21.35,20.26,97.66,30.84,100.0,0
IDN,2014-2017,2014,2017,"dons ODA, type projet C01",3,43,105.4,26.13,24.79,97.66,30.84,100.0,0
IDN,2014-2017,2014,2017,"dons ODA, type projet C01",4,43,105.4,30.06,28.52,97.66,38.77,100.0,0
IDN,2014-2017,2014,2017,"tous instruments, type projet C01",0,73,4815.88,413.07,8.58,0.0,0.0,90.08,0
IDN,2014-2017,2014,2017,"tous instruments, type projet C01",1,73,4815.88,930.32,19.32,25.42,0.0,100.0,0
IDN,2014-2017,2014,2017,"tous instruments, type projet C01",2,73,4815.88,1560.78,32.41,53.55,0.0,100.0,0
IDN,2014-2017,2014,2017,"tous instruments, type projet C01",3,73,4815.88,2115.66,43.93,72.83,0.0,100.0,0
IDN,2014-2017,2014,2017,"tous instruments, type projet C01",4,73,4815.88,2424.09,50.34,86.25,0.0,100.0,0
IDN,2014-2017,2014,2017,"prets ODA, appui budgetaire A01/A02",0,2,538.68,263.68,48.95,50.0,25.0,75.0,0
IDN,2014-2017,2014,2017,"prets ODA, appui budgetaire A01/A02",1,2,538.68,533.63,99.06,99.08,98.62,99.54,0
IDN,2014-2017,2014,2017,"prets ODA, appui budgetaire A01/A02",2,2,538.68,533.63,99.06,99.08,98.62,99.54,0
IDN,2014-2017,2014,2017,"prets ODA, appui budgetaire A01/A02",3,2,538.68,533.63,99.06,99.08,98.62,99.54,0
IDN,2014-2017,2014,2017,"prets ODA, appui budgetaire A01/A02",4,2,538.68,533.63,99.06,99.08,98.62,99.54,0
IDN,2018-2021,2018,2021,"tous instruments, toutes modalites",0,129,4516.3,422.52,9.36,32.75,0.0,100.0,0
IDN,2018-2021,2018,2021,"tous instruments, toutes modalites",1,129,4516.3,1108.03,24.53,69.08,0.0,100.0,0
IDN,2018-2021,2018,2021,"tous instruments, toutes modalites",2,129,4516.3,1507.4,33.38,86.0,4.45,100.0,0
IDN,2018-2021,2018,2021,"tous instruments, toutes modalites",3,129,4516.3,1999.44,44.27,90.31,4.74,100.0,0
IDN,2018-2021,2018,2021,"tous instruments, toutes modalites",4,100,2983.37,1623.56,54.42,97.06,27.01,100.0,29
IDN,2018-2021,2018,2021,"prets ODA, toutes modalites",0,5,916.6,0.0,0.0,0.0,0.0,0.0,0
IDN,2018-2021,2018,2021,"prets ODA, toutes modalites",1,5,916.6,0.0,0.0,0.0,0.0,0.0,0
IDN,2018-2021,2018,2021,"prets ODA, toutes modalites",2,5,916.6,155.49,16.96,0.92,0.0,2.81,0
IDN,2018-2021,2018,2021,"prets ODA, toutes modalites",3,5,916.6,156.98,17.13,0.92,0.39,3.61,0
IDN,2018-2021,2018,2021,"prets ODA, toutes modalites",4,5,916.6,291.04,31.75,1.19,0.65,5.69,0
IDN,2018-2021,2018,2021,"dons ODA, toutes modalites",0,78,106.9,14.18,13.27,32.44,0.0,99.6,0
IDN,2018-2021,2018,2021,"dons ODA, toutes modalites",1,78,106.9,33.26,31.12,69.22,4.83,100.0,0
IDN,2018-2021,2018,2021,"dons ODA, toutes modalites",2,78,106.9,42.92,40.16,82.85,19.73,100.0,0
IDN,2018-2021,2018,2021,"dons ODA, toutes modalites",3,78,106.9,52.15,48.79,86.17,33.17,100.0,0
IDN,2018-2021,2018,2021,"dons ODA, toutes modalites",4,63,95.7,53.72,56.14,92.1,40.49,100.0,15
IDN,2018-2021,2018,2021,"prets ODA, type projet C01",0,5,916.6,0.0,0.0,0.0,0.0,0.0,0
IDN,2018-2021,2018,2021,"prets ODA, type projet C01",1,5,916.6,0.0,0.0,0.0,0.0,0.0,0
IDN,2018-2021,2018,2021,"prets ODA, type projet C01",2,5,916.6,155.49,16.96,0.92,0.0,2.81,0
IDN,2018-2021,2018,2021,"prets ODA, type projet C01",3,5,916.6,156.98,17.13,0.92,0.39,3.61,0
IDN,2018-2021,2018,2021,"prets ODA, type projet C01",4,5,916.6,291.04,31.75,1.19,0.65,5.69,0
IDN,2018-2021,2018,2021,"dons ODA, type projet C01",0,55,97.64,12.26,12.56,20.65,0.0,72.41,0
IDN,2018-2021,2018,2021,"dons ODA, type projet C01",1,55,97.64,30.12,30.85,50.0,1.22,100.0,0
IDN,2018-2021,2018,2021,"dons ODA, type projet C01",2,55,97.64,39.27,40.22,69.08,12.67,100.0,0
IDN,2018-2021,2018,2021,"dons ODA, type projet C01",3,55,97.64,48.36,49.53,78.71,22.28,100.0,0
IDN,2018-2021,2018,2021,"dons ODA, type projet C01",4,45,92.02,50.74,55.14,78.71,2.05,100.0,10
IDN,2018-2021,2018,2021,"tous instruments, type projet C01",0,98,3644.17,223.81,6.14,19.29,0.0,99.68,0
IDN,2018-2021,2018,2021,"tous instruments, type projet C01",1,98,3644.17,620.14,17.02,48.71,0.0,100.0,0
IDN,2018-2021,2018,2021,"tous instruments, type projet C01",2,98,3644.17,1019.0,27.96,70.04,0.07,100.0,0
IDN,2018-2021,2018,2021,"tous instruments, type projet C01",3,98,3644.17,1459.71,40.06,79.17,0.6,100.0,0
IDN,2018-2021,2018,2021,"tous instruments, type projet C01",4,76,2283.93,1071.13,46.9,87.96,1.06,100.0,22
IDN,2022-2023 (JETP),2022,2023,"tous instruments, toutes modalites",0,83,1977.88,63.67,3.22,36.07,0.0,100.0,0
IDN,2022-2023 (JETP),2022,2023,"tous instruments, toutes modalites",1,83,1977.88,1033.29,52.24,99.11,6.05,100.0,0
IDN,2022-2023 (JETP),2022,2023,"tous instruments, toutes modalites",2,33,1324.01,970.51,73.3,95.25,24.46,100.0,50
IDN,2022-2023 (JETP),2022,2023,"prets ODA, toutes modalites",0,6,606.17,0.0,0.0,0.0,0.0,0.0,0
IDN,2022-2023 (JETP),2022,2023,"prets ODA, toutes modalites",1,6,606.17,394.35,65.06,0.0,0.0,70.29,0
IDN,2022-2023 (JETP),2022,2023,"prets ODA, toutes modalites",2,2,417.29,398.0,95.38,99.44,96.58,102.3,4
IDN,2022-2023 (JETP),2022,2023,"dons ODA, toutes modalites",0,54,186.66,54.89,29.41,33.9,0.09,100.0,0
IDN,2022-2023 (JETP),2022,2023,"dons ODA, toutes modalites",1,54,186.66,80.36,43.05,99.77,7.17,100.0,0
IDN,2022-2023 (JETP),2022,2023,"dons ODA, toutes modalites",2,22,118.21,58.32,49.34,96.13,21.63,100.0,32
IDN,2022-2023 (JETP),2022,2023,"prets ODA, type projet C01",0,4,188.88,0.0,0.0,0.0,0.0,0.0,0
IDN,2022-2023 (JETP),2022,2023,"prets ODA, type projet C01",1,4,188.88,0.0,0.0,0.0,0.0,0.0,0
IDN,2022-2023 (JETP),2022,2023,"dons ODA, type projet C01",0,38,135.25,16.64,12.31,16.91,0.26,100.0,0
IDN,2022-2023 (JETP),2022,2023,"dons ODA, type projet C01",1,38,135.25,30.88,22.83,57.95,5.9,100.0,0
IDN,2022-2023 (JETP),2022,2023,"dons ODA, type projet C01",2,17,73.52,12.33,16.77,43.59,14.21,100.0,21
IDN,2022-2023 (JETP),2022,2023,"tous instruments, type projet C01",0,60,970.33,24.05,2.48,16.91,0.0,100.0,0
IDN,2022-2023 (JETP),2022,2023,"tous instruments, type projet C01",1,60,970.33,76.16,7.85,44.98,3.49,100.0,0
IDN,2022-2023 (JETP),2022,2023,"tous instruments, type projet C01",2,24,324.34,14.37,4.43,68.8,19.77,100.0,36
IDN,2022-2023 (JETP),2022,2023,"prets ODA, appui budgetaire A01/A02",0,2,417.29,0.0,0.0,0.0,0.0,0.0,0
IDN,2022-2023 (JETP),2022,2023,"prets ODA, appui budgetaire A01/A02",1,2,417.29,394.35,94.5,96.42,95.07,97.76,0
IDN,2022-2023 (JETP),2022,2023,"prets ODA, appui budgetaire A01/A02",2,2,417.29,398.0,95.38,99.44,96.58,102.3,0
IDN,reference 2006-2020,2006,2020,"tous instruments, toutes modalites",0,450,14559.57,1742.7,11.97,51.01,0.0,100.0,0
IDN,reference 2006-2020,2006,2020,"tous instruments, toutes modalites",1,450,14559.57,4684.3,32.17,95.23,2.48,100.0,0
IDN,reference 2006-2020,2006,2020,"tous instruments, toutes modalites",2,450,14559.57,5887.45,40.44,97.72,19.15,100.0,0
IDN,reference 2006-2020,2006,2020,"tous instruments, toutes modalites",3,450,14559.57,6872.25,47.2,98.14,31.22,100.0,0
IDN,reference 2006-2020,2006,2020,"tous instruments, toutes modalites",4,450,14559.57,7711.53,52.97,98.23,41.86,100.0,0
IDN,reference 2006-2020,2006,2020,"prets ODA, toutes modalites",0,34,4765.18,571.41,11.99,0.0,0.0,0.0,0
IDN,reference 2006-2020,2006,2020,"prets ODA, toutes modalites",1,34,4765.18,856.22,17.97,0.0,0.0,0.0,0
IDN,reference 2006-2020,2006,2020,"prets ODA, toutes modalites",2,34,4765.18,1067.85,22.41,0.0,0.0,5.77,0
IDN,reference 2006-2020,2006,2020,"prets ODA, toutes modalites",3,34,4765.18,1159.74,24.34,0.39,0.0,17.42,0
IDN,reference 2006-2020,2006,2020,"prets ODA, toutes modalites",4,34,4765.18,1335.76,28.03,0.48,0.0,32.75,0
IDN,reference 2006-2020,2006,2020,"dons ODA, toutes modalites",0,334,484.96,84.64,17.45,70.18,2.33,100.0,0
IDN,reference 2006-2020,2006,2020,"dons ODA, toutes modalites",1,334,484.96,144.54,29.8,98.29,27.69,100.0,0
IDN,reference 2006-2020,2006,2020,"dons ODA, toutes modalites",2,334,484.96,185.68,38.29,98.73,48.47,100.0,0
IDN,reference 2006-2020,2006,2020,"dons ODA, toutes modalites",3,334,484.96,230.25,47.48,98.73,58.95,100.0,0
IDN,reference 2006-2020,2006,2020,"dons ODA, toutes modalites",4,334,484.96,252.07,51.98,98.78,67.49,100.0,0
IDN,reference 2006-2020,2006,2020,"prets ODA, type projet C01",0,32,4226.5,307.73,7.28,0.0,0.0,0.0,0
IDN,reference 2006-2020,2006,2020,"prets ODA, type projet C01",1,32,4226.5,322.59,7.63,0.0,0.0,0.0,0
IDN,reference 2006-2020,2006,2020,"prets ODA, type projet C01",2,32,4226.5,534.22,12.64,0.0,0.0,3.1,0
IDN,reference 2006-2020,2006,2020,"prets ODA, type projet C01",3,32,4226.5,626.11,14.81,0.29,0.0,6.78,0
IDN,reference 2006-2020,2006,2020,"prets ODA, type projet C01",4,32,4226.5,802.13,18.98,0.46,0.0,28.22,0
IDN,reference 2006-2020,2006,2020,"dons ODA, type projet C01",0,199,330.42,54.16,16.39,50.0,0.0,99.06,0
IDN,reference 2006-2020,2006,2020,"dons ODA, type projet C01",1,199,330.42,94.0,28.45,91.47,9.3,100.0,0
IDN,reference 2006-2020,2006,2020,"dons ODA, type projet C01",2,199,330.42,119.88,36.28,97.78,27.25,100.0,0
IDN,reference 2006-2020,2006,2020,"dons ODA, type projet C01",3,199,330.42,136.67,41.36,97.78,41.86,100.0,0
IDN,reference 2006-2020,2006,2020,"dons ODA, type projet C01",4,199,330.42,147.69,44.7,98.17,48.71,100.0,0
IDN,reference 2006-2020,2006,2020,"tous instruments, type projet C01",0,285,9261.25,605.79,6.54,30.67,0.0,99.07,0
IDN,reference 2006-2020,2006,2020,"tous instruments, type projet C01",1,285,9261.25,1359.27,14.68,68.18,0.0,100.0,0
IDN,reference 2006-2020,2006,2020,"tous instruments, type projet C01",2,285,9261.25,2414.68,26.07,87.5,0.1,100.0,0
IDN,reference 2006-2020,2006,2020,"tous instruments, type projet C01",3,285,9261.25,3175.67,34.29,90.31,0.92,100.0,0
IDN,reference 2006-2020,2006,2020,"tous instruments, type projet C01",4,285,9261.25,3737.77,40.36,94.88,1.19,100.0,0
IDN,reference 2006-2020,2006,2020,"prets ODA, appui budgetaire A01/A02",0,2,538.68,263.68,48.95,50.0,25.0,75.0,0
IDN,reference 2006-2020,2006,2020,"prets ODA, appui budgetaire A01/A02",1,2,538.68,533.63,99.06,99.08,98.62,99.54,0
IDN,reference 2006-2020,2006,2020,"prets ODA, appui budgetaire A01/A02",2,2,538.68,533.63,99.06,99.08,98.62,99.54,0
IDN,reference 2006-2020,2006,2020,"prets ODA, appui budgetaire A01/A02",3,2,538.68,533.63,99.06,99.08,98.62,99.54,0
IDN,reference 2006-2020,2006,2020,"prets ODA, appui budgetaire A01/A02",4,2,538.68,533.63,99.06,99.08,98.62,99.54,0
SEN,2006-2009,2006,2009,"tous instruments, toutes modalites",0,26,243.19,68.68,28.24,68.99,0.0,100.0,0
SEN,2006-2009,2006,2009,"tous instruments, toutes modalites",1,26,243.19,72.05,29.63,68.99,1.36,100.0,0
SEN,2006-2009,2006,2009,"tous instruments, toutes modalites",2,26,243.19,77.37,31.81,80.91,6.44,100.0,0
SEN,2006-2009,2006,2009,"tous instruments, toutes modalites",3,26,243.19,107.46,44.19,98.15,38.61,100.0,0
SEN,2006-2009,2006,2009,"tous instruments, toutes modalites",4,26,243.19,116.55,47.92,100.0,51.13,100.0,0
SEN,2006-2009,2006,2009,"prets ODA, toutes modalites",0,6,172.06,64.22,37.33,0.0,0.0,50.98,0
SEN,2006-2009,2006,2009,"prets ODA, toutes modalites",1,6,172.06,64.64,37.57,1.36,0.34,51.32,0
SEN,2006-2009,2006,2009,"prets ODA, toutes modalites",2,6,172.06,66.84,38.85,6.44,2.61,52.59,0
SEN,2006-2009,2006,2009,"prets ODA, toutes modalites",3,6,172.06,92.2,53.59,38.61,16.08,60.63,0
SEN,2006-2009,2006,2009,"prets ODA, toutes modalites",4,6,172.06,98.97,57.52,51.13,23.78,63.76,0
SEN,2006-2009,2006,2009,"dons ODA, toutes modalites",0,19,40.17,4.46,11.09,100.0,25.92,100.0,0
SEN,2006-2009,2006,2009,"dons ODA, toutes modalites",1,19,40.17,7.41,18.46,100.0,43.71,100.0,0
SEN,2006-2009,2006,2009,"dons ODA, toutes modalites",2,19,40.17,10.53,26.21,100.0,65.95,100.0,0
SEN,2006-2009,2006,2009,"dons ODA, toutes modalites",3,19,40.17,15.25,37.97,100.0,83.22,100.0,0
SEN,2006-2009,2006,2009,"dons ODA, toutes modalites",4,19,40.17,17.57,43.75,100.0,98.45,100.0,0
SEN,2006-2009,2006,2009,"prets ODA, type projet C01",0,5,119.64,28.59,23.9,0.0,0.0,0.0,0
SEN,2006-2009,2006,2009,"prets ODA, type projet C01",1,5,119.64,29.01,24.25,1.36,0.0,1.36,0
SEN,2006-2009,2006,2009,"prets ODA, type projet C01",2,5,119.64,31.21,26.09,6.44,1.33,6.44,0
SEN,2006-2009,2006,2009,"prets ODA, type projet C01",3,5,119.64,56.57,47.29,38.61,8.58,38.61,0
SEN,2006-2009,2006,2009,"prets ODA, type projet C01",4,5,119.64,63.34,52.94,51.13,14.66,51.13,0
SEN,2006-2009,2006,2009,"dons ODA, type projet C01",0,9,37.9,3.89,10.27,34.95,15.31,100.0,0
SEN,2006-2009,2006,2009,"dons ODA, type projet C01",1,9,37.9,6.81,17.97,58.63,32.23,100.0,0
SEN,2006-2009,2006,2009,"dons ODA, type projet C01",2,9,37.9,9.9,26.11,78.3,32.23,100.0,0
SEN,2006-2009,2006,2009,"dons ODA, type projet C01",3,9,37.9,14.6,38.53,88.14,70.11,100.0,0
SEN,2006-2009,2006,2009,"dons ODA, type projet C01",4,9,37.9,16.93,44.66,100.0,88.66,100.0,0
SEN,2006-2009,2006,2009,"tous instruments, type projet C01",0,15,188.51,32.49,17.23,15.31,0.0,85.0,0
SEN,2006-2009,2006,2009,"tous instruments, type projet C01",1,15,188.51,35.82,19.0,32.23,0.54,85.0,0
SEN,2006-2009,2006,2009,"tous instruments, type projet C01",2,15,188.51,41.11,21.81,32.23,1.34,89.15,0
SEN,2006-2009,2006,2009,"tous instruments, type projet C01",3,15,188.51,71.18,37.76,70.11,8.58,99.7,0
SEN,2006-2009,2006,2009,"tous instruments, type projet C01",4,15,188.51,80.27,42.58,88.66,14.66,100.0,0
SEN,2006-2009,2006,2009,"prets ODA, appui budgetaire A01/A02",0,1,52.42,35.63,67.97,67.97,67.97,67.97,0
SEN,2006-2009,2006,2009,"prets ODA, appui budgetaire A01/A02",1,1,52.42,35.63,67.97,67.97,67.97,67.97,0
SEN,2006-2009,2006,2009,"prets ODA, appui budgetaire A01/A02",2,1,52.42,35.63,67.97,67.97,67.97,67.97,0
SEN,2006-2009,2006,2009,"prets ODA, appui budgetaire A01/A02",3,1,52.42,35.63,67.97,67.97,67.97,67.97,0
SEN,2006-2009,2006,2009,"prets ODA, appui budgetaire A01/A02",4,1,52.42,35.63,67.97,67.97,67.97,67.97,0
SEN,2010-2013,2010,2013,"tous instruments, toutes modalites",0,43,235.48,39.32,16.7,89.1,7.25,100.0,0
SEN,2010-2013,2010,2013,"tous instruments, toutes modalites",1,43,235.48,56.8,24.12,99.74,28.64,100.0,0
SEN,2010-2013,2010,2013,"tous instruments, toutes modalites",2,43,235.48,91.2,38.73,99.74,51.3,100.0,0
SEN,2010-2013,2010,2013,"tous instruments, toutes modalites",3,43,235.48,118.53,50.34,100.0,67.23,100.0,0
SEN,2010-2013,2010,2013,"tous instruments, toutes modalites",4,43,235.48,140.41,59.63,100.0,75.95,100.0,0
SEN,2010-2013,2010,2013,"prets ODA, toutes modalites",0,5,188.78,32.08,16.99,19.17,0.0,100.34,0
SEN,2010-2013,2010,2013,"prets ODA, toutes modalites",1,5,188.78,43.49,23.04,30.71,2.36,100.34,0
SEN,2010-2013,2010,2013,"prets ODA, toutes modalites",2,5,188.78,71.96,38.12,50.35,16.21,100.34,0
SEN,2010-2013,2010,2013,"prets ODA, toutes modalites",3,5,188.78,95.32,50.49,50.35,41.59,100.34,0
