country,project_id,financing_id,sector,stage,event_date,date_kind,source_url,publication_or_update_date,locator,retrieval_date,evidence_level,archive_status,sha256,note
Philippines,41665-013,Grant0477-PHI,water/sanitation,approval,2016-04-22,reported_actual_unverified,https://www.adb.org/projects/41665-013/main,PDS updated2026-07-28,Search extraction milestone table; original retrieval failed,2026-09-14,search_lead_only,unarchived,,Not accepted as original-source milestone pair
Philippines,41665-013,Grant0477-PHI,water/sanitation,signature,2016-05-19,reported_actual_unverified,https://www.adb.org/projects/41665-013/main,PDS updated2026-07-28,Search extraction milestone table; original retrieval failed,2026-09-14,search_lead_only,unarchived,,Not accepted as original-source milestone pair
Philippines,41665-013,Grant0477-PHI,water/sanitation,effectiveness,2017-02-17,reported_actual_unverified,https://www.adb.org/projects/41665-013/main,PDS updated2026-07-28,Search extraction milestone table; original retrieval failed,2026-09-14,search_lead_only,unarchived,,Not accepted as original-source milestone pair
Philippines,41665-013,Grant0477-PHI,water/sanitation,actual_closing,2024-09-01,reported_actual_unverified,https://www.adb.org/projects/41665-013/main,PDS updated2026-07-28,Search extraction milestone table; original retrieval failed,2026-09-14,search_lead_only,unarchived,,Not accepted as original-source milestone pair
Bangladesh,42169-013,4284-BAN,transport,approval,2022-12-14,reported_actual_unverified,https://www.adb.org/projects/42169-013/main,not established,Search extraction milestone table; original retrieval failed,2026-09-14,search_lead_only,unarchived,,Not accepted as original-source milestone pair
Bangladesh,42169-013,4284-BAN,transport,signature,2022-12-26,reported_actual_unverified,https://www.adb.org/projects/42169-013/main,not established,Search extraction milestone table; original retrieval failed,2026-09-14,search_lead_only,unarchived,,Not accepted as original-source milestone pair
Bangladesh,42169-013,4284-BAN,transport,effectiveness,2023-01-08,reported_actual_unverified,https://www.adb.org/projects/42169-013/main,not established,Search extraction milestone table; original retrieval failed,2026-09-14,search_lead_only,unarchived,,Not accepted as original-source milestone pair
Viet Nam,39595-023,2353-VIE,energy,approval,2007-10-02,reported_actual_unverified,https://www.adb.org/projects/39595-023/main,PDS updated2013-10-22,Search extraction milestone table; original retrieval failed,2026-09-14,search_lead_only,unarchived,,Not accepted as original-source milestone pair
Viet Nam,39595-023,2353-VIE,energy,signature,2007-10-09,reported_actual_unverified,https://www.adb.org/projects/39595-023/main,PDS updated2013-10-22,Search extraction milestone table; original retrieval failed,2026-09-14,search_lead_only,unarchived,,Not accepted as original-source milestone pair
Viet Nam,39595-023,2353-VIE,energy,effectiveness,2008-03-27,reported_actual_unverified,https://www.adb.org/projects/39595-023/main,PDS updated2013-10-22,Search extraction milestone table; original retrieval failed,2026-09-14,search_lead_only,unarchived,,Not accepted as original-source milestone pair
Viet Nam,39595-023,2353-VIE,energy,actual_closing,2014-02-18,reported_actual_unverified,https://www.adb.org/projects/39595-023/main,PDS updated2013-10-22,Search extraction milestone table; original retrieval failed,2026-09-14,search_lead_only,unarchived,,Not accepted as original-source milestone pair
Bangladesh,34415-013,2021-BAN(SF),transport,approval,2003-11-20,reported_actual_unverified,https://www.adb.org/sites/default/files/project-documents//34415-013-pcr.pdf,not established,Search extraction milestone table; original retrieval failed,2026-09-14,search_lead_only,unarchived,,Not accepted as original-source milestone pair
Bangladesh,34415-013,2021-BAN(SF),transport,loan_agreement,2004-06-25,reported_actual_unverified,https://www.adb.org/sites/default/files/project-documents//34415-013-pcr.pdf,not established,Search extraction milestone table; original retrieval failed,2026-09-14,search_lead_only,unarchived,,Not accepted as original-source milestone pair
Bangladesh,34415-013,2021-BAN(SF),transport,effectiveness,2004-11-23,reported_actual_unverified,https://www.adb.org/sites/default/files/project-documents//34415-013-pcr.pdf,not established,Search extraction milestone table; original retrieval failed,2026-09-14,search_lead_only,unarchived,,Not accepted as original-source milestone pair
Bangladesh,34415-013,2021-BAN(SF),transport,initial_disbursement,2006-11-30,reported_actual_unverified,https://www.adb.org/sites/default/files/project-documents//34415-013-pcr.pdf,not established,Search extraction milestone table; original retrieval failed,2026-09-14,search_lead_only,unarchived,,Not accepted as original-source milestone pair
