country,project_id,source_id,document_sha256,title,period,ipg_entity,beneficiary,implementing_partner,specific_focus,modality,financing_type,financing_source,financing_intermediary,amount_home_currency,amount_home,amount_usd,part_of_jetp_pledge,matched_event_id,report_currency_home,report_amount_home,reconciliation_status,notes
IDN,idn-grant-jetp-financing-facilitation,idn-portfolio-jetp-financing,9ce5d3fe56e575ff5c40f161e535cbe61052ea0748ac1877de29f4433e75cff8,Facilitating Financing for Indonesia’s Just Energy Transition Partnership,January 2024 - December 2025,Germany,PT. Perusahaan Listrik Negara (Persero),-,To enable PT.PLN to close the gap between project ideas and fundable projects in the short term and to prepare climate-relevant infrastructure projects more quickly.,Modality A,Grant / TA,IPG - Germany,German Federal Ministry for Economic Cooperation and Development through KfW Development Bank,EUR,2000000,2100000,Yes,idn-approved-finance-facilitation-germany-2025,EUR,2000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-re2grid,idn-portfolio-re2grid,5148669a25307990a966d2b4a1f7f6d5d40a5b0004b2f31987479fafa3237af5,RE2Grid,01/11/2024 - 31/10/2028,Germany,MEMR,GIZ,"The regulatory, institutional and technical capacities of the sector stakeholders for the expansion of large-scale variable renewable energy (vRE) have improved. Regional focus: Sulawesi",Modality A,Grant / TA,IPG - Germany,BMZ/GIZ,EUR,1500000,1622250,Yes,idn-approved-re2grid-germany-2025,EUR,1500000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-re2cool,idn-portfolio-re2cool,f2d1ee977fe2098714fabcb50d31d11250dc4b66591c33932aecddb789fdecc6,RE2Cool,- - -,Germany,-,-,-,Modality A,Grant / TA,IPG - Germany,-,EUR,4000000,4154981,Yes,idn-approved-re2cool-germany-2025,EUR,4000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-carbon-monetization,idn-portfolio-carbon-monetization,392231da596fe6037ef9dc219a114698a8c9fb8a901b23cd3670ceb45e4cb1a7,Carbon Monetization,- - -,Germany,-,-,-,Modality A,Grant / TA,IPG - Germany,-,USD,4000000,4154981,Yes,idn-approved-carbon-monetization-germany-2025,EUR,4000000,amount_mismatch,Portal and 2025 Progress Report home-currency values differ; both are preserved
IDN,idn-grant-energy-hub,idn-portfolio-energy-hub,f1dd20e2bdd194a17227f3f67ce7f7a28a124d35d32c94cec54bdf1d493952e3,Energy Hub,1/11/2024 - 30/10/2028,Germany,Ministry of Energy and Mineral Resources (MEMR),GIZ,"Support for Indonesia’s Energy Transition, the German-Indonesian Energy Cooperation Hub, JETP, and ETM, including policy advice on Presidential Regulation No. 112/2022 and MEMR’s strategic energy planning, as well as stakeholder engagement with the private sector (supported by IKI Flex).",Modality A,Grant / TA,IPG - Germany,BMZ & BMWK (IKI Flex),EUR,2500000,2703750,Yes,idn-approved-energy-hub-germany-2025,EUR,2500000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-iki-flex-jetp,idn-portfolio-iki-flex,1c923c0aa8b11c95cb764063c687d82524d53f4c798029f1ac3e104c9705ebc2,IKI-Flex JETP Support Package,- - -,Germany,-,GIZ,-,Modality A,Grant / TA,IPG - Germany,GIZ,EUR,1000000,1100000,Yes,idn-approved-iki-flex-germany-2025,EUR,1000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-jetp-secretariat-capacity,idn-portfolio-secretariat-capacity,63215d46f2ecab9ab410cd214aa1e722a23a3d81de8dfb14db8ae68c706b35fa,Institutional and Capacity Building Support for the Just Energy Transition Partnership Secretariat,June 2023 - June 2025,Japan,Coordinating Ministry of Economic Affairs,-,Institutional support and implementation capacity to the Just Energy Transition Partnership Secretariat (JETP Secretariat),Modality A,Grant / TA,IPG - Japan,Asian Development Bank,USD,2000000,2000000,Yes,idn-approved-secretariat-japan-2025,USD,2000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-patuha-2,idn-portfolio-patuha2,6bfa7f6c8b0dd04ac0c67344d7fb722071787ba4efacd91764bb5a615e3acd33,Grant for Patuha Unit-2 Geothermal Power Generation Project,- - -,Japan,Geo Dipa Energi,JFJCM,-,Modality A,Grant / TA,IPG - Japan,JFJCM,USD,10000000,10000000,Yes,idn-approved-patuha2-japan-2025,USD,10000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-mentari-policy,idn-portfolio-mentari-policy,da39eb10e001354c1e289d6e66a16c8f7e7f2b9f0e0b253c6f0155da68e3bf92,MENTARI - Contributions to the JETP,- - -,UK,Ministry of Energy and Mineral Resources (MEMR),"Palladium International, Castlerock, Hivos, and ECA","Support for the JETP IFA focuses on accelerating Indonesia’s energy transition by providing technical assistance for off-grid renewable energy and diesel replacement (DRP Phase I & II), conducting policy studies on supply chain and local content requirements (LCR/TKDN) for solar power, and delivering quantitative analysis and strategic planning for renewable integration and coal phase-out.",Modality A,Grant / TA,IPG - United Kingdom,"Foreign, Commonwealth & Development Office (FCDO)",GBP,2800000,3400000,Yes,idn-approved-mentari-policy-uk-2025,GBP,2800000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-green-energy-transition-indonesia,idn-portfolio-green-energy-transition,721cb35a8ed94429e3c5b4c6ccf4bd622c2dd659a6823e18578ee846a4274164,Green Energy Transition Indonesia,- - -,UK,-,IESR,Improving regulatory and policy frameworks for effective JETP implementation in Indonesia.,Modality A,Grant / TA,IPG - United Kingdom,MENTARI,GBP,1000000,1240000,Yes,idn-approved-green-energy-transition-uk-2025,GBP,1000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-uk-pact,idn-portfolio-uk-pact,7360825990bb99286bff2bf6c719bea2d211380d940e23b082916bef33a0dca6,UK PACT Indonesia,April 2024 - March 2025,UK,Various,Palladium,UK PACT supports Indonesia’s ambitions to reduce carbon emissions and tackling climate change.,Modality A,Grant / TA,IPG - United Kingdom,N/A,GBP,200000,251889,Yes,idn-approved-uk-pact-2025,GBP,200000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-jt-framework-phase-2,idn-portfolio-jt-framework,1e223e29c598ad8c28fb5f63ea2f23b5f30508c4d52b340d23823fbdb96aabed,Operationalisation of the Just Transition Framework in JETP Indonesia: Phase 2,February 2025 - September 2025,UK,JETP Indonesia,UNOPS-ETP,The project aims to develop just transition implementation plans for two renewable energy pilot projects.,Modality A,Grant / TA,IPG - United Kingdom,UNOPS-ETP,GBP,300000,374251,Yes,idn-approved-jt-framework-uk-2025,GBP,300000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-mentari-vgf,idn-portfolio-mentari-vgf,0dfe829ffedbcf09f644aa1d6a179e190f302a2d5ad33ca666dd22c0378387fb,MENTARI - Viability Gap Fund,Dec 2022 - July 2025,UK,Various,British Embassy Jakarta through the MENTARI Programme,"Unlocking investment in small- to medium-scale renewable energy projects across Indonesia by offering partial grant to cover project CAPEX, which lowers financial risk for developers and lenders, and enables ventures that would otherwise struggle under conventional lending criteria",Modality A,Grant / TA,IPG - United Kingdom,"Foreign, Commonwealth & Development Office (FCDO)",GBP,1200000,1500000,Yes,idn-approved-mentari-vgf-uk-2025,GBP,1200000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-growth-gateway,idn-portfolio-growth-gateway,76393f19e906fca4e783255b14efcaab84af2de52af5ec0b1e6ae01d8aca3eed,Growth Gateway,February 2025 - March 2025,UK,Various,BCG,"Support the small, medium, micro enterprise (SMME) ecosystem within Indonesia’s Just Energy Transition.",Modality A,Grant / TA,IPG - United Kingdom,N/A,GBP,500000,623000,Yes,idn-approved-growth-gateway-uk-2025,GBP,500000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-esmap-uk,idn-portfolio-esmap-uk,2e81b87d5b706704e96374b10ef31d493c53ff666a66e8daf33295cb45b027b5,Energy Sector Management Assistance Program,Q2 2025 - April 2032,UK,PLN,-,Sustainable energy sector solutions that help economies advance clean energy technologies,Modality A,Grant / TA,IPG - United Kingdom,World Bank,GBP,5000000,6300000,Yes,idn-approved-esmap-uk-2025,GBP,5000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-pt-smi-early-retirement,idn-portfolio-pt-smi-retirement,accb32a7b1f6384b55ba0d7c12243b7ad9ac23d8a178c485ababd559de012c5b,PT SMI Early Retirement Program,Approved January 2024 - TBD,Climate Investment Funds Accelerated Coal Transition (CIF-ACT),PT SMI,Asian Development Bank,Early Coal Retirement,Modality A,Grant / TA,CIF Infusion (ACT),Asian Development Bank,USD,1000000,1000000,Yes,idn-approved-smi-retirement-cif-2025,USD,1000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-cfpp-site-repurposing,idn-portfolio-cfpp-repurposing,a2cf03c30488fa88221fce491eb5a6d334d9f25faf9fc6b97e34b812142cbad6,Coal-Fired Power Plant Site Repurposing,March 2021 - TBD,Climate Investment Funds Accelerated Coal Transition (CIF-ACT),Various,Various,Early retirement of coal-fired power plants (CFPP),Modality A,Grant / TA,CIF Infusion (ACT),World Bank,USD,5000000,5000000,Yes,idn-approved-cfpp-repurposing-cif-2025,USD,5000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-just-transition-coal-regions,idn-portfolio-jt-coal-regions,fa21515e1a50e5313a2bf63b2117aa9d3e95cd5dac657e6f6f08c5dcbb3c3047,Just Transition in Coal Regions,March 2021 - TBD,Climate Investment Funds Accelerated Coal Transition (CIF-ACT),Various,Various,Just transition,Modality A,Grant / TA,CIF Infusion (ACT),World Bank,USD,5000000,5000000,Yes,idn-approved-jt-coal-regions-cif-2025,USD,5000000,matched,Portal home-currency amount equals the 2025 Progress Report event
