event_id,project_id,country,event_date,scope,financial_status,funder,window,instrument,amount_original,currency_original,amount_usd,conversion_method,source_id,document_sha256,locator,verification_status,notes
zaf-register-dk011-2026-03-30,zaf-register-dk011,ZAF,2023-10-01,jetp_strict,signed,Denmark,Skills,Grants,2000000,DKK,300000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK011",official_register,Status=C. Implementation Phase; project implementation status is not treated as disbursement evidence
zaf-register-dk012-2026-03-30,zaf-register-dk012,ZAF,2024-07-31,jetp_strict,signed,Denmark,JT-Mpumalanga,Grants,500000,DKK,75000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK012",official_register,Status=D. Completed; Institutional / South African Partner=Teach A Man to Fish and 10 selected schools in Mpumalanga; project implementation status is not treated as disbursement evidence
zaf-register-dk013-2026-03-30,zaf-register-dk013,ZAF,2024-01-01,jetp_strict,signed,Denmark,Electricity,Grants,3000000,DKK,450000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK013",official_register,Status=C. Implementation Phase; Institutional / South African Partner=City of Johannesburg; project implementation status is not treated as disbursement evidence
zaf-register-dk014-2026-03-30,zaf-register-dk014,ZAF,2023-06-25,jetp_strict,signed,Denmark,Electricity,Grants,800000,DKK,120000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK014",official_register,Status=D. Completed; Institutional / South African Partner=SAWEA; project implementation status is not treated as disbursement evidence
zaf-register-dk015-2026-03-30,zaf-register-dk015,ZAF,2024-12-09,jetp_strict,signed,Denmark,Electricity,"Commercial Debt, Equity & Guarantees",22000000,USD,22000000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK015",official_register,Status=C. Implementation Phase; Institutional / South African Partner=Private Sector RES Develper; project implementation status is not treated as disbursement evidence
zaf-register-dk018-2026-03-30,zaf-register-dk018,ZAF,2026-05-01,jetp_strict,signed,Denmark,Electricity,Grants,80000000,DKK,12000000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK018",official_register,"Status=A. Planned; Institutional / South African Partner=Eskom, NERSA, NTCSA, DEE, IPPO; project implementation status is not treated as disbursement evidence"
zaf-register-dk019-2026-03-30,zaf-register-dk019,ZAF,2025-05-01,jetp_strict,signed,Denmark,Skills,Grants,27500,DKK,3850.0000000000005,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK019",official_register,Status=D. Completed; Institutional / South African Partner=University of Pretoria; project implementation status is not treated as disbursement evidence
zaf-register-dk020-2026-03-30,zaf-register-dk020,ZAF,2025-11-01,jetp_strict,signed,Denmark,JT-Mpumalanga,Grants,2500000,DKK,375000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK020",official_register,"Status=C. Implementation Phase; Institutional / South African Partner=WWF South Africa, CSIR, DFFE, DALRRD, CGCSA, FoodForward SA, SAOSO; project implementation status is not treated as disbursement evidence"
zaf-register-eu001-2026-03-30,zaf-register-eu001,ZAF,2022-01-01,jetp_strict,signed,European Union,Electricity,Grants,150000,EUR,162000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU001",official_register,Status=D. Completed; project implementation status is not treated as disbursement evidence
zaf-register-eu002-2026-03-30,zaf-register-eu002,ZAF,2021-11-01,jetp_strict,signed,European Union,Electricity,Grants,2000000,EUR,2160000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU002",official_register,Status=C. Implementation Phase; project implementation status is not treated as disbursement evidence
zaf-register-eu003-2026-03-30,zaf-register-eu003,ZAF,2024-01-01,jetp_strict,signed,European Union,JT-Mpumalanga,Grants,80000,EUR,86400,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU003",official_register,Status=C. Implementation Phase; project implementation status is not treated as disbursement evidence
zaf-register-eu004-2026-03-30,zaf-register-eu004,ZAF,2023-01-01,jetp_strict,signed,European Union,Electricity,Grants,20000,EUR,21600,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU004",official_register,Status=D. Completed; project implementation status is not treated as disbursement evidence
zaf-register-eu005-2026-03-30,zaf-register-eu005,ZAF,2023-04-01,jetp_strict,signed,European Union,Municipalities,Grants,15000000,EUR,16200000.000000002,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU005",official_register,Status=C. Implementation Phase; project implementation status is not treated as disbursement evidence
zaf-register-eu006-2026-03-30,zaf-register-eu006,ZAF,2022-01-01,jetp_strict,signed,European Union,Skills,Grants,160000,EUR,172800,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU006",official_register,Status=C. Implementation Phase; project implementation status is not treated as disbursement evidence
zaf-register-eu007-2026-03-30,zaf-register-eu007,ZAF,2022-01-01,jetp_strict,signed,European Union,Skills,Grants,250000,EUR,270000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU007",official_register,Status=C. Implementation Phase; project implementation status is not treated as disbursement evidence
zaf-register-eu008-2026-03-30,zaf-register-eu008,ZAF,2024-01-01,jetp_strict,signed,European Union,Electricity,Grants,35000000,EUR,37800000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU008",official_register,Status=C. Implementation Phase; project implementation status is not treated as disbursement evidence
zaf-register-eu010-2026-03-30,zaf-register-eu010,ZAF,2022-01-03,jetp_strict,signed,European Union,Skills,Grants,0,EUR,0,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU010",official_register,Status=A. Planned; project implementation status is not treated as disbursement evidence
zaf-register-eu011-2026-03-30,zaf-register-eu011,ZAF,2026-06-01,jetp_strict,signed,European Union,Energy Efficiency,Grants,10000000,EUR,10800000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU011",official_register,Status=C. Implementation Phase; project implementation status is not treated as disbursement evidence
zaf-register-eu012-2026-03-30,zaf-register-eu012,ZAF,2023-01-03,jetp_strict,signed,European Union,Skills,Grants,20000000,EUR,21600000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU012",official_register,Status=C. Implementation Phase; project implementation status is not treated as disbursement evidence
zaf-register-eu013-2026-03-30,zaf-register-eu013,ZAF,2023-01-03,jetp_strict,signed,European Union,JT-Mpumalanga,Grants,32000000,EUR,34560000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU013",official_register,Status=A. Planned; project implementation status is not treated as disbursement evidence
zaf-register-eu014-2026-03-30,zaf-register-eu014,ZAF,2023-01-03,jetp_strict,signed,European Union,Electricity,Grants,100000,EUR,108000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU014",official_register,Status=D. Completed; project implementation status is not treated as disbursement evidence
zaf-register-eu015-2026-03-30,zaf-register-eu015,ZAF,2026-03-30,jetp_strict,announced,European Union,Green hydrogen,Grants,25500000,EUR,27540000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU015",official_register,Status=A. Planned; project implementation status is not treated as disbursement evidence
zaf-register-eu016-2026-03-30,zaf-register-eu016,ZAF,2026-03-30,jetp_strict,announced,European Union,NEVs,"Commercial Debt, Equity & Guarantees",29500000,EUR,31860000.000000004,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU016",official_register,Status=A. Planned; project implementation status is not treated as disbursement evidence
zaf-register-eu017-2026-03-30,zaf-register-eu017,ZAF,2026-03-30,jetp_strict,announced,European Union,Electricity,Grants,1000000,EUR,1080000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU017",official_register,Status=A. Planned; project implementation status is not treated as disbursement evidence
zaf-register-eu018-2026-03-30,zaf-register-eu018,ZAF,2026-03-30,jetp_strict,announced,European Union,Skills,Grants,26000000,EUR,28080000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU018",official_register,Status=A. Planned; project implementation status is not treated as disbursement evidence
zaf-register-eu019-2026-03-30,zaf-register-eu019,ZAF,2026-03-30,jetp_strict,approved,European Union,Road to Rail,Grants,21000000,EUR,22680000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU019",official_register,Status=C. Implementation Phase; Institutional / South African Partner=Transnet; project implementation status is not treated as disbursement evidence
zaf-register-eu020-2026-03-30,zaf-register-eu020,ZAF,2026-03-30,jetp_strict,approved,European Union,Green hydrogen,Grants,25000000,EUR,27000000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU020",official_register,"Status=C. Implementation Phase; Institutional / South African Partner=DBSA, IDC, Invest International, Sanlam; project implementation status is not treated as disbursement evidence"
zaf-register-eu021-2026-03-30,zaf-register-eu021,ZAF,2026-03-30,jetp_strict,approved,European Union,Green hydrogen,Grants,20000000,EUR,21600000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU021",official_register,Status=C. Implementation Phase; Institutional / South African Partner=DBSA; project implementation status is not treated as disbursement evidence
zaf-register-fr001-2026-03-30,zaf-register-fr001,ZAF,2022-01-01,jetp_strict,signed,France,Electricity,Grants,630000,EUR,680400,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR001",official_register,Status=D. Completed; project implementation status is not treated as disbursement evidence
zaf-register-fr002-2026-03-30,zaf-register-fr002,ZAF,2022-01-01,jetp_strict,signed,France,Electricity,Grants,275000,EUR,297000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR002",official_register,Status=B. Approved; project implementation status is not treated as disbursement evidence
zaf-register-fr003-2026-03-30,zaf-register-fr003,ZAF,2021-11-01,jetp_strict,signed,France,JT-Mpumalanga,Grants,500000,EUR,540000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR003",official_register,Status=D. Completed; project implementation status is not treated as disbursement evidence
zaf-register-fr004-2026-03-30,zaf-register-fr004,ZAF,2022-01-01,jetp_strict,signed,France,JT-Mpumalanga,Grants,200000,EUR,216000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR004",official_register,Status=D. Completed; project implementation status is not treated as disbursement evidence
zaf-register-fr005-2026-03-30,zaf-register-fr005,ZAF,2023-06-01,jetp_strict,signed,France,JT-Mpumalanga,Grants,357000,EUR,385560,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR005",official_register,Status=D. Completed; project implementation status is not treated as disbursement evidence
zaf-register-fr006-2026-03-30,zaf-register-fr006,ZAF,2022-01-01,jetp_strict,signed,France,JT-Mpumalanga,Grants,30000,EUR,32400.000000000004,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR006",official_register,Status=C. Implementation Phase; project implementation status is not treated as disbursement evidence
zaf-register-fr007-2026-03-30,zaf-register-fr007,ZAF,2021-11-01,jetp_strict,signed,France,Electricity,Grants,150000,EUR,162000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR007",official_register,Status=C. Implementation Phase; project implementation status is not treated as disbursement evidence
zaf-register-fr009-2026-03-30,zaf-register-fr009,ZAF,2021-11-01,jetp_strict,signed,France,JT-Mpumalanga,Grants,15000,EUR,16200.000000000002,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR009",official_register,Status=D. Completed; project implementation status is not treated as disbursement evidence
zaf-register-fr010-2026-03-30,zaf-register-fr010,ZAF,2021-11-01,jetp_strict,signed,France,JT-Mpumalanga,Grants,120000,EUR,129600.00000000001,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR010",official_register,Status=D. Completed; project implementation status is not treated as disbursement evidence
zaf-register-fr011-2026-03-30,zaf-register-fr011,ZAF,2022-01-01,jetp_strict,signed,France,JT-Mpumalanga,Grants,20000,EUR,21600,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR011",official_register,Status=D. Completed; project implementation status is not treated as disbursement evidence
zaf-register-fr012-2026-03-30,zaf-register-fr012,ZAF,2023-01-01,jetp_strict,signed,France,Skills,Grants,350000,EUR,378000,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR012",official_register,Status=C. Implementation Phase; project implementation status is not treated as disbursement evidence
zaf-register-fr013-2026-03-30,zaf-register-fr013,ZAF,2023-01-01,jetp_strict,signed,France,Skills,Grants,219500,EUR,237060.00000000003,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR013",official_register,Status=C. Implementation Phase; project implementation status is not treated as disbursement evidence
zaf-register-fr014-2026-03-30,zaf-register-fr014,ZAF,2023-01-01,jetp_strict,signed,France,Skills,Grants,210000,EUR,226800.00000000003,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR014",official_register,Status=C. Implementation Phase; project implementation status is not treated as disbursement evidence
zaf-register-fr015-2026-03-30,zaf-register-fr015,ZAF,2023-01-01,jetp_strict,signed,France,JT-Mpumalanga,Grants,119000,EUR,128520.00000000001,JET PMU reported USD equivalent at 2026-03-30,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR015",official_register,Status=D. Completed; project implementation status is not treated as disbursement evidence
