source_id,country,authority_category,publisher,source_type,title,published_date,url,project_id,expected_format,priority,active,notes
zaf-jet-pmu-resource-hub,ZAF,jetp_secretariat,JET Project Management Unit,data_portal,JET PMU Resource Hub,,https://justenergytransition.co.za/resource-hub,,html,1,true,Canonical discovery route for plans reports and partner groups
zaf-jet-pmu-news,ZAF,jetp_secretariat,JET Project Management Unit,data_portal,JET PMU News and Updates,,https://justenergytransition.co.za/news,,html,2,true,Official press releases registers and media leads
zaf-jet-pmu-projects,ZAF,jetp_secretariat,JET Project Management Unit,project_list,JET PMU Projects,,https://justenergytransition.co.za/projects,,html,1,true,Official project collection; custom post type contained 12 records at collection
zaf-jet-ip-2023-2027,ZAF,jetp_secretariat,JET Project Management Unit,investment_plan,South Africa's Just Energy Transition Investment Plan 2023-2027,2022-11-04,https://justenergytransition.co.za/wp-content/uploads/2024/10/South-Africas-Just-Energy-Transition-Investment-Plan-JET-IP-2023-2027-FINAL-1.pdf,,pdf,1,true,Official preservation URL on the current JET PMU resource hub
zaf-jet-quarterly-2024-q3,ZAF,jetp_secretariat,JET Project Management Unit,progress_update,JET IP Quarterly Progress Report 30 September 2024,2024-09-30,https://justenergytransition.co.za/wp-content/uploads/2024/12/Just-Energy-Transition_Progress-Report-v2.pdf,,pdf,1,true,First published implementation progress report; covers April to September 2024
zaf-jet-quarterly-2024-q4,ZAF,jetp_secretariat,JET Project Management Unit,progress_update,JET IP Quarterly Progress Report 31 December 2024,2024-12-31,https://justenergytransition.co.za/wp-content/uploads/2025/02/Just-Energy-Transition_Progress-Report-December-2024Final-1.pdf,,pdf,1,true,Official end-2024 progress report
zaf-jet-quarterly-2025-q1,ZAF,jetp_secretariat,JET Project Management Unit,progress_update,JET IP Quarterly Progress Report 31 March 2025,2025-03-31,https://justenergytransition.co.za/wp-content/uploads/2025/04/JetQuarterly31March2025.pdf,,pdf,1,true,Quarter close also carries annual indicators for the South African financial year
zaf-jet-quarterly-2025-q2,ZAF,jetp_secretariat,JET Project Management Unit,progress_update,JET IP Quarterly Progress Report 30 June 2025,2025-06-30,https://justenergytransition.co.za/wp-content/uploads/2025/08/Jet-IP-Quarterly-Report-30-June-2025-1.pdf,,pdf,1,true,Official resource-hub report
zaf-jet-quarterly-2025-q3,ZAF,jetp_secretariat,JET Project Management Unit,progress_update,JET IP Quarterly Progress Report 30 September 2025 revised,2025-09-30,https://justenergytransition.co.za/wp-content/uploads/2025/11/Jet-Quarterly-30-Sep-2025-Revised.pdf,,pdf,1,true,Revised official media object preferred over the earlier upload
zaf-jet-quarterly-2025-q4,ZAF,jetp_secretariat,JET Project Management Unit,progress_update,JET IP Quarterly Progress Report 31 December 2025,2025-12-31,https://justenergytransition.co.za/wp-content/uploads/2026/03/JET-IP-Quarterly-Report-31-December-2025.pdf,,pdf,1,true,Official resource-hub report
zaf-jet-quarterly-2026-q1,ZAF,jetp_secretariat,JET Project Management Unit,progress_update,JET IP Quarterly Progress Report 31 March 2026,2026-03-31,https://justenergytransition.co.za/wp-content/uploads/2026/06/JET-IP-2026-Q1-Progress-Report-final.pdf,,pdf,1,true,Latest official report found at 2026-09-12 collection
zaf-jet-grants-register-2024-q2,ZAF,jetp_secretariat,JET Project Management Unit,project_list,JET Grants Register 2024 Q1-Q2,2024-06-30,https://justenergytransition.co.za/wp-content/uploads/2024/10/JET-Grants-Register-2024Q1-2024Q2.pdf,,pdf,1,true,First register installment published as PDF
zaf-jet-grants-register-2024-q3,ZAF,jetp_secretariat,JET Project Management Unit,project_list,JET Grants Register 2024 Q3,2024-09-30,https://justenergytransition.co.za/wp-content/uploads/2024/11/JET-Grants-Register-2024Q1-2024Q3-Published-Final.-xlsx.xlsx,,other,1,true,Official machine-readable cumulative register
zaf-jet-grants-register-2025-q1,ZAF,jetp_secretariat,JET Project Management Unit,project_list,JET Grants Register 2025 Q1,2025-03-31,https://justenergytransition.co.za/wp-content/uploads/2025/03/JETGrantsRegister2025Q1-Published.xlsx,,other,1,true,Latest standalone grants workbook found before the Investment Register dashboard
zaf-jet-investment-register-q1-2026,ZAF,jetp_secretariat,JET Project Management Unit,data_portal,JET IP Investment Register Q1 2026,2026-03-30,https://justenergytransition.co.za/jet-investment-register-dashboard,,html,1,true,Official embedded Overall Data table; 257 material rows after excluding summary rows
zaf-project-nomzamo-agri-village,ZAF,jetp_secretariat,JET Project Management Unit,project_page,"Sustainable local development in Nomzamo Agri Village, Ermelo, Mpumalanga",2025-07-29,https://justenergytransition.co.za/project/sustainable-local-development-in-nomzamo-agri-village-ermelo-mpumalanga,,html,1,true,Official page describing the French and Danish register components; see project-source-links.csv
zaf-project-just-transition-framework-france,ZAF,jetp_secretariat,JET Project Management Unit,project_page,Implementation of the Just Transitions Framework (France),2024-11-13,https://justenergytransition.co.za/project/implementation-of-the-just-transitions-framework-france,zaf-register-fr011,html,1,true,Adjudicated against the official register
zaf-project-mining-ghost-towns-france,ZAF,jetp_secretariat,JET Project Management Unit,project_page,Revitalization of Mining Ghost Towns (France),2024-10-24,https://justenergytransition.co.za/project/revitalisation-of-mining-ghost-towns-france,zaf-register-fr010,html,1,true,Adjudicated against the official register
zaf-project-social-policies-france,ZAF,jetp_secretariat,JET Project Management Unit,project_page,The Role of Social Policies in the Framework for Just Transition (France),2024-10-24,https://justenergytransition.co.za/project/the-role-of-social-policies-in-the-framework-for-just-transition-france,zaf-register-fr009,html,1,true,Adjudicated against the official register
zaf-project-lessons-best-practices-uk,ZAF,jetp_secretariat,JET Project Management Unit,project_page,Distilling the Just Energy Transition in South Africa - Lessons Learned and Best Practices (UK),2024-10-24,https://justenergytransition.co.za/project/distilling-the-just-energy-transition-in-south-africa-lessons-learned-and-best-practices-uk,zaf-register-uk011,html,1,true,Adjudicated against the official register
zaf-project-mpumalanga-pathways-uk,ZAF,jetp_secretariat,JET Project Management Unit,project_page,Mapping Mitigation and Adaptation Pathways for Mpumalanga (UK),2024-10-24,https://justenergytransition.co.za/project/mapping-mitigation-and-adaptation-pathways-for-mpumalanga-uk,zaf-register-uk006,html,1,true,Adjudicated against the official register
zaf-project-cape-town-grid-uk-pact,ZAF,jetp_secretariat,JET Project Management Unit,project_page,City of Cape Town Grid Regulation - UK PACT Skill-Share,2024-10-24,https://justenergytransition.co.za/project/city-of-cape-town-grid-regulation-uk-pact-skill-share,zaf-register-uk003,html,1,true,Adjudicated against the official register
zaf-project-energy-one-stop-shop-uk-pact,ZAF,jetp_secretariat,JET Project Management Unit,project_page,Energy One Stop Shop - UK PACT Skill-Share,2024-10-14,https://justenergytransition.co.za/project/energy-one-stop-shop-uk-pact-skill-share-supporting-south-africas-just-energy-transition,zaf-register-uk005,html,1,true,Adjudicated as the completed municipal skill-share rather than the later DTIC EOSS phase
zaf-project-just-sa-germany,ZAF,jetp_secretariat,JET Project Management Unit,project_page,Just Transition to a Decarbonised Economy for South Africa (JUST SA) (Germany),2024-10-13,https://justenergytransition.co.za/project/just-transition-to-a-decarbonised-economy-for-south-africa-just-sa,zaf-register-gr007,html,1,true,Adjudicated against the official register
zaf-project-sagen-germany,ZAF,jetp_secretariat,JET Project Management Unit,project_page,South African-German Energy Programme (SAGEN) (Germany),2024-10-13,https://justenergytransition.co.za/project/south-african-german-energy-programme-sagen-2,,html,1,true,Umbrella page for three SAGEN register components; see project-source-links.csv
zaf-project-h2sa-ptx-hub-germany,ZAF,jetp_secretariat,JET Project Management Unit,project_page,Promoting the development of a green hydrogen sector in South Africa (H2.SA) and International PtX Hub South Africa (Germany),2024-10-13,https://justenergytransition.co.za/project/promoting-the-development-of-a-green-hydrogen-sector-in-south-africa-h2-sa-and-international-ptx-hub-south-africa,,html,1,true,Umbrella page for H2.SA and PtX Hub register components; see project-source-links.csv
zaf-project-cpd4e-germany,ZAF,jetp_secretariat,JET Project Management Unit,project_page,Career Path Development for Employment (CPD4E) (Germany),2024-10-13,https://justenergytransition.co.za/project/south-african-german-energy-programme-sagen,zaf-register-gr015,html,1,true,Primary German programme link; Swiss and provisional EU co-funding are in project-source-links.csv
zaf-eu-jetp-country-page,ZAF,ipg,European Commission,data_portal,Just Energy Transition Partnership in South Africa,,https://international-partnerships.ec.europa.eu/policies/global-gateway/just-energy-transition-partnership-south-africa-0_en,,html,1,true,Official IPG overview naming Team Europe participants and the current initial commitment
zaf-afd-jet-policy-loan-2024,ZAF,bilateral_funder,Agence Francaise de Developpement,project_page,Supporting the just dimensions of South Africa's Just Energy Transition,2024-11-07,https://www.afd.fr/en/projects/supporting-just-dimensions-south-africas-just-energy-transition,,html,1,true,Direct AFD project record for the EUR 400 million public policy loan
zaf-kfw-jetp-project-profile,ZAF,bilateral_funder,KfW Development Bank,project_page,Support for a just energy transition,,https://www.kfw-entwicklungsbank.de/Global/Subsahara-Africa/PI-Just-energy-transition-South-Africa/,,html,1,true,Direct German cooperation profile; page states as of July 2025 and records Netherlands and Denmark joining plus US withdrawal
zaf-fcdo-jetp-programme-301523,ZAF,bilateral_funder,Foreign Commonwealth and Development Office,data_portal,"Just Energy Transition Partnership Support, South Africa",,https://devtracker.fcdo.gov.uk/programme/GB-GOV-1-301523/summary,,html,1,true,Direct UK programme record with IATI identifier GB-GOV-1-301523 and linked projects transactions partners and documents
zaf-jet-us-withdrawal-2025,ZAF,jetp_secretariat,JET Project Management Unit,official_news,South Africa JET PMU acknowledges United States withdrawal from the JETP,2025-03-06,https://justenergytransition.co.za/wp-content/uploads/2025/03/20250306_SouthAfricasJustEnergyTransitionProjectManagementUnitAcknowledgestheUnitesStatesWithdrawalfromtheJustEnergyTransitionPartnership.pdf,,pdf,1,true,Official national notice; keeps the withdrawal distinct from earlier US commitments in versioned registers
zaf-eib-dbsa-renewables-2024,ZAF,multilateral_funder,European Investment Bank,official_news,EIB and DBSA increase support for private sector renewable energy to EUR 600 million,2024-09-11,https://www.eib.org/en/press/all/2024-329-eib-and-development-bank-of-southern-africa-increase-support-for-private-sector-renewable-energy-to-eur-600-million-zar-11-9-billion,,html,1,true,Direct EIB financing update explicitly aligned with South Africa's JETP
zaf-world-bank-eskom-jet-p177398,ZAF,multilateral_funder,World Bank,project_page,Eskom Just Energy Transition Project,,https://projects.worldbank.org/en/projects-operations/project-detail/P177398,,html,1,true,Direct World Bank project record P177398; project documents and financing events require separate extraction
zaf-afdb-jet-funding-platform,ZAF,multilateral_funder,African Development Bank,project_page,Support to the creation of a JET funding platform to promote inclusion transparency and enterprise development,,https://www.afdb.org/en/projects-and-operations/p-za-i00-013,,html,1,true,Direct AfDB project record P-ZA-I00-013
zaf-dbsa-ntcsa-transmission,ZAF,national_government,Development Bank of Southern Africa,official_news,DBSA and NTCSA accelerate South Africa's transmission network expansion,,https://www.dbsa.org/press-releases/dbsa-and-ntcsa-accelerate-sas-transmission-network-expansion,,html,1,true,Direct DBSA implementation-partner page; harvest response determines availability
zaf-ntcsa-transmission-plans,ZAF,operator,National Transmission Company South Africa,data_portal,Transmission Development Plans,,https://www.ntcsa.co.za/transmission-development-plans-tdp/,,html,1,true,Direct operator portal linking annual transmission development plan reports
zaf-jetp-political-declaration-2021,ZAF,ipg,Federal Government of Germany,political_declaration,Political Declaration on the Just Energy Transition in South Africa,2021-11-02,https://www.bundesregierung.de/resource/blob/974430/1974538/b2264555c87d8cbdd97bd1eb8b16387a/political-declaration-on-the-just-energy-transition-in-south-africa-data.pdf?download=1,,pdf,1,true,Official-government preservation copy of the founding declaration
zaf-jetp-leaders-midyear-2022,ZAF,ipg,UK COP26 Presidency,progress_update,Six-month update on progress in advancing the Just Energy Transition Partnership,,https://webarchive.nationalarchives.gov.uk/ukgwa/20230311221000/https:/ukcop26.org/six-month-update-on-progress-in-advancing-the-just-energy-transition-partnership-jetp/,,html,1,true,UK National Archives capture of the retired COP26 site; retain an explicit blocked observation if robot verification prevents harvest
zaf-jetp-leaders-2022,ZAF,ipg,Foreign Commonwealth and Development Office,annual_report,Twelve-month update on progress in advancing the South Africa Just Energy Transition Partnership,2022-11-10,https://www.gov.uk/government/publications/advancing-the-south-africa-just-energy-transition-partnership-12-month-progress-update/twelve-month-update-on-progress-in-advancing-the-south-africa-just-energy-transition-partnership,,html,1,true,First annual leaders update with the original USD 8.5 billion instrument table
zaf-jetp-leaders-2023,ZAF,ipg,Foreign Commonwealth and Development Office,annual_report,COP28 update on progress in advancing the South Africa Just Energy Transition Partnership,2023-12-12,https://www.gov.uk/government/news/advancing-the-south-africa-just-energy-transition-partnership,,html,1,true,Second annual leaders update
zaf-jetp-leaders-2024,ZAF,ipg,Foreign Commonwealth and Development Office,annual_report,Twelve month Just Energy Transition Partnership leaders update for 2024,2024-11-27,https://www.gov.uk/government/news/twelve-month-just-energy-transition-partnership-leaders-update-for-2024,,html,1,true,Third annual leaders update
zaf-jetp-leaders-2025,ZAF,ipg,Foreign Commonwealth and Development Office,annual_report,12-month Just Energy Transition Partnership leaders update 2025,2025-12-09,https://www.gov.uk/government/news/12-month-just-energy-transition-partnership-leaders-update-2025,,html,1,true,Fourth annual leaders update; links the full 2022-2025 series
zaf-jetp-leaders-2025-annex,ZAF,ipg,Foreign Commonwealth and Development Office,project_list,IPG Project Updates 2025,2025-12-09,https://assets.publishing.service.gov.uk/media/6932910acdec734f4dff42af/Annex_-_IPG_Project_Updates_2025.pdf,,pdf,1,true,Project-level annex to the 2025 leaders update
zaf-jet-grants-register-2023-q3,ZAF,jetp_secretariat,JET Project Management Unit,project_list,JET-IP Grant Mapping Register 2023 Q3,2023-09-30,https://justenergytransition.co.za/wp-content/uploads/2024/11/JET-2023Q3Register.pdf,,pdf,1,true,Earliest versioned grant register exposed by the current investment-register portal
zaf-jet-grants-storyline-2024,ZAF,jetp_secretariat,JET Project Management Unit,progress_update,JET Grants Register overview 2024,2024-10-23,https://www.stateofthenation.gov.za/assets/downloads/climate/Grants%20register%20overview.pdf,,pdf,2,true,Official storyline published alongside the 2024 Q1-Q2 register
zaf-jet-grants-faq-2024,ZAF,jetp_secretariat,JET Project Management Unit,progress_update,JET Grants Register Frequently Asked Questions 2024,2024-10-23,https://justenergytransition.co.za/wp-content/uploads/2024/10/Grants-register-FAQs.pdf,,pdf,2,true,Method note published alongside the 2024 Q1-Q2 register
zaf-jet-grants-storyline-2025-q1,ZAF,jetp_secretariat,JET Project Management Unit,progress_update,JET Grants Register Storyline 2025 Q1,2025-03-06,https://justenergytransition.co.za/wp-content/uploads/2025/03/JETGrantsRegisterStoryline-Published.pdf,,pdf,2,true,Updated storyline published with the 2025 Q1 workbook
zaf-jet-grants-faq-2025-q1,ZAF,jetp_secretariat,JET Project Management Unit,progress_update,JET Grants Register Frequently Asked Questions 2025 Q1,2025-03-06,https://justenergytransition.co.za/wp-content/uploads/2025/03/GrantsRegisterFrequentlyAskedQuestions-Published2025Q1.pdf,,pdf,2,true,Updated method note published with the 2025 Q1 workbook
zaf-project-report-nomzamo-2025,ZAF,operator,GreenCape,operator_report,Impact case study Sustainable local development in Nomzamo Agri Village,2025-05-12,https://justenergytransition.co.za/wp-content/uploads/2025/07/ASDU_Impact-Case-Study_Nomzamo-Agricultural-Village.pdf,,pdf,1,true,Report describes French and Danish register components; see project-source-links.csv
zaf-zandkopsdrift-eu-2025,ZAF,ipg,European Union,approval_document,Zandkopsdrift rare earths and battery grade manganese strategic project,2025-07-17,https://op.europa.eu/en/publication-detail/-/publication/94a61889-65e3-11f0-bf4e-01aa75ed71a1/language-en,zaf-annex-zandkopsdrift,html,1,true,Official EU Publications Office record
zaf-zandkopsdrift-operator,ZAF,operator,Frontier Rare Earths,project_page,The Zandkopsdrift Project,,https://frontierrareearths.com/project,zaf-annex-zandkopsdrift,html,1,true,Direct operator project page; financing claims require separate official evidence
zaf-growth-gateway-report-2026,ZAF,bilateral_funder,Foreign Commonwealth and Development Office,operator_report,Growth Gateway South Africa SMME JET Deal Accelerator blueprint,2026-08-19,https://assets.publishing.service.gov.uk/media/6a8409833be22055c1aaa3fd/South_Africa_SMME_JET_Deal_Accelerator_-_Blueprint_for_scaling_SMMEs_in_Mpumalanga.pdf,zaf-growth-gateway-smme-accelerator,pdf,1,true,Official 15-page FCDO report
zaf-growth-gateway-devtracker-300812,ZAF,bilateral_funder,Foreign Commonwealth and Development Office,data_portal,The Growth Gateway programme,,https://devtracker.fcdo.gov.uk/programme/GB-GOV-1-300812/summary,zaf-growth-gateway-smme-accelerator,html,1,true,Direct programme record with IATI identifier GB-GOV-1-300812
zaf-murp-afdb-2026,ZAF,multilateral_funder,African Development Bank,official_news,African Development Bank approves USD 400 million loan for Mpumalanga municipal utility reform,2026-07-16,https://www.afdb.org/en/news-and-events/african-development-bank-approves-400-million-loan-support-municipal-utility-reform-south-africas-mpumalanga-province-95536,zaf-murp,html,1,true,Direct funder announcement; retain blocked verdict if AfDB anti-bot prevents harvest
zaf-eepbip-maf,ZAF,bilateral_funder,Mitigation Action Facility,project_page,South Africa Public Buildings and Infrastructure,,https://mitigation-action.org/projects/south-africa-public-buildings-and-infrastructure/,zaf-eepbip,html,1,true,Direct funder project profile reporting EUR 20.1 million and active implementation
zaf-eepbip-giz-profile-2023,ZAF,operator,GIZ,operator_report,South Africa Energy Efficiency in Public Buildings and Infrastructure Programme,2023-01-01,https://www.giz.de/en/downloads/giz2023-en-EEPBIP.pdf,zaf-eepbip,pdf,1,true,Direct two-page implementer profile
zaf-eepbip-portal,ZAF,national_government,Energy Efficiency in Public Buildings and Infrastructure Programme,data_portal,Energy Efficiency in Public Buildings and Infrastructure Programme,,https://www.eepbip.org.za/,zaf-eepbip,html,1,true,Programme portal states DEE ownership and implementation model
zaf-dtic-parliament-nev-2025,ZAF,national_government,Department of Trade Industry and Competition,official_news,Ministerial reply NW5618 on implementation of the 2023 EV White Paper,2025-11-07,https://pmg.org.za/committee-question/33886/,zaf-uk-nev-support,html,1,true,Parliamentary record reproducing the ministerial reply and linking its source document
idn-jetp-joint-statement-2022,IDN,ipg,Government of Indonesia and International Partners Group,political_declaration,Launch of the Just Energy Transition Partnership in Indonesia,2022-11-15,https://id.usembassy.gov/united-states-supports-the-launch-of-the-just-energy-transition-partnership-jetp-in-indonesia/,,html,1,true,Official IPG-member announcement preserving the launch date package and targets; the linked White House PDF is no longer the stable access route
idn-jetp-reports-2025-landing,IDN,jetp_secretariat,JETP Indonesia Secretariat,data_portal,JETP Progress Report 2025 and Thematic Reports,2025-12-01,https://jetp.id/news/jetp-reports-2025,,html,1,true,Official index for the final progress report and six thematic studies
idn-jetp-progress-report-2025,IDN,jetp_secretariat,JETP Indonesia Secretariat,annual_report,JETP Progress Report 2025,2025-12-02,https://drive.usercontent.google.com/download?id=1RhW5MLzbza69uaZHfho4bnQLSmjnAjWO&export=download&confirm=t,,pdf,1,true,English final report; direct file identifier resolved from the official JETP report index
idn-jetp-energy-efficiency-electrification-2025,IDN,jetp_secretariat,JETP Indonesia Secretariat,operator_report,Energy Efficiency and Electrification Study,2025-12-01,https://drive.usercontent.google.com/download?id=1JDhuF_HptvuRu8jBTWIEH33RybFNE_to&export=download&confirm=t,,pdf,1,true,English thematic report 1 linked from the official JETP report index
idn-jetp-captive-power-study-2025,IDN,jetp_secretariat,JETP Indonesia Secretariat,operator_report,Captive Power Study Report,2025-12-01,https://drive.usercontent.google.com/download?id=1GjtDiDblQyHfYIPzUWZFOu9QO8_gQkk_&export=download&confirm=t,,pdf,1,true,English thematic report 2 linked from the official JETP report index
idn-jetp-just-transition-study-2025,IDN,jetp_secretariat,JETP Indonesia Secretariat,operator_report,Just Transition Study,2025-12-01,https://drive.usercontent.google.com/download?id=1i1XgotGsbydM4FQ5dBxQPgncs2Lkpkov&export=download&confirm=t,,pdf,1,true,English thematic report 3 linked from the official JETP report index
idn-jetp-guarantees-insurance-2025,IDN,jetp_secretariat,OECD CEFIM Programme,operator_report,Unlocking clean energy finance and investment in Indonesia: The role of guarantees and insurance,2025-12-01,https://drive.usercontent.google.com/download?id=1ka0vPuF8ydvDAjDCrCo_FIQmIThKL2gk&export=download&confirm=t,,pdf,1,true,Thematic report 4 linked from the official JETP report index
idn-jetp-small-scale-renewables-finance-2025,IDN,jetp_secretariat,OECD CEFIM Programme,operator_report,Financing small-scale renewable energy projects in Indonesia: A focus on decentralised and remote solutions,2025-12-01,https://drive.usercontent.google.com/download?id=10P6BuNhTtDmxF9VFNMsa6d1Nd5zjYn3i&export=download&confirm=t,,pdf,1,true,Thematic report 5 linked from the official JETP report index
idn-jetp-carbon-pricing-2025,IDN,jetp_secretariat,JETP Indonesia Secretariat and International Energy Agency,operator_report,Advancing Power Sector Decarbonization Through Carbon Pricing,2025-12-01,https://drive.usercontent.google.com/download?id=1mhH15V_gw9nR5cOB6mRCvcJg2cGw0-_U&export=download&confirm=t,,pdf,1,true,English thematic report 6 linked from the official JETP report index
idn-cmea-progress-march-2025,IDN,national_government,Coordinating Ministry for Economic Affairs,official_news,Government forms Energy Transition and Green Economy Task Force and reports 54 funded projects,2025-03-24,https://www.ekon.go.id/publikasi/detail/6275/perkuat-komitmen-percepatan-implementasi-just-energy-transition-partnership-jetp-pemerintah-bentuk-satgas-transisi-energi-dan-ekonomi-hijau,,html,1,true,Official source for USD 1.1 billion commitments across 54 projects including 9 loan or equity projects and 45 grants
idn-cmea-progress-december-2025,IDN,national_government,Coordinating Ministry for Economic Affairs,official_news,JETP prepares IDR 350 trillion for renewable energy financing in Indonesia,2025-12-05,https://www.ekon.go.id/publikasi/detail/6718/just-energy-transition-partnership-jetp-siapkan-rp350-triliun-untuk-pembiayaan-renewable-energy-di-indonesia,,html,1,true,Official update reports USD 3.1 billion mobilised by November 2025 and USD 5.5 billion in negotiation; do not conflate the figures
idn-world-bank-isle1-2023,IDN,multilateral_funder,World Bank,official_news,World Bank Supports Increased Access to Sustainable and Lower-Cost Electricity in Eastern Indonesia,2023-06-26,https://www.worldbank.org/en/news/press-release/2023/06/26/world-bank-supports-increased-access-to-sustainable-and-lower-cost-electricity-in-eastern-indonesia,idn-fin-isle-1,html,1,true,Direct funder announcement for project P174350; reports World Bank and climate-fund financing without implying disbursement
idn-world-bank-isle1-technical-assessment-2022,IDN,multilateral_funder,World Bank,approval_document,Sustainable Least-Cost Electrification-1 Technical Assessment,,https://documents1.worldbank.org/curated/en/099060223111034380/pdf/P1743500d92d28050b90b0e4ff4b6ea41d.pdf,idn-fin-isle-1,pdf,1,true,Direct technical assessment for World Bank project P174350; document is dated September 2022
idn-jica-mrt-east-west-2024,IDN,bilateral_funder,Japan International Cooperation Agency,official_news,Signing of Japanese ODA Loan Agreement with Indonesia: Contributing to an alleviation in traffic congestion through construction of MRT,2024-05-14,https://www.jica.go.jp/english/information/press/2024/20240514_10.html,idn-fin-mrt-east-west,html,1,true,Direct lender announcement for the Jakarta Metropolitan MRT East-West Line Project Phase 1 I; agreement signed 13 May 2024
idn-jica-mrt-north-south-2023,IDN,bilateral_funder,Japan International Cooperation Agency,official_news,Signing of Japanese ODA loan agreements with Indonesia: Supporting economic growth and climate action and deepening bilateral relations,2023-04-03,https://www.jica.go.jp/information/press/2023/20230403_10.html,idn-fin-mrt-north-south,html,1,true,Japanese-language direct lender announcement includes Construction of Jakarta MRT Project Phase 2 II and JPY 87.918 billion
idn-adb-aset-56368-001,IDN,multilateral_funder,Asian Development Bank,project_page,"Affordable and Sustainable Energy Transition Program, Subprogram 1",,https://www.adb.org/projects/56368-001/main,idn-fin-pbl-aset,html,1,true,Direct ADB project record 56368-001
idn-adb-aset-news-2024,IDN,multilateral_funder,Asian Development Bank,official_news,ADB Approves Policy Loan to Support Indonesia's Energy Transition,2024-09-20,https://www.adb.org/news/adb-approves-policy-loan-support-indonesia-energy-transition,idn-fin-pbl-aset,html,1,true,Direct ADB approval announcement for the USD 500 million policy-based loan cofinanced with AFD and KfW
idn-adb-aicet-56140-001,IDN,multilateral_funder,Asian Development Bank,project_page,Accelerating Indonesia's Clean Energy Transition Program Phase 1,,https://www.adb.org/projects/56140-001/main,idn-fin-rbl-aicet,html,1,true,Direct ADB project record 56140-001 with approval signing effectivity and disbursement fields
idn-adb-aicet-news-2025,IDN,multilateral_funder,Asian Development Bank,official_news,ADB Boosts Indonesia's Clean Energy Transition,2025-11-19,https://www.adb.org/news/adb-boosts-indonesias-clean-energy-transition,idn-fin-rbl-aicet,html,1,true,Direct ADB approval announcement for the results-based programme and administered cofinancing
idn-adb-muara-laboh-2-2025,IDN,multilateral_funder,Asian Development Bank,official_news,ADB Supports Indonesia's Green Energy Transition with Geothermal Expansion Project,2025-01-14,https://www.adb.org/news/adb-supports-indonesia-green-energy-transition-geothermal-expansion-project,idn-fin-muara-laboh-2,html,1,true,Direct co-lender announcement for the 83 MW Muara Laboh Stage 2 expansion; separate from the JBIC amount in the JETP report
