project_id,country,canonical_name,aliases,classification,classified_at,sector,notes
project-sen-project-annex-03,SEN,"Installation d’unités pilote de briquetage, pour la production de briquettes de charbon alternatives au charbon de bois comme solution de lutte contre la déforestation, à proximité des forêts classées de la Casamance",,project,,,"Legacy sen-project-annex-03; Identity from Annex 2, p. 13, row 3; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-04,SEN,Airport Express: Service de taxi électriques entre AIBD et les ville sur un rayon de 70 km,,project,,,"Legacy sen-project-annex-04; Identity from Annex 2, p. 13, row 4; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-05,SEN,Electrification de 350 Villages Par Mini-Centrales Solaires,,project,,,"Legacy sen-project-annex-05; Identity from Annex 2, p. 13, row 5; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation. Annex 8 pp.26-29: proposed 350 villages; 48 months. No match to the unrelated MCC count."
project-sen-project-annex-06,SEN,Electrification de Villages Par Mini-Centrales Solaires,,project,,,"Legacy sen-project-annex-06; Identity from Annex 2, p. 13, row 6; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation. Annex 8 pp.30-31: proposed 330 localities, at least 15 MWc, 150 repowered localities, 15000 connections; all targets."
project-sen-project-annex-07,SEN,Projet d’intégration de centrales solaires au réseau dans 600 villages par injection,,project,,,"Legacy sen-project-annex-07; Identity from Annex 2, p. 13, row 7; listed proposal is not approved finance or proof of construction. Component of sen-project-qw-04; programme and component are not additive. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation. Annex 8 pp.32-33: target at least 24 MWc; grid coupling retains dependence on the Senelec supply mix."
project-sen-project-annex-08,SEN,Eclairage général efficace,,project,,,"Legacy sen-project-annex-08; Identity from Annex 2, p. 13, row 8; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-09,SEN,Eclairage public efficace,,project,,,"Legacy sen-project-annex-09; Identity from Annex 2, p. 13, row 9; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-10,SEN,Ecofridges,,project,,,"Legacy sen-project-annex-10; Identity from Annex 2, p. 13, row 10; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-11,SEN,Programme de réduction de la facture d’électricité de l’Etat par l’utilisation de sources d’énergies renouvelables et l’efficacité énergétique,,project,,,"Legacy sen-project-annex-11; Identity from Annex 2, p. 13, row 11; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-12,SEN,Projet d'amélioration des Performances énergétiques des Stades du Sénégal (PAPES),,project,,,"Legacy sen-project-annex-12; Identity from Annex 2, p. 13, row 12; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-13,SEN,Extension des points d'information territorialisés (PIT) sur la maîtrise de l'énergie,,project,,,"Legacy sen-project-annex-13; Identity from Annex 2, p. 13, row 13; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-14,SEN,Programme SARDEL de réduction de la facture publique d'électricité par l'optimisation de la facturation et des installations électriques sur 9 000 polices d'abonnement,,project,,,"Legacy sen-project-annex-14; Identity from Annex 2, p. 14, row 14; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-15,SEN,Construction de 2 centrales solaires de 50MWc avec du stockage de 2x30MW/90MWh,,project,,,"Legacy sen-project-annex-15; Identity from Annex 2, p. 14, row 15; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation. ARTELIA GBIF metadata identifies these two sites; plan shorthand Thies/Touba retained as documentary alias, not Touba city. No capital-finance terms established."
project-sen-project-annex-16,SEN,Construction de centrales Hybrides PV + BESS dans 18 îles du Saloum,,project,,,"Legacy sen-project-annex-16; Identity from Annex 2, p. 14, row 16; listed proposal is not approved finance or proof of construction. Tender targets islanded PV+BESS and 100% renewable supply; target is not an observed fuel-use outcome."
project-sen-project-annex-17,SEN,Projet d'installation de biodigesteurs pour une transition énergétique et une résilience des populations rurales et péri-urbaines face aux effets du changement climatique,,project,,,"Legacy sen-project-annex-17; Identity from Annex 2, p. 14, row 17; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-18,SEN,Installation d’ entrepôts frigorifiques alimentés au solaire et à usage de conservation de produits horticoles et laitiers,,project,,,"Legacy sen-project-annex-18; Identity from Annex 2, p. 14, row 18; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation. Much Cooler product offers grid/genset backup connections despite solar-only marketing; actual configuration of this proposal is unknown."
project-sen-project-annex-19,SEN,Mise en place d'une unité de production de BioGNV pour les autobus urbains à Dakar,,project,,,"Legacy sen-project-annex-19; Identity from Annex 2, p. 14, row 19; listed proposal is not approved finance or proof of construction. BioGNV is the proposed fuel; do not equate it to fossil natural-gas supply or infer bus commissioning."
project-sen-project-annex-20,SEN,Hybridation de 2000 forages en milieu rural,,project,,,"Legacy sen-project-annex-20; Identity from Annex 2, p. 14, row 20; listed proposal is not approved finance or proof of construction. Plan QW11 retains conflicting 1000 solarised / 2000 hybridised boreholes. Operator describes solar hybridisation retaining the grid/generators; no fossil-fuel elimination inferred."
project-sen-project-annex-21,SEN,Promotion des énergies renouvelables dans les pôles de développement économique du Sénégal,,project,,,"Legacy sen-project-annex-21; Identity from Annex 2, p. 14, row 21; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-22,SEN,"Utilisation du stockage froid solaire pour la conservation des produits agricoles, halieutiques et laitiers",,project,,,"Legacy sen-project-annex-22; Identity from Annex 2, p. 14, row 22; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-23,SEN,"Autonomisation en énergie électrique des universités, hôpitaux et bâtiments abritant des institutions, ministères et autres services de l’administration",,project,,,"Legacy sen-project-annex-23; Identity from Annex 2, p. 14, row 23; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-24,SEN,Renforcement de l'Infrastructure Qualité pour des services énergétiques innovateurs,,project,,,"Legacy sen-project-annex-24; Identity from Annex 2, p. 14, row 24; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-25,SEN,Renforcement de capacités des agents de l’ANER et de ses partenaires,,project,,,"Legacy sen-project-annex-25; Identity from Annex 2, p. 14, row 25; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-26,SEN,Autoconsommation solaire dans 300.000 ménages urbains et périurbains,,project,,,"Legacy sen-project-annex-26; Identity from Annex 2, p. 14, row 26; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-27,SEN,Energie solaire pour l’autonomisation et le renforcement économique des femmes en milieu rural au Sénégal (ESAREF),,project,,,"Legacy sen-project-annex-27; Identity from Annex 2, p. 15, row 27; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-28,SEN,Projet d’installation d’unités de dessalement de l’eau saumâtre fonctionnant à l’énergie solaire photovoltaïque,,project,,,"Legacy sen-project-annex-28; Identity from Annex 2, p. 15, row 28; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-29,SEN,Diffusion à grande échelle de pompes solaires pour des usages productifs au Sénégal,,project,,,"Legacy sen-project-annex-29; Identity from Annex 2, p. 15, row 29; listed proposal is not approved finance or proof of construction. Operator describes replacement of gasoil pumping; avoided fuel and delivered pumps remain unmeasured here."
project-sen-project-annex-30,SEN,Projet d’installation de mini-réseaux en milieu rural à l’aide de la technologie « TURBULENT »,,project,,,"Legacy sen-project-annex-30; Identity from Annex 2, p. 15, row 30; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-31,SEN,Projet d’installation de 100 000 lampadaires solaires autonomes,,project,,,"Legacy sen-project-annex-31; Identity from Annex 2, p. 15, row 31; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-32,SEN,Projet Hybride Éolien et Solaire de Fass Ngom,,project,,,"Legacy sen-project-annex-32; Identity from Annex 2, p. 15, row 32; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-33,SEN,Infrastructures de réseaux modernes,,project,,,"Legacy sen-project-annex-33; Identity from Annex 2, p. 15, row 33; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-34,SEN,Village Ecole Vert (VEV),,project,,,"Legacy sen-project-annex-34; Identity from Annex 2, p. 15, row 34; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-35,SEN,Déploiement de bornes publiques de recharge de Véhicules électriques,,project,,,"Legacy sen-project-annex-35; Identity from Annex 2, p. 15, row 35; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-36,SEN,SUNU Agri-Solaire 2025 - 2027,,project,,,"Legacy sen-project-annex-36; Identity from Annex 2, p. 15, row 36; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-37,SEN,Forages solarisés,,project,,,"Legacy sen-project-annex-37; Identity from Annex 2, p. 15, row 37; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-38,SEN,Projet de Station de Transfert d’Énergie (STEP) de Sambangalou,,project,,,"Legacy sen-project-annex-38; Identity from Annex 2, p. 15, row 38; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-qw-02,SEN,"Projet Quick Win 2: 100 MWc + BESS 60 MW x 3h IPP ""Champions nationaux""",,project,,,"Legacy sen-project-qw-02; Plan programme/proposal identity. Its rank, planned finance and physical delivery are separate observations; project-specific hydrocarbon dependence is not established. BOAD Ouarkhokh ESIA and Senelec/Huawei MoU share geography and scale; exact Champions Nationaux ownership/vehicle continuity remains unconfirmed."
project-sen-project-qw-03,SEN,"Projet Quick Win 3: 100 MWc + BESS 60 MW x 3h IPP IPP ""Leral""",,project,,,"Legacy sen-project-qw-03; Plan programme/proposal identity. Its rank, planned finance and physical delivery are separate observations; project-specific hydrocarbon dependence is not established."
project-sen-project-qw-04,SEN,PUELEC,,project,,,"Legacy sen-project-qw-04; Plan programme/proposal identity. Its rank, planned finance and physical delivery are separate observations; project-specific hydrocarbon dependence is not established. Includes Annex 2 submission 7 and other access measures; do not sum parent and component budgets."
project-sen-project-qw-08,SEN,Etude de stabilité du réseau et des besoins en stockage,,project,,,"Legacy sen-project-qw-08; Plan programme/proposal identity. Its rank, planned finance and physical delivery are separate observations; project-specific hydrocarbon dependence is not established."
project-sen-project-qw-10,SEN,Intégration des énergies renouvelables (BESS de Diass),,project,,,"Legacy sen-project-qw-10; Plan programme/proposal identity. Its rank, planned finance and physical delivery are separate observations; project-specific hydrocarbon dependence is not established. Battery stores electricity; operational emissions depend on charging sources and dispatch, which remain unmeasured."
project-page-zaf-project-nomzamo-agri-village,ZAF,"Sustainable local development in Nomzamo Agri Village, Ermelo, Mpumalanga",,project,,,Project page zaf-project-nomzamo-agri-village; register component
project-page-zaf-project-sagen-germany,ZAF,South African-German Energy Programme (SAGEN) (Germany),,project,,,Project page zaf-project-sagen-germany; register component
project-page-zaf-project-h2sa-ptx-hub-germany,ZAF,Promoting the development of a green hydrogen sector in South Africa (H2.SA) and International PtX Hub South Africa (Germany),,project,,,Project page zaf-project-h2sa-ptx-hub-germany; register component
project-page-zaf-project-cpd4e-germany,ZAF,Career Path Development for Employment (CPD4E) (Germany),,project,,,Project page zaf-project-cpd4e-germany; register component
project-page-sen-uasz-vev-thesis-2024,SEN,Chambre froide solaire pour le Village Ecole Vert du CFPP,,project,,,Project page sen-uasz-vev-thesis-2024; register component
project-page-sen-scout-puelec-commissioning-2025,SEN,PUELEC - Medina Kenioto Magnankanti Matakoussi,,project,,,Project page sen-scout-puelec-commissioning-2025; register component
project-idn-pipe-green-corridors-sulawesi,IDN,Green Energy Corridors Sulawesi,,project,,Transmission,"0970; PLN 275 kV South Sulawesi grid programme; report and current portal refer to the same named corridor, but 2025 and portal finance states remain separate."
project-idn-pipe-nagajaya-micro-hydro,IDN,Nagajaya micro-hydro plant,,project,,Hydropower,"0970; Banten run-of-river plant; report gives 6 MW and later official portal 6.5 MW with Norfund, so values remain source-specific."
project-idn-pipe-dieng-3-4,IDN,Dieng geothermal Units 3 and 4,,project,,Geothermal,"0970; Geo Dipa Energi Central Java project, two 55 MW units; financing phase for field development only."
project-idn-pipe-rscm-energy-efficiency,IDN,RSCM Kencana and Kiara energy-efficiency retrofit,,project,,Energy efficiency,0970; RSCM HVAC and boiler intervention; completed investment-grade audit does not establish completed retrofit.
