document_id,country,document_type,language,title,url,published_date,edition_of,active,notes
zaf-jet-quarterly-2025-q3,ZAF,progress_update,en,JET IP Quarterly Progress Report 30 September 2025 revised,https://justenergytransition.co.za/wp-content/uploads/2025/11/Jet-Quarterly-30-Sep-2025-Revised.pdf,2025-09-30,,true,Revised official media object preferred over the earlier upload
zaf-jet-quarterly-2025-q4,ZAF,progress_update,en,JET IP Quarterly Progress Report 31 December 2025,https://justenergytransition.co.za/wp-content/uploads/2026/03/JET-IP-Quarterly-Report-31-December-2025.pdf,2025-12-31,,true,Official resource-hub report
zaf-jet-quarterly-2026-q1,ZAF,progress_update,en,JET IP Quarterly Progress Report 31 March 2026,https://justenergytransition.co.za/wp-content/uploads/2026/06/JET-IP-2026-Q1-Progress-Report-final.pdf,2026-06-26,,true,Reporting period ends 2026-03-31; published 2026-06-26. Latest edition found on official report index and resource hub checked 2026-09-14; Q2 not found on those routes.
zaf-jet-grants-register-2024-q2,ZAF,project_list,en,JET Grants Register 2024 Q1-Q2,https://justenergytransition.co.za/wp-content/uploads/2024/10/JET-Grants-Register-2024Q1-2024Q2.pdf,2024-06-30,,true,First register installment published as PDF
zaf-jet-grants-register-2024-q3,ZAF,project_list,,JET Grants Register 2024 Q3,https://justenergytransition.co.za/wp-content/uploads/2024/11/JET-Grants-Register-2024Q1-2024Q3-Published-Final.-xlsx.xlsx,2024-09-30,,true,Official machine-readable cumulative register
zaf-jet-grants-register-2025-q1,ZAF,project_list,,JET Grants Register 2025 Q1,https://justenergytransition.co.za/wp-content/uploads/2025/03/JETGrantsRegister2025Q1-Published.xlsx,2025-03-31,,true,Latest standalone grants workbook found before the Investment Register dashboard
zaf-jet-investment-register-q1-2026,ZAF,data_portal,en,JET IP Investment Register Q1 2026,https://justenergytransition.co.za/jet-investment-register-dashboard,2026-03-30,,true,Official embedded Overall Data table; 257 material rows after excluding summary rows
zaf-project-nomzamo-agri-village,ZAF,project_page,en,"Sustainable local development in Nomzamo Agri Village, Ermelo, Mpumalanga",https://justenergytransition.co.za/project/sustainable-local-development-in-nomzamo-agri-village-ermelo-mpumalanga,2025-07-29,,true,Official page describing the French and Danish register components; see project-source-links.csv
zaf-project-just-transition-framework-france,ZAF,project_page,en,Implementation of the Just Transitions Framework (France),https://justenergytransition.co.za/project/implementation-of-the-just-transitions-framework-france,2024-11-13,,true,Adjudicated against the official register
zaf-project-mining-ghost-towns-france,ZAF,project_page,en,Revitalization of Mining Ghost Towns (France),https://justenergytransition.co.za/project/revitalisation-of-mining-ghost-towns-france,2024-10-24,,true,Adjudicated against the official register
zaf-project-social-policies-france,ZAF,project_page,en,The Role of Social Policies in the Framework for Just Transition (France),https://justenergytransition.co.za/project/the-role-of-social-policies-in-the-framework-for-just-transition-france,2024-10-24,,true,Adjudicated against the official register
zaf-project-lessons-best-practices-uk,ZAF,project_page,en,Distilling the Just Energy Transition in South Africa - Lessons Learned and Best Practices (UK),https://justenergytransition.co.za/project/distilling-the-just-energy-transition-in-south-africa-lessons-learned-and-best-practices-uk,2024-10-24,,true,Adjudicated against the official register
zaf-project-mpumalanga-pathways-uk,ZAF,project_page,en,Mapping Mitigation and Adaptation Pathways for Mpumalanga (UK),https://justenergytransition.co.za/project/mapping-mitigation-and-adaptation-pathways-for-mpumalanga-uk,2024-10-24,,true,Adjudicated against the official register
zaf-project-cape-town-grid-uk-pact,ZAF,project_page,en,City of Cape Town Grid Regulation - UK PACT Skill-Share,https://justenergytransition.co.za/project/city-of-cape-town-grid-regulation-uk-pact-skill-share,2024-10-24,,true,Adjudicated against the official register
zaf-project-energy-one-stop-shop-uk-pact,ZAF,project_page,en,Energy One Stop Shop - UK PACT Skill-Share,https://justenergytransition.co.za/project/energy-one-stop-shop-uk-pact-skill-share-supporting-south-africas-just-energy-transition,2024-10-14,,true,Adjudicated as the completed municipal skill-share rather than the later DTIC EOSS phase
zaf-project-just-sa-germany,ZAF,project_page,en,Just Transition to a Decarbonised Economy for South Africa (JUST SA) (Germany),https://justenergytransition.co.za/project/just-transition-to-a-decarbonised-economy-for-south-africa-just-sa,2024-10-13,,true,Adjudicated against the official register
zaf-project-sagen-germany,ZAF,project_page,en,South African-German Energy Programme (SAGEN) (Germany),https://justenergytransition.co.za/project/south-african-german-energy-programme-sagen-2,2024-10-13,,true,Umbrella page for three SAGEN register components; see project-source-links.csv
zaf-project-h2sa-ptx-hub-germany,ZAF,project_page,en,Promoting the development of a green hydrogen sector in South Africa (H2.SA) and International PtX Hub South Africa (Germany),https://justenergytransition.co.za/project/promoting-the-development-of-a-green-hydrogen-sector-in-south-africa-h2-sa-and-international-ptx-hub-south-africa,2024-10-13,,true,Umbrella page for H2.SA and PtX Hub register components; see project-source-links.csv
zaf-project-cpd4e-germany,ZAF,project_page,en,Career Path Development for Employment (CPD4E) (Germany),https://justenergytransition.co.za/project/south-african-german-energy-programme-sagen,2024-10-13,,true,Primary German programme link; Swiss and provisional EU co-funding are in project-source-links.csv
zaf-eu-jetp-country-page,ZAF,data_portal,en,Just Energy Transition Partnership in South Africa,https://international-partnerships.ec.europa.eu/policies/global-gateway/just-energy-transition-partnership-south-africa-0_en,,,true,Official IPG overview naming Team Europe participants and the current initial commitment
zaf-afd-jet-policy-loan-2024,ZAF,project_page,en,Supporting the just dimensions of South Africa's Just Energy Transition,https://www.afd.fr/en/projects/supporting-just-dimensions-south-africas-just-energy-transition,2024-11-07,,true,Direct AFD project record for the EUR 400 million public policy loan
zaf-kfw-jetp-project-profile,ZAF,project_page,en,Support for a just energy transition,https://www.kfw-entwicklungsbank.de/Global/Subsahara-Africa/PI-Just-energy-transition-South-Africa/,,,true,Direct German cooperation profile; page states as of July 2025 and records Netherlands and Denmark joining plus US withdrawal
zaf-fcdo-jetp-programme-301523,ZAF,data_portal,en,"Just Energy Transition Partnership Support, South Africa",https://devtracker.fcdo.gov.uk/programme/GB-GOV-1-301523/summary,,,true,Direct UK programme record with IATI identifier GB-GOV-1-301523 and linked projects transactions partners and documents
zaf-jet-us-withdrawal-2025,ZAF,official_news,en,South Africa JET PMU acknowledges United States withdrawal from the JETP,https://justenergytransition.co.za/wp-content/uploads/2025/03/20250306_SouthAfricasJustEnergyTransitionProjectManagementUnitAcknowledgestheUnitesStatesWithdrawalfromtheJustEnergyTransitionPartnership.pdf,2025-03-06,,true,Official national notice; keeps the withdrawal distinct from earlier US commitments in versioned registers
zaf-eib-dbsa-renewables-2024,ZAF,official_news,en,EIB and DBSA increase support for private sector renewable energy to EUR 600 million,https://www.eib.org/en/press/all/2024-329-eib-and-development-bank-of-southern-africa-increase-support-for-private-sector-renewable-energy-to-eur-600-million-zar-11-9-billion,2024-09-11,,true,Direct EIB financing update explicitly aligned with South Africa's JETP
zaf-world-bank-eskom-jet-p177398,ZAF,project_page,,Eskom Just Energy Transition Project,https://projects.worldbank.org/en/projects-operations/project-detail/P177398,,,true,Direct World Bank project record P177398; project documents and financing events require separate extraction
zaf-afdb-jet-funding-platform,ZAF,project_page,,Support to the creation of a JET funding platform to promote inclusion transparency and enterprise development,https://www.afdb.org/en/projects-and-operations/p-za-i00-013,,,true,Direct AfDB project record P-ZA-I00-013
zaf-dbsa-ntcsa-transmission,ZAF,official_news,en,DBSA and NTCSA accelerate South Africa's transmission network expansion,https://www.dbsa.org/press-releases/dbsa-and-ntcsa-accelerate-sas-transmission-network-expansion,,,true,Direct DBSA implementation-partner page; harvest response determines availability
zaf-ntcsa-transmission-plans,ZAF,data_portal,en,Transmission Development Plans,https://www.ntcsa.co.za/transmission-development-plans-tdp/,,,true,Direct operator portal linking annual transmission development plan reports
zaf-jetp-political-declaration-2021,ZAF,political_declaration,en,Political Declaration on the Just Energy Transition in South Africa,https://www.bundesregierung.de/resource/blob/974430/1974538/b2264555c87d8cbdd97bd1eb8b16387a/political-declaration-on-the-just-energy-transition-in-south-africa-data.pdf?download=1,2021-11-02,,true,Official-government preservation copy of the founding declaration
zaf-jetp-leaders-midyear-2022,ZAF,progress_update,,Six-month update on progress in advancing the Just Energy Transition Partnership,https://webarchive.nationalarchives.gov.uk/ukgwa/20230311221000/https:/ukcop26.org/six-month-update-on-progress-in-advancing-the-just-energy-transition-partnership-jetp/,,,true,UK National Archives capture of the retired COP26 site; retain an explicit blocked observation if robot verification prevents harvest
zaf-jetp-leaders-2022,ZAF,annual_report,en,Twelve-month update on progress in advancing the South Africa Just Energy Transition Partnership,https://www.gov.uk/government/publications/advancing-the-south-africa-just-energy-transition-partnership-12-month-progress-update/twelve-month-update-on-progress-in-advancing-the-south-africa-just-energy-transition-partnership,2022-11-10,,true,First annual leaders update with the original USD 8.5 billion instrument table
zaf-jetp-leaders-2023,ZAF,annual_report,en,COP28 update on progress in advancing the South Africa Just Energy Transition Partnership,https://www.gov.uk/government/news/advancing-the-south-africa-just-energy-transition-partnership,2023-12-12,,true,Second annual leaders update
zaf-jetp-leaders-2024,ZAF,annual_report,en,Twelve month Just Energy Transition Partnership leaders update for 2024,https://www.gov.uk/government/news/twelve-month-just-energy-transition-partnership-leaders-update-for-2024,2024-11-27,,true,Third annual leaders update
zaf-jetp-leaders-2025,ZAF,annual_report,en,12-month Just Energy Transition Partnership leaders update 2025,https://www.gov.uk/government/news/12-month-just-energy-transition-partnership-leaders-update-2025,2025-12-09,,true,Fourth annual leaders update; links the full 2022-2025 series
zaf-jetp-leaders-2025-annex,ZAF,project_list,en,IPG Project Updates 2025,https://assets.publishing.service.gov.uk/media/6932910acdec734f4dff42af/Annex_-_IPG_Project_Updates_2025.pdf,2025-12-09,,true,Project-level annex to the 2025 leaders update
zaf-jet-grants-register-2023-q3,ZAF,project_list,en,JET-IP Grant Mapping Register 2023 Q3,https://justenergytransition.co.za/wp-content/uploads/2024/11/JET-2023Q3Register.pdf,2023-09-30,,true,Earliest versioned grant register exposed by the current investment-register portal
zaf-jet-grants-storyline-2024,ZAF,progress_update,,JET Grants Register overview 2024,https://www.stateofthenation.gov.za/assets/downloads/climate/Grants%20register%20overview.pdf,2024-10-23,,true,Official storyline published alongside the 2024 Q1-Q2 register
zaf-jet-grants-faq-2024,ZAF,progress_update,en,JET Grants Register Frequently Asked Questions 2024,https://justenergytransition.co.za/wp-content/uploads/2024/10/Grants-register-FAQs.pdf,2024-10-23,,true,Method note published alongside the 2024 Q1-Q2 register
zaf-jet-grants-storyline-2025-q1,ZAF,progress_update,en,JET Grants Register Storyline 2025 Q1,https://justenergytransition.co.za/wp-content/uploads/2025/03/JETGrantsRegisterStoryline-Published.pdf,2025-03-06,,true,Updated storyline published with the 2025 Q1 workbook
zaf-jet-grants-faq-2025-q1,ZAF,progress_update,en,JET Grants Register Frequently Asked Questions 2025 Q1,https://justenergytransition.co.za/wp-content/uploads/2025/03/GrantsRegisterFrequentlyAskedQuestions-Published2025Q1.pdf,2025-03-06,,true,Updated method note published with the 2025 Q1 workbook
zaf-project-report-nomzamo-2025,ZAF,operator_report,en,Impact case study Sustainable local development in Nomzamo Agri Village,https://justenergytransition.co.za/wp-content/uploads/2025/07/ASDU_Impact-Case-Study_Nomzamo-Agricultural-Village.pdf,2025-05-12,,true,Report describes French and Danish register components; see project-source-links.csv
zaf-zandkopsdrift-eu-2025,ZAF,approval_document,en,Zandkopsdrift rare earths and battery grade manganese strategic project,https://op.europa.eu/en/publication-detail/-/publication/94a61889-65e3-11f0-bf4e-01aa75ed71a1/language-en,2025-07-17,,true,Official EU Publications Office record
zaf-zandkopsdrift-operator,ZAF,project_page,,The Zandkopsdrift Project,https://frontierrareearths.com/project,,,true,Direct operator project page; financing claims require separate official evidence
zaf-growth-gateway-report-2026,ZAF,operator_report,en,Growth Gateway South Africa SMME JET Deal Accelerator blueprint,https://assets.publishing.service.gov.uk/media/6a8409833be22055c1aaa3fd/South_Africa_SMME_JET_Deal_Accelerator_-_Blueprint_for_scaling_SMMEs_in_Mpumalanga.pdf,2026-08-19,,true,Official 15-page FCDO report
zaf-growth-gateway-devtracker-300812,ZAF,data_portal,en,The Growth Gateway programme,https://devtracker.fcdo.gov.uk/programme/GB-GOV-1-300812/summary,,,true,Direct programme record with IATI identifier GB-GOV-1-300812
zaf-murp-afdb-2026,ZAF,official_news,,African Development Bank approves USD 400 million loan for Mpumalanga municipal utility reform,https://www.afdb.org/en/news-and-events/african-development-bank-approves-400-million-loan-support-municipal-utility-reform-south-africas-mpumalanga-province-95536,2026-07-16,,true,Direct funder announcement; retain blocked verdict if AfDB anti-bot prevents harvest
zaf-eepbip-maf,ZAF,project_page,en,South Africa Public Buildings and Infrastructure,https://mitigation-action.org/projects/south-africa-public-buildings-and-infrastructure/,,,true,Direct funder project profile reporting EUR 20.1 million and active implementation
zaf-eepbip-giz-profile-2023,ZAF,operator_report,en,South Africa Energy Efficiency in Public Buildings and Infrastructure Programme,https://www.giz.de/en/downloads/giz2023-en-EEPBIP.pdf,2023-01-01,,true,Direct two-page implementer profile
zaf-eepbip-portal,ZAF,data_portal,en,Energy Efficiency in Public Buildings and Infrastructure Programme,https://www.eepbip.org.za/,,,true,Programme portal states DEE ownership and implementation model
zaf-dtic-parliament-nev-2025,ZAF,official_news,en,Ministerial reply NW5618 on implementation of the 2023 EV White Paper,https://pmg.org.za/committee-question/33886/,2025-11-07,,true,Parliamentary record reproducing the ministerial reply and linking its source document
idn-jetp-joint-statement-2022,IDN,political_declaration,,Launch of the Just Energy Transition Partnership in Indonesia,https://id.usembassy.gov/united-states-supports-the-launch-of-the-just-energy-transition-partnership-jetp-in-indonesia/,2022-11-15,,true,Official IPG-member announcement preserving the launch date package and targets; the linked White House PDF is no longer the stable access route
idn-jetp-reports-2025-landing,IDN,data_portal,en,JETP Progress Report 2025 and Thematic Reports,https://jetp.id/news/jetp-reports-2025,2025-12-01,,true,Official index for the final progress report and six thematic studies
idn-jetp-progress-report-2025,IDN,annual_report,en,JETP Progress Report 2025,https://drive.usercontent.google.com/download?id=1RhW5MLzbza69uaZHfho4bnQLSmjnAjWO&export=download&confirm=t,2025-12-02,,true,English final report; direct file identifier resolved from the official JETP report index
idn-jetp-energy-efficiency-electrification-2025,IDN,operator_report,en,Energy Efficiency and Electrification Study,https://drive.usercontent.google.com/download?id=1JDhuF_HptvuRu8jBTWIEH33RybFNE_to&export=download&confirm=t,2025-12-01,,true,English thematic report 1 linked from the official JETP report index
idn-jetp-captive-power-study-2025,IDN,operator_report,en,Captive Power Study Report,https://drive.usercontent.google.com/download?id=1GjtDiDblQyHfYIPzUWZFOu9QO8_gQkk_&export=download&confirm=t,2025-12-01,,true,English thematic report 2 linked from the official JETP report index
idn-jetp-just-transition-study-2025,IDN,operator_report,en,Just Transition Study,https://drive.usercontent.google.com/download?id=1i1XgotGsbydM4FQ5dBxQPgncs2Lkpkov&export=download&confirm=t,2025-12-01,,true,English thematic report 3 linked from the official JETP report index
idn-jetp-guarantees-insurance-2025,IDN,operator_report,en,Unlocking clean energy finance and investment in Indonesia: The role of guarantees and insurance,https://drive.usercontent.google.com/download?id=1ka0vPuF8ydvDAjDCrCo_FIQmIThKL2gk&export=download&confirm=t,2025-12-01,,true,Thematic report 4 linked from the official JETP report index
idn-jetp-small-scale-renewables-finance-2025,IDN,operator_report,en,Financing small-scale renewable energy projects in Indonesia: A focus on decentralised and remote solutions,https://drive.usercontent.google.com/download?id=10P6BuNhTtDmxF9VFNMsa6d1Nd5zjYn3i&export=download&confirm=t,2025-12-01,,true,Thematic report 5 linked from the official JETP report index
idn-jetp-carbon-pricing-2025,IDN,operator_report,en,Advancing Power Sector Decarbonization Through Carbon Pricing,https://drive.usercontent.google.com/download?id=1mhH15V_gw9nR5cOB6mRCvcJg2cGw0-_U&export=download&confirm=t,2025-12-01,,true,English thematic report 6 linked from the official JETP report index
idn-cmea-progress-march-2025,IDN,official_news,,Government forms Energy Transition and Green Economy Task Force and reports 54 funded projects,https://www.ekon.go.id/publikasi/detail/6275/perkuat-komitmen-percepatan-implementasi-just-energy-transition-partnership-jetp-pemerintah-bentuk-satgas-transisi-energi-dan-ekonomi-hijau,2025-03-24,,true,Official source for USD 1.1 billion commitments across 54 projects including 9 loan or equity projects and 45 grants
idn-cmea-progress-december-2025,IDN,official_news,,JETP prepares IDR 350 trillion for renewable energy financing in Indonesia,https://www.ekon.go.id/publikasi/detail/6718/just-energy-transition-partnership-jetp-siapkan-rp350-triliun-untuk-pembiayaan-renewable-energy-di-indonesia,2025-12-05,,true,Official update reports USD 3.1 billion mobilised by November 2025 and USD 5.5 billion in negotiation; do not conflate the figures
idn-world-bank-isle1-2023,IDN,official_news,en,World Bank Supports Increased Access to Sustainable and Lower-Cost Electricity in Eastern Indonesia,https://www.worldbank.org/en/news/press-release/2023/06/26/world-bank-supports-increased-access-to-sustainable-and-lower-cost-electricity-in-eastern-indonesia,2023-06-26,,true,Direct funder announcement for project P174350; reports World Bank and climate-fund financing without implying disbursement
idn-world-bank-isle1-technical-assessment-2022,IDN,approval_document,en,Sustainable Least-Cost Electrification-1 Technical Assessment,https://documents1.worldbank.org/curated/en/099060223111034380/pdf/P1743500d92d28050b90b0e4ff4b6ea41d.pdf,,,true,Direct technical assessment for World Bank project P174350; document is dated September 2022
idn-jica-mrt-east-west-2024,IDN,official_news,en,Signing of Japanese ODA Loan Agreement with Indonesia: Contributing to an alleviation in traffic congestion through construction of MRT,https://www.jica.go.jp/english/information/press/2024/20240514_10.html,2024-05-14,,true,Direct lender announcement for the Jakarta Metropolitan MRT East-West Line Project Phase 1 I; agreement signed 13 May 2024
idn-jica-mrt-north-south-2023,IDN,official_news,ja,Signing of Japanese ODA loan agreements with Indonesia: Supporting economic growth and climate action and deepening bilateral relations,https://www.jica.go.jp/information/press/2023/20230403_10.html,2023-04-03,,true,Japanese-language direct lender announcement includes Construction of Jakarta MRT Project Phase 2 II and JPY 87.918 billion
idn-adb-aset-56368-001,IDN,project_page,,"Affordable and Sustainable Energy Transition Program, Subprogram 1",https://www.adb.org/projects/56368-001/main,,,true,Direct ADB project record 56368-001
idn-adb-aset-news-2024,IDN,official_news,en,ADB Approves Policy Loan to Support Indonesia's Energy Transition,https://www.adb.org/news/adb-approves-policy-loan-support-indonesia-energy-transition,2024-09-20,,true,Direct ADB approval announcement for the USD 500 million policy-based loan cofinanced with AFD and KfW
idn-adb-aicet-56140-001,IDN,project_page,,Accelerating Indonesia's Clean Energy Transition Program Phase 1,https://www.adb.org/projects/56140-001/main,,,true,Direct ADB project record 56140-001 with approval signing effectivity and disbursement fields
idn-adb-aicet-news-2025,IDN,official_news,en,ADB Boosts Indonesia's Clean Energy Transition,https://www.adb.org/news/adb-boosts-indonesias-clean-energy-transition,2025-11-19,,true,Direct ADB approval announcement for the results-based programme and administered cofinancing
idn-adb-muara-laboh-2-2025,IDN,official_news,en,ADB Supports Indonesia's Green Energy Transition with Geothermal Expansion Project,https://www.adb.org/news/adb-supports-indonesia-green-energy-transition-geothermal-expansion-project,2025-01-14,,true,Direct co-lender announcement for the 83 MW Muara Laboh Stage 2 expansion; separate from the JBIC amount in the JETP report
idn-gfanz-saguling-2025,IDN,official_news,en,First Indonesian JETP Solar Project Mobilizes USD 60 Million as Investment Momentum Builds,https://www.gfanzero.com/press/first-indonesian-jetp-solar-project-mobilizes-usd-60-million-as-investment-momentum-builds/,2025-04-29,,true,Direct JETP finance announcement by GFANZ; reports 92 MWp and a USD 60 million agreement among DEG Proparco and Standard Chartered
idn-jetp-xurya-equity-2024,IDN,official_news,en,Norwegian and British Investment in Indonesian Start-up Marks First Equity Milestone in JETP Disbursement,https://jetp.id/news/norwegian-and-british-investment-in-indonesian-start-up-marks-first-equity-milestone-in-jetp-disbursement,2024-07-01,,true,Direct JETP Secretariat announcement for Norfund Climate Investment Fund and BII equity in Xurya
idn-portfolio-wolcot,IDN,project_page,en,Women-Led Coal Transition Mechanism WOLCOT,https://portfolio.jetp.id/program/women-led-coal-transition-mechanism-wolcot-1,,,true,Direct official programme profile independently indexed from the 2025 report table
idn-portfolio-esmap-canada,IDN,project_page,en,Energy Sector Management Assistance Program ESMAP Canada,https://portfolio.jetp.id/program/energy-sector-management-assistance-program-esmap,,,true,Direct official programme profile; page identifies Canada and CAD 2 million
idn-portfolio-etp,IDN,project_page,en,South East Asia Energy Transition Partnership ETP,https://portfolio.jetp.id/program/south-east-asia-energy-transition-partnership-etp,,,true,Direct official programme profile for the multi-donor ETP
idn-portfolio-cefim,IDN,project_page,en,Clean Energy Finance and Investment Mobilisation CEFIM Programme,https://portfolio.jetp.id/program/clean-energy-finance-and-investment-mobilisation-cefim-programme,,,true,Direct official programme profile independently indexed from the 2025 report table
idn-portfolio-cetp,IDN,project_page,en,Clean Energy Transition Program CETP,https://portfolio.jetp.id/program/clean-energy-transition-program-cetp,,,true,Direct official programme profile independently indexed from the 2025 report table
idn-portfolio-enerkey,IDN,project_page,en,EnerKey Project,https://portfolio.jetp.id/program/enerkey-project,,,true,Direct official programme profile independently indexed from the 2025 report table
idn-portfolio-euicf,IDN,project_page,en,EU-Indonesia Cooperation Facility,https://portfolio.jetp.id/program/eu-indonesia-cooperation-facility,,,true,Direct official programme profile independently indexed from the 2025 report table
idn-portfolio-s4i,IDN,project_page,en,Support for Infrastructure Investments in Indonesia S4I,https://portfolio.jetp.id/program/support-for-infrastructure-investments-in-indonesia-s4i-for-the-establishment-of-indonesias-development-bank-project,,,true,Direct official programme profile independently indexed from the 2025 report table
idn-portfolio-sdg-one,IDN,project_page,en,SDG Indonesia One,https://portfolio.jetp.id/program/sdg-indonesia-one,,,true,Direct official programme profile independently indexed from the 2025 report table
idn-portfolio-ietf,IDN,project_page,en,Indonesia Energy Transition Facility IETF,https://portfolio.jetp.id/program/ietf-indonesia-energy-transition-facility,,,true,Direct official programme profile for the EU and French contributions
idn-portfolio-ipdf,IDN,project_page,en,Indonesia Policy Dialogue Fund IPDF,https://portfolio.jetp.id/program/indonesia-policy-dialogue-fund-ipdf,,,true,Direct official programme profile independently indexed from the 2025 report table
idn-portfolio-efsd,IDN,project_page,en,European Fund for Sustainable Development Plus energy project preparation,https://portfolio.jetp.id/program/european-fund-for-sustainable-development-plus-efsd-for-energy-project-preparation,,,true,Direct official programme profile independently indexed from the 2025 report table
idn-portfolio-etmptf,IDN,project_page,en,Energy Transition Mechanism Partnership Trust Fund ETMPTF,https://portfolio.jetp.id/program/energy-transition-mechanism-partnership-trust-fund-etmptf-1,,,true,Direct official programme profile independently indexed from the 2025 report table
idn-portfolio-seti,IDN,project_page,en,Sustainable Energy Transition in Indonesia SETI,https://portfolio.jetp.id/program/sustainable-energy-transition-in-indonesia-seti-1,,,true,Direct official programme profile independently indexed from the 2025 report table
idn-portfolio-etap,IDN,project_page,en,Energy Transition Acceleration Programme ETAP,https://portfolio.jetp.id/program/energy-transition-acceleration-programme-etap,,,true,Direct official programme profile independently indexed from the 2025 report table
idn-portfolio-iki-jet,IDN,project_page,en,Innovation Regions for a Just Energy Transition IKI JET,https://portfolio.jetp.id/program/innovation-regions-for-a-just-energy-transition-iki-jet,,,true,Direct official programme profile independently indexed from the 2025 report table
idn-portfolio-low-carbon-buildings,IDN,project_page,en,Asia Low Carbon Building Transition,https://portfolio.jetp.id/program/asia-low-carbon-building-transition,,,true,Direct official programme profile independently indexed from the 2025 report table
idn-portfolio-gesit,IDN,project_page,en,Green Jobs for Social Inclusion and Sustainable Transformation GESIT,https://portfolio.jetp.id/program/green-jobs-for-social-inclusion-and-sustainable-transformation-gesit,,,true,Direct official programme profile independently indexed from the 2025 report table
