retrieval_id,document_id,retrieved_at,status,http_status,content_type,etag,last_modified,final_url,error,sha256
idn-cipp-2023-cpr-mirror:1,idn-cipp-2023-cpr-mirror,2026-09-11T20:47:57Z,collected,200,application/pdf,"""49e5e699deb891a8f9be4646f4a2bd90-2""","Mon, 01 Jul 2024 09:24:17 GMT",https://cdn.climatepolicyradar.org/navigator/IDN/2023/comprehensive-investment-and-policy-plan_111dabc5e962ec140a6080232a0bb367.pdf,,747283facac512780ad757313c493d1080c39705824e72c4b231e87ecb4102b5
zaf-jet-investment-register-q1-2026:1,zaf-jet-investment-register-q1-2026,2026-09-12T05:26:22Z,collected,200,text/html; charset=utf-8,,"Fri, 11 Sep 2026 19:33:14 GMT",https://justenergytransition.co.za/jet-investment-register-dashboard,,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4
zaf-jet-ip-2023-2027:1,zaf-jet-ip-2023-2027,2026-09-12T05:33:00Z,collected,200,application/pdf,"""6719df0f-4c2459""","Thu, 24 Oct 2024 05:45:51 GMT",https://justenergytransition.co.za/wp-content/uploads/2024/10/South-Africas-Just-Energy-Transition-Investment-Plan-JET-IP-2023-2027-FINAL-1.pdf,,466acffcf763f3f3b53adac1c93704919a29d18f04e9924d13c1cdc225df5863
zaf-jet-quarterly-2024-q3:1,zaf-jet-quarterly-2024-q3,2026-09-12T05:33:00Z,collected,200,application/pdf,"""67517708-bed61""","Thu, 05 Dec 2024 09:48:56 GMT",https://justenergytransition.co.za/wp-content/uploads/2024/12/Just-Energy-Transition_Progress-Report-v2.pdf,,14708bcd78873beb59cf9d62005398e2c95c3ef269c41bc8cf5f0a2b1fafb261
zaf-jet-quarterly-2024-q4:1,zaf-jet-quarterly-2024-q4,2026-09-12T05:33:00Z,collected,200,application/pdf,"""67bc6b66-6727b""","Mon, 24 Feb 2025 12:51:50 GMT",https://justenergytransition.co.za/wp-content/uploads/2025/02/Just-Energy-Transition_Progress-Report-December-2024Final-1.pdf,,253bba2d9fbc20e9d45c4b548a802d94f8f01dc2833d2616169df980aa2fc31b
zaf-jet-quarterly-2025-q1:1,zaf-jet-quarterly-2025-q1,2026-09-12T05:33:00Z,collected,200,application/pdf,"""68010d30-6d25c""","Thu, 17 Apr 2025 14:16:16 GMT",https://justenergytransition.co.za/wp-content/uploads/2025/04/JetQuarterly31March2025.pdf,,4546672523b697aa340b18596ef70d230ae9bf608559897935b284b29e58475f
zaf-jet-quarterly-2025-q2:1,zaf-jet-quarterly-2025-q2,2026-09-12T05:33:00Z,collected,200,application/pdf,"""6895f8cf-7fa18""","Fri, 08 Aug 2025 13:17:03 GMT",https://justenergytransition.co.za/wp-content/uploads/2025/08/Jet-IP-Quarterly-Report-30-June-2025-1.pdf,,29aa0cbf8952ae60d8d80e179e3328d265498de9989324279ce478cea2fe3e08
zaf-jet-quarterly-2025-q3:1,zaf-jet-quarterly-2025-q3,2026-09-12T05:33:00Z,collected,200,application/pdf,"""69286120-105a73""","Thu, 27 Nov 2025 14:33:04 GMT",https://justenergytransition.co.za/wp-content/uploads/2025/11/Jet-Quarterly-30-Sep-2025-Revised.pdf,,30036881a61b6d2c366347d111e6f24959ad9b54022162ad63d8614e2000c417
zaf-jet-quarterly-2025-q4:1,zaf-jet-quarterly-2025-q4,2026-09-12T05:33:00Z,collected,200,application/pdf,"""69aa89e0-10b0c4""","Fri, 06 Mar 2026 08:01:36 GMT",https://justenergytransition.co.za/wp-content/uploads/2026/03/JET-IP-Quarterly-Report-31-December-2025.pdf,,2fa3e3dfb2ce5defa0cb6bd65cc2eda1028272f49b72f913847cb2d0f311277d
zaf-jet-quarterly-2026-q1:1,zaf-jet-quarterly-2026-q1,2026-09-12T05:33:00Z,collected,200,application/pdf,"""6a3e7cff-90e4d""","Fri, 26 Jun 2026 13:22:07 GMT",https://justenergytransition.co.za/wp-content/uploads/2026/06/JET-IP-2026-Q1-Progress-Report-final.pdf,,1b62a65fd70c70b0234379fcc4fcda064e9175fc9aee21a37c97b283e1b8dc13
zaf-jet-grants-register-2024-q2:1,zaf-jet-grants-register-2024-q2,2026-09-12T05:34:32Z,collected,200,application/pdf,"""67190130-e769f""","Wed, 23 Oct 2024 13:59:12 GMT",https://justenergytransition.co.za/wp-content/uploads/2024/10/JET-Grants-Register-2024Q1-2024Q2.pdf,,8f6fcef78bf9ddb9c67fee3225448e0b6ac6f1d88a6c77cd58a9282cd0ebaf06
zaf-jet-grants-register-2024-q3:1,zaf-jet-grants-register-2024-q3,2026-09-12T05:34:32Z,collected,200,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,"""bc1df-6276bcc77b9e7""","Thu, 21 Nov 2024 12:56:45 GMT",https://justenergytransition.co.za/wp-content/uploads/2024/11/JET-Grants-Register-2024Q1-2024Q3-Published-Final.-xlsx.xlsx,,07645661df0c9a4ef97e0a172b8a3f5c92cc5371f992c70a2b3d5420f93c8147
zaf-jet-grants-register-2025-q1:1,zaf-jet-grants-register-2025-q1,2026-09-12T05:34:32Z,collected,200,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,"""b549d-62fadec98f213""","Thu, 06 Mar 2025 15:11:45 GMT",https://justenergytransition.co.za/wp-content/uploads/2025/03/JETGrantsRegister2025Q1-Published.xlsx,,6eae2fffc800f6c82c2d03b21af150ba633bf60992bd8e37a98515808e44d9c0
zaf-jet-pmu-resource-hub:1,zaf-jet-pmu-resource-hub,2026-09-12T05:41:03Z,collected,200,text/html; charset=utf-8,,"Fri, 11 Sep 2026 14:39:18 GMT",https://justenergytransition.co.za/resource-hub,,f2b4a521e71812e706c2c1e9921e0aa1caca67e8cbecf9b43f016322b5364e90
zaf-jet-pmu-news:1,zaf-jet-pmu-news,2026-09-12T05:41:03Z,collected,200,text/html; charset=utf-8,,"Fri, 11 Sep 2026 15:10:35 GMT",https://justenergytransition.co.za/news,,78f07581f3c8a74ab454a3c10b006bedfc2e752bb325bb572984ced868d297e2
zaf-jet-pmu-projects:1,zaf-jet-pmu-projects,2026-09-12T05:41:03Z,collected,200,text/html; charset=utf-8,,"Fri, 11 Sep 2026 19:18:35 GMT",https://justenergytransition.co.za/projects,,2042a0c2ffcecbf8e88875eb0914b7ebf383ae6f0b95ddcc0875f9db379d6439
zaf-project-nomzamo-agri-village:1,zaf-project-nomzamo-agri-village,2026-09-12T05:41:56Z,collected,200,text/html; charset=utf-8,,"Fri, 11 Sep 2026 14:33:05 GMT",https://justenergytransition.co.za/project/sustainable-local-development-in-nomzamo-agri-village-ermelo-mpumalanga,,17dadaab38c5eb181c7e9e98b27a948f17ea6aaf9b4979b71d3b0443e2a104c2
zaf-project-just-transition-framework-france:1,zaf-project-just-transition-framework-france,2026-09-12T05:41:56Z,collected,200,text/html; charset=utf-8,,"Sat, 12 Sep 2026 00:29:27 GMT",https://justenergytransition.co.za/project/implementation-of-the-just-transitions-framework-france,,d7b80fd7d7b122d878f907057e294e1c890215d788e9a135562056a0a72df228
zaf-project-mining-ghost-towns-france:1,zaf-project-mining-ghost-towns-france,2026-09-12T05:41:56Z,collected,200,text/html; charset=UTF-8,,"Sat, 12 Sep 2026 05:42:06 GMT",https://justenergytransition.co.za/project/revitalisation-of-mining-ghost-towns-france,,3569ee7951a74ab9ac9a3a2478053d12dd9e4ada10d977685c717089e892e00a
zaf-project-social-policies-france:1,zaf-project-social-policies-france,2026-09-12T05:41:56Z,collected,200,text/html; charset=utf-8,,"Sat, 12 Sep 2026 00:29:29 GMT",https://justenergytransition.co.za/project/the-role-of-social-policies-in-the-framework-for-just-transition-france,,b35d0a68d8d129fa811eaa3ba97a20a74a1f43cd13b7c61f7a7a56433d737d90
zaf-project-lessons-best-practices-uk:1,zaf-project-lessons-best-practices-uk,2026-09-12T05:41:56Z,collected,200,text/html; charset=UTF-8,,"Sat, 12 Sep 2026 05:42:08 GMT",https://justenergytransition.co.za/project/distilling-the-just-energy-transition-in-south-africa-lessons-learned-and-best-practices-uk,,f430e953bd45429a63ae07d27801a2afc861e151cafd4fc948f7b8116fff6c85
zaf-project-mpumalanga-pathways-uk:1,zaf-project-mpumalanga-pathways-uk,2026-09-12T05:41:56Z,collected,200,text/html; charset=utf-8,,"Fri, 11 Sep 2026 19:19:13 GMT",https://justenergytransition.co.za/project/mapping-mitigation-and-adaptation-pathways-for-mpumalanga-uk,,c1e98dbc781f899a0326dac79dc6452962917ea3d305b1d88dcebd076a722dba
zaf-project-cape-town-grid-uk-pact:1,zaf-project-cape-town-grid-uk-pact,2026-09-12T05:41:56Z,collected,200,text/html; charset=utf-8,,"Fri, 11 Sep 2026 20:50:14 GMT",https://justenergytransition.co.za/project/city-of-cape-town-grid-regulation-uk-pact-skill-share,,9350eb6365ee644dfedf58b35b8c1d6c1ff6bf6ebe286b8f59902d65161dc441
zaf-project-energy-one-stop-shop-uk-pact:1,zaf-project-energy-one-stop-shop-uk-pact,2026-09-12T05:41:56Z,collected,200,text/html; charset=utf-8,,"Sat, 12 Sep 2026 00:29:52 GMT",https://justenergytransition.co.za/project/energy-one-stop-shop-uk-pact-skill-share-supporting-south-africas-just-energy-transition,,8c8ddbb8f29f7c8ae49b9f34f946301ac75458e740c39dbf49ab81f50fc9bac4
zaf-project-just-sa-germany:1,zaf-project-just-sa-germany,2026-09-12T05:41:56Z,collected,200,text/html; charset=utf-8,,"Fri, 11 Sep 2026 20:28:40 GMT",https://justenergytransition.co.za/project/just-transition-to-a-decarbonised-economy-for-south-africa-just-sa,,2f09219b51f4db2bee7e3a9a6a340da7654e2d1f0d8649de9ba03a78b1e05d48
zaf-project-sagen-germany:1,zaf-project-sagen-germany,2026-09-12T05:41:56Z,collected,200,text/html; charset=utf-8,,"Sat, 12 Sep 2026 00:29:50 GMT",https://justenergytransition.co.za/project/south-african-german-energy-programme-sagen-2,,707a3a6f6be714b4e3e77f8033efd46ad55cf73a8c3469994bd795fc035865f9
zaf-project-h2sa-ptx-hub-germany:1,zaf-project-h2sa-ptx-hub-germany,2026-09-12T05:41:56Z,collected,200,text/html; charset=UTF-8,,"Sat, 12 Sep 2026 05:42:11 GMT",https://justenergytransition.co.za/project/promoting-the-development-of-a-green-hydrogen-sector-in-south-africa-h2-sa-and-international-ptx-hub-south-africa,,4de791102aeda24945d9fbe7834409af40368940c3c80358a09c1cc6d24922c1
zaf-project-cpd4e-germany:1,zaf-project-cpd4e-germany,2026-09-12T05:41:56Z,collected,200,text/html; charset=utf-8,,"Sat, 12 Sep 2026 00:29:59 GMT",https://justenergytransition.co.za/project/south-african-german-energy-programme-sagen,,74a2d07e621d4f3b456d23678833cbcd21a6bccf03820c59e16235373e07d040
zaf-eu-jetp-country-page:1,zaf-eu-jetp-country-page,2026-09-12T05:54:24Z,collected,200,text/html; charset=UTF-8,,,https://international-partnerships.ec.europa.eu/policies/global-gateway/just-energy-transition-partnership-south-africa-0_en,,3c02118e44c74cfcaf8e5d0cdc927adebfee82e51c727cb88dc5bf2603982634
zaf-afd-jet-policy-loan-2024:1,zaf-afd-jet-policy-loan-2024,2026-09-12T05:54:35Z,collected,200,text/html; charset=UTF-8,,,https://www.afd.fr/en/projects/supporting-just-dimensions-south-africas-just-energy-transition,,760dc22c28433651c91b364623c07f2180deb02620cee12f75b77fdeaa252f45
zaf-kfw-jetp-project-profile:1,zaf-kfw-jetp-project-profile,2026-09-12T05:54:44Z,collected,200,text/html; charset=utf-8,,"Fri, 11 Sep 2026 23:02:04 GMT",https://www.kfw-entwicklungsbank.de/Global/Subsahara-Africa/PI-Just-energy-transition-South-Africa/,,5c2698a22e51b3fd6ab6a1eb26e1b13e87e89eccfe9582e85992a3467c44d0ea
zaf-fcdo-jetp-programme-301523:1,zaf-fcdo-jetp-programme-301523,2026-09-12T05:54:53Z,collected,200,text/html;charset=utf-8,,,https://devtracker.fcdo.gov.uk/programme/GB-GOV-1-301523/summary,,0060913d18da32bec55cb5d4413d7a02fb3d2de46ddda04ad845c845d922bee9
zaf-jet-us-withdrawal-2025:1,zaf-jet-us-withdrawal-2025,2026-09-12T05:55:01Z,collected,200,application/pdf,"""67c9bb31-1d3a7""","Thu, 06 Mar 2025 15:11:45 GMT",https://justenergytransition.co.za/wp-content/uploads/2025/03/20250306_SouthAfricasJustEnergyTransitionProjectManagementUnitAcknowledgestheUnitesStatesWithdrawalfromtheJustEnergyTransitionPartnership.pdf,,3894898ab89478f9ba76dc9d0b7686000ce866219d67bc3156cbd4ed294a9db2
zaf-eib-dbsa-renewables-2024:1,zaf-eib-dbsa-renewables-2024,2026-09-12T05:55:10Z,collected,200,text/html; charset=utf-8,,,https://www.eib.org/en/press/all/2024-329-eib-and-development-bank-of-southern-africa-increase-support-for-private-sector-renewable-energy-to-eur-600-million-zar-11-9-billion,,410de8d7ea774a4f7ec15379b25573d1d454e70f6f2a044e6efbc179f6d20a84
zaf-jet-us-withdrawal-2025:2,zaf-jet-us-withdrawal-2025,2026-09-12T05:55:19Z,not_modified,304,application/pdf,"""67c9bb31-1d3a7""","Thu, 06 Mar 2025 15:11:45 GMT",https://justenergytransition.co.za/wp-content/uploads/2025/03/20250306_SouthAfricasJustEnergyTransitionProjectManagementUnitAcknowledgestheUnitesStatesWithdrawalfromtheJustEnergyTransitionPartnership.pdf,,3894898ab89478f9ba76dc9d0b7686000ce866219d67bc3156cbd4ed294a9db2
zaf-world-bank-eskom-jet-p177398:1,zaf-world-bank-eskom-jet-p177398,2026-09-12T05:55:18Z,collected,200,text/html;charset=utf-8,,"Sat, 05 Sep 2026 14:00:15 GMT",https://projects.worldbank.org/en/projects-operations/project-detail/P177398,,24af1e58886d85708b6c567ebdff768d86a6f553ea77ab3d1df022d79b083bc8
zaf-eib-dbsa-renewables-2024:2,zaf-eib-dbsa-renewables-2024,2026-09-12T05:55:24Z,collected,200,text/html; charset=utf-8,,,https://www.eib.org/en/press/all/2024-329-eib-and-development-bank-of-southern-africa-increase-support-for-private-sector-renewable-energy-to-eur-600-million-zar-11-9-billion,,410de8d7ea774a4f7ec15379b25573d1d454e70f6f2a044e6efbc179f6d20a84
zaf-afdb-jet-funding-platform:1,zaf-afdb-jet-funding-platform,2026-09-12T05:55:26Z,blocked,403,text/html; charset=UTF-8,,,https://www.afdb.org/en/projects-and-operations/p-za-i00-013,HTTP 403,
zaf-world-bank-eskom-jet-p177398:2,zaf-world-bank-eskom-jet-p177398,2026-09-12T05:55:30Z,not_modified,304,text/html;charset=utf-8,,"Sat, 05 Sep 2026 14:00:15 GMT",https://projects.worldbank.org/en/projects-operations/project-detail/P177398,,24af1e58886d85708b6c567ebdff768d86a6f553ea77ab3d1df022d79b083bc8
zaf-afdb-jet-funding-platform:2,zaf-afdb-jet-funding-platform,2026-09-12T05:55:36Z,blocked,403,text/html; charset=UTF-8,,,https://www.afdb.org/en/projects-and-operations/p-za-i00-013,HTTP 403,
zaf-dbsa-ntcsa-transmission:1,zaf-dbsa-ntcsa-transmission,2026-09-12T05:55:34Z,collected,200,text/html; charset=UTF-8,,,https://www.dbsa.org/press-releases/dbsa-and-ntcsa-accelerate-sas-transmission-network-expansion,,abf673d3404f1eb80add1179eb4d34d9453012035bf3b279e2c4c0f5beb5341c
zaf-dbsa-ntcsa-transmission:2,zaf-dbsa-ntcsa-transmission,2026-09-12T05:55:43Z,collected,200,text/html; charset=UTF-8,,,https://www.dbsa.org/press-releases/dbsa-and-ntcsa-accelerate-sas-transmission-network-expansion,,abf673d3404f1eb80add1179eb4d34d9453012035bf3b279e2c4c0f5beb5341c
zaf-ntcsa-transmission-plans:1,zaf-ntcsa-transmission-plans,2026-09-12T05:55:43Z,collected,200,text/html; charset=UTF-8,,,https://www.ntcsa.co.za/transmission-development-plans-tdp/,,218f5f97bcbbbdca7dd707cd1531040c386dc6cc612133aeda5c016f70d3e97c
zaf-ntcsa-transmission-plans:2,zaf-ntcsa-transmission-plans,2026-09-12T05:55:52Z,collected,200,text/html; charset=UTF-8,,,https://www.ntcsa.co.za/transmission-development-plans-tdp/,,69ebf7763d572ccdb0c6e23636c51338b4975f998ba3b85d69b85a6971a0a198
zaf-jetp-political-declaration-2021:1,zaf-jetp-political-declaration-2021,2026-09-12T06:08:14Z,collected,200,application/pdf,"""263c3bc548ac61816e736de3f21ad4c8""",,https://www.bundesregierung.de/resource/blob/974430/1974538/b2264555c87d8cbdd97bd1eb8b16387a/political-declaration-on-the-just-energy-transition-in-south-africa-data.pdf?download=1,,8726b157774774fd5ec1404668c504593bae573f8809f57419fda155f092ea87
zaf-jetp-leaders-midyear-2022:1,zaf-jetp-leaders-midyear-2022,2026-09-12T06:08:23Z,http_error,405,text/html; charset=UTF-8,,,https://webarchive.nationalarchives.gov.uk/ukgwa/20230311221000/https:/ukcop26.org/six-month-update-on-progress-in-advancing-the-just-energy-transition-partnership-jetp/,HTTP 405,
zaf-jetp-leaders-2022:1,zaf-jetp-leaders-2022,2026-09-12T06:08:31Z,collected,200,text/html; charset=utf-8,"W/""0a024bfa3945597ff0ae0622d35e9f1c""",,https://www.gov.uk/government/publications/advancing-the-south-africa-just-energy-transition-partnership-12-month-progress-update/twelve-month-update-on-progress-in-advancing-the-south-africa-just-energy-transition-partnership,,0a024bfa3945597ff0ae0622d35e9f1c567c1d7e481da4748e0bd5c1a2b291ca
zaf-jetp-leaders-2023:1,zaf-jetp-leaders-2023,2026-09-12T06:08:39Z,collected,200,text/html; charset=utf-8,"W/""be3b8d7542778d39b920dc1a4620cfcd""",,https://www.gov.uk/government/news/advancing-the-south-africa-just-energy-transition-partnership,,be3b8d7542778d39b920dc1a4620cfcdf8ad9940ba1a32f2aa3740b9ff92b0b7
zaf-jetp-leaders-2024:1,zaf-jetp-leaders-2024,2026-09-12T06:08:48Z,collected,200,text/html; charset=utf-8,"W/""f2078f959a346d634d7a25702769530f""",,https://www.gov.uk/government/news/twelve-month-just-energy-transition-partnership-leaders-update-for-2024,,f2078f959a346d634d7a25702769530fa009c7e6e1b07a10862cdaa9935b4604
zaf-jetp-leaders-2025:1,zaf-jetp-leaders-2025,2026-09-12T06:08:58Z,collected,200,text/html; charset=utf-8,"W/""2ba1f1ee12a90391f169e67630b8d8d6""",,https://www.gov.uk/government/news/12-month-just-energy-transition-partnership-leaders-update-2025,,2ba1f1ee12a90391f169e67630b8d8d6a4b817b1eb7dcf9bcd56bdab13988353
zaf-jetp-leaders-2025-annex:1,zaf-jetp-leaders-2025-annex,2026-09-12T06:09:15Z,collected,200,application/pdf,"""6932910b-1235d""","Fri, 05 Dec 2025 08:00:11 GMT",https://assets.publishing.service.gov.uk/media/6932910acdec734f4dff42af/Annex_-_IPG_Project_Updates_2025.pdf,,6ca2eac8887e7f6da292d841ad97629b7c4a0ea22e91ff3568ef2cc94b7bbaa3
zaf-jet-grants-register-2023-q3:1,zaf-jet-grants-register-2023-q3,2026-09-12T06:09:25Z,collected,200,application/pdf,"""6728627b-a2842""","Mon, 04 Nov 2024 05:58:19 GMT",https://justenergytransition.co.za/wp-content/uploads/2024/11/JET-2023Q3Register.pdf,,fa8fd693d1d0d53c7478e9b3850da16ad83955bf2c715c5983634819c2315d16
zaf-jet-grants-faq-2024:1,zaf-jet-grants-faq-2024,2026-09-12T06:10:05Z,collected,200,application/pdf,"""67190176-36a06""","Wed, 23 Oct 2024 14:00:22 GMT",https://justenergytransition.co.za/wp-content/uploads/2024/10/Grants-register-FAQs.pdf,,4bb09e88215cdc1d1ecc79da90c3a98c1213978f82cba0286265a060ae48607e
zaf-jet-grants-storyline-2024:1,zaf-jet-grants-storyline-2024,2026-09-12T06:09:34Z,fetch_error,,,,,https://www.stateofthenation.gov.za/assets/downloads/climate/Grants%20register%20overview.pdf,"RetryError: HTTPSConnectionPool(host='www.stateofthenation.gov.za', port=443): Max retries exceeded with url: /assets/downloads/climate/Grants%20register%20overview.pdf (Caused by ResponseError('too many 502 error responses'))",
zaf-jet-grants-storyline-2025-q1:1,zaf-jet-grants-storyline-2025-q1,2026-09-12T06:10:12Z,collected,200,application/pdf,"""67c9bb31-8bb00""","Thu, 06 Mar 2025 15:11:45 GMT",https://justenergytransition.co.za/wp-content/uploads/2025/03/JETGrantsRegisterStoryline-Published.pdf,,c456bf0fbce790fc0f3d1ddf63ce53583c23f4b19d275f485870e751eda1d9aa
zaf-jet-grants-faq-2025-q1:1,zaf-jet-grants-faq-2025-q1,2026-09-12T06:10:21Z,collected,200,application/pdf,"""67c9bb31-116ee3""","Thu, 06 Mar 2025 15:11:45 GMT",https://justenergytransition.co.za/wp-content/uploads/2025/03/GrantsRegisterFrequentlyAskedQuestions-Published2025Q1.pdf,,c851e013d827a9cd88cb6cf41ba17c8bef1f152e6a5c49d1e7fff3e9a09a3cf5
zaf-project-report-nomzamo-2025:1,zaf-project-report-nomzamo-2025,2026-09-12T06:10:29Z,collected,200,application/pdf,"""68886bc4-a896b5""","Tue, 29 Jul 2025 06:35:48 GMT",https://justenergytransition.co.za/wp-content/uploads/2025/07/ASDU_Impact-Case-Study_Nomzamo-Agricultural-Village.pdf,,0886a413cff31cc6c38d2d3629be4a5c6362ad09b1018f9ab0790cd05f0da1cc
zaf-zandkopsdrift-eu-2025:1,zaf-zandkopsdrift-eu-2025,2026-09-12T06:38:36Z,collected,200,text/html;charset=UTF-8,,,https://op.europa.eu/en/publication-detail/-/publication/94a61889-65e3-11f0-bf4e-01aa75ed71a1/language-en,,11031d1813653f92ef83efcb8e3d38d8cd11994cf17708253d2caa402581130e
zaf-zandkopsdrift-operator:1,zaf-zandkopsdrift-operator,2026-09-12T06:38:36Z,collected,200,text/html; charset=UTF-8,"""ab5837761423e881f3b45f665a05aa7a-ssl""",,https://frontierrareearths.com/project,,ca4bc0004ddb2a60e5bac8fb11e091ae5440ede040bd03ac5835ddac2fdc4f4f
zaf-growth-gateway-report-2026:1,zaf-growth-gateway-report-2026,2026-09-12T06:38:36Z,collected,200,application/pdf,"""6a840983-20cd46""","Tue, 18 Aug 2026 07:28:03 GMT",https://assets.publishing.service.gov.uk/media/6a8409833be22055c1aaa3fd/South_Africa_SMME_JET_Deal_Accelerator_-_Blueprint_for_scaling_SMMEs_in_Mpumalanga.pdf,,d2a2b38c60479c92945af100b65cc149756a10aa9253bc6cc5375665555be961
zaf-growth-gateway-devtracker-300812:1,zaf-growth-gateway-devtracker-300812,2026-09-12T06:38:36Z,collected,200,text/html;charset=utf-8,,,https://devtracker.fcdo.gov.uk/programme/GB-GOV-1-300812/summary,,348e0ffa7bf94382156b225bf057ae42701e8d81eede370bb9cd414e784137a8
