relation_id,from_kind,from_id,relation,to_kind,to_id,role,valid_from,valid_to,status,method,method_version,confidence,decided_at,decided_by,supersedes,line_id
0875.implementer.zaf-register-can007,party,national-business-initiative-nbi,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-9,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-9
0875.funder.zaf-register-can008,party,canada,party_in,agreement,agreement-zaf-register-can008,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-10
0875.implementer.zaf-register-can008,party,national-business-initiative-nbi,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-10,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-10
0875.funder.zaf-register-dk001,party,denmark,party_in,agreement,agreement-zaf-register-dk001,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-11
0875.funder.zaf-register-dk002,party,denmark,party_in,agreement,agreement-zaf-register-dk002,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-12
0875.funder.zaf-register-dk003,party,denmark,party_in,agreement,agreement-zaf-register-dk003,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-13
0875.funder.zaf-register-dk004,party,denmark,party_in,agreement,agreement-zaf-register-dk004,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-14
0875.funder.zaf-register-dk005,party,denmark,party_in,agreement,agreement-zaf-register-dk005,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-15
0875.funder.zaf-register-dk006,party,denmark,party_in,agreement,agreement-zaf-register-dk006,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-16
0875.funder.zaf-register-dk008,party,denmark,party_in,agreement,agreement-zaf-register-dk008,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-17
0875.funder.zaf-register-dk009,party,denmark,party_in,agreement,agreement-zaf-register-dk009,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-18
0875.funder.zaf-register-dk010,party,denmark,party_in,agreement,agreement-zaf-register-dk010,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-19
0875.funder.zaf-register-dk011,party,denmark,party_in,agreement,agreement-zaf-register-dk011,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-20
0875.funder.zaf-register-dk012,party,denmark,party_in,agreement,agreement-zaf-register-dk012,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-21
0875.implementer.zaf-register-dk012,party,teach-a-man-to-fish,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-21,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-21
0875.funder.zaf-register-dk013,party,denmark,party_in,agreement,agreement-zaf-register-dk013,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-22
0875.funder.zaf-register-dk014,party,denmark,party_in,agreement,agreement-zaf-register-dk014,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-23
0875.implementer.zaf-register-dk014,party,sawea,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-23,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-23
0875.funder.zaf-register-dk015,party,denmark,party_in,agreement,agreement-zaf-register-dk015,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-24
0875.implementer.zaf-register-dk015,party,sturdee-energy,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-24,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-24
0875.funder.zaf-register-dk018,party,denmark,party_in,agreement,agreement-zaf-register-dk018,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-25
0875.funder.zaf-register-dk019,party,denmark,party_in,agreement,agreement-zaf-register-dk019,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-26
0875.funder.zaf-register-dk020,party,denmark,party_in,agreement,agreement-zaf-register-dk020,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-27
0875.implementer.zaf-register-dk020,party,world-wide-fund-for-nature-south-africa-wwf,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-27,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-27
0875.funder.zaf-register-eu001,party,european-union,party_in,agreement,agreement-zaf-register-eu001,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-28
0875.implementer.zaf-register-eu001,party,presidential-climate-commission,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-28,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-28
0875.funder.zaf-register-eu002,party,european-union,party_in,agreement,agreement-zaf-register-eu002,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-29
0875.funder.zaf-register-eu003,party,european-union,party_in,agreement,agreement-zaf-register-eu003,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-30
0875.implementer.zaf-register-eu003,party,presidential-climate-commission,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-30,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-30
0875.funder.zaf-register-eu004,party,european-union,party_in,agreement,agreement-zaf-register-eu004,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-31
0875.implementer.zaf-register-eu004,party,presidential-climate-commission,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-31,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-31
0875.funder.zaf-register-eu005,party,european-union,party_in,agreement,agreement-zaf-register-eu005,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-32
0875.funder.zaf-register-eu006,party,european-union,party_in,agreement,agreement-zaf-register-eu006,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-33
0875.implementer.zaf-register-eu006,party,university-of-cape-town,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-33,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-33
0875.funder.zaf-register-eu007,party,european-union,party_in,agreement,agreement-zaf-register-eu007,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-34
0875.implementer.zaf-register-eu007,party,university-of-johannesburg,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-34,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-34
0875.funder.zaf-register-eu008,party,european-union,party_in,agreement,agreement-zaf-register-eu008,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-35
0875.funder.zaf-register-eu010,party,european-union,party_in,agreement,agreement-zaf-register-eu010,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-36
0875.funder.zaf-register-eu011,party,european-union,party_in,agreement,agreement-zaf-register-eu011,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-37
0875.funder.zaf-register-eu012,party,european-union,party_in,agreement,agreement-zaf-register-eu012,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-38
0875.funder.zaf-register-eu013,party,european-union,party_in,agreement,agreement-zaf-register-eu013,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-39
0875.implementer.zaf-register-eu013,party,afd,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-39,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-39
0875.funder.zaf-register-eu014,party,european-union,party_in,agreement,agreement-zaf-register-eu014,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-40
0875.funder.zaf-register-eu015,party,european-union,party_in,agreement,agreement-zaf-register-eu015,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-41
0875.implementer.zaf-register-eu015,party,giz,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-41,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-41
0875.funder.zaf-register-eu016,party,european-union,party_in,agreement,agreement-zaf-register-eu016,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-42
0875.implementer.zaf-register-eu016,party,kfw,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-42,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-42
0875.funder.zaf-register-eu017,party,european-union,party_in,agreement,agreement-zaf-register-eu017,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-43
0875.funder.zaf-register-eu018,party,european-union,party_in,agreement,agreement-zaf-register-eu018,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-44
0875.funder.zaf-register-eu019,party,european-union,party_in,agreement,agreement-zaf-register-eu019,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-45
0875.implementer.zaf-register-eu019,party,eib,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-45,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-45
0875.funder.zaf-register-eu020,party,european-union,party_in,agreement,agreement-zaf-register-eu020,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-46
0875.implementer.zaf-register-eu020,party,climate-fund-managers,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-46,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-46
0875.funder.zaf-register-eu021,party,european-union,party_in,agreement,agreement-zaf-register-eu021,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-47
0875.implementer.zaf-register-eu021,party,kfw,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-47,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-47
0875.funder.zaf-register-fr001,party,france,party_in,agreement,agreement-zaf-register-fr001,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-48
0875.funder.zaf-register-fr002,party,france,party_in,agreement,agreement-zaf-register-fr002,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-49
0875.funder.zaf-register-fr003,party,france,party_in,agreement,agreement-zaf-register-fr003,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-50
0875.funder.zaf-register-fr004,party,france,party_in,agreement,agreement-zaf-register-fr004,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-51
0875.funder.zaf-register-fr005,party,france,party_in,agreement,agreement-zaf-register-fr005,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-52
0875.funder.zaf-register-fr006,party,france,party_in,agreement,agreement-zaf-register-fr006,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-53
0875.implementer.zaf-register-fr006,party,cst,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-53,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-53
0875.funder.zaf-register-fr007,party,france,party_in,agreement,agreement-zaf-register-fr007,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-54
0875.implementer.zaf-register-fr007,party,dbsa,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-54,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-54
0875.funder.zaf-register-fr009,party,france,party_in,agreement,agreement-zaf-register-fr009,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-55
0875.funder.zaf-register-fr010,party,france,party_in,agreement,agreement-zaf-register-fr010,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-56
0875.funder.zaf-register-fr011,party,france,party_in,agreement,agreement-zaf-register-fr011,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-57
0875.implementer.zaf-register-fr011,party,western-cape-economic-development-partnership,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-57,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-57
0875.funder.zaf-register-fr012,party,france,party_in,agreement,agreement-zaf-register-fr012,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-58
0875.funder.zaf-register-fr013,party,france,party_in,agreement,agreement-zaf-register-fr013,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-59
0875.funder.zaf-register-fr014,party,france,party_in,agreement,agreement-zaf-register-fr014,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-60
0875.funder.zaf-register-fr015,party,france,party_in,agreement,agreement-zaf-register-fr015,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-61
0875.funder.zaf-register-fr016,party,france,party_in,agreement,agreement-zaf-register-fr016,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-62
0875.funder.zaf-register-fr017,party,france,party_in,agreement,agreement-zaf-register-fr017,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-63
0875.funder.zaf-register-fr019,party,france,party_in,agreement,agreement-zaf-register-fr019,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-64
0875.funder.zaf-register-fr020,party,france,party_in,agreement,agreement-zaf-register-fr020,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-65
0875.implementer.zaf-register-fr020,party,jet-funding-platform-carmen-mollman,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-65,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-65
0875.funder.zaf-register-fr021,party,france,party_in,agreement,agreement-zaf-register-fr021,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-66
0875.funder.zaf-register-fr022,party,france,party_in,agreement,agreement-zaf-register-fr022,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-67
0875.implementer.zaf-register-fr022,party,tournesol,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-67,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-67
0875.funder.zaf-register-fp001-1,party,jet-funding-platform,party_in,agreement,agreement-zaf-register-fp001-1,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-68
0875.funder.zaf-register-fp001-2,party,jet-funding-platform,party_in,agreement,agreement-zaf-register-fp001-2,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-69
0875.funder.zaf-register-fp001-3,party,jet-funding-platform,party_in,agreement,agreement-zaf-register-fp001-3,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-70
0875.implementer.zaf-register-fp001-3,party,national-business-initiative,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-70,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-70
0875.funder.zaf-register-fp001-4,party,jet-funding-platform,party_in,agreement,agreement-zaf-register-fp001-4,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-71
0875.implementer.zaf-register-fp001-4,party,indalo-inclusive,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-71,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-71
0875.funder.zaf-register-fp001-5,party,jet-funding-platform,party_in,agreement,agreement-zaf-register-fp001-5,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-72
0875.implementer.zaf-register-fp001-5,party,flxev,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-72,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-72
0875.funder.zaf-register-gr001,party,germany,party_in,agreement,agreement-zaf-register-gr001,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-73
0875.implementer.zaf-register-gr001,party,eskom,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-73,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-73
0875.funder.zaf-register-gr002,party,germany,party_in,agreement,agreement-zaf-register-gr002,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-74
0875.implementer.zaf-register-gr002,party,dmre,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-74,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-74
0875.funder.zaf-register-gr003,party,germany,party_in,agreement,agreement-zaf-register-gr003,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-75
0875.implementer.zaf-register-gr003,party,dmre,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-75,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-75
0875.funder.zaf-register-gr004,party,germany,party_in,agreement,agreement-zaf-register-gr004,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-76
