item_id,country,source_id,source_version,route,expected_item,expected_count,financial_semantics,date_semantics,retention,disposition,country_owner
idn-idn-jica-mrt-east-west-2024,IDN,idn-jica-mrt-east-west-2024,b8246fd6f87868fa017035147709ab31724ae8d2a08e83c4b62d74d7d57a41a8,html,Signing of Japanese ODA Loan Agreement with Indonesia: Contributing to an alleviation in traffic congestion through construction of MRT,1,announced_finance_or_event,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-jica-mrt-north-south-2023,IDN,idn-jica-mrt-north-south-2023,713bf4e23711a5d0c913224dcd8841f275b52462cfd9dd31cb0812c3fe42f577,html,Signing of Japanese ODA loan agreements with Indonesia: Supporting economic growth and climate action and deepening bilateral relations,1,announced_finance_or_event,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-news-cirebon-retirement-reuters-2025,IDN,idn-news-cirebon-retirement-reuters-2025,9803416b0403f306f9d91b12346f7e702de57d338479419b9bf0667a320f5766,html,Indonesia backpedals on retiring Cirebon coal power plant early,1,source_specific_review_required,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-news-legok-groundbreaking-antara-2026,IDN,idn-news-legok-groundbreaking-antara-2026,6eeeb5f0aa5307757101dd41e33ccac6de1c049ebf88d92ddad2dcf511165c77,html,Legok Nangka PSEL to boost waste management and clean energy,1,source_specific_review_required,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-candi-umbul,IDN,idn-portfolio-candi-umbul,b36d596de0a904a9df6d2028e5dd7da500dfb29558c0cbe1122838a93a778a65,html,Candi Umbul Geothermal Project,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-carbon-monetization,IDN,idn-portfolio-carbon-monetization,392231da596fe6037ef9dc219a114698a8c9fb8a901b23cd3670ceb45e4cb1a7,html,Carbon Monetization,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-case,IDN,idn-portfolio-case,eda8ee68a22d24662b1a6a78c51395f6213b5ba2e0bfbb5f8511fc9c3278abd8,html,Clean Affordable and Secure Energy for Southeast Asia CASE,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-cefim,IDN,idn-portfolio-cefim,2b7b8276963a8f069b5f358bdcba59a244c0b4f3ee6d69561d1fa9e628781501,html,Clean Energy Finance and Investment Mobilisation CEFIM Programme,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-cetp,IDN,idn-portfolio-cetp,1c23d046d1018acaced6ffc865a1f6f0fa9b9bf44ba902cd74b59c333e132f05,html,Clean Energy Transition Program CETP,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-cfpp-repurposing,IDN,idn-portfolio-cfpp-repurposing,a2cf03c30488fa88221fce491eb5a6d334d9f25faf9fc6b97e34b812142cbad6,html,Coal-Fired Power Plant Site Repurposing,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-efsd,IDN,idn-portfolio-efsd,b106c4937b24ed53f30fdb131d2de8fccd2c600e3a3dcef3b5fcdc5b69b78b47,html,European Fund for Sustainable Development Plus energy project preparation,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-energy-hub,IDN,idn-portfolio-energy-hub,f1dd20e2bdd194a17227f3f67ce7f7a28a124d35d32c94cec54bdf1d493952e3,html,Energy Hub,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-enerkey,IDN,idn-portfolio-enerkey,7959c91414d0e2a9b684837c95ea90c51ca0f83b915c02e4113376168944ec0a,html,EnerKey Project,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-entri,IDN,idn-portfolio-entri,1da39c852a12ddd4bf4c285cf617db37eb30087de016b3992890019626898be8,html,Renewable Energy Mini-Grids Triangular Cooperation ENTRI,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-esmap-canada,IDN,idn-portfolio-esmap-canada,f690fce534af1d0b26ede04816a04a5bd984e99d965de0a6d52e8249b7c23904,html,Energy Sector Management Assistance Program ESMAP Canada,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-esmap-uk,IDN,idn-portfolio-esmap-uk,2e81b87d5b706704e96374b10ef31d493c53ff666a66e8daf33295cb45b027b5,html,Energy Sector Management Assistance Program UK,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-etap,IDN,idn-portfolio-etap,fca089fa078399c9c35be0e4e175bafecbdc0f5a45ccb1efaf9f5145de6e73c3,html,Energy Transition Acceleration Programme ETAP,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-etmptf,IDN,idn-portfolio-etmptf,447f51f5111bdf21d628d823c482441898f97f7209d9b85140f93f28ac9b510e,html,Energy Transition Mechanism Partnership Trust Fund ETMPTF,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-etp,IDN,idn-portfolio-etp,272849c8b5275d7237b7fd82f37ad74237833f44df099ecf455dfc211bf1d99e,html,South East Asia Energy Transition Partnership ETP,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-euicf,IDN,idn-portfolio-euicf,745ad9d8da149cbb1fdbc24a3754d57ca10f0d98a48b2f3e202e27649391dd3a,html,EU-Indonesia Cooperation Facility,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-explore,IDN,idn-portfolio-explore,2e1dc8c230a373e44dabbcd0ac722762bbfb791ad6a79fd1482ea3502ab67a56,html,Strategic Exploration of Economic Mitigation Potentials through Renewables ExploRE,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-gesit,IDN,idn-portfolio-gesit,749ca75a13d63163ab73df1095aaafe8d43a68437d6c56ad25c7e84634cc6892,html,Green Jobs for Social Inclusion and Sustainable Transformation GESIT,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-green-energy-transition,IDN,idn-portfolio-green-energy-transition,721cb35a8ed94429e3c5b4c6ccf4bd622c2dd659a6823e18578ee846a4274164,html,Green Energy Transition Indonesia,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-growth-gateway,IDN,idn-portfolio-growth-gateway,76393f19e906fca4e783255b14efcaab84af2de52af5ec0b1e6ae01d8aca3eed,html,Growth Gateway,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-ietf,IDN,idn-portfolio-ietf,55dd7f617bfc97ac518b3a1c943612c6b790e198aa68e63cefd64a89f74738e7,html,Indonesia Energy Transition Facility IETF,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-iki-flex,IDN,idn-portfolio-iki-flex,1c923c0aa8b11c95cb764063c687d82524d53f4c798029f1ac3e104c9705ebc2,html,IKI-Flex JETP Support Package,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-iki-jet,IDN,idn-portfolio-iki-jet,85fb7a8c421204f61a6b73df8024be99cfe22c2c4d3d1ba4d9f2c6e64df3135c,html,Innovation Regions for a Just Energy Transition IKI JET,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-ipdf,IDN,idn-portfolio-ipdf,5f633f8d8a8f3a36e2bebd56193772dfafce15d7f09f2fb780dac9b21a9586c6,html,Indonesia Policy Dialogue Fund IPDF,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-jetp-esia,IDN,idn-portfolio-jetp-esia,00827c5c255c5fdb1ab6173dbda08550a083450bf0599131377a203c0d494ebc,html,Facilitating Financing for Indonesia JETP ESIA Study,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-jetp-financing,IDN,idn-portfolio-jetp-financing,9ce5d3fe56e575ff5c40f161e535cbe61052ea0748ac1877de29f4433e75cff8,html,Facilitating Financing for Indonesia Just Energy Transition Partnership,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-jt-coal-regions,IDN,idn-portfolio-jt-coal-regions,fa21515e1a50e5313a2bf63b2117aa9d3e95cd5dac657e6f6f08c5dcbb3c3047,html,Just Transition in Coal Regions,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-jt-framework,IDN,idn-portfolio-jt-framework,1e223e29c598ad8c28fb5f63ea2f23b5f30508c4d52b340d23823fbdb96aabed,html,Operationalisation of the Just Transition Framework in JETP Indonesia Phase 2,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-low-carbon-buildings,IDN,idn-portfolio-low-carbon-buildings,ba911394fd3c509f071ebeed46e994c7a739dbe00858ce59c37c47b1b25cf182,html,Asia Low Carbon Building Transition,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-mentari-policy,IDN,idn-portfolio-mentari-policy,da39eb10e001354c1e289d6e66a16c8f7e7f2b9f0e0b253c6f0155da68e3bf92,html,MENTARI Contributions to the JETP,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-mentari-vgf,IDN,idn-portfolio-mentari-vgf,0dfe829ffedbcf09f644aa1d6a179e190f302a2d5ad33ca666dd22c0378387fb,html,MENTARI Viability Gap Fund,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-patuha2,IDN,idn-portfolio-patuha2,6bfa7f6c8b0dd04ac0c67344d7fb722071787ba4efacd91764bb5a615e3acd33,html,Grant for Patuha Unit-2 Geothermal Power Generation Project,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-perform,IDN,idn-portfolio-perform,733edb413b208aa600f7a5d0124ae1afef3f84cff090073d2d3c045e2d6a8420,html,Performing Energy Transition through Fiscal Reform in Indonesia PERFORM,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-project-gecs,IDN,idn-portfolio-project-gecs,efe51d479eb32608cafe1006ecb5a7e01796ca0590c4861df4295df0991900ed,html,Green Energy Corridor Sulawesi GECS,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-project-hululais,IDN,idn-portfolio-project-hululais,115ab5fa40627db7f77bcf2750d209889b536dcfc240162c9421aeab38dff170,html,Geothermal Hululais Units 1 and 2,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-project-index-2026,IDN,idn-portfolio-project-index-2026,0f8bdc42089cd8817dd12082a583c25c667a202b3c9f33ec53dde4a1d4373c00,html,Current JETP project portfolio,1,discovery_or_snapshot,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-project-nagajaya,IDN,idn-portfolio-project-nagajaya,ac5d3eb835fb55acddca3cae5864743e476972476bebe5cb5b3d458a14afb0c6,html,Nagajaya Microhydro 6.5 MW,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-pt-smi-retirement,IDN,idn-portfolio-pt-smi-retirement,accb32a7b1f6384b55ba0d7c12243b7ad9ac23d8a178c485ababd559de012c5b,html,PT SMI Early Retirement Program,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-re2cool,IDN,idn-portfolio-re2cool,f2d1ee977fe2098714fabcb50d31d11250dc4b66591c33932aecddb789fdecc6,html,RE2Cool,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-re2grid,IDN,idn-portfolio-re2grid,5148669a25307990a966d2b4a1f7f6d5d40a5b0004b2f31987479fafa3237af5,html,RE2Grid,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-reep2,IDN,idn-portfolio-reep2,8f757cb8c6f4ba4644cce8bbb069d2148923b3f5ca085aea5fc46f8cf7e6a0d7,html,1000 Islands Renewable Energy for Electrification Programme Phase II REEP2,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-s4i,IDN,idn-portfolio-s4i,0e9b8c5b5a12beb08a8badd0cd2a9f91342b6a5d8baf1537580ee50a247e51b0,html,Support for Infrastructure Investments in Indonesia S4I,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-sdg-one,IDN,idn-portfolio-sdg-one,5e8254a2ea2b60ad5c94f272f09ff61ca82765d04a2d242dc87875121fdc11c6,html,SDG Indonesia One,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-secretariat-capacity,IDN,idn-portfolio-secretariat-capacity,63215d46f2ecab9ab410cd214aa1e722a23a3d81de8dfb14db8ae68c706b35fa,html,Institutional and Capacity Building Support for the JETP Secretariat,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-seti,IDN,idn-portfolio-seti,9d2d94808abc6771f413fe71e5943d54a880c5fc9ac9e3e970b237c9acd3a946,html,Sustainable Energy Transition in Indonesia SETI,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-sustainable-hydropower,IDN,idn-portfolio-sustainable-hydropower,35fe8b85fa047cda401bc6c141cc40d4cb13d345a87263559c901c80975efc87,html,Accompanying Measure Sustainable Hydropower,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-uk-pact,IDN,idn-portfolio-uk-pact,7360825990bb99286bff2bf6c719bea2d211380d940e23b082916bef33a0dca6,html,UK PACT Indonesia,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-portfolio-wolcot,IDN,idn-portfolio-wolcot,54d0792e063ebb0b4137787e2d7243719d9a85517afdb8fa4d286eea14792ec0,html,Women-Led Coal Transition Mechanism WOLCOT,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-project-cirebon-framework-marubeni,IDN,idn-project-cirebon-framework-marubeni,333d2f38db7860293b55a1375a798ffd61160037274af9c831b2612ff9202bcc,html,Memorandum of Understanding for Early Retirement of Cirebon-1 Coal-Fired Power Plant,1,announced_finance_or_event,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-project-dieng3-adb,IDN,idn-project-dieng3-adb,declared-undated,html,Geothermal Power Expansion Project - Dieng Unit 3,1,project_profile_not_finance,source_date_semantics_review_required,attempt_log_then_review,unavailable,0819
idn-idn-project-legok-agreement-ut-2024,IDN,idn-project-legok-agreement-ut-2024,bc6e03691da770a232e0603781e1267822b9cf2f562f50ef3f3941dc36163b41,html,Legok Nangka project cooperation agreement,1,announced_finance_or_event,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-project-rsud-retrofit-c40,IDN,idn-project-rsud-retrofit-c40,declared-undated,pdf,Retrofitting 27 Hospitals in Jakarta,1,operator_status_or_reported_finance,source_date_semantics_review_required,attempt_log_then_review,unavailable,0819
idn-idn-project-seg-construction-2024,IDN,idn-project-seg-construction-2024,dc47a18e3e84f0468e9c6f1dfc430808af054f280f3c7b2814322366a1d7a6e9,html,SEG Solar held groundbreaking ceremony for Indonesia integrated photovoltaic manufacturing base,1,announced_finance_or_event,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-project-seg-operational-2025,IDN,idn-project-seg-operational-2025,8bf053001711b36d11f83ab7452fb4cf0796900564428e2bbaaef2311f07d479,html,SEG Solar Indonesia manufacturing base celebrates successful operation of Phase I,1,announced_finance_or_event,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-project-singkarak-acwa-2022,IDN,idn-project-singkarak-acwa-2022,bc951c10470a410bba95196a4c1ebf85bcaac62913b9d3d95a7406f8fd026095,html,ACWA Power set to enter Indonesia with two floating solar PV projects,1,announced_finance_or_event,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-project-sutami-construction-plnnp-2026,IDN,idn-project-sutami-construction-plnnp-2026,53fa40afb563bfd01f5492353299f0957fba8ead04c416e2e277a3b9c82473e6,html,PLN Nusantara Power strengthens Karangkates floating solar development,1,announced_finance_or_event,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-project-tanah-laut-plnnp,IDN,idn-project-tanah-laut-plnnp,433c7e0eee6cd9ce2da340cbfaf10c32b9dd00296c563100daaa86f7c2dcc4fe,html,Green flagship projects: Tanah Laut wind power plant,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-project-tanah-laut-ppa-ptplnnr,IDN,idn-project-tanah-laut-ppa-ptplnnr,03684085ff7865b8526c7558679f792344d2df830894216eb1af6b6a3a0110e7,html,PJBI Total Eren and Adaro Power sign Tanah Laut wind PPA,1,announced_finance_or_event,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-world-bank-isle1-2023,IDN,idn-world-bank-isle1-2023,1d935814a897512bc9afc417fa069e0e32b1a590b2bb95641e47daf4cb4abc7f,html,World Bank Supports Increased Access to Sustainable and Lower-Cost Electricity in Eastern Indonesia,1,announced_finance_or_event,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-world-bank-isle1-technical-assessment-2022,IDN,idn-world-bank-isle1-technical-assessment-2022,114029a6f554d2a6b20dc66bcc6c412b1d2d3c35d6f496abceb5cc3d885717d8,pdf,Sustainable Least-Cost Electrification-1 Technical Assessment,1,approval_not_disbursement,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
sen-sen-aeme-project-08,SEN,sen-aeme-project-08,0c10795a5bd4fa473cfdd9d60a671fc99b51224de72426f5460d2953afb5c4a7,html,Eclairage efficace des bâtiments,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0821
sen-sen-aeme-project-09,SEN,sen-aeme-project-09,6bc04c30441f77174b9131140f902f301ea2e1f7dd08a75404de7cd7101320ea,html,Eclairage public efficace et intégré,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0821
sen-sen-aeme-project-10,SEN,sen-aeme-project-10,d174067e2ef1b1e4108c2e86f2265a6f443457639cf2f8ab7e81b7b4341b011c,html,Ecofridges,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0821
sen-sen-aeme-project-11,SEN,sen-aeme-project-11,e9d23ef86d47277b941f0d99813b0073ffab021f924a1a8100b40dbf5fd1223e,html,"Mise à niveau des bâtiments, solarisation et digitalisation",1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0821
