ordinal,project_id,official_unique_id,project_name,portfolios,funding_partners,funding_instrument,amount_pledged_original,currency_pledged,amount_reported_usd,amount_reported_zar,implementation_status,register_financing_agreement_label,source_id,document_sha256,locator,disposition,date_role,transition_date,payment_amount,eligible_for_account
13,zaf-register-dk003,DK003,JT-Mpumalanga Wind Energy: Mining Rights Mapping,JT-Mpumalanga,Denmark,Grants,1087000,DKK,152180,2693586,D. Completed,2022-10-11T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK003",unadmitted_candidate,register_date_label_retained_not_transition,,,false
14,zaf-register-dk004,DK004,Municipal Climate Resilience Programme: Alternative Service Delivery in Nomzamo,JT-Mpumalanga,Denmark,Grants,2663000,DKK,372820.00000000006,6598914.000000001,D. Completed,2022-10-11T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK004",unadmitted_candidate,register_date_label_retained_not_transition,,,false
15,zaf-register-dk005,DK005,JT-Mpumalanga Wind Energy: Mpumalanga Wind Atlas,JT-Mpumalanga,Denmark,Grants,15000000,DKK,2250000,39825000,C. Implementation Phase,2023-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK005",unadmitted_candidate,register_date_label_retained_not_transition,,,false
16,zaf-register-dk006,DK006,Just Transition Support Programme,Electricity,Denmark,Grants,21057000,DKK,3158550,55906335,C. Implementation Phase,2022-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK006",unadmitted_candidate,register_date_label_retained_not_transition,,,false
17,zaf-register-dk008,DK008,Skills Research Programme,Skills,Denmark,Grants,6300000,DKK,945000,16726500,C. Implementation Phase,2022-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK008",unadmitted_candidate,register_date_label_retained_not_transition,,,false
18,zaf-register-dk009,DK009,Skills Research Programme,Skills,Denmark,Grants,11250000,DKK,1687500,29868750,C. Implementation Phase,2022-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK009",unadmitted_candidate,register_date_label_retained_not_transition,,,false
19,zaf-register-dk010,DK010,Skills Research Programme,Skills,Denmark,Grants,42000000,DKK,6300000,111510000,C. Implementation Phase,2022-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK010",unadmitted_candidate,register_date_label_retained_not_transition,,,false
20,zaf-register-dk011,DK011,Skills Capacity Development Initiative,Skills,Denmark,Grants,2000000,DKK,300000,5310000,C. Implementation Phase,2023-10-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK011",unadmitted_candidate,register_date_label_retained_not_transition,,,false
21,zaf-register-dk012,DK012,JT-Mpumalanga Skills Development: Green Entrepreneurship Skills,JT-Mpumalanga,Denmark,Grants,500000,DKK,75000,1327500,D. Completed,2024-07-31T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK012",unadmitted_candidate,register_date_label_retained_not_transition,,,false
22,zaf-register-dk013,DK013,Electricity Infrastructure Development,Electricity,Denmark,Grants,3000000,DKK,450000,7965000,C. Implementation Phase,2024-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK013",unadmitted_candidate,register_date_label_retained_not_transition,,,false
23,zaf-register-dk014,DK014,Electricity Wind Energy Project,Electricity,Denmark,Grants,800000,DKK,120000,2124000,D. Completed,2023-06-25T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK014",unadmitted_candidate,register_date_label_retained_not_transition,,,false
24,zaf-register-dk015,DK015,Sturdee Energy Equity Investment,Electricity,Denmark,"Commercial Debt, Equity & Guarantees",22000000,USD,22000000,389620000,C. Implementation Phase,2024-12-09T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK015",unadmitted_candidate,register_date_label_retained_not_transition,,,false
25,zaf-register-dk018,DK018,SADEPP,Electricity,Denmark,Grants,80000000,DKK,12000000,212400000,A. Planned,2026-05-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK018",unadmitted_candidate,register_date_label_retained_not_transition,,,false
26,zaf-register-dk019,DK019,JET Youth seminar,Skills,Denmark,Grants,27500,DKK,3850.0000000000005,68145,D. Completed,2025-05-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK019",unadmitted_candidate,register_date_label_retained_not_transition,,,false
27,zaf-register-dk020,DK020,Reducing Food Loss and Waste (FLW) and Building Climate Resilience Among Smallholder Farmers in South Africa,JT-Mpumalanga,Denmark,Grants,2500000,DKK,375000,6637500,C. Implementation Phase,2025-11-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK020",unadmitted_candidate,register_date_label_retained_not_transition,,,false
28,zaf-register-eu001,EU001,PCC Energy Modelling Support,Electricity,European Union,Grants,150000,EUR,162000,2852820,D. Completed,2022-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU001",unadmitted_candidate,register_date_label_retained_not_transition,,,false
29,zaf-register-eu002,EU002,Climate Champions CSO Programme,Electricity,European Union,Grants,2000000,EUR,2160000,38232000,C. Implementation Phase,2021-11-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU002",unadmitted_candidate,register_date_label_retained_not_transition,,,false
30,zaf-register-eu003,EU003,PCC Stakeholder and Community Engagement Support,JT-Mpumalanga,European Union,Grants,80000,EUR,86400,1529280,C. Implementation Phase,2024-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU003",unadmitted_candidate,register_date_label_retained_not_transition,,,false
31,zaf-register-eu004,EU004,PCC Energy Modelling Support,Electricity,European Union,Grants,20000,EUR,21600,380376,D. Completed,2023-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU004",unadmitted_candidate,register_date_label_retained_not_transition,,,false
32,zaf-register-eu005,EU005,Municipal Climate Resilience Programme,Municipalities,European Union,Grants,15000000,EUR,16200000.000000002,286740000,C. Implementation Phase,2023-04-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU005",unadmitted_candidate,register_date_label_retained_not_transition,,,false
33,zaf-register-eu006,EU006,Skills Research Programme,Skills,European Union,Grants,160000,EUR,172800,3058560,C. Implementation Phase,2022-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU006",unadmitted_candidate,register_date_label_retained_not_transition,,,false
34,zaf-register-eu007,EU007,Skills Research Programme,Skills,European Union,Grants,250000,EUR,270000,4779000,C. Implementation Phase,2022-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU007",unadmitted_candidate,register_date_label_retained_not_transition,,,false
35,zaf-register-eu008,EU008,Green Hydrogen Infrastructure Development,Electricity,European Union,Grants,35000000,EUR,37800000,669060000,C. Implementation Phase,2024-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU008",unadmitted_candidate,register_date_label_retained_not_transition,,,false
36,zaf-register-eu010,EU010,Skills Research Programme,Skills,European Union,Grants,0,EUR,0,0,A. Planned,2022-01-03T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU010",unadmitted_candidate,register_date_label_retained_not_transition,,,false
37,zaf-register-eu011,EU011,Technical Assistance Facility Support to South Africa's Just Energy Transition,Energy Efficiency,European Union,Grants,10000000,EUR,10800000,191160000,C. Implementation Phase,2026-06-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU011",unadmitted_candidate,register_date_label_retained_not_transition,,,false
38,zaf-register-eu012,EU012,Green Hydrogen Development Programme,Skills,European Union,Grants,20000000,EUR,21600000,382320000,C. Implementation Phase,2023-01-03T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU012",unadmitted_candidate,register_date_label_retained_not_transition,,,false
39,zaf-register-eu013,EU013,JT-Mpumalanga Solar Energy: MSME Green Energy Finance Support,JT-Mpumalanga,European Union,Grants,32000000,EUR,34560000,611712000,A. Planned,2023-01-03T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU013",unadmitted_candidate,register_date_label_retained_not_transition,,,false
40,zaf-register-eu014,EU014,Electricity Technical Assistance Programme,Electricity,European Union,Grants,100000,EUR,108000,1905120,D. Completed,2023-01-03T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU014",unadmitted_candidate,register_date_label_retained_not_transition,,,false
41,zaf-register-eu015,EU015,Green Hydrogen Development Programme,Green hydrogen,European Union,Grants,25500000,EUR,27540000,487458000,A. Planned,,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU015",unadmitted_candidate,register_date_label_retained_not_transition,,,false
42,zaf-register-eu016,EU016,Green Hydrogen Infrastructure Development,NEVs,European Union,"Commercial Debt, Equity & Guarantees",29500000,EUR,31860000.000000004,563922000,A. Planned,,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU016",unadmitted_candidate,register_date_label_retained_not_transition,,,false
43,zaf-register-eu017,EU017,"For audits for Skills, MSME and TA Facility",Electricity,European Union,Grants,1000000,EUR,1080000,19116000,A. Planned,,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU017",unadmitted_candidate,register_date_label_retained_not_transition,,,false
44,zaf-register-eu018,EU018,Municipal Climate Resilience Programme,Skills,European Union,Grants,26000000,EUR,28080000,497016000,A. Planned,,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU018",unadmitted_candidate,register_date_label_retained_not_transition,,,false
45,zaf-register-eu019,EU019,IIPSA Grant - EIB- JETP,Road to Rail,European Union,Grants,21000000,EUR,22680000,401436000,C. Implementation Phase,,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU019",unadmitted_candidate,register_date_label_retained_not_transition,,,false
46,zaf-register-eu020,EU020,Support to Southern Africa's green hydrogen value chain — implemented by Climate Investor 3,Green hydrogen,European Union,Grants,25000000,EUR,27000000,477900000,C. Implementation Phase,,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU020",unadmitted_candidate,register_date_label_retained_not_transition,,,false
47,zaf-register-eu021,EU021,PtX Blended Facility,Green hydrogen,European Union,Grants,20000000,EUR,21600000,382320000,C. Implementation Phase,,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID EU021",unadmitted_candidate,register_date_label_retained_not_transition,,,false
48,zaf-register-fr001,FR001,Electricity Technical Assistance Programme,Electricity,France,Grants,630000,EUR,680400,11981844,D. Completed,2022-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR001",unadmitted_candidate,register_date_label_retained_not_transition,,,false
49,zaf-register-fr002,FR002,Electricity Solar Energy Project,Electricity,France,Grants,275000,EUR,297000,5256900,B. Approved,2022-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR002",unadmitted_candidate,register_date_label_retained_not_transition,,,false
50,zaf-register-fr003,FR003,Municipal Climate Resilience Programme: Steve Tshwete Diversification Support,JT-Mpumalanga,France,Grants,500000,EUR,540000,9558000,D. Completed,2021-11-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR003",unadmitted_candidate,register_date_label_retained_not_transition,,,false
51,zaf-register-fr004,FR004,Municipal Climate Resilience Programme: Steve Tshwete Community Explorer,JT-Mpumalanga,France,Grants,200000,EUR,216000,3803760,D. Completed,2022-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR004",unadmitted_candidate,register_date_label_retained_not_transition,,,false
52,zaf-register-fr005,FR005,Mpumalanga Just Transition Programme: Participatory Energy Transition Co-design,JT-Mpumalanga,France,Grants,357000,EUR,385560,6824412,D. Completed,2023-06-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR005",unadmitted_candidate,register_date_label_retained_not_transition,,,false
53,zaf-register-fr006,FR006,Municipal Climate Resilience Programme: Emalahleni Energy Poverty Study,JT-Mpumalanga,France,Grants,30000,EUR,32400.000000000004,573480,C. Implementation Phase,2022-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR006",unadmitted_candidate,register_date_label_retained_not_transition,,,false
54,zaf-register-fr007,FR007,Electricity Solar Energy Project,Electricity,France,Grants,150000,EUR,162000,2867400,C. Implementation Phase,2021-11-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR007",unadmitted_candidate,register_date_label_retained_not_transition,,,false
55,zaf-register-fr009,FR009,Mpumalanga Just Transition Programme: Steve Tshwete Social Policy Mapping,JT-Mpumalanga,France,Grants,15000,EUR,16200.000000000002,285282,D. Completed,2021-11-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR009",unadmitted_candidate,register_date_label_retained_not_transition,,,false
56,zaf-register-fr010,FR010,Mpumalanga Just Transition Programme: Mining Ghost Town Revitalisation Study,JT-Mpumalanga,France,Grants,120000,EUR,129600.00000000001,2282256,D. Completed,2021-11-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR010",unadmitted_candidate,register_date_label_retained_not_transition,,,false
57,zaf-register-fr011,FR011,PCC Just Transition Partnering Implementation Model,JT-Mpumalanga,France,Grants,20000,EUR,21600,380376,D. Completed,2022-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR011",unadmitted_candidate,register_date_label_retained_not_transition,,,false
58,zaf-register-fr012,FR012,Just Transition Support Programme,Skills,France,Grants,350000,EUR,378000,6690600,C. Implementation Phase,2023-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR012",unadmitted_candidate,register_date_label_retained_not_transition,,,false
59,zaf-register-fr013,FR013,Skills Communication Initiative,Skills,France,Grants,219500,EUR,237060.00000000003,4195962,C. Implementation Phase,2023-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR013",unadmitted_candidate,register_date_label_retained_not_transition,,,false
60,zaf-register-fr014,FR014,Just Transition Support Programme,Skills,France,Grants,210000,EUR,226800.00000000003,4014360.0000000005,C. Implementation Phase,2023-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR014",unadmitted_candidate,register_date_label_retained_not_transition,,,false
61,zaf-register-fr015,FR015,Mpumalanga Just Transition Programme: Social Protection Financing Study,JT-Mpumalanga,France,Grants,119000,EUR,128520.00000000001,2274804,D. Completed,2023-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR015",unadmitted_candidate,register_date_label_retained_not_transition,,,false
62,zaf-register-fr016,FR016,Mpumalanga Just Transition Programme: Nkangala Skills Ecosystem Mapping,JT-Mpumalanga,France,Grants,32000,EUR,34560,611712,D. Completed,2023-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR016",unadmitted_candidate,register_date_label_retained_not_transition,,,false
63,zaf-register-fr017,FR017,Municipal Climate Resilience Programme,Skills,France,Grants,70000,EUR,75600,1338120,D. Completed,2023-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR017",unadmitted_candidate,register_date_label_retained_not_transition,,,false
64,zaf-register-fr019,FR019,Skills Technical Assistance Programme,Skills,France,Grants,90000,EUR,97200,1720440,C. Implementation Phase,2024-09-04T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR019",unadmitted_candidate,register_date_label_retained_not_transition,,,false
65,zaf-register-fr020,FR020,JT-Mpumalanga Community Development: JET Funding Platform Operationalisation,JT-Mpumalanga,France,Grants,200000,EUR,216000,3823200,C. Implementation Phase,2024-11-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR020",unadmitted_candidate,register_date_label_retained_not_transition,,,false
66,zaf-register-fr021,FR021,JT-Mpumalanga Community Development: Komati Socio-economic Support,JT-Mpumalanga,France,Grants,200000,EUR,216000,3823200,A. Planned,,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR021",unadmitted_candidate,register_date_label_retained_not_transition,,,false
67,zaf-register-fr022,FR022,JT-Mpumalanga Community Development: Gender Mainstreaming Support,JT-Mpumalanga,France,Grants,100000,EUR,108000,1911600,B. Approved,2023-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FR022",unadmitted_candidate,register_date_label_retained_not_transition,,,false
68,zaf-register-fp001-1,FP001.1,Social Employment Fund -Komati,JT-Mpumalanga,JET Funding Platform,Grants,13000000,ZAR,734463.2768361582,13000000,C. Implementation Phase,,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FP001.1",unadmitted_candidate,register_date_label_retained_not_transition,,,false
69,zaf-register-fp001-2,FP001.2,TIPs: Just Transition Labour Centre,Skills,JET Funding Platform,Grants,20000000,ZAR,1129943.5028248588,20000000,C. Implementation Phase,,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FP001.2",unadmitted_candidate,register_date_label_retained_not_transition,,,false
70,zaf-register-fp001-3,FP001.3,JET-Skilling for Employment in Action,Skills,JET Funding Platform,Grants,35500000,ZAR,2005649.7175141245,35500000,C. Implementation Phase,,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID FP001.3",unadmitted_candidate,register_date_label_retained_not_transition,,,false
