ref_doi,indeg,title,author,year
10.1016/j.jbankfin.2007.12.039,35,"Socially responsible investments: Institutional aspects, performance, and investor behavior",Luc Renneboog,2008
10.7551/mitpress/2957.001.0001,35,Fairness in Adaptation to Climate Change,Adger,2006
10.1177/014920639101700108,35,Firm Resources and Sustained Competitive Advantage,Jay B. Barney,1991
10.1016/j.gloenvcha.2013.02.014,35,"Land tenure and REDD+: The good, the bad and the ugly",Anne Larson,2013
10.1016/j.jbankfin.2015.05.005,35,Carbon emissions and stock returns: evidence from the EU Emissions Trading Scheme,Oestreich,2015
10.5751/es-03610-150420,35,"Resilience Thinking: Integrating Resilience, Adaptability and Transformability",Carl Folke,2010
10.1080/1045575042000287299,35,Climate fraud and carbon colonialism: the new trade in greenhouse gases,Heidi Bachram,2004
10.1086/226550,35,Institutionalized Organizations: Formal Structure as Myth and Ceremony,John W. Meyer,1977
10.2307/258788,35,Managing Legitimacy: Strategic and Institutional Approaches,Suchman,1995
10.1017/cbo9780511494659,35,"The international climate change regime a guide to rules, institutions and procedures",Farhana Yamin,2004
10.1073/pnas.1019576108,35,Benchmark map of forest carbon stocks in tropical regions across three continents,Sassan Saatchi,2011
10.1016/s0140-6736(15)60854-6,35,Health and climate change: policy responses to protect public health,Nick Watts,2015
10.1016/j.jclepro.2018.05.250,35,From sustainability accounting to a green financing system: Institutional legitimacy and market heterogeneity in a global financial centre,Artie W. Ng,2018
10.1163/19426720-01202004,35,Cities and the Multilevel Governance of Global Climate Change,Michele M. Betsill,2006
10.1007/978-981-13-0227-5_13,35,Importance of Green Finance for Achieving Sustainable Development Goals and Energy Security,Jeffrey D. Sachs,2019
10.1038/nclimate2841,35,Roadmap towards justice in urban climate adaptation research,Linda Shi,2016
10.1016/j.jcorpfin.2021.101889,35,Firms and social responsibility: A review of ESG and CSR research in corporate finance,Stuart Gillan,2021
10.1017/cbo9781139177245,34,Managing the Risks of Extreme Events and Disasters to Advance Climate Change Adaptation,Christopher B. Field,2012
10.2307/2297111,34,The Lagrange Multiplier Test and its Applications to Model Specification in Econometrics,Trevor Breusch,1980
10.1016/j.enpol.2013.04.039,34,Green investment: Trends and determinants,Luc Eyraud,2013
10.1016/j.jbankfin.2010.12.002,34,The impact of corporate social responsibility on the cost of bank loans,Goss,2011
10.1038/nclimate2392,34,Betting on negative emissions,Sabine Fuss,2014
10.5547/issn0195-6574-ej-vol28-no3-5,34,"CO2 Prices, Energy and Weather",María Mansanet-Bataller,2007
10.1016/j.eneco.2022.106183,34,Does green finance counteract the climate change mitigation: Asymmetric effect of renewable energy investment and R&amp;D,Dongyang Zhang,2022
10.1016/j.renene.2019.01.010,34,Impact of renewable energy consumption and financial development on CO2 emissions and economic growth in the MENA region: A panel vector autoregressive (PVAR) analysis,L Charfeddine,2019
10.1007/s10584-011-0148-z,34,The representative concentration pathways: an overview,Detlef P. van Vuuren,2011
10.1093/reep/rev014,34,The European Union Emissions Trading System: Ten Years and Counting,A. Denny Ellerman,2015
10.1017/9781108284646,34,Governing Climate Change: Polycentricity in Action?,Jordan,2018
10.1073/pnas.0906974107,34,Consumption-based accounting of CO <sub>2</sub> emissions,Steven J. Davis,2010
10.1016/j.gloenvcha.2016.08.002,34,Why equity is fundamental in climate change policy research,Sonja Klinsky,2016
10.1126/science.1239402,34,Climate Change Impacts on Global Food Security,Tim Wheeler,2013
10.17265/2159-5313/2016.09.003,34,,,2016
10.4324/9780203889046,34,Adaptation to Climate Change: From Resilience to Transformation,Mark Pelling,2010
10.1016/j.eneco.2022.105945,34,"A step forward on sustainability: The nexus of environmental responsibility, green technology, clean energy and green finance",Mara Madaleno,2022
10.1016/j.eneco.2009.04.004,34,"Do economic, financial and institutional developments matter for environmental degradation? Evidence from transitional economies",Tamazian,2010
10.2469/faj.v74.n3.2,34,Why and How Investors Use ESG Information: Evidence from a Global Survey,Amir Amel‐Zadeh,2018
10.1126/science.ade3535,33,Action needed to make carbon offsets from forest conservation work for climate change mitigation,Thales A. P. West,2023
10.1111/1468-0084.0610s1631,33,A Comparative Study of Unit Root Tests with Panel Data and a New Simple Test,G. S. Maddala,1999
10.1016/j.eneco.2009.10.013,33,International climate policy architectures: Overview of the EMF 22 International Scenarios,Leon Clarke,2009
10.1016/j.enpol.2015.03.023,33,Environmental policies and risk finance in the green sector: Cross-country evidence,Chiara Criscuolo,2015
10.1016/j.jfs.2021.100873,33,The pricing of green bonds: are financial institutions special?,Serena Fatica,2021
10.1002/smj.2131,33,Corporate social responsibility and access to finance,Beiting Cheng,2013
10.1007/s11027-007-9105-6,33,Climate change: linking adaptation and mitigation through agroforestry,Louis Verchot,2007
10.1016/s0377-2217(99)00407-5,33,A slacks-based measure of efficiency in data envelopment analysis,Kaoru Tone,2001
10.1016/j.ecolecon.2021.107308,33,The impact of fintech innovation on green growth in China: Mediating effect of green finance,Guangyou Zhou,2021
10.1126/science.aah3443,33,A roadmap for rapid decarbonization,Johan Rockström,2017
10.2307/1913236,33,"Co-Integration and Error Correction: Representation, Estimation, and Testing",Robert F. Engle,1987
10.1162/glep_a_00294,33,"Building Productive Links between the UNFCCC and the Broader Global Climate Governance Landscape1. This article reflects and builds upon discussions at a December 2013 workshop held in Neemrana, India, sponsored by the Centre for Policy Research (New Delhi) and the Mitigation Action Plans and Scenarios (MAPS) program of the Energy Research Centre (Cape Town). This article builds on pp. 14–19 of the workshop report. See Centre for Policy Research 2014.",Michele M. Betsill,2015
10.1146/annurev.energy.30.050504.144511,33,ADAPTIVE GOVERNANCE OF SOCIAL-ECOLOGICAL SYSTEMS,Carl Folke,2005
10.1016/j.irfa.2021.101738,33,Why Do Institutional Investors Buy Green Bonds: Evidence from a Survey of European Asset Managers,Sangiorgi,2021
10.1111/j.1468-0335.2009.00843.x,33,Individual and Corporate Social Responsibility,Roland Bénabou,2009
10.1038/ngeo1477,33,Seagrass ecosystems as a globally significant carbon stock,JW Fourqurean,2012
10.2307/1912791,33,Investigating Causal Relations by Econometric Models and Cross-spectral Methods,Clive W. J. Granger,1969
10.1088/1748-9326/7/4/044009,33,An assessment of deforestation and forest degradation drivers in developing countries,Noriko Hosonuma,2012
10.1016/j.jclepro.2022.132548,33,Impacts of green finance on green innovation: A spatial and nonlinear perspective,Yongming Huang,2022
10.1016/j.renene.2022.12.066,33,Does green finance development goals affects renewable energy in China,Changzheng Li,2022
10.1016/j.gloenvcha.2008.12.003,33,Strategies to adapt to an uncertain climate change,Stéphane Hallegatte,2009
10.1126/science.1155358,33,Reducing Greenhouse Gas Emissions from Deforestation and Forest Degradation: Global Land-Use Implications,Lera Miles,2008
10.1073/pnas.1816020116,33,Global warming has increased global economic inequality,Noah S. Diffenbaugh,2019
10.1086/261725,33,Endogenous Technological Change,Paul Romer,1990
10.1111/geoj.12417,32,Critical climate justice,Farhana Sultana,2021
10.1080/14693062.2014.849452,32,Regional GHG reduction targets based on effort sharing: a comparison of studies,Niklas Höhne,2013
10.1016/j.energy.2020.117117,32,Emission reduction effect and carbon market efficiency of carbon emissions trading policy in China,Zhang,2020
10.1111/gcb.15310,32,Mapping the effectiveness of nature‐based solutions for climate change adaptation,Alexandre Chausson,2020
10.1016/j.enpol.2021.112295,32,Discovering research trends and opportunities of green finance and energy policy: A data-driven scientometric analysis,Moran Wang,2021
10.1038/d41586-019-03595-0,32,Climate tipping points — too risky to bet against,Timothy M. Lenton,2019
10.2307/j.ctt5vkrpp,32,The Climate Casino,William D. Nordhaus,2013
10.1016/j.enpol.2018.04.014,32,"Just transition: Integrating climate, energy and environmental justice",Darren McCauley,2018
10.1016/j.eap.2022.06.002,32,Does green finance inspire sustainable development? Evidence from a global perspective,Kai‐Hua Wang,2022
10.1038/nclimate2491,32,The carbon footprint of traditional woodfuels,Rob Bailis,2015
10.1287/mnsc.2014.1984,32,The Impact of Corporate Sustainability on Organizational Processes and Performance,Robert G. Eccles,2014
10.2308/accr.00000005,32,Voluntary Nonfinancial Disclosure and the Cost of Equity Capital: The Initiation of Corporate Social Responsibility Reporting,Dan S. Dhaliwal,2010
10.1080/24694452.2017.1293502,32,Climate Change and Financial Instability: Risk Disclosure and the Problematics of Neoliberal Governance,Brett Christophers,2017
10.1257/jep.23.2.29,32,The Economic Effects of Climate Change,Richard S.J. Tol,2009
10.1080/17487870.2016.1216416,32,Beyond market failures: the market creating and shaping roles of state investment banks,Mariana Mazzucato,2016
10.1080/13563467.2013.849674,32,The Political Economy of Energy Transitions: The Case of South Africa,Lucy Baker,2014
10.1890/10-1510.1,32,The value of estuarine and coastal ecosystem services,Barbier EB,2011
10.1002/jgrd.50171,32,Bounding the role of black carbon in the climate system: A scientific assessment,Tami C. Bond,2013
10.1016/j.econmod.2013.06.037,32,Does financial development reduce CO2 emissions in Malaysian economy? A time series analysis,Shahbaz,2013
10.1111/1468-0084.61.s1.14,32,Critical Values for Cointegration Tests in Heterogeneous Panels with Multiple Regressors,Peter Pedroni,1999
10.1016/j.eneco.2020.104941,32,Relationship between green bonds and financial and environmental variables: a novel time-varying causality,Hammoudeh,2020
10.1016/j.clipol.2003.10.004,31,Exploring equity and sustainable development in the new carbon economy,Kevin M. Brown,2003
10.1016/j.polgeo.2022.102638,31,The unbearable heaviness of climate coloniality,Sultana,2022
10.1007/s10584-005-8074-6,31,Tropical Deforestation and the Kyoto Protocol,Márcio Santilli,2005
10.1111/j.0020-8833.2004.00310.x,31,Transnational Networks and Global Environmental Governance: The Cities for Climate Protection Program,Michele M. Betsill,2004
10.1038/nclimate1354,31,Estimated carbon dioxide emissions from tropical deforestation improved by carbon-density maps,Alessandro Baccini,2012
10.1016/j.erss.2015.10.004,31,Energy justice: A conceptual review,Kirsten Jenkins,2015
10.1016/j.resourpol.2021.102476,31,An empirical analysis of the coupling and coordinative development of China's green finance and economic growth,Yin,2022
10.1038/d41586-019-01026-8,31,Restoring natural forests is the best way to remove atmospheric carbon,Simon L. Lewis,2019
10.1093/reep/rev016,31,The Impact of the European Union Emissions Trading Scheme on Regulated Firms: What Is the Evidence after Ten Years?,Ralf Martin,2015
10.1257/aer.100.3.641,31,Beyond markets and states: polycentric governance of complex economic systems,E Ostrom,2010
10.1016/j.jcorpfin.2021.102019,31,The impact of climate change on the cost of bank loans,Siamak Javadi,2021
10.1016/j.enpol.2011.02.026,31,The impact of financial development on carbon emissions: An empirical analysis in China,Yue‐Jun Zhang,2011
10.1038/s41560-020-0641-6,31,The justice and equity implications of the clean energy transition,Sanya Carley,2020
10.1257/aer.90.4.847,31,"Aid, Policies, and Growth",Craig Burnside,2000
10.2307/1882010,31,Job Market Signaling,Michael Spence,1973
10.1007/s10584-013-0905-2,31,A new scenario framework for climate change research: the concept of shared socioeconomic pathways,Brian C. O’Neill,2013
10.1198/073500102288618487,31,Dynamic Conditional Correlation,Robert F. Engle,2002
10.1038/s41558-018-0091-3,31,Scenarios towards limiting global mean temperature increase below 1.5 °C,Joeri Rogelj,2018
10.1162/rest_a_00470,31,Environmental Policy and Directed Technological Change: Evidence from the European Carbon Market,Raphael Calel,2014
10.1016/j.gloenvcha.2012.12.006,31,Dynamic adaptive policy pathways: A method for crafting robust decisions for a deeply uncertain world,Marjolijn Haasnoot,2013
10.2307/2233864,31,To Slow or Not to Slow: The Economics of The Greenhouse Effect,William D. Nordhaus,1991
10.1016/j.frl.2020.101533,31,How does investor attention influence the green bond market?,Linh Pham,2020
10.1073/pnas.0906865106,30,Nonlinear temperature effects indicate severe damages to U.S. crop yields under climate change,Wolfram Schlenker,2009
10.1016/j.gloenvcha.2010.03.005,30,Europe adapts to climate change: Comparing National Adaptation Strategies,Robbert Biesbroek,2010
10.1016/j.eneco.2009.02.008,30,Carbon futures and macroeconomic risk factors: A view from the EU ETS,Julien Chevallier,2009
10.1017/s0020818304582036,30,The Regime Complex for Plant Genetic Resources,Kal Raustiala,2004
10.1017/s0020818303572010,30,Delegation to International Organizations: Agency Theory and World Bank Environmental Reform.,Nielson,2003
10.1080/14693062.2021.1948384,30,Caught in between: credibility and feasibility of the voluntary carbon market post-2020,Nicolas Kreibich,2021
10.1016/j.cosust.2018.07.001,30,What is REDD+ achieving on the ground?,Amy E. Duchelle,2018
10.1016/j.gloenvcha.2010.08.002,30,“Indicators of vulnerability and adaptive capacity”: Towards a clarification of the science–policy interface,Jochen Hinkel,2010
10.1086/260062,30,The Pricing of Options and Corporate Liabilities,Fischer Black,1973
10.1007/s004420050201,30,Root biomass allocation in the world's upland forests,Michael A. Cairns,1997
10.1007/s10797-008-9082-z,30,Public policies against global warming: a supply side approach,Hans-Werner Sinn,2008
10.1038/s41558-018-0201-2,30,Making carbon pricing work for citizens,David Klenert,2018
10.2307/1879431,30,"The Market for ""Lemons"": Quality Uncertainty and the Market Mechanism",George A. Akerlof,1970
10.1016/j.jclepro.2020.123595,30,Dependence and risk spillovers between green bonds and clean energy markets,Liu,2021
10.1016/j.enpol.2015.01.026,30,Public policy influence on renewable energy investments—A panel data study across OECD countries,Friedemann Polzin,2015
10.2307/2234208,30,"Competing Technologies, Increasing Returns, and Lock-In by Historical Events",W. Brian Arthur,1989
10.1016/j.gloenvcha.2010.09.012,30,Are we adapting to climate change?,Lea Berrang‐Ford,2010
10.1111/gcb.15943,30,Systematic over‐crediting in California's forest carbon offsets program,Grayson Badgley,2021
10.3390/su13020975,30,What Do We Mean by Sustainable Finance? Assessing Existing Frameworks and Policy Risks,Marco Migliorelli,2021
10.1073/pnas.1900577117,30,Social tipping dynamics for stabilizing Earth’s climate by 2050,Ilona M. Otto,2020
10.1002/wcc.565,30,Explaining differential vulnerability to climate change: A social science review,Kimberley Anh Thomas,2018
10.1016/s0960-1481(00)00186-5,30,Barriers to renewable energy penetration; a framework for analysis,Jyoti Prasad Painuly,2001
10.1002/wcc.52,30,Climate justice and the international regime,Chukwumerije Okereke,2010
10.1016/j.jclepro.2020.121799,30,An evolutionary analysis of green finance sustainability based on multi-agent game,H Cui,2020
10.1257/000282802760015658,30,Induced Innovation and Energy Prices,David Popp,2001
10.1088/1748-9326/2/4/045023,30,Monitoring and estimating tropical forest carbon stocks: making REDD a reality,Holly Gibbs,2007
10.1080/09644016.2017.1327485,30,Non-state actors in global climate governance: from Copenhagen to Paris and beyond,Karin Bäckstrand,2017
10.1016/j.enpol.2009.09.002,30,Renewable energy consumption and economic growth: Evidence from a panel of OECD countries,Nicholas Apergis,2009
10.1080/13552070802696839,30,No climate justice without gender justice: an overview of the issues,Geraldine Terry,2009
10.2307/1925895,30,The Pure Theory of Public Expenditure,Paul A. Samuelson,1954
10.1016/s0167-8809(03)00138-5,30,Carbon sequestration in tropical agroforestry systems,Alain Albrecht,2003
10.1073/pnas.1222469111,30,Coastal flood damage and adaptation costs under 21st century sea-level rise,J Hinkel,2014
10.1177/0309132511425767,30,Global environmental change II,Karen O’Brien,2011
10.1126/science.1155121,29,"Forests and Climate Change: Forcings, Feedbacks, and the Climate Benefits of Forests",Gordon B. Bonan,2008
10.1126/science.aao3760,29,Sociotechnical transitions for deep decarbonization,Frank W. Geels,2017
10.1038/nclimate2350,29,Explaining and overcoming barriers to climate change adaptation,Klaus Eisenack,2014
10.1007/s10784-010-9138-2,29,Agency in international climate negotiations: the case of indigenous peoples and avoided deforestation,Heike Schroeder,2010
10.2307/1914185,29,Prospect Theory: An Analysis of Decision under Risk,Daniel Kahneman,1979
10.1016/j.jfineco.2014.10.010,29,A five-factor asset pricing model,Eugene F. Fama,2014
10.1086/260061,29,"Risk, Return, and Equilibrium: Empirical Tests",Eugene F. Fama,1973
10.1641/0006-3568(2001)051[0933:teotwa]2.0.co;2,29,Terrestrial Ecoregions of the World: A New Map of Life on Earth,David M. Olson,2001
10.1007/s10551-016-3207-6,29,"Carbon Risk, Carbon Risk Awareness and the Cost of Debt Financing",Ju-Hyun Jung,2016
10.1162/003355304772839588,29,How Much Should We Trust Differences-In-Differences Estimates?,Bertrand Moine,2004
10.1016/s0140-9883(02)00103-2,29,The market for tradable GHG permits under the Kyoto Protocol: a survey of model studies,Urs Springer,2003
10.1016/j.jenvman.2010.12.019,29,Tracking the implementation of green credit policy in China: Top-down perspective and bottom-up reform,B Zhang,2011
10.1080/14693062.2018.1467827,29,Carbon pricing in practice: a review of existing emissions trading systems,Easwaran Narassimhan,2018
10.1126/science.aab1336,29,Winning coalitions for climate policy,Jonas Meckling,2015
10.1017/cbo9781107415379,29,"Climate Change 2014 Impacts, Adaptation, and Vulnerability",Christopher B. Field,2014
10.1016/j.jclepro.2022.135131,29,"Green technological innovation, green finance, and financial development and their role in green total factor productivity: Empirical insights from China",Jiakui,2023
10.1016/j.aos.2008.04.003,29,Civilizing markets: Carbon trading between in vitro and in vivo experiments,Michel Callon,2008
10.1057/s41267-017-0125-5,29,The impact of climate risk on firm performance and financing choices: An international comparison,Henry He Huang,2017
10.1080/14693062.2019.1695571,29,Transparency requirements under the Paris Agreement and their (un)likely impact on strengthening the ambition of nationally determined contributions (NDCs),Romain Weikmans,2019
10.1177/0007650315570701,29,Sustainable Development and Financial Markets,Timo Busch,2015
10.1016/j.geoforum.2014.06.013,29,"Virtual nature, violent accumulation: The ‘spectacular failure’ of carbon offsetting at a Ugandan National Park",Connor Joseph Cavanagh,2014
10.1023/a:1015041613785,29,Burden Sharing and Fairness Principles in International Climate Policy,Lasse Ringius,2002
10.1016/j.worlddev.2004.07.011,29,Can Payments for Environmental Services Help Reduce Poverty? An Exploration of the Issues and the Evidence to Date from Latin America,Stefano Pagiola,2005
10.1007/s11356-022-19718-6,29,"A review of the global climate change impacts, adaptation, and sustainable mitigation measures",K Abbass,2022
10.1287/mnsc.42.8.1199,29,The Impact of Environmental Management on Firm Performance,Robert D. Klassen,1996
10.1016/j.gloenvcha.2015.01.004,29,The roads ahead: Narratives for shared socioeconomic pathways describing world futures in the 21st century,Brian C. O’Neill,2015
10.3982/ecta10217,29,Optimal Taxes on Fossil Fuel in General Equilibrium,Mikhail Golosov,2014
10.1016/j.jbankfin.2009.01.001,29,Modeling CO2 emission allowance prices and derivatives: Evidence from the European trading scheme,George Daskalakis,2009
10.1080/20430795.2018.1550993,28,The Surge of Impact Borrowing: The Magnitude and Determinants of Green Bond Supply and Its Heterogeneity Across Markets,Chiesa,2019
10.1257/aer.97.1.354,28,The Economic Impacts of Climate Change: Evidence from Agricultural Output and Random Fluctuations in Weather,Olivier Deschênes,2007
10.1007/s10113-017-1259-5,28,Mainstreaming climate adaptation: taking stock about “what works” from empirical research worldwide,Hens Runhaar,2017
10.1016/j.gloenvcha.2020.102071,28,What makes climate change adaptation effective? A systematic review of the literature,Gigi Owen,2020
10.1111/gcb.12629,28,Improved allometric models to estimate the aboveground biomass of tropical trees,J Chave,2014
10.1515/9783110874815-048,28,18. United Nations Framework Convention on Climate Change,,1993
10.1111/j.1467-8330.2012.00989.x,28,Banking Nature? The Spectacular Financialisation of Environmental Conservation,Sian Sullivan,2012
10.1068/c11126,28,Governing Climate Change Transnationally: Assessing the Evidence from a Database of Sixty Initiatives,Harriet Bulkeley,2012
10.1016/j.enpol.2009.12.048,28,The impact of financial development on energy consumption in emerging economies,Perry Sadorsky,2010
10.1016/j.gloenvcha.2013.12.002,28,Reconceptualising adaptation to climate change as part of pathways of change and response,Russ Wise,2014
10.1088/1748-9326/5/1/014007,28,Implications of incorporating air-quality co-benefits into climate change policymaking,Gregory F. Nemet,2010
10.1080/14693062.2007.9685639,28,Why different interpretations of vulnerability matter in climate change discourses,Karen O’Brien,2007
10.1016/j.enpol.2012.10.066,28,"Geographies of energy transition: Space, place and the low-carbon economy",Gavin Bridge,2012
10.1016/j.forpol.2011.05.006,28,Can “fragile states” decide to reduce their deforestation? The inappropriate use of the theory of incentives with respect to the REDD mechanism,Alain Karsenty,2011
10.1080/09505430500216783,28,"Marketing and making carbon dumps: Commodification, calculation and counterfactuals in climate change mitigation",Larry Lohmann,2005
10.1007/s11069-018-3502-x,28,Can Green Financial Development Promote Regional Ecological Efficiency? A Case Study of China,Liu,2019
10.1080/14693062.2019.1628695,28,Additionality revisited: guarding the integrity of market mechanisms under the Paris Agreement,Michaelowa,2019
10.1002/bse.2307,28,Sustainable financing practices through green bonds: What affects the funding size?,Suborna Barua,2019
10.5751/es-00650-090205,28,"Resilience, Adaptability and Transformability in Social-ecological Systems",Brian Walker,2004
10.1016/j.enpol.2020.112052,28,Nexus between energy efficiency and electricity reforms: A DEA-Based way forward for clean power development,Muhammad Mohsin,2021
10.1111/j.1467-9361.2006.00311.x,28,Bilateral Donors’ Interest vs. Recipients’ Development Motives in Aid Allocation: Do All Donors Behave the Same?,Jean‐Claude Berthélemy,2006
10.1177/0956247807076960,28,The rising tide: assessing the risks of climate change and human settlements in low elevation coastal zones,G McGranahan,2007
10.1007/s10584-007-9268-x,28,Portfolio screening to support the mainstreaming of adaptation to climate change into development assistance,Richard J. T. Klein,2007
10.1016/j.enpol.2006.06.005,28,Fostering a renewable energy technology industry: An international comparison of wind industry policy support mechanisms,Joanna I. Lewis,2006
10.1038/s41558-018-0182-1,28,Macroeconomic impact of stranded fossil fuel assets,JF Mercure,2018
10.1016/j.envsci.2012.10.006,28,Examining equity: A multidimensional framework for assessing equity in payments for ecosystem services,Melanie McDermott,2012
10.1111/j.1467-8330.2011.00879.x,28,The Matter of Carbon: Understanding the Materiality of tCO2e in Carbon Offsets,Adam Bumpus,2011
10.1111/j.1467-9930.1993.tb00093.x,28,Subsistence Emissions and Luxury Emissions,Henry Shue,1993
10.1016/s0301-4215(01)00098-2,28,Escaping carbon lock-in,Gregory C. Unruh,2002
10.1016/j.econmod.2014.03.005,28,"The impact of financial development, income, energy and trade on carbon emissions: Evidence from the Indian economy",Mohamed Amine Boutabba,2014
10.2307/1913827,28,Specification Tests in Econometrics,Jerry A. Hausman,1978
10.1038/s43016-021-00225-9,27,Food systems are responsible for a third of global anthropogenic GHG emissions,Crippa,2021
10.1038/nclimate3227,27,The key role of forests in meeting climate targets requires science for credible mitigation,G Grassi,2017
10.4324/9781315857688,27,"Planetary economics energy, climate change and the three domains of sustainable development",Michael Grubb,2014
10.1525/cmr.2011.54.1.64,27,The drivers of greenwashing,Delmas,2011
10.1002/wcc.462,27,"Carbon pricing in climate policy: seven reasons, complementary instruments, and political economy considerations",Andrea Baranzini,2017
10.1016/s0304-4076(99)00025-1,27,"Threshold Effects in Non-Dynamic Panels: Estimation, Testing, and Inference",Hansen,1999
10.1016/j.envsci.2010.01.002,27,Getting REDD to work locally: lessons learned from integrated conservation and development projects,Benjamin Blom,2010
10.1017/9781009157940.001,27,Summary for Policymakers,IPCC,2022
10.1038/s41560-018-0277-y,27,A dynamic analysis of financing conditions for renewable energy technologies,Florian Egli,2018
10.1016/j.enpol.2008.06.019,27,Key policy considerations for facilitating low carbon technology transfer to developing countries,David Ockwell,2008
10.1093/reep/ren005,27,Instrument Choice in Environmental Policy,Lawrence H. Goulder,2008
10.1016/j.jeem.2009.07.002,27,Allowance price drivers in the first phase of the EU ETS,Beat Hintermann,2009
10.1038/nclimate2572,27,Energy system transformations for limiting end-of-century warming to below 1.5 °C,Joeri Rogelj,2015
10.1057/s41260-018-00105-1,27,Stock market reaction to green bond issuance,Baulkaran,2019
10.1086/382247,27,Ethics and Global Climate Change,Stephen M. Gardiner,2004
10.1016/j.apenergy.2018.11.098,27,How do policies mobilize private finance for renewable energy?—A systematic review with an investor perspective,Friedemann Polzin,2019
10.1016/j.gloenvcha.2004.10.001,27,Equity and justice in climate change adaptation amongst natural-resource-dependent societies,David S.G. Thomas,2005
10.1257/jep.27.1.123,27,"Carbon Markets 15 Years after Kyoto: Lessons Learned, New Challenges",Richard G. Newell,2013
10.1016/j.ecolecon.2009.08.026,27,A review of recent multi-region input–output models used for consumption-based emission and resource accounting,Thomas Wiedmann,2009
10.1016/j.jclepro.2021.129458,27,"Digital finance, green technological innovation and energy-environmental performance: Evidence from China's regional economies",Shaopeng Cao,2021
10.1111/j.1758-5899.2010.00045.x,27,International Climate Policy after Copenhagen: Towards a ‘Building Blocks’ Approach,Robert Falkner,2010
10.1086/250042,27,Law and Finance,Rafael La Porta,1998
10.1177/1536867x0700700301,27,Robust Standard Errors for Panel Regressions with Cross-Sectional Dependence,Daniel Hoechle,2007
10.1016/j.resourpol.2022.102982,27,Testing the fluctuations of oil resource price volatility: a hurdle for economic recovery,X Xiuzhen,2022
10.1016/j.ecolecon.2008.03.010,27,Taking stock: A comparative analysis of payments for environmental services programs in developed and developing countries,Sven Wunder,2008
10.1080/17565529.2019.1624495,27,Beyond Technical Fixes: climate solutions and the great derangement,Andrea J. Nightingale,2019
10.1038/nclimate2384,27,Sharing a quota on cumulative carbon emissions,Michael Raupach,2014
10.1016/j.gloenvcha.2005.01.002,27,Adaptive capacity and human cognition: The process of individual adaptation to climate change,Torsten Grothmann,2005
10.1038/445597a,27,Climate change 2007: lifting the taboo on adaptation.,Roger A. Pielke,2007
10.2307/258963,27,A Natural-Resource-Based View of the Firm,Stuart L. Hart,1995
10.1016/j.resourpol.2021.102063,27,Nexus between energy poverty and energy efficiency: Estimating the long-run dynamics,Weiqing Li,2021
10.1504/ijge.2022.125554,27,Green finance research around the world: a review of literature,Peterson K Ozili,2022
10.1016/j.eneco.2010.08.007,27,Technology and the diffusion of renewable energy,David Popp,2010
10.1016/j.eneco.2023.106560,27,Do green finance and innovation matter for environmental protection? A case of OECD economies,Muhammad Umar,2023
10.1016/j.envsci.2010.11.008,27,"REDD+, transparency, participation and resource rights: The role of law Environmental",R Lyster,2011
10.1088/1748-9326/abdae9,27,Does carbon pricing reduce emissions? A review of ex-post analyses,Jessica Green,2021
10.1038/nature10452,27,Solutions for a cultivated planet,Jonathan A. Foley,2011
10.1016/j.oneear.2020.09.014,27,Maladaptation: When adaptation to climate change goes very wrong,ELF Schipper,2020
10.1016/j.enpol.2021.112254,27,The Financing Efficiency of Listed Energy Conservation and Environmental Protection Firms: Evidence and Implications for Green Finance in China,Jin,2021
10.1080/09644016.2013.755387,27,Theorising environmental justice: the expanding sphere of a discourse,David Schlosberg,2013
10.1016/j.envsci.2010.09.007,27,Locating REDD: A global survey and analysis of REDD readiness and demonstration activities,Gillian A. Cerbu,2010
10.1016/j.techfore.2006.03.002,27,Functions of innovation systems: A new approach for analysing technological change,Marko P. Hekkert,2006
10.1126/science.1152339,27,Prioritizing Climate Change Adaptation Needs for Food Security in 2030,David B. Lobell,2008
