ratifie,operation,financier,instrument,montant,devise,date,statut,document_source,localisation,confiance,notes
,Extension de Tri An — valorisation MOIT en USD,KfW,prêt,79000000,USD,2026-07-09,signé,moit-decision-1929-implementation-2026-07.html,Même paragraphe : « dự án mở rộng Nhà máy Thuỷ điện Trị An (79 triệu USD) »,medium,"DOUBLON de la ligne 65 M EUR. Taux implicite 1,215, différent des deux autres conversions du même paragraphe."
,STEP de Bac Ai (1 200 MW) — facilité de crédit consortiale,"AFD (chef de file), EIB, JICA, KfW, CDP, Proparco",prêt long terme (MoU / term sheet),480000000,EUR,2025-05-27,"annoncé (MoU, non signé)",uk-eu-jetp-progress-2025-05.html,"Corps du communiqué : « On 27 May 2025, a Memorandum of Understanding (MoU) was signed between EVN and AFD as coordinator of six IPG Development Finance Institutions (AFD, EIB, JICA, KfW, CDP, and Proparco) to provide up to €480 million »",high,"« up to » = plafond. Qualifié de MoU ici, de « agreement on the terms and conditions for a credit facility » par eeas-jetp-progress-2025-07.html, et de « Thỏa thuận tín dụng » (accord de crédit) par moit-jetp-projects-2025-07.html — trois qualifications juridiques différentes du même acte. Un term sheet distinct avait été signé le 12/05/2025 (evn-cdp-bacai-loi.html)."
,STEP de Bac Ai — assistance technique UE,Union européenne (gérée par l'AFD),don (assistance technique),10000000,EUR,2025-05-27,annoncé,uk-eu-jetp-progress-2025-05.html,"Même paragraphe : « The project also benefits from €10 million of technical assistance, funded by the EU and managed by AFD »",high,Confirmé par eeas-jetp-progress-2025-07.html et moit-jetp-projects-2025-07.html (« 10 triệu Euro hỗ trợ kỹ thuật từ EU »).
,STEP de Bac Ai — paquet Team Europe annoncé au Global Gateway Forum,"UE, AFD, EIB, KfW, CDP, Proparco",paquet mixte non ventilé,430000000,EUR,2025-10-09,annoncé,eib-bac-ai-430m-2025-10.html,Chapeau du communiqué : « the European Commission and other Team Europe actors announced a comprehensive €430 million package to advance the Bac Ai Pumped Hydro Storage Project »,high,"CONFLIT MAJEUR : 430 M€ ici contre 480 M€ (+10 M€ AT) en mai/juillet 2025 pour le même projet. Différence possible de périmètre : la JICA, membre du consortium des six, n'est pas un acteur Team Europe et est absente de la liste ici. 480 - 430 = 50 M€ ; hypothèse non vérifiable dans les documents locaux."
,STEP de Bac Ai — premier tirage AFD,AFD,prêt (credit agreement),76000000,EUR,2025-12-27,signé,vnplus-afd-bacai-76m-2025-12.html,"Titre « AFD provides 76-million-EUR loan » et 1er paragraphe : « EVN has announced that it signed a credit agreement with AFD for a loan worth 76 million EUR (89.47 million USD) ». Rang précisé au paragraphe suivant : « This is the first of six loans, totaling nearly 480 million EUR »",medium,"CONTRADICTION INTERNE AU DOCUMENT : le titre et le 1er paragraphe disent 76 M EUR (89,47 M USD), mais le paragraphe citant M. Nguyen Xuan Nam dit « the 76 million USD loan from AFD ». Confiance abaissée pour cette raison. Le fichier HTML est stocké gzippé : décompresser (zcat) avant lecture. Premier de six tirages du consortium."
,STEP de Bac Ai — coût total du projet,"n/a (coût projet, tous financements confondus)",n/a — investissement total,21100000000000,VND,2025-12-27,approuvé,vnplus-afd-bacai-76m-2025-12.html,"Chapeau sous le titre : « The Bac Ai hydropower project has a designed capacity of 1,200 MW, comprising four turbines of 300 MW each, with a total investment of 21.1 trillion VND (802.5 million USD) »",high,"Ligne de contexte, PAS un engagement de financeur. Sert de dénominateur : 480 M EUR de dette externe sur ~802,5 M USD de coût total. Taux implicite VND/USD = 26 293."
,STEP de Bac Ai — montant mobilisé déclaré par le MOIT,consortium des six IFD,prêt,565000000,USD,2026-07-09,engagé,moit-decision-1929-implementation-2026-07.html,Section « Hoàn thiện chính sách phát triển năng lượng » : « Dự án Thuỷ điện tích năng Bắc Ái (565 triệu USD) »,medium,"565 M USD ≈ 480 M EUR au taux 1,177. DOUBLON de la ligne en EUR. Écart possible avec le paquet de 430 M€ de l'EIB."
,STEP de Bac Ai — lettre d'intention CDP,Cassa Depositi e Prestiti (Italie),lettre d'intention (LOI),non chiffré dans le document,n/a,2025-09-04,annoncé,evn-cdp-bacai-loi.html,"1er paragraphe : « On the morning of September 4, 2025, within the framework of the Vietnam-Italy Business Forum held in Hanoi, EVN and Italy's CDP exchanged a Letter of Intent on cooperation for the Bac Ai Pumped-Storage Hydropower Plant Project »",high,Aucun montant publié pour la quote-part CDP. Ligne conservée pour tracer l'acte juridique. Le même document date le term sheet des six IFD au 12/05/2025 — antérieur au MoU du 27/05/2025 rapporté par UK/UE.
,Contribution combinée France+IPG aux deux projets phares,AFD + consortium IPG,prêts,547000000,EUR,2025-05-29,annoncé,uk-eu-jetp-progress-2025-05.html,Paragraphe suivant les deux annonces projet : « France's and IPG's €547 million financial contribution to these two flagship energy transition projects »,high,AGRÉGAT = 67 + 480. Exclut les 10 M€ d'AT. Ne pas additionner avec les lignes projet (double comptage).
,Ligne de crédit climat EIB Global / Techcombank,Banque européenne d'investissement (EIB Global),prêt-cadre / ligne de crédit à une banque commerciale,200000000,EUR,2026-03-24,annoncé,eib-techcombank-200m-2026.html,Premier bullet du chapeau : « The €200 million financing agreement between EIB Global and Techcombank was announced during the EU-Vietnam Global Gateway Business and Investment Forum in Hanoi ». Fiche projet en bas de page : « VIET NAM JETP CLIMATE ACTION FL I »,high,"Rattachement JETP explicite via l'intitulé de l'opération EIB « VIET NAM JETP CLIMATE ACTION FL I ». Accompagné d'un volet conseil (GFS) financé par l'Allemagne et le Luxembourg, non chiffré."
,Encours EIB cumulé au Viet Nam depuis 1997,Banque européenne d'investissement,cumul tous instruments,561000000,EUR,2025-03-12,décaissé/engagé (cumul historique),eib-jetp-mou-500m-2025-03.html,"Section « Strengthening Viet Nam's green transition through strategic investment », 1re phrase : « EIB Global has been a trusted partner of Viet Nam since 1997, providing over €561 million in financing »",high,"Cumul historique, très majoritairement antérieur au JETP. Ligne de contexte. Voir la ligne suivante pour la valeur de mars 2026."
,Encours EIB cumulé au Viet Nam depuis 1997 (mise à jour),Banque européenne d'investissement,cumul tous instruments,800000000,EUR,2026-03-24,décaissé/engagé (cumul historique),eib-techcombank-200m-2026.html,"Encadré « Background information », rubrique EIB : « active in Viet Nam since 1997, providing about €800 million to support sustainable infrastructure, renewable energy, climate action and urban transport »",high,"Pas un conflit avec la ligne précédente mais une progression en 12 mois (+239 M€), dont probablement les 200 M€ Techcombank. « about » — arrondi."
,Accords ODA/dons KfW-EVN cumulés depuis 2009,KfW,prêts ODA et dons (9 accords),891500000,EUR,2025-06-24,signé (6 des 9 entièrement décaissés),evn-kfw-trian-65m-2024-06.html,"Avant-dernier paragraphe : « Since 2009, KfW has signed nine ODA and grant loan agreements with EVN, totaling €891.5 million, six of which have been completed with full disbursement of KfW funds »",high,"Cumul historique, majoritairement pré-JETP. Ligne de contexte, à ne pas imputer au JETP."
,Engagement KfW pour projets EVN à venir,KfW,"ODA, prêts concessionnels et prêts sans garantie souveraine",800000000,EUR,2025-06-24,annoncé,evn-kfw-trian-65m-2024-06.html,"Dernier paragraphe : « For upcoming projects, KfW has committed approximately €800 million in ODA, concessional loans, and non-guaranteed loans to support new initiatives by EVN and its subsidiary corporations »",medium,"« approximately » ; pas de rattachement JETP explicite dans la phrase, mais l'article entier porte sur un projet JETP. Périmètre à trancher."
,Facilité GET FiT Viet Nam (primes aux producteurs ENR),KfW pour le compte du BMZ (Allemagne),don / prêt sur fonds budgétaires (« Zuschuss / Darlehen aus Haushaltsmitteln »),14500000,EUR,non daté dans le document,actif,kfw-getfit-vietnam-14.5m.html,"Tableau de la fiche projet, lignes « Deutscher Finanzierungsbeitrag : 14,5 Mio. EUR », « Status : aktiv », « Nummer : 32519 », « Projektpartner : ELECTRICITY OF VIETNAM »",medium,"Fiche de base de données sans date. Le texte se réfère au PDP VII révisé de 2016 : opération antérieure au JETP, jamais qualifiée de JETP dans le document. À classer hors périmètre JETP sauf décision contraire."
,Pipeline JETP — 7 premiers projets identifiés,IPG (à mobiliser),"besoin de financement, non engagé",1500000000,USD,2025-07-08,identifié (besoin),vneconomy-24-projects-2025-07.html,"Ligne 31 du texte extrait : « phía IPG đưa ra 7 dự án đầu tiên đã được xác định có thể triển khai trong khuôn khổ JETP với tổng nguồn vốn cần huy động là hơn 1,5 tỷ USD »",medium,"« hơn » = plus de. BESOIN de financement, pas un engagement. 3 des 7 bouclés à cette date, 4 en cours."
,Pipeline JETP — 17 projets retenus au criblage 2025,IPG / GFANZ (à mobiliser),"besoin de financement, non engagé",5520000000,USD,2025-07-08,identifié (besoin),moit-jetp-projects-2025-07.html,"Dernier paragraphe de fond : « Đối với 25 dự án đề xuất mới nhận được, có 17 dự án được sơ bộ xác định phù hợp 4 nguyên tắc JETP với nguồn vốn cần huy động khoảng 5,52 tỷ USD »",high,"Ventilation dans vneconomy-24-projects-2025-07.html (ligne 41) : 10 projets d'investissement pour près de 5,5 Md USD + 7 projets d'AT pour 16,79 M USD. Écart de comptage : le MOIT et l'EEAS disent 25 nouvelles propositions ; vneconomy les ventile en 17 investissement + 8 AT."
,Pipeline JETP — portefeuille total à juillet 2025,IPG / GFANZ (à mobiliser),"besoin de financement, non engagé",7040000000,USD,2025-07-08,identifié (besoin),moit-jetp-projects-2025-07.html,"Dernier paragraphe de fond : « Tổng số dự án phù hợp JETP đã được xác định đến thời điểm hiện nay là 24 dự án, với tổng nguồn vốn cần huy động là 7,04 tỷ USD »",high,"Confirmé par eeas-jetp-progress-2025-07.html (« 24 projects with total investment needs of USD7.04 billion ») et vneconomy (« hơn 7 tỷ USD »). 7,04 ≠ 1,5 + 5,52 = 7,02 : écart d'arrondi de 20 M USD."
,Pipeline JETP — portefeuille total à juillet 2026,IPG / GFANZ (à mobiliser),"besoin de financement, non engagé",11000000000,USD,2026-07-09,identifié (besoin),moit-decision-1929-implementation-2026-07.html,Section « Hoàn thiện chính sách phát triển năng lượng » : « Việt Nam và các đối tác đã thống nhất xác định được 50 dự án đầu tư phù hợp JETP với số vốn cần huy động để thực hiện lên đến trên 11 tỷ USD »,high,"« trên » = plus de. Évolution (non conflit) : 24 projets / 7,04 Md en juillet 2025 → 50 projets / >11 Md en juillet 2026."
,Total effectivement mobilisé au titre du JETP (3 projets),"AFD, KfW, consortium des six IFD",prêts,800000000,USD,2026-07-09,engagé,moit-decision-1929-implementation-2026-07.html,Section « Hoàn thiện chính sách phát triển năng lượng » : « Đến nay mới có 3 dự án huy động thành công gần 800 triệu USD từ nguồn tài chính JETP »,high,"CHIFFRE CLÉ DE L'ÉTUDE. « gần » = près de. Somme des trois lignes projet : 78 + 79 + 565 = 722 M USD, soit un écart de 78 M avec les « près de 800 M » annoncés dans la même phrase — INCOHÉRENCE INTERNE au document officiel. À rapporter aux 8,08 Md USD IPG : taux de concrétisation ~9 %."
,Constat d'absence de décaissement JETP (2024),IPG,n/a,0,USD,2024-10,non décaissé,theinvestor-8-projects-2024-10.html,"Avant-dernier paragraphe de l'article du 21/02/2025 : « In October 2024, Deputy Minister of Finance Vo Thanh Hung said Vietnam is yet to receive any loan from the JETP »",medium,Déclaration officielle rapportée par un tiers. Le même article indique 8 projets sélectionnés en 2024 — CONFLIT avec le décompte de 7 projets initiaux du MOIT/IPG en juillet 2025. Le nom de fichier porte 2024-10 mais l'article est daté du 21/02/2025.
,Retrait des États-Unis du JETP Viet Nam,États-Unis,n/a — retrait,non chiffré pour le Viet Nam,n/a,2025-03-06,annulé,bmz-flasbarth-us-withdrawal-2025-03.html,"Chapeau : « Regarding the withdrawal of the United States from the Just Energy Transition Partnerships with Indonesia, South Africa and Viet Nam, Development State Secretary Jochen Flasbarth made the following statement », 6 mars 2025. Composition post-retrait en bas de page : « The IPG for Viet Nam is comprised of the EU and the UK (co-leads), France, Canada, Italy, Japan, Denmark and Norway »",high,"Aucun montant américain propre au Viet Nam n'est publié dans les documents locaux — la part US des 7,75/8,08 Md reste non ventilée, donc l'effet du retrait n'est pas chiffrable ici. ANOMALIE : la liste IPG post-retrait de ce document omet l'Allemagne, pourtant émettrice du communiqué. ccnews-us-withdraws-2025-03.html chiffre à 45 Md USD le total des trois JETP concernés."
,Engagement USAID cité lors de la signature du JETP,États-Unis (USAID),non précisé,50000000,USD,2022-12-14,engagé,us-embassy-declaration-2022-12.html,Citation de l'ambassadeur des États-Unis (ligne 74 du texte extrait) : « through USAID we have already committed over $50 million invested over five years »,low,"« have already committed » — engagement préexistant cité à l'occasion du JETP, pas nécessairement additionnel ni imputable à l'enveloppe JETP. Périmètre à trancher."
,Assistance technique smart grid à EVNNPT,US Trade and Development Agency (USTDA),"don (grant, assistance technique)",non publié,USD,2022-07-29,attribué,ustda-npt-smartgrid-2022-07.html,"1er paragraphe : « Today, USTDA announced it has awarded a grant to the National Power Transmission Corporation of Vietnam (NPT) for technical assistance to advance the deployment of smart grid technologies »",medium,Montant non divulgué. Antérieur au JETP (juillet 2022) et jamais qualifié de JETP. Ligne de contexte.
,Prêt-programme JICA pour la transformation verte (GX),JICA (Japon),"prêt ODA concessionnel (1,5 %/an, 15 ans, 5 ans de différé, untied)",50000000000,JPY,2026-03-30,signé,jica-gx-dpl-signing-2026-03.html,"1er paragraphe : « On March 30, JICA signed a loan agreement with the Government of the Socialist Republic of Viet Nam ». Conditions dans la fiche « Terms and Amount of Loan » : « Maximum Loan Amount : 50,000 million Japanese Yen ; Annual Interest Rate : 1.5% ; Repayment Period : 15 Years ; Grace Period : 5 Years ; Procurement : General untied ; Executing Agency : Ministry of Finance »",high,"HORS PÉRIMÈTRE JETP APPARENT : le mot « JETP » n'apparaît nulle part dans ce document (vérifié par grep), ni dans jica-mof-seminar-2026-03-18.pdf, ni dans vir-japan-oda-320m-2026.html. Décaissement prévu décembre 2026. Équivalences données par le PDF JICA-MOF : 8 350 milliards VND ou 320 M USD."
,Prêt-programme JICA GX — date de cérémonie divergente,JICA (Japon),prêt ODA concessionnel,320000000,USD,2026-03-18,signé (selon ce document),vir-japan-oda-320m-2026.html,"1er paragraphe de l'article : « On March 18, the Japan International Cooperation Agency Vietnam office and the Ministry of Finance co-organised a signing ceremony for a $320 million green loan programme »",low,"CONFLIT DE DATE ET DE NATURE D'ACTE : le communiqué JICA date la signature du 30 mars 2026 ; le PDF officiel jica-mof-seminar-2026-03-18.pdf décrit l'événement du 18 mars comme un « Joint High Level Seminar », pas une signature. VIR requalifie un séminaire en cérémonie de signature. DOUBLON de la ligne précédente — ne pas additionner."
,Crédit IDA d'appui budgétaire (DPF tranche 2),Banque mondiale (IDA),crédit concessionnel IDA (development policy financing),263900000,USD,2023-06-29,approuvé,wb-dpf-tranche2-2023-06.html,"1er paragraphe : « WASHINGTON, June 29, 2023 — The World Bank Board of Directors today approved a US$263.9-million International Development Association credit for Vietnam… reforms aimed at supporting households, businesses, and expansion of renewable energy »",high,HORS PÉRIMÈTRE JETP APPARENT : « JETP » absent du document (vérifié par grep). Deuxième et dernier volet d'une série DPF de deux opérations.
,Crédit IDA d'appui budgétaire (DPF tranche 1),Banque mondiale (IDA),crédit concessionnel IDA,221500000,USD,2021,approuvé,wb-dpf-tranche2-2023-06.html,"1er paragraphe, dernière phrase : « This credit marks the second and final installment in a Development Policy Financing (DPF) series of two operations, following a US$221.5 million operation approved in 2021 »",medium,Date au niveau de l'année seulement. Antérieur au JETP. Ligne de contexte.
