unit,route,case_id,purpose,url,retrieved,status,bytes,sha256,archive_path,redirect_target
11,original,CZZ276103,exact financing contract/decision; parent link is contrary-identity check only,http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CZZ2761,2026-09-14T17:57:27.846902+00:00,301,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/jetp/audit-evidence/0737-pilot/11-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.body,https://www.afd.fr/base-projets/consulterProjet.action?idProjet=CZZ2761
12,original,CBJ126404,exact financing contract/decision; parent link is contrary-identity check only,http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBJ1264,2026-09-14T17:57:27.901136+00:00,301,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/jetp/audit-evidence/0737-pilot/12-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.body,https://www.afd.fr/base-projets/consulterProjet.action?idProjet=CBJ1264
13,original,CCI168103,exact financing contract/decision; parent link is contrary-identity check only,http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CCI1681,2026-09-14T17:57:27.964587+00:00,301,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/jetp/audit-evidence/0737-pilot/13-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.body,https://www.afd.fr/base-projets/consulterProjet.action?idProjet=CCI1681
14,original,CID107702,exact financing contract/decision; parent link is contrary-identity check only,http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CID1077,2026-09-14T17:57:28.017241+00:00,301,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/jetp/audit-evidence/0737-pilot/14-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.body,https://www.afd.fr/base-projets/consulterProjet.action?idProjet=CID1077
15,original,CAL100402,exact financing contract/decision; parent link is contrary-identity check only,http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CAL1004,2026-09-14T17:57:28.050678+00:00,301,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/jetp/audit-evidence/0737-pilot/15-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.body,https://www.afd.fr/base-projets/consulterProjet.action?idProjet=CAL1004
16,original,CAL100401,exact financing contract/decision; parent link is contrary-identity check only,http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CAL1004,2026-09-14T17:57:28.135218+00:00,301,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/jetp/audit-evidence/0737-pilot/16-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.body,https://www.afd.fr/base-projets/consulterProjet.action?idProjet=CAL1004
17,original,CAL100302,exact financing contract/decision; parent link is contrary-identity check only,http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CAL1003,2026-09-14T17:57:28.170658+00:00,301,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/jetp/audit-evidence/0737-pilot/17-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.body,https://www.afd.fr/base-projets/consulterProjet.action?idProjet=CAL1003
18,original,CAL100301,exact financing contract/decision; parent link is contrary-identity check only,http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CAL1003,2026-09-14T17:57:28.224725+00:00,301,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/jetp/audit-evidence/0737-pilot/18-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.body,https://www.afd.fr/base-projets/consulterProjet.action?idProjet=CAL1003
19,original,CID108901,exact financing contract/decision; parent link is contrary-identity check only,http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CID1089,2026-09-14T17:57:28.259270+00:00,301,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/jetp/audit-evidence/0737-pilot/19-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.body,https://www.afd.fr/base-projets/consulterProjet.action?idProjet=CID1089
20,original,CID107101,exact financing contract/decision; parent link is contrary-identity check only,http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CID1071,2026-09-14T17:57:28.298000+00:00,301,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/jetp/audit-evidence/0737-pilot/20-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.body,https://www.afd.fr/base-projets/consulterProjet.action?idProjet=CID1071
21,original,CIN116401,exact financing contract/decision; parent link is contrary-identity check only,http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CIN1164,2026-09-14T17:57:28.349245+00:00,301,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/jetp/audit-evidence/0737-pilot/21-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.body,https://www.afd.fr/base-projets/consulterProjet.action?idProjet=CIN1164
22,original,CIN109002,exact financing contract/decision; parent link is contrary-identity check only,http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CIN1090,2026-09-14T17:57:28.383231+00:00,301,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/jetp/audit-evidence/0737-pilot/22-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.body,https://www.afd.fr/base-projets/consulterProjet.action?idProjet=CIN1090
23,original,CIN107401,exact financing contract/decision; parent link is contrary-identity check only,http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CIN1074,2026-09-14T17:57:28.436252+00:00,301,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/jetp/audit-evidence/0737-pilot/23-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.body,https://www.afd.fr/base-projets/consulterProjet.action?idProjet=CIN1074
24,original,CMA122103,exact financing contract/decision; parent link is contrary-identity check only,http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CMA1221,2026-09-14T17:57:28.494213+00:00,301,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/jetp/audit-evidence/0737-pilot/24-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.body,https://www.afd.fr/base-projets/consulterProjet.action?idProjet=CMA1221
25,verification-followup,CMA123501,follow original exact parent locator; do not substitute parent for financing,https://www.afd.fr/base-projets/consulterProjet.action?idProjet=CMA1235,2026-09-14T17:58:21.312324+00:00,404,57868,868df24f4a1ce493ad36e7282666017cfdb1edcd6782c4227e34efa4d83a46b4,data/jetp/audit-evidence/0737-pilot/25-868df24f4a1ce493ad36e7282666017cfdb1edcd6782c4227e34efa4d83a46b4.body,
26,verification-followup,CTN129703,follow original exact parent locator; do not substitute parent for financing,https://www.afd.fr/base-projets/consulterProjet.action?idProjet=CTN1297,2026-09-14T17:58:21.566674+00:00,404,57868,335569c20abe71c9218964d4a0ea0d6ca4e09c6424db3d5f8eb200a9e46771c3,data/jetp/audit-evidence/0737-pilot/26-335569c20abe71c9218964d4a0ea0d6ca4e09c6424db3d5f8eb200a9e46771c3.body,
27,verification-followup,CZZ276103,follow original exact parent locator; do not substitute parent for financing,https://www.afd.fr/base-projets/consulterProjet.action?idProjet=CZZ2761,2026-09-14T17:58:21.738155+00:00,404,57866,970ba47b595e26daa16ded83b1e843cacde3283774f313a1b0637f698f13b300,data/jetp/audit-evidence/0737-pilot/27-970ba47b595e26daa16ded83b1e843cacde3283774f313a1b0637f698f13b300.body,
28,verification-exact-query,CMA123501,exact financing ID moved-original check; publisher domain afd.fr,"search query: ""CMA123501"" domain:afd.fr",2026-09-14,no results in search extraction,,,,
29,verification-exact-query,CTN129703,exact financing ID moved-original check; publisher domain afd.fr,"search query: ""CTN129703"" domain:afd.fr",2026-09-14,no results in search extraction,,,,
30,verification-exact-query,CZZ276103,exact financing ID moved-original check; publisher domain afd.fr,"search query: ""CZZ276103"" domain:afd.fr",2026-09-14,no results in search extraction,,,,
