unit_id,kind,legacy_award,legacy_signature,portal_signature,xml_commitment_value_dates,legacy_status,parent_id,join,disposition,evidence_id
CIN107503,missing_award_matched_xml,,2018-10-22,2018-10-22,2026-08-17,Exécution,CIN1075,exact financing ID only,no value-date imputation; dated approval decision required,legacy|portal|0735-round3/afd/fr-afd-in.xml
CIN107505,missing_award_matched_xml,,2019-12-11,2019-12-11,2026-08-17,Exécution,CIN1075,exact financing ID only,no value-date imputation; dated approval decision required,legacy|portal|0735-round3/afd/fr-afd-in.xml
CIN107506,missing_award_matched_xml,,2019-12-17,2019-12-17,2026-08-17,Exécution,CIN1075,exact financing ID only,no value-date imputation; dated approval decision required,legacy|portal|0735-round3/afd/fr-afd-in.xml
CIN107507,missing_award_matched_xml,,2020-01-17,2020-01-17,2026-08-17,Exécution,CIN1075,exact financing ID only,no value-date imputation; dated approval decision required,legacy|portal|0735-round3/afd/fr-afd-in.xml
CIN107508,missing_award_matched_xml,,2020-03-04,2020-03-04,2026-08-17,Exécution,CIN1075,exact financing ID only,no value-date imputation; dated approval decision required,legacy|portal|0735-round3/afd/fr-afd-in.xml
CIN107509,missing_award_matched_xml,,2020-09-17,2020-09-17,2026-08-17,Exécution,CIN1075,exact financing ID only,no value-date imputation; dated approval decision required,legacy|portal|0735-round3/afd/fr-afd-in.xml
CIN107510,missing_award_matched_xml,,2021-03-03,2021-03-03,2026-08-17,Exécution,CIN1075,exact financing ID only,no value-date imputation; dated approval decision required,legacy|portal|0735-round3/afd/fr-afd-in.xml
CMA123501,missing_portal,2017-06-15,2019-06-28,,,Exécution,CMA1235,exact financing ID only,lost_visibility; outcome unknown; inclusion/retention history required,legacy|portal
CNE122403,award_signature_reversal,2020-12-18,2020-05-08,2020-05-08,,Exécution,CNE1224,exact financing ID only,preserve order; approval meaning and legal instrument unresolved,legacy|portal
CPS117501,missing_portal,2018-08-24,2019-03-27,,,Achevé,CPS1175,exact financing ID only,lost_visibility; outcome unknown; inclusion/retention history required,legacy|portal
CTN122106,missing_portal,,2019-01-03,,,Exécution,CTN1221,exact financing ID only,lost_visibility; outcome unknown; inclusion/retention history required,legacy|portal
CTN129703,signature_nonmatch,2022-11-17,2022-11-19,,,Exécution,CTN1297,exact financing ID only,preserve both; dated exact financing contract required,legacy|portal
CUG106203,missing_portal,2018-12-20,2018-12-21,,,Exécution,CUG1062,exact financing ID only,lost_visibility; outcome unknown; inclusion/retention history required,legacy|portal
CVN123604,missing_award_matched_xml,,2021-11-03,2021-11-03,2026-08-17,Exécution,CVN1236,exact financing ID only,no value-date imputation; dated approval decision required,legacy|portal|0735-round3/afd/fr-afd-vn.xml
CVN123605,missing_award_matched_xml,,2023-12-29,2023-12-29,2026-08-17,Exécution,CVN1236,exact financing ID only,no value-date imputation; dated approval decision required,legacy|portal|0735-round3/afd/fr-afd-vn.xml
CVN123606,missing_award_matched_xml,,2023-12-29,2023-12-29,2026-08-17,Exécution,CVN1236,exact financing ID only,no value-date imputation; dated approval decision required,legacy|portal|0735-round3/afd/fr-afd-vn.xml
CVU106101,missing_portal,2020-11-18,2021-12-21,,,Exécution,CVU1061,exact financing ID only,lost_visibility; outcome unknown; inclusion/retention history required,legacy|portal
CZA112104,missing_award_matched_xml,,2018-12-13,2018-12-13,2026-08-17,Exécution,CZA1121,exact financing ID only,no value-date imputation; dated approval decision required,legacy|portal|0735-round3/afd/fr-afd-za.xml
CZA116004,missing_award_matched_xml,,2019-02-28,2019-02-28,2026-08-17,Exécution,CZA1160,exact financing ID only,no value-date imputation; dated approval decision required,legacy|portal|0735-round3/afd/fr-afd-za.xml
CZZ240803,award_signature_reversal,2019-09-19,2018-12-21,2018-12-21,,Exécution,CZZ2408,exact financing ID only,preserve order; approval meaning and legal instrument unresolved,legacy|portal
CZZ276103,signature_nonmatch,2021-11-15,2021-11-16,2024-10-29,,Exécution,CZZ2761,exact financing ID only,preserve both; dated exact financing contract required,legacy|portal
CZZ282701,missing_portal,2021-10-13,2021-10-14,,,Exécution,CZZ2827,exact financing ID only,lost_visibility; outcome unknown; inclusion/retention history required,legacy|portal
CZZ297902,award_signature_reversal,2021-07-07,2019-12-05,2019-12-05,,Exécution,CZZ2979,exact financing ID only,preserve order; approval meaning and legal instrument unresolved,legacy|portal
