old_id,disposition,new_id,basis_method,line_id
zaf-register-gr009,agreement,agreement-zaf-register-gr009,register_id,zaf-jet-investment-register-q1-2026-overall-data-80
zaf-register-gr011,agreement,agreement-zaf-register-gr011,register_id,zaf-jet-investment-register-q1-2026-overall-data-81
zaf-register-gr012,agreement,agreement-zaf-register-gr012,register_id,zaf-jet-investment-register-q1-2026-overall-data-82
zaf-register-gr013,agreement,agreement-zaf-register-gr013,register_id,zaf-jet-investment-register-q1-2026-overall-data-83
zaf-register-gr014,agreement,agreement-zaf-register-gr014,register_id,zaf-jet-investment-register-q1-2026-overall-data-84
zaf-register-gr014b,agreement,agreement-zaf-register-gr014b,register_id,zaf-jet-investment-register-q1-2026-overall-data-85
zaf-register-gr015,agreement,agreement-zaf-register-gr015,register_id,zaf-jet-investment-register-q1-2026-overall-data-86
zaf-register-gr016,agreement,agreement-zaf-register-gr016,register_id,zaf-jet-investment-register-q1-2026-overall-data-87
zaf-register-gr017,agreement,agreement-zaf-register-gr017,register_id,zaf-jet-investment-register-q1-2026-overall-data-88
zaf-register-gr018,agreement,agreement-zaf-register-gr018,register_id,zaf-jet-investment-register-q1-2026-overall-data-89
zaf-register-gr019,agreement,agreement-zaf-register-gr019,register_id,zaf-jet-investment-register-q1-2026-overall-data-90
zaf-register-gr020,agreement,agreement-zaf-register-gr020,register_id,zaf-jet-investment-register-q1-2026-overall-data-91
zaf-register-gr021,agreement,agreement-zaf-register-gr021,register_id,zaf-jet-investment-register-q1-2026-overall-data-92
zaf-register-gr022,agreement,agreement-zaf-register-gr022,register_id,zaf-jet-investment-register-q1-2026-overall-data-93
zaf-register-gr023,agreement,agreement-zaf-register-gr023,register_id,zaf-jet-investment-register-q1-2026-overall-data-94
zaf-register-gr024,agreement,agreement-zaf-register-gr024,register_id,zaf-jet-investment-register-q1-2026-overall-data-95
zaf-register-gr025,agreement,agreement-zaf-register-gr025,register_id,zaf-jet-investment-register-q1-2026-overall-data-96
zaf-register-gr026,agreement,agreement-zaf-register-gr026,register_id,zaf-jet-investment-register-q1-2026-overall-data-97
zaf-register-gr026b,agreement,agreement-zaf-register-gr026b,register_id,zaf-jet-investment-register-q1-2026-overall-data-98
zaf-register-gr027,agreement,agreement-zaf-register-gr027,register_id,zaf-jet-investment-register-q1-2026-overall-data-99
zaf-register-gr028,agreement,agreement-zaf-register-gr028,register_id,zaf-jet-investment-register-q1-2026-overall-data-100
zaf-register-gr028b,agreement,agreement-zaf-register-gr028b,register_id,zaf-jet-investment-register-q1-2026-overall-data-101
zaf-register-gr029,agreement,agreement-zaf-register-gr029,register_id,zaf-jet-investment-register-q1-2026-overall-data-102
zaf-register-gr029b,agreement,agreement-zaf-register-gr029b,register_id,zaf-jet-investment-register-q1-2026-overall-data-103
zaf-register-gr030,agreement,agreement-zaf-register-gr030,register_id,zaf-jet-investment-register-q1-2026-overall-data-104
zaf-register-gr031,agreement,agreement-zaf-register-gr031,register_id,zaf-jet-investment-register-q1-2026-overall-data-105
zaf-register-gr032,agreement,agreement-zaf-register-gr032,register_id,zaf-jet-investment-register-q1-2026-overall-data-106
zaf-register-gr033,agreement,agreement-zaf-register-gr033,register_id,zaf-jet-investment-register-q1-2026-overall-data-107
zaf-register-gr034,agreement,agreement-zaf-register-gr034,register_id,zaf-jet-investment-register-q1-2026-overall-data-108
zaf-register-gr035,agreement,agreement-zaf-register-gr035,register_id,zaf-jet-investment-register-q1-2026-overall-data-109
zaf-register-gr036,agreement,agreement-zaf-register-gr036,register_id,zaf-jet-investment-register-q1-2026-overall-data-110
zaf-register-gr037,agreement,agreement-zaf-register-gr037,register_id,zaf-jet-investment-register-q1-2026-overall-data-111
zaf-register-gr038,agreement,agreement-zaf-register-gr038,register_id,zaf-jet-investment-register-q1-2026-overall-data-112
zaf-register-gr039,agreement,agreement-zaf-register-gr039,register_id,zaf-jet-investment-register-q1-2026-overall-data-113
zaf-register-gr040,agreement,agreement-zaf-register-gr040,register_id,zaf-jet-investment-register-q1-2026-overall-data-114
zaf-register-gr041,agreement,agreement-zaf-register-gr041,register_id,zaf-jet-investment-register-q1-2026-overall-data-115
zaf-register-nl001-1,agreement,agreement-zaf-register-nl001-1,register_id,zaf-jet-investment-register-q1-2026-overall-data-116
zaf-register-nl001-2,agreement,agreement-zaf-register-nl001-2,register_id,zaf-jet-investment-register-q1-2026-overall-data-117
zaf-register-nl001-3,agreement,agreement-zaf-register-nl001-3,register_id,zaf-jet-investment-register-q1-2026-overall-data-118
zaf-register-nl001-4,agreement,agreement-zaf-register-nl001-4,register_id,zaf-jet-investment-register-q1-2026-overall-data-119
zaf-register-nl001-5,agreement,agreement-zaf-register-nl001-5,register_id,zaf-jet-investment-register-q1-2026-overall-data-120
zaf-register-nl001-6,agreement,agreement-zaf-register-nl001-6,register_id,zaf-jet-investment-register-q1-2026-overall-data-121
zaf-register-nl001-7,agreement,agreement-zaf-register-nl001-7,register_id,zaf-jet-investment-register-q1-2026-overall-data-122
zaf-register-nl001-8,agreement,agreement-zaf-register-nl001-8,register_id,zaf-jet-investment-register-q1-2026-overall-data-123
zaf-register-nl001-9,agreement,agreement-zaf-register-nl001-9,register_id,zaf-jet-investment-register-q1-2026-overall-data-124
zaf-register-nl002,agreement,agreement-zaf-register-nl002,register_id,zaf-jet-investment-register-q1-2026-overall-data-125
zaf-register-nl003,agreement,agreement-zaf-register-nl003,register_id,zaf-jet-investment-register-q1-2026-overall-data-126
zaf-register-nl004,agreement,agreement-zaf-register-nl004,register_id,zaf-jet-investment-register-q1-2026-overall-data-127
zaf-register-nl005,agreement,agreement-zaf-register-nl005,register_id,zaf-jet-investment-register-q1-2026-overall-data-128
zaf-register-nl006,agreement,agreement-zaf-register-nl006,register_id,zaf-jet-investment-register-q1-2026-overall-data-129
zaf-register-nl007,agreement,agreement-zaf-register-nl007,register_id,zaf-jet-investment-register-q1-2026-overall-data-130
zaf-register-nl008,agreement,agreement-zaf-register-nl008,register_id,zaf-jet-investment-register-q1-2026-overall-data-131
zaf-register-nl009,agreement,agreement-zaf-register-nl009,register_id,zaf-jet-investment-register-q1-2026-overall-data-132
zaf-register-nl010,agreement,agreement-zaf-register-nl010,register_id,zaf-jet-investment-register-q1-2026-overall-data-133
zaf-register-nl011,agreement,agreement-zaf-register-nl011,register_id,zaf-jet-investment-register-q1-2026-overall-data-134
zaf-register-nl012,agreement,agreement-zaf-register-nl012,register_id,zaf-jet-investment-register-q1-2026-overall-data-135
zaf-register-sw001,agreement,agreement-zaf-register-sw001,register_id,zaf-jet-investment-register-q1-2026-overall-data-136
zaf-register-sw002,agreement,agreement-zaf-register-sw002,register_id,zaf-jet-investment-register-q1-2026-overall-data-137
zaf-register-sw003,agreement,agreement-zaf-register-sw003,register_id,zaf-jet-investment-register-q1-2026-overall-data-138
zaf-register-sw004,agreement,agreement-zaf-register-sw004,register_id,zaf-jet-investment-register-q1-2026-overall-data-139
zaf-register-sw005,agreement,agreement-zaf-register-sw005,register_id,zaf-jet-investment-register-q1-2026-overall-data-140
zaf-register-sw006,agreement,agreement-zaf-register-sw006,register_id,zaf-jet-investment-register-q1-2026-overall-data-141
zaf-register-sw007,agreement,agreement-zaf-register-sw007,register_id,zaf-jet-investment-register-q1-2026-overall-data-142
zaf-register-sw008,agreement,agreement-zaf-register-sw008,register_id,zaf-jet-investment-register-q1-2026-overall-data-143
zaf-register-sw009,agreement,agreement-zaf-register-sw009,register_id,zaf-jet-investment-register-q1-2026-overall-data-144
zaf-register-uk001,agreement,agreement-zaf-register-uk001,register_id,zaf-jet-investment-register-q1-2026-overall-data-145
zaf-register-uk002,agreement,agreement-zaf-register-uk002,register_id,zaf-jet-investment-register-q1-2026-overall-data-146
zaf-register-uk003,agreement,agreement-zaf-register-uk003,register_id,zaf-jet-investment-register-q1-2026-overall-data-147
zaf-register-uk005,agreement,agreement-zaf-register-uk005,register_id,zaf-jet-investment-register-q1-2026-overall-data-148
zaf-register-uk006,agreement,agreement-zaf-register-uk006,register_id,zaf-jet-investment-register-q1-2026-overall-data-149
zaf-register-uk007,agreement,agreement-zaf-register-uk007,register_id,zaf-jet-investment-register-q1-2026-overall-data-150
zaf-register-uk008,agreement,agreement-zaf-register-uk008,register_id,zaf-jet-investment-register-q1-2026-overall-data-151
zaf-register-uk009,agreement,agreement-zaf-register-uk009,register_id,zaf-jet-investment-register-q1-2026-overall-data-152
zaf-register-uk011,agreement,agreement-zaf-register-uk011,register_id,zaf-jet-investment-register-q1-2026-overall-data-153
zaf-register-uk012,agreement,agreement-zaf-register-uk012,register_id,zaf-jet-investment-register-q1-2026-overall-data-154
zaf-register-uk013,agreement,agreement-zaf-register-uk013,register_id,zaf-jet-investment-register-q1-2026-overall-data-155
zaf-register-uk014,agreement,agreement-zaf-register-uk014,register_id,zaf-jet-investment-register-q1-2026-overall-data-156
zaf-register-uk015,agreement,agreement-zaf-register-uk015,register_id,zaf-jet-investment-register-q1-2026-overall-data-157
zaf-register-uk016,agreement,agreement-zaf-register-uk016,register_id,zaf-jet-investment-register-q1-2026-overall-data-158
zaf-register-uk017,agreement,agreement-zaf-register-uk017,register_id,zaf-jet-investment-register-q1-2026-overall-data-159
zaf-register-uk018,agreement,agreement-zaf-register-uk018,register_id,zaf-jet-investment-register-q1-2026-overall-data-160
zaf-register-uk019,agreement,agreement-zaf-register-uk019,register_id,zaf-jet-investment-register-q1-2026-overall-data-161
zaf-register-uk020,agreement,agreement-zaf-register-uk020,register_id,zaf-jet-investment-register-q1-2026-overall-data-162
zaf-register-uk021,agreement,agreement-zaf-register-uk021,register_id,zaf-jet-investment-register-q1-2026-overall-data-163
zaf-register-uk022,agreement,agreement-zaf-register-uk022,register_id,zaf-jet-investment-register-q1-2026-overall-data-164
zaf-register-uk023,agreement,agreement-zaf-register-uk023,register_id,zaf-jet-investment-register-q1-2026-overall-data-165
zaf-register-uk024,agreement,agreement-zaf-register-uk024,register_id,zaf-jet-investment-register-q1-2026-overall-data-166
zaf-register-uk025,agreement,agreement-zaf-register-uk025,register_id,zaf-jet-investment-register-q1-2026-overall-data-167
zaf-register-uk026,agreement,agreement-zaf-register-uk026,register_id,zaf-jet-investment-register-q1-2026-overall-data-168
zaf-register-uk027,agreement,agreement-zaf-register-uk027,register_id,zaf-jet-investment-register-q1-2026-overall-data-169
zaf-register-uk028,agreement,agreement-zaf-register-uk028,register_id,zaf-jet-investment-register-q1-2026-overall-data-170
zaf-register-uk029,agreement,agreement-zaf-register-uk029,register_id,zaf-jet-investment-register-q1-2026-overall-data-171
zaf-register-uk030,agreement,agreement-zaf-register-uk030,register_id,zaf-jet-investment-register-q1-2026-overall-data-172
zaf-register-uk031,agreement,agreement-zaf-register-uk031,register_id,zaf-jet-investment-register-q1-2026-overall-data-173
zaf-register-uk033,agreement,agreement-zaf-register-uk033,register_id,zaf-jet-investment-register-q1-2026-overall-data-174
zaf-register-uk034,agreement,agreement-zaf-register-uk034,register_id,zaf-jet-investment-register-q1-2026-overall-data-175
zaf-register-uk035,agreement,agreement-zaf-register-uk035,register_id,zaf-jet-investment-register-q1-2026-overall-data-176
zaf-register-uk037,agreement,agreement-zaf-register-uk037,register_id,zaf-jet-investment-register-q1-2026-overall-data-177
zaf-register-uk039,agreement,agreement-zaf-register-uk039,register_id,zaf-jet-investment-register-q1-2026-overall-data-178
zaf-register-uk042,agreement,agreement-zaf-register-uk042,register_id,zaf-jet-investment-register-q1-2026-overall-data-179
zaf-register-uk043,agreement,agreement-zaf-register-uk043,register_id,zaf-jet-investment-register-q1-2026-overall-data-180
zaf-register-uk044,agreement,agreement-zaf-register-uk044,register_id,zaf-jet-investment-register-q1-2026-overall-data-181
zaf-register-uk045,agreement,agreement-zaf-register-uk045,register_id,zaf-jet-investment-register-q1-2026-overall-data-182
zaf-register-uk046,agreement,agreement-zaf-register-uk046,register_id,zaf-jet-investment-register-q1-2026-overall-data-183
zaf-register-uk047,agreement,agreement-zaf-register-uk047,register_id,zaf-jet-investment-register-q1-2026-overall-data-184
zaf-register-uk048,agreement,agreement-zaf-register-uk048,register_id,zaf-jet-investment-register-q1-2026-overall-data-185
zaf-register-uk049,agreement,agreement-zaf-register-uk049,register_id,zaf-jet-investment-register-q1-2026-overall-data-186
zaf-register-uk050,agreement,agreement-zaf-register-uk050,register_id,zaf-jet-investment-register-q1-2026-overall-data-187
zaf-register-uk051,agreement,agreement-zaf-register-uk051,register_id,zaf-jet-investment-register-q1-2026-overall-data-188
zaf-register-uk052,agreement,agreement-zaf-register-uk052,register_id,zaf-jet-investment-register-q1-2026-overall-data-189
zaf-register-uk053,agreement,agreement-zaf-register-uk053,register_id,zaf-jet-investment-register-q1-2026-overall-data-190
zaf-register-uk054,agreement,agreement-zaf-register-uk054,register_id,zaf-jet-investment-register-q1-2026-overall-data-191
zaf-register-uk055,agreement,agreement-zaf-register-uk055,register_id,zaf-jet-investment-register-q1-2026-overall-data-192
zaf-register-uk056,agreement,agreement-zaf-register-uk056,register_id,zaf-jet-investment-register-q1-2026-overall-data-193
zaf-register-uk057,agreement,agreement-zaf-register-uk057,register_id,zaf-jet-investment-register-q1-2026-overall-data-194
zaf-register-uk058,agreement,agreement-zaf-register-uk058,register_id,zaf-jet-investment-register-q1-2026-overall-data-195
zaf-register-uk059,agreement,agreement-zaf-register-uk059,register_id,zaf-jet-investment-register-q1-2026-overall-data-196
zaf-register-uk060,agreement,agreement-zaf-register-uk060,register_id,zaf-jet-investment-register-q1-2026-overall-data-197
zaf-register-uk061,agreement,agreement-zaf-register-uk061,register_id,zaf-jet-investment-register-q1-2026-overall-data-198
zaf-register-uk062,agreement,agreement-zaf-register-uk062,register_id,zaf-jet-investment-register-q1-2026-overall-data-199
zaf-register-uk063,agreement,agreement-zaf-register-uk063,register_id,zaf-jet-investment-register-q1-2026-overall-data-200
zaf-register-uk064,agreement,agreement-zaf-register-uk064,register_id,zaf-jet-investment-register-q1-2026-overall-data-201
zaf-register-uk065,agreement,agreement-zaf-register-uk065,register_id,zaf-jet-investment-register-q1-2026-overall-data-202
zaf-register-uk066,agreement,agreement-zaf-register-uk066,register_id,zaf-jet-investment-register-q1-2026-overall-data-203
zaf-register-uk067,agreement,agreement-zaf-register-uk067,register_id,zaf-jet-investment-register-q1-2026-overall-data-204
zaf-register-uk068,agreement,agreement-zaf-register-uk068,register_id,zaf-jet-investment-register-q1-2026-overall-data-205
zaf-register-uk069,agreement,agreement-zaf-register-uk069,register_id,zaf-jet-investment-register-q1-2026-overall-data-206
zaf-register-uk070,agreement,agreement-zaf-register-uk070,register_id,zaf-jet-investment-register-q1-2026-overall-data-207
zaf-register-uk071,agreement,agreement-zaf-register-uk071,register_id,zaf-jet-investment-register-q1-2026-overall-data-208
zaf-register-uk072,agreement,agreement-zaf-register-uk072,register_id,zaf-jet-investment-register-q1-2026-overall-data-209
zaf-register-uk073,agreement,agreement-zaf-register-uk073,register_id,zaf-jet-investment-register-q1-2026-overall-data-210
zaf-register-uk074,agreement,agreement-zaf-register-uk074,register_id,zaf-jet-investment-register-q1-2026-overall-data-211
zaf-register-uk075,agreement,agreement-zaf-register-uk075,register_id,zaf-jet-investment-register-q1-2026-overall-data-212
zaf-register-uk076,agreement,agreement-zaf-register-uk076,register_id,zaf-jet-investment-register-q1-2026-overall-data-213
zaf-register-uk077,agreement,agreement-zaf-register-uk077,register_id,zaf-jet-investment-register-q1-2026-overall-data-214
zaf-register-us001,agreement,agreement-zaf-register-us001,register_id,zaf-jet-investment-register-q1-2026-overall-data-215
zaf-register-us002,agreement,agreement-zaf-register-us002,register_id,zaf-jet-investment-register-q1-2026-overall-data-216
zaf-register-us003,agreement,agreement-zaf-register-us003,register_id,zaf-jet-investment-register-q1-2026-overall-data-217
zaf-register-us004,agreement,agreement-zaf-register-us004,register_id,zaf-jet-investment-register-q1-2026-overall-data-218
zaf-register-us006,agreement,agreement-zaf-register-us006,register_id,zaf-jet-investment-register-q1-2026-overall-data-219
zaf-register-us007,agreement,agreement-zaf-register-us007,register_id,zaf-jet-investment-register-q1-2026-overall-data-220
zaf-register-us008,agreement,agreement-zaf-register-us008,register_id,zaf-jet-investment-register-q1-2026-overall-data-221
zaf-register-us009,agreement,agreement-zaf-register-us009,register_id,zaf-jet-investment-register-q1-2026-overall-data-222
zaf-register-us010,agreement,agreement-zaf-register-us010,register_id,zaf-jet-investment-register-q1-2026-overall-data-223
zaf-register-us011,agreement,agreement-zaf-register-us011,register_id,zaf-jet-investment-register-q1-2026-overall-data-224
zaf-register-us012,agreement,agreement-zaf-register-us012,register_id,zaf-jet-investment-register-q1-2026-overall-data-225
zaf-register-us013,agreement,agreement-zaf-register-us013,register_id,zaf-jet-investment-register-q1-2026-overall-data-226
zaf-register-us014,agreement,agreement-zaf-register-us014,register_id,zaf-jet-investment-register-q1-2026-overall-data-227
zaf-register-us015,agreement,agreement-zaf-register-us015,register_id,zaf-jet-investment-register-q1-2026-overall-data-228
zaf-register-us017,agreement,agreement-zaf-register-us017,register_id,zaf-jet-investment-register-q1-2026-overall-data-229
zaf-register-us018,agreement,agreement-zaf-register-us018,register_id,zaf-jet-investment-register-q1-2026-overall-data-230
zaf-register-us019,agreement,agreement-zaf-register-us019,register_id,zaf-jet-investment-register-q1-2026-overall-data-231
zaf-register-us020,agreement,agreement-zaf-register-us020,register_id,zaf-jet-investment-register-q1-2026-overall-data-232
zaf-register-us021,agreement,agreement-zaf-register-us021,register_id,zaf-jet-investment-register-q1-2026-overall-data-233
zaf-register-us022,agreement,agreement-zaf-register-us022,register_id,zaf-jet-investment-register-q1-2026-overall-data-234
zaf-register-us023,agreement,agreement-zaf-register-us023,register_id,zaf-jet-investment-register-q1-2026-overall-data-235
zaf-register-us024,agreement,agreement-zaf-register-us024,register_id,zaf-jet-investment-register-q1-2026-overall-data-236
zaf-register-us026,agreement,agreement-zaf-register-us026,register_id,zaf-jet-investment-register-q1-2026-overall-data-237
zaf-register-us027,agreement,agreement-zaf-register-us027,register_id,zaf-jet-investment-register-q1-2026-overall-data-238
zaf-register-us028,agreement,agreement-zaf-register-us028,register_id,zaf-jet-investment-register-q1-2026-overall-data-239
zaf-register-us029,agreement,agreement-zaf-register-us029,register_id,zaf-jet-investment-register-q1-2026-overall-data-240
zaf-register-us030,agreement,agreement-zaf-register-us030,register_id,zaf-jet-investment-register-q1-2026-overall-data-241
zaf-register-us031,agreement,agreement-zaf-register-us031,register_id,zaf-jet-investment-register-q1-2026-overall-data-242
zaf-register-us032,agreement,agreement-zaf-register-us032,register_id,zaf-jet-investment-register-q1-2026-overall-data-243
zaf-register-us033,agreement,agreement-zaf-register-us033,register_id,zaf-jet-investment-register-q1-2026-overall-data-244
zaf-register-us034,agreement,agreement-zaf-register-us034,register_id,zaf-jet-investment-register-q1-2026-overall-data-245
