link_id,source_id,line_id,old_project_id,relationship,review_status,locator,reason
idn-link-workplan-dediesel-west,idn-jetp-work-plan-2024-presentation,,idn-pipe-dediesel-west-phase1,possible_match,confirmed,Priority projects under procurement,resolve to source line in 0875
idn-link-xurya-jetp,idn-jetp-xurya-equity-2024,,idn-fin-xurya-rooftop,approval_document,confirmed,official JETP news,resolve to source line in 0875
idn-link-mrt-east-west-jica,idn-jica-mrt-east-west-2024,,idn-fin-mrt-east-west,approval_document,confirmed,press release,resolve to source line in 0875
idn-link-mrt-north-south-jica,idn-jica-mrt-north-south-2023,,idn-fin-mrt-north-south,approval_document,confirmed,press release item 3,resolve to source line in 0875
idn-link-cirebon-reuters,idn-news-cirebon-retirement-reuters-2025,,idn-pipe-cirebon-1-retirement,named_in,confirmed,ministerial statement,no snapshot
idn-link-legok-antara,idn-news-legok-groundbreaking-antara-2026,,idn-pipe-legok-nangka-waste,named_in,confirmed,groundbreaking report,resolve to source line in 0875
idn-link-portal-gecs,idn-portfolio-project-gecs,,idn-pipe-green-corridors-sulawesi,project_page,confirmed,whole profile,resolve to source line in 0875
idn-link-portal-hululais,idn-portfolio-project-hululais,,idn-pipe-hululais-1-2,project_page,confirmed,whole profile,resolve to source line in 0875
idn-link-portal-nagajaya,idn-portfolio-project-nagajaya,,idn-pipe-nagajaya-micro-hydro,project_page,confirmed,whole profile,resolve to source line in 0875
idn-link-cirebon-marubeni,idn-project-cirebon-framework-marubeni,,idn-pipe-cirebon-1-retirement,project_report,confirmed,whole announcement,resolve to source line in 0875
idn-link-dieng3-adb,idn-project-dieng3-adb,,idn-pipe-dieng-3-4,project_page,confirmed,ADB project 58342-001,no snapshot
idn-link-legok-ut,idn-project-legok-agreement-ut-2024,,idn-pipe-legok-nangka-waste,project_report,confirmed,whole announcement,resolve to source line in 0875
idn-link-rsud-c40,idn-project-rsud-retrofit-c40,,idn-pipe-rsud-energy-efficiency,project_report,confirmed,whole report,no snapshot
idn-link-seg-construction,idn-project-seg-construction-2024,,idn-pipe-solar-cell-manufacturing,project_report,confirmed,whole announcement,resolve to source line in 0875
idn-link-seg-operational,idn-project-seg-operational-2025,,idn-pipe-solar-cell-manufacturing,project_report,confirmed,whole announcement,resolve to source line in 0875
idn-link-singkarak-acwa,idn-project-singkarak-acwa-2022,,idn-pipe-singkarak-floating-solar,project_page,confirmed,whole announcement,resolve to source line in 0875
idn-link-sutami-plnnp,idn-project-sutami-construction-plnnp-2026,,idn-pipe-sutami-floating-solar,project_report,confirmed,whole announcement,resolve to source line in 0875
idn-link-tanah-laut-profile,idn-project-tanah-laut-plnnp,,idn-pipe-tanah-laut-wind,project_page,confirmed,Tanah Laut WPP profile,resolve to source line in 0875
idn-link-tanah-laut-ppa,idn-project-tanah-laut-ppa-ptplnnr,,idn-pipe-tanah-laut-wind,project_report,confirmed,whole announcement,resolve to source line in 0875
idn-link-isle1-wb-news,idn-world-bank-isle1-2023,,idn-fin-isle-1,approval_document,confirmed,press release,resolve to source line in 0875
idn-link-isle1-wb-assessment,idn-world-bank-isle1-technical-assessment-2022,,idn-fin-isle-1,project_report,confirmed,technical assessment,resolve to source line in 0875
sen-project-annex-08-sen-aeme-project-08,sen-aeme-project-08,sen-aeme-project-08-discovery-1,sen-project-annex-08,project_page,confirmed,Project heading; details cross-checked against AEME annual report 2023,resolve to source line in 0875
sen-project-annex-09-sen-aeme-project-09,sen-aeme-project-09,sen-aeme-project-09-discovery-1,sen-project-annex-09,project_page,confirmed,Project heading; details cross-checked against AEME annual report 2023,resolve to source line in 0875
sen-project-annex-10-sen-aeme-project-10,sen-aeme-project-10,sen-aeme-project-10-discovery-1,sen-project-annex-10,project_page,confirmed,Project heading; details cross-checked against AEME annual report 2023,resolve to source line in 0875
sen-project-annex-11-sen-aeme-project-11,sen-aeme-project-11,sen-aeme-project-11-discovery-1,sen-project-annex-11,project_page,confirmed,Project heading; details cross-checked against AEME annual report 2023,resolve to source line in 0875
sen-project-annex-12-sen-aeme-project-12,sen-aeme-project-12,sen-aeme-project-12-discovery-1,sen-project-annex-12,project_page,confirmed,Project heading; details cross-checked against AEME annual report 2023,resolve to source line in 0875
sen-project-annex-13-sen-aeme-project-13,sen-aeme-project-13,sen-aeme-project-13-discovery-1,sen-project-annex-13,project_page,confirmed,Project heading; details cross-checked against AEME annual report 2023,resolve to source line in 0875
sen-project-annex-14-sen-aeme-project-14,sen-aeme-project-14,sen-aeme-project-14-discovery-1,sen-project-annex-14,project_page,confirmed,Project heading; details cross-checked against AEME annual report 2023,resolve to source line in 0875
sen-project-annex-08-sen-aeme-report-2023,sen-aeme-report-2023,sen-aeme-report-2023-discovery-1,sen-project-annex-08,project_report,confirmed,2023 programme activities; named programme section,resolve to source line in 0875
sen-project-annex-09-sen-aeme-report-2023,sen-aeme-report-2023,sen-aeme-report-2023-discovery-1,sen-project-annex-09,project_report,confirmed,2023 programme activities; named programme section,resolve to source line in 0875
sen-project-annex-10-sen-aeme-report-2023,sen-aeme-report-2023,sen-aeme-report-2023-discovery-1,sen-project-annex-10,project_report,confirmed,2023 programme activities; named programme section,resolve to source line in 0875
sen-project-annex-11-sen-aeme-report-2023,sen-aeme-report-2023,sen-aeme-report-2023-discovery-1,sen-project-annex-11,project_report,confirmed,2023 programme activities; named programme section,resolve to source line in 0875
sen-project-annex-12-sen-aeme-report-2023,sen-aeme-report-2023,sen-aeme-report-2023-discovery-1,sen-project-annex-12,project_report,confirmed,2023 programme activities; named programme section,resolve to source line in 0875
sen-project-annex-13-sen-aeme-report-2023,sen-aeme-report-2023,sen-aeme-report-2023-discovery-1,sen-project-annex-13,project_report,confirmed,2023 programme activities; named programme section,resolve to source line in 0875
sen-project-annex-14-sen-aeme-report-2023,sen-aeme-report-2023,sen-aeme-report-2023-discovery-1,sen-project-annex-14,project_report,confirmed,2023 programme activities; named programme section,resolve to source line in 0875
sen-resume-sen-project-annex-33-sen-afd-arescaleup-2025,sen-afd-arescaleup-2025,sen-afd-arescaleup-2025-discovery-1,sen-project-annex-33,possible_match,provisional,Smartgrid Senegal section,resolve to source line in 0875
sen-resume-sen-project-qw-08-sen-afd-arescaleup-2025,sen-afd-arescaleup-2025,sen-afd-arescaleup-2025-discovery-1,sen-project-qw-08,possible_match,provisional,Smartgrid Senegal section,resolve to source line in 0875
sen-project-qw-10-sen-afd-diass-storage,sen-afd-diass-storage,sen-afd-diass-storage-discovery-1,sen-project-qw-10,project_report,confirmed,"Single-page factsheet, Prochaines étapes / impacts",resolve to source line in 0875
round2-sen-project-annex-35-sen-afd-irve-ami12-2026,sen-afd-irve-ami12-2026,,sen-project-annex-35,possible_match,provisional,"AMII12/2026, C_DEG_155; original body paragraph2",no snapshot
round3-sen-project-annex-23-sen-aner-archive-agpm-2025,sen-aner-archive-agpm-2025,,sen-project-annex-23,possible_match,provisional,"One-page AGPM, consultant-services bullet",resolve to source line in 0875
round3-sen-aner-archive-autonomisation-public-buildings,sen-aner-archive-autonomisation-public-buildings,,sen-project-annex-23,possible_match,provisional,Historical capture 2023-12-07T02:46:50Z,resolve to source line in 0875
round3-sen-aner-archive-d2b,sen-aner-archive-d2b,,sen-project-annex-23,possible_match,provisional,Historical capture 2025-05-25T02:01:57Z,resolve to source line in 0875
round3-sen-aner-archive-esipc,sen-aner-archive-esipc,,sen-project-annex-23,possible_match,provisional,Historical capture 2024-12-10T15:35:55Z,resolve to source line in 0875
round3-sen-aner-archive-esipc-v4,sen-aner-archive-esipc-v4,,sen-project-annex-23,possible_match,provisional,Historical capture 2025-05-25T01:48:46Z,resolve to source line in 0875
round3-sen-aner-archive-gandiaye,sen-aner-archive-gandiaye,,sen-project-annex-28,possible_match,provisional,Historical capture 2024-12-10T15:38:29Z,resolve to source line in 0875
round3-aner-d2b-api,sen-aner-d2b-live-api,,sen-project-annex-23,possible_match,provisional,JSON id24 D2B17SN01,resolve to source line in 0875
sen-resume-sen-project-annex-28-sen-aner-gandiaye-tender-2020,sen-aner-gandiaye-tender-2020,,sen-project-annex-28,possible_match,provisional,2020 tender route now returns HTML,no snapshot
sen-project-annex-24-sen-aner-magazine-2026,sen-aner-magazine-2026,,sen-project-annex-24,project_report,confirmed,"pp. 32-37, CERER/PTB infrastructure quality programme",resolve to source line in 0875
sen-project-annex-26-sen-aner-magazine-2026,sen-aner-magazine-2026,,sen-project-annex-26,project_report,confirmed,"p. 17, interview with ANER director: 300000 household solar kits",resolve to source line in 0875
sen-resume-sen-project-annex-28-sen-aner-magazine-2026,sen-aner-magazine-2026,,sen-project-annex-28,possible_match,provisional,Printed p.15: Gandiaye pilot,resolve to source line in 0875
sen-project-annex-20-sen-aner-project-20,sen-aner-project-20,sen-aner-project-20-discovery-1,sen-project-annex-20,project_page,confirmed,"Public API titleFr, objectiveFr and status; human page URL in source notes",resolve to source line in 0875
sen-project-annex-22-sen-aner-project-22,sen-aner-project-22,sen-aner-project-22-discovery-1,sen-project-annex-22,project_page,confirmed,"Public API titleFr, objectiveFr and status; human page URL in source notes",resolve to source line in 0875
sen-project-annex-27-sen-aner-project-27,sen-aner-project-27,sen-aner-project-27-discovery-1,sen-project-annex-27,project_page,confirmed,"Public API titleFr, objectiveFr and status; human page URL in source notes",resolve to source line in 0875
sen-project-annex-29-sen-aner-project-29,sen-aner-project-29,,sen-project-annex-29,project_page,confirmed,"Public API titleFr, objectiveFr and status; human page URL in source notes",resolve to source line in 0875
sen-project-annex-31-sen-aner-project-31,sen-aner-project-31,sen-aner-project-31-discovery-1,sen-project-annex-31,project_page,confirmed,"Public API titleFr, objectiveFr and status; human page URL in source notes",resolve to source line in 0875
sen-project-annex-23-sen-aner-project-api,sen-aner-project-api,,sen-project-annex-23,possible_match,provisional,Related programme or geographic lead,no precise locator
sen-project-annex-25-sen-aner-project-api,sen-aner-project-api,,sen-project-annex-25,possible_match,provisional,Related programme or geographic lead,no precise locator
sen-project-annex-28-sen-aner-project-api,sen-aner-project-api,,sen-project-annex-28,possible_match,provisional,Related programme or geographic lead,no precise locator
sen-project-annex-30-sen-aner-project-api,sen-aner-project-api,,sen-project-annex-30,possible_match,provisional,Related programme or geographic lead,no precise locator
docfollow-aner-psd-23,sen-aner-psd-2025-2029,,sen-project-annex-23,project_report,confirmed,"PDF pp.22 and48, named institutional-autonomy project",resolve to source line in 0875
docfollow-aner-rooftop-23,sen-aner-rooftop-preliminary-report,,sen-project-annex-23,possible_match,provisional,"Printed pp.3,12-13,19-20; tables2 and8",resolve to source line in 0875
docfollow-aner-wp2-28,sen-aner-wp2-productive-use,,sen-project-annex-28,possible_match,provisional,Gandiaye desalination case,resolve to source line in 0875
round3-sen-project-annex-28-sen-annex8-project-analysis,sen-annex8-project-analysis,,sen-project-annex-28,project_report,confirmed,"Printed p.172, section 8.5.2.4; received-project table pp.4-5",resolve to source line in 0875
round3-sen-project-annex-30-sen-annex8-project-analysis,sen-annex8-project-analysis,,sen-project-annex-30,project_report,confirmed,"Printed pp.58-61, section 8.4.2.9 and prioritisation; received-project table pp.4-5",resolve to source line in 0875
round2-sen-project-qw-04-sen-arcop-aser-audit-2023,sen-arcop-aser-audit-2023,,sen-project-qw-04,project_report,confirmed,"PDF/printed pp.55-56, T_ASER_003, lots T0038/T0039",resolve to source line in 0875
sen-dig-sen-artelia-thiestouba-gbif,sen-artelia-thiestouba-gbif,sen-artelia-thiestouba-gbif-discovery-1,sen-project-annex-15,project_report,confirmed,"project.abstract, project.funding; DOI 10.15468/r5fqf9",resolve to source line in 0875
sen-resume-sen-project-annex-05-sen-aser-www-retry,sen-aser-www-retry,,sen-project-annex-05,possible_match,provisional,Connection refused,no snapshot
sen-resume-sen-project-annex-06-sen-aser-www-retry,sen-aser-www-retry,,sen-project-annex-06,possible_match,provisional,Connection refused,no snapshot
sen-resume-sen-project-annex-07-sen-aser-www-retry,sen-aser-www-retry,,sen-project-annex-07,possible_match,provisional,Connection refused,no snapshot
sen-resume-sen-project-qw-04-sen-aser-www-retry,sen-aser-www-retry,,sen-project-qw-04,possible_match,provisional,Connection refused,no snapshot
sen-project-annex-21-sen-bmn-energy-programme,sen-bmn-energy-programme,,sen-project-annex-21,possible_match,provisional,Related programme or geographic lead,no precise locator
round4-boad-linguere,sen-boad-linguere-loan-2026,,sen-project-qw-02,possible_match,provisional,"PDF pp.2-3, board25-26March2026",resolve to source line in 0875
sen-dig-sen-boad-ouarkhokh-esia,sen-boad-ouarkhokh-esia,sen-boad-ouarkhokh-esia-discovery-1,sen-project-qw-02,possible_match,provisional,Printed p.16; cover February 2026 provisional; consultation pp.346-347,resolve to source line in 0875
sen-resume-sen-project-annex-25-sen-caa-aner-capacity-065,sen-caa-aner-capacity-065,,sen-project-annex-25,possible_match,provisional,ANER climate-finance assistance; archive HTTP403,no snapshot
sen-project-annex-19-sen-cetud-biognv-2021,sen-cetud-biognv-2021,,sen-project-annex-19,possible_match,provisional,Related programme or geographic lead,no precise locator
sen-resume-sen-project-qw-10-sen-diass-groundbreaking-2026,sen-diass-groundbreaking-2026,,sen-project-qw-10,project_report,confirmed,20 April 2026 notice; ceremony and funding paragraphs,resolve to source line in 0875
round2-sen-project-qw-02-sen-genertec-ouarkhokh-chinese-2026,sen-genertec-ouarkhokh-chinese-2026,,sen-project-qw-02,possible_match,provisional,Published26May2026; opening paragraphs,resolve to source line in 0875
sen-resume-sen-project-annex-25-sen-giz-ped2-2024,sen-giz-ped2-2024,sen-giz-ped2-2024-discovery-1,sen-project-annex-25,possible_match,provisional,PED II partner list and 2022-2025 period,resolve to source line in 0875
sen-resume-sen-project-annex-05-sen-gov-access-project-fiches,sen-gov-access-project-fiches,,sen-project-annex-05,possible_match,provisional,TLS validation failure,no snapshot
sen-resume-sen-project-annex-19-sen-ifc-biogas-609428,sen-ifc-biogas-609428,,sen-project-annex-19,project_report,confirmed,"Summary of Advisory Services: approval date, project description, budget",resolve to source line in 0875
sen-resume-sen-project-annex-19-sen-ifc-cetud-ppp-2025,sen-ifc-cetud-ppp-2025,sen-ifc-cetud-ppp-2025-discovery-1,sen-project-annex-19,project_report,confirmed,8 May 2025; first project and transaction-advisor role,resolve to source line in 0875
sen-project-annex-01-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-01,named_in,confirmed,"Annex 2, p. 13, row 1",resolve to source line in 0875
sen-project-annex-02-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-02,named_in,confirmed,"Annex 2, p. 13, row 2",resolve to source line in 0875
sen-project-annex-03-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-03,named_in,confirmed,"Annex 2, p. 13, row 3",resolve to source line in 0875
sen-project-annex-04-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-04,named_in,confirmed,"Annex 2, p. 13, row 4",resolve to source line in 0875
sen-project-annex-05-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-05,named_in,confirmed,"Annex 2, p. 13, row 5",resolve to source line in 0875
sen-project-annex-06-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-06,named_in,confirmed,"Annex 2, p. 13, row 6",resolve to source line in 0875
sen-project-annex-07-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-07,named_in,confirmed,"Annex 2, p. 13, row 7",resolve to source line in 0875
sen-project-annex-08-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-08,named_in,confirmed,"Annex 2, p. 13, row 8",resolve to source line in 0875
sen-project-annex-09-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-09,named_in,confirmed,"Annex 2, p. 13, row 9",resolve to source line in 0875
sen-project-annex-10-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-10,named_in,confirmed,"Annex 2, p. 13, row 10",resolve to source line in 0875
sen-project-annex-11-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-11,named_in,confirmed,"Annex 2, p. 13, row 11",resolve to source line in 0875
sen-project-annex-12-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-12,named_in,confirmed,"Annex 2, p. 13, row 12",resolve to source line in 0875
sen-project-annex-13-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-13,named_in,confirmed,"Annex 2, p. 13, row 13",resolve to source line in 0875
sen-project-annex-14-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-14,named_in,confirmed,"Annex 2, p. 14, row 14",resolve to source line in 0875
sen-project-annex-15-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-15,named_in,confirmed,"Annex 2, p. 14, row 15",resolve to source line in 0875
sen-project-annex-16-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-16,named_in,confirmed,"Annex 2, p. 14, row 16",resolve to source line in 0875
sen-project-annex-17-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-17,named_in,confirmed,"Annex 2, p. 14, row 17",resolve to source line in 0875
sen-project-annex-18-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-18,named_in,confirmed,"Annex 2, p. 14, row 18",resolve to source line in 0875
sen-project-annex-19-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-19,named_in,confirmed,"Annex 2, p. 14, row 19",resolve to source line in 0875
sen-project-annex-20-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-20,named_in,confirmed,"Annex 2, p. 14, row 20",resolve to source line in 0875
sen-project-annex-21-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-21,named_in,confirmed,"Annex 2, p. 14, row 21",resolve to source line in 0875
sen-project-annex-22-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-22,named_in,confirmed,"Annex 2, p. 14, row 22",resolve to source line in 0875
sen-project-annex-23-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-23,named_in,confirmed,"Annex 2, p. 14, row 23",resolve to source line in 0875
sen-project-annex-24-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-24,named_in,confirmed,"Annex 2, p. 14, row 24",resolve to source line in 0875
sen-project-annex-25-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-25,named_in,confirmed,"Annex 2, p. 14, row 25",resolve to source line in 0875
sen-project-annex-26-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-26,named_in,confirmed,"Annex 2, p. 14, row 26",resolve to source line in 0875
sen-project-annex-27-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-27,named_in,confirmed,"Annex 2, p. 15, row 27",resolve to source line in 0875
sen-project-annex-28-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-28,named_in,confirmed,"Annex 2, p. 15, row 28",resolve to source line in 0875
sen-project-annex-29-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-29,named_in,confirmed,"Annex 2, p. 15, row 29",resolve to source line in 0875
sen-project-annex-30-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-30,named_in,confirmed,"Annex 2, p. 15, row 30",resolve to source line in 0875
sen-project-annex-31-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-31,named_in,confirmed,"Annex 2, p. 15, row 31",resolve to source line in 0875
sen-project-annex-32-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-32,named_in,confirmed,"Annex 2, p. 15, row 32",resolve to source line in 0875
sen-project-annex-33-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-33,named_in,confirmed,"Annex 2, p. 15, row 33",resolve to source line in 0875
sen-project-annex-34-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-34,named_in,confirmed,"Annex 2, p. 15, row 34",resolve to source line in 0875
sen-project-annex-35-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-35,named_in,confirmed,"Annex 2, p. 15, row 35",resolve to source line in 0875
sen-project-annex-36-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-36,named_in,confirmed,"Annex 2, p. 15, row 36",resolve to source line in 0875
sen-project-annex-37-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-37,named_in,confirmed,"Annex 2, p. 15, row 37",resolve to source line in 0875
sen-project-annex-38-sen-investment-plan-annexes-mirror,sen-investment-plan-annexes-mirror,,sen-project-annex-38,named_in,confirmed,"Annex 2, p. 15, row 38",resolve to source line in 0875
sen-project-annex-11-sen-investment-plan-l4-mirror,sen-investment-plan-l4-mirror,,sen-project-annex-11,named_in,confirmed,"p. 33, QW5; main plan crosswalk",resolve to source line in 0875
sen-project-annex-15-sen-investment-plan-l4-mirror,sen-investment-plan-l4-mirror,,sen-project-annex-15,named_in,confirmed,"p. 33, QW1; main plan crosswalk",resolve to source line in 0875
sen-project-annex-16-sen-investment-plan-l4-mirror,sen-investment-plan-l4-mirror,,sen-project-annex-16,named_in,confirmed,"p. 33, QW9; main plan crosswalk",resolve to source line in 0875
sen-project-annex-17-sen-investment-plan-l4-mirror,sen-investment-plan-l4-mirror,,sen-project-annex-17,named_in,confirmed,"p. 33, QW6; main plan crosswalk",resolve to source line in 0875
sen-project-annex-19-sen-investment-plan-l4-mirror,sen-investment-plan-l4-mirror,,sen-project-annex-19,named_in,confirmed,"p. 33, QW7; main plan crosswalk",resolve to source line in 0875
sen-project-annex-20-sen-investment-plan-l4-mirror,sen-investment-plan-l4-mirror,,sen-project-annex-20,named_in,confirmed,"p. 33, QW11; main plan crosswalk",resolve to source line in 0875
sen-project-qw-02-sen-investment-plan-l4-mirror,sen-investment-plan-l4-mirror,,sen-project-qw-02,named_in,confirmed,"p. 33, QW2",resolve to source line in 0875
sen-project-qw-03-sen-investment-plan-l4-mirror,sen-investment-plan-l4-mirror,,sen-project-qw-03,named_in,confirmed,"p. 33, QW3",resolve to source line in 0875
sen-project-qw-04-sen-investment-plan-l4-mirror,sen-investment-plan-l4-mirror,,sen-project-qw-04,named_in,confirmed,"p. 33, QW4",resolve to source line in 0875
sen-project-qw-08-sen-investment-plan-l4-mirror,sen-investment-plan-l4-mirror,,sen-project-qw-08,named_in,confirmed,"p. 33, QW8",resolve to source line in 0875
