legacy_row_number,legacy_event_id,legacy_date_role,outcome,timing_id,approval_timing_id,reason
50,zaf-register-fr002-2026-03-30,register,typed_timing,timing-zaf-register-fr002-2026-03-30-1,,
51,zaf-register-fr003-2026-03-30,register,typed_timing,timing-zaf-register-fr003-2026-03-30-1,,
52,zaf-register-fr004-2026-03-30,register,typed_timing,timing-zaf-register-fr004-2026-03-30-1,,
53,zaf-register-fr005-2026-03-30,register,typed_timing,timing-zaf-register-fr005-2026-03-30-1,,
54,zaf-register-fr006-2026-03-30,register,typed_timing,timing-zaf-register-fr006-2026-03-30-1,,
55,zaf-register-fr007-2026-03-30,register,typed_timing,timing-zaf-register-fr007-2026-03-30-1,,
56,zaf-register-fr009-2026-03-30,register,typed_timing,timing-zaf-register-fr009-2026-03-30-1,,
57,zaf-register-fr010-2026-03-30,register,typed_timing,timing-zaf-register-fr010-2026-03-30-1,,
58,zaf-register-fr011-2026-03-30,register,typed_timing,timing-zaf-register-fr011-2026-03-30-1,,
59,zaf-register-fr012-2026-03-30,register,typed_timing,timing-zaf-register-fr012-2026-03-30-1,,
60,zaf-register-fr013-2026-03-30,register,typed_timing,timing-zaf-register-fr013-2026-03-30-1,,
61,zaf-register-fr014-2026-03-30,register,typed_timing,timing-zaf-register-fr014-2026-03-30-1,,
62,zaf-register-fr015-2026-03-30,register,typed_timing,timing-zaf-register-fr015-2026-03-30-1,,
63,zaf-register-fr016-2026-03-30,register,typed_timing,timing-zaf-register-fr016-2026-03-30-1,,
64,zaf-register-fr017-2026-03-30,register,typed_timing,timing-zaf-register-fr017-2026-03-30-1,,
65,zaf-register-fr019-2026-03-30,register,typed_timing,timing-zaf-register-fr019-2026-03-30-1,,
66,zaf-register-fr020-2026-03-30,register,typed_timing,timing-zaf-register-fr020-2026-03-30-1,,
67,zaf-register-fr021-2026-03-30,register,typed_timing,timing-zaf-register-fr021-2026-03-30-1,,
68,zaf-register-fr022-2026-03-30,register,typed_timing,timing-zaf-register-fr022-2026-03-30-1,,
69,zaf-register-fp001-1-2026-03-30,register,typed_timing,timing-zaf-register-fp001-1-2026-03-30-1,,
70,zaf-register-fp001-2-2026-03-30,register,typed_timing,timing-zaf-register-fp001-2-2026-03-30-1,,
71,zaf-register-fp001-3-2026-03-30,register,typed_timing,timing-zaf-register-fp001-3-2026-03-30-1,,
72,zaf-register-fp001-4-2026-03-30,register,typed_timing,timing-zaf-register-fp001-4-2026-03-30-1,,
73,zaf-register-fp001-5-2026-03-30,register,typed_timing,timing-zaf-register-fp001-5-2026-03-30-1,,
74,zaf-register-gr001-2026-03-30,register,typed_timing,timing-zaf-register-gr001-2026-03-30-1,,
75,zaf-register-gr002-2026-03-30,register,typed_timing,timing-zaf-register-gr002-2026-03-30-1,,
76,zaf-register-gr003-2026-03-30,register,typed_timing,timing-zaf-register-gr003-2026-03-30-1,,
77,zaf-register-gr004-2026-03-30,register,typed_timing,timing-zaf-register-gr004-2026-03-30-1,,
78,zaf-register-gr006-2026-03-30,register,typed_timing,timing-zaf-register-gr006-2026-03-30-1,,
79,zaf-register-gr007-2026-03-30,register,typed_timing,timing-zaf-register-gr007-2026-03-30-1,,
80,zaf-register-gr008-2026-03-30,register,typed_timing,timing-zaf-register-gr008-2026-03-30-1,,
81,zaf-register-gr009-2026-03-30,register,typed_timing,timing-zaf-register-gr009-2026-03-30-1,,
82,zaf-register-gr011-2026-03-30,register,typed_timing,timing-zaf-register-gr011-2026-03-30-1,,
83,zaf-register-gr012-2026-03-30,register,typed_timing,timing-zaf-register-gr012-2026-03-30-1,,
84,zaf-register-gr013-2026-03-30,register,typed_timing,timing-zaf-register-gr013-2026-03-30-1,,
85,zaf-register-gr014-2026-03-30,register,typed_timing,timing-zaf-register-gr014-2026-03-30-1,,
86,zaf-register-gr014b-2026-03-30,register,typed_timing,timing-zaf-register-gr014b-2026-03-30-1,,
87,zaf-register-gr015-2026-03-30,register,typed_timing,timing-zaf-register-gr015-2026-03-30-1,,
88,zaf-register-gr016-2026-03-30,register,typed_timing,timing-zaf-register-gr016-2026-03-30-1,,
89,zaf-register-gr017-2026-03-30,register,typed_timing,timing-zaf-register-gr017-2026-03-30-1,,
90,zaf-register-gr018-2026-03-30,register,typed_timing,timing-zaf-register-gr018-2026-03-30-1,,
91,zaf-register-gr019-2026-03-30,register,typed_timing,timing-zaf-register-gr019-2026-03-30-1,,
92,zaf-register-gr020-2026-03-30,register,typed_timing,timing-zaf-register-gr020-2026-03-30-1,,
93,zaf-register-gr021-2026-03-30,register,typed_timing,timing-zaf-register-gr021-2026-03-30-1,,
94,zaf-register-gr022-2026-03-30,register,typed_timing,timing-zaf-register-gr022-2026-03-30-1,,
95,zaf-register-gr023-2026-03-30,register,typed_timing,timing-zaf-register-gr023-2026-03-30-1,,
96,zaf-register-gr024-2026-03-30,register,typed_timing,timing-zaf-register-gr024-2026-03-30-1,,
97,zaf-register-gr025-2026-03-30,register,typed_timing,timing-zaf-register-gr025-2026-03-30-1,,
98,zaf-register-gr026-2026-03-30,register,typed_timing,timing-zaf-register-gr026-2026-03-30-1,,
99,zaf-register-gr026b-2026-03-30,register,typed_timing,timing-zaf-register-gr026b-2026-03-30-1,,
100,zaf-register-gr027-2026-03-30,register,typed_timing,timing-zaf-register-gr027-2026-03-30-1,,
101,zaf-register-gr028-2026-03-30,register,typed_timing,timing-zaf-register-gr028-2026-03-30-1,,
102,zaf-register-gr028b-2026-03-30,register,typed_timing,timing-zaf-register-gr028b-2026-03-30-1,,
103,zaf-register-gr029-2026-03-30,register,typed_timing,timing-zaf-register-gr029-2026-03-30-1,,
104,zaf-register-gr029b-2026-03-30,register,typed_timing,timing-zaf-register-gr029b-2026-03-30-1,,
105,zaf-register-gr030-2026-03-30,register,typed_timing,timing-zaf-register-gr030-2026-03-30-1,,
106,zaf-register-gr031-2026-03-30,register,typed_timing,timing-zaf-register-gr031-2026-03-30-1,,
107,zaf-register-gr032-2026-03-30,register,typed_timing,timing-zaf-register-gr032-2026-03-30-1,,
108,zaf-register-gr033-2026-03-30,register,typed_timing,timing-zaf-register-gr033-2026-03-30-1,,
109,zaf-register-gr034-2026-03-30,register,typed_timing,timing-zaf-register-gr034-2026-03-30-1,,
110,zaf-register-gr035-2026-03-30,register,typed_timing,timing-zaf-register-gr035-2026-03-30-1,,
111,zaf-register-gr036-2026-03-30,register,typed_timing,timing-zaf-register-gr036-2026-03-30-1,,
112,zaf-register-gr037-2026-03-30,register,typed_timing,timing-zaf-register-gr037-2026-03-30-1,,
113,zaf-register-gr038-2026-03-30,register,typed_timing,timing-zaf-register-gr038-2026-03-30-1,,
114,zaf-register-gr039-2026-03-30,register,typed_timing,timing-zaf-register-gr039-2026-03-30-1,,
115,zaf-register-gr040-2026-03-30,register,typed_timing,timing-zaf-register-gr040-2026-03-30-1,,
116,zaf-register-gr041-2026-03-30,register,typed_timing,timing-zaf-register-gr041-2026-03-30-1,,
117,zaf-register-nl001-1-2026-03-30,register,typed_timing,timing-zaf-register-nl001-1-2026-03-30-1,,
118,zaf-register-nl001-2-2026-03-30,register,typed_timing,timing-zaf-register-nl001-2-2026-03-30-1,,
119,zaf-register-nl001-3-2026-03-30,register,typed_timing,timing-zaf-register-nl001-3-2026-03-30-1,,
120,zaf-register-nl001-4-2026-03-30,register,typed_timing,timing-zaf-register-nl001-4-2026-03-30-1,,
121,zaf-register-nl001-5-2026-03-30,register,typed_timing,timing-zaf-register-nl001-5-2026-03-30-1,,
122,zaf-register-nl001-6-2026-03-30,register,typed_timing,timing-zaf-register-nl001-6-2026-03-30-1,,
123,zaf-register-nl001-7-2026-03-30,register,typed_timing,timing-zaf-register-nl001-7-2026-03-30-1,,
124,zaf-register-nl001-8-2026-03-30,register,typed_timing,timing-zaf-register-nl001-8-2026-03-30-1,,
125,zaf-register-nl001-9-2026-03-30,register,typed_timing,timing-zaf-register-nl001-9-2026-03-30-1,,
126,zaf-register-nl002-2026-03-30,register,typed_timing,timing-zaf-register-nl002-2026-03-30-1,,
127,zaf-register-nl003-2026-03-30,register,typed_timing,timing-zaf-register-nl003-2026-03-30-1,,
128,zaf-register-nl004-2026-03-30,register,typed_timing,timing-zaf-register-nl004-2026-03-30-1,,
129,zaf-register-nl005-2026-03-30,register,typed_timing,timing-zaf-register-nl005-2026-03-30-1,,
130,zaf-register-nl006-2026-03-30,register,typed_timing,timing-zaf-register-nl006-2026-03-30-1,,
131,zaf-register-nl007-2026-03-30,register,typed_timing,timing-zaf-register-nl007-2026-03-30-1,,
132,zaf-register-nl008-2026-03-30,register,typed_timing,timing-zaf-register-nl008-2026-03-30-1,,
133,zaf-register-nl009-2026-03-30,register,typed_timing,timing-zaf-register-nl009-2026-03-30-1,,
134,zaf-register-nl010-2026-03-30,register,typed_timing,timing-zaf-register-nl010-2026-03-30-1,,
135,zaf-register-nl011-2026-03-30,register,typed_timing,timing-zaf-register-nl011-2026-03-30-1,,
136,zaf-register-nl012-2026-03-30,register,typed_timing,timing-zaf-register-nl012-2026-03-30-1,,
137,zaf-register-sw001-2026-03-30,register,typed_timing,timing-zaf-register-sw001-2026-03-30-1,,
138,zaf-register-sw002-2026-03-30,register,typed_timing,timing-zaf-register-sw002-2026-03-30-1,,
139,zaf-register-sw003-2026-03-30,register,typed_timing,timing-zaf-register-sw003-2026-03-30-1,,
140,zaf-register-sw004-2026-03-30,register,typed_timing,timing-zaf-register-sw004-2026-03-30-1,,
141,zaf-register-sw005-2026-03-30,register,typed_timing,timing-zaf-register-sw005-2026-03-30-1,,
142,zaf-register-sw006-2026-03-30,register,typed_timing,timing-zaf-register-sw006-2026-03-30-1,,
143,zaf-register-sw007-2026-03-30,register,typed_timing,timing-zaf-register-sw007-2026-03-30-1,,
144,zaf-register-sw008-2026-03-30,register,typed_timing,timing-zaf-register-sw008-2026-03-30-1,,
145,zaf-register-sw009-2026-03-30,register,typed_timing,timing-zaf-register-sw009-2026-03-30-1,,
146,zaf-register-uk001-2026-03-30,register,typed_timing,timing-zaf-register-uk001-2026-03-30-1,,
147,zaf-register-uk002-2026-03-30,register,typed_timing,timing-zaf-register-uk002-2026-03-30-1,,
148,zaf-register-uk003-2026-03-30,register,typed_timing,timing-zaf-register-uk003-2026-03-30-1,,
149,zaf-register-uk005-2026-03-30,register,typed_timing,timing-zaf-register-uk005-2026-03-30-1,,
150,zaf-register-uk006-2026-03-30,register,typed_timing,timing-zaf-register-uk006-2026-03-30-1,,
151,zaf-register-uk007-2026-03-30,register,typed_timing,timing-zaf-register-uk007-2026-03-30-1,,
152,zaf-register-uk008-2026-03-30,register,typed_timing,timing-zaf-register-uk008-2026-03-30-1,,
153,zaf-register-uk009-2026-03-30,register,typed_timing,timing-zaf-register-uk009-2026-03-30-1,,
154,zaf-register-uk011-2026-03-30,register,typed_timing,timing-zaf-register-uk011-2026-03-30-1,,
155,zaf-register-uk012-2026-03-30,register,typed_timing,timing-zaf-register-uk012-2026-03-30-1,,
156,zaf-register-uk013-2026-03-30,register,typed_timing,timing-zaf-register-uk013-2026-03-30-1,,
157,zaf-register-uk014-2026-03-30,register,typed_timing,timing-zaf-register-uk014-2026-03-30-1,,
158,zaf-register-uk015-2026-03-30,register,typed_timing,timing-zaf-register-uk015-2026-03-30-1,,
159,zaf-register-uk016-2026-03-30,register,typed_timing,timing-zaf-register-uk016-2026-03-30-1,,
160,zaf-register-uk017-2026-03-30,register,typed_timing,timing-zaf-register-uk017-2026-03-30-1,,
161,zaf-register-uk018-2026-03-30,register,typed_timing,timing-zaf-register-uk018-2026-03-30-1,,
162,zaf-register-uk019-2026-03-30,register,typed_timing,timing-zaf-register-uk019-2026-03-30-1,,
163,zaf-register-uk020-2026-03-30,register,typed_timing,timing-zaf-register-uk020-2026-03-30-1,,
164,zaf-register-uk021-2026-03-30,register,typed_timing,timing-zaf-register-uk021-2026-03-30-1,,
165,zaf-register-uk022-2026-03-30,register,typed_timing,timing-zaf-register-uk022-2026-03-30-1,,
166,zaf-register-uk023-2026-03-30,register,typed_timing,timing-zaf-register-uk023-2026-03-30-1,,
167,zaf-register-uk024-2026-03-30,register,typed_timing,timing-zaf-register-uk024-2026-03-30-1,,
168,zaf-register-uk025-2026-03-30,register,typed_timing,timing-zaf-register-uk025-2026-03-30-1,,
169,zaf-register-uk026-2026-03-30,register,typed_timing,timing-zaf-register-uk026-2026-03-30-1,,
170,zaf-register-uk027-2026-03-30,register,typed_timing,timing-zaf-register-uk027-2026-03-30-1,,
171,zaf-register-uk028-2026-03-30,register,typed_timing,timing-zaf-register-uk028-2026-03-30-1,,
172,zaf-register-uk029-2026-03-30,register,typed_timing,timing-zaf-register-uk029-2026-03-30-1,,
173,zaf-register-uk030-2026-03-30,register,typed_timing,timing-zaf-register-uk030-2026-03-30-1,,
174,zaf-register-uk031-2026-03-30,register,typed_timing,timing-zaf-register-uk031-2026-03-30-1,,
175,zaf-register-uk033-2026-03-30,register,typed_timing,timing-zaf-register-uk033-2026-03-30-1,,
176,zaf-register-uk034-2026-03-30,register,typed_timing,timing-zaf-register-uk034-2026-03-30-1,,
177,zaf-register-uk035-2026-03-30,register,typed_timing,timing-zaf-register-uk035-2026-03-30-1,,
178,zaf-register-uk037-2026-03-30,register,typed_timing,timing-zaf-register-uk037-2026-03-30-1,,
179,zaf-register-uk039-2026-03-30,register,typed_timing,timing-zaf-register-uk039-2026-03-30-1,,
180,zaf-register-uk042-2026-03-30,register,typed_timing,timing-zaf-register-uk042-2026-03-30-1,,
181,zaf-register-uk043-2026-03-30,register,typed_timing,timing-zaf-register-uk043-2026-03-30-1,,
182,zaf-register-uk044-2026-03-30,register,typed_timing,timing-zaf-register-uk044-2026-03-30-1,,
183,zaf-register-uk045-2026-03-30,register,typed_timing,timing-zaf-register-uk045-2026-03-30-1,,
184,zaf-register-uk046-2026-03-30,register,typed_timing,timing-zaf-register-uk046-2026-03-30-1,,
185,zaf-register-uk047-2026-03-30,register,typed_timing,timing-zaf-register-uk047-2026-03-30-1,,
186,zaf-register-uk048-2026-03-30,register,typed_timing,timing-zaf-register-uk048-2026-03-30-1,,
187,zaf-register-uk049-2026-03-30,register,typed_timing,timing-zaf-register-uk049-2026-03-30-1,,
188,zaf-register-uk050-2026-03-30,register,typed_timing,timing-zaf-register-uk050-2026-03-30-1,,
189,zaf-register-uk051-2026-03-30,register,typed_timing,timing-zaf-register-uk051-2026-03-30-1,,
190,zaf-register-uk052-2026-03-30,register,typed_timing,timing-zaf-register-uk052-2026-03-30-1,,
191,zaf-register-uk053-2026-03-30,register,typed_timing,timing-zaf-register-uk053-2026-03-30-1,,
192,zaf-register-uk054-2026-03-30,register,typed_timing,timing-zaf-register-uk054-2026-03-30-1,,
193,zaf-register-uk055-2026-03-30,register,typed_timing,timing-zaf-register-uk055-2026-03-30-1,,
194,zaf-register-uk056-2026-03-30,register,typed_timing,timing-zaf-register-uk056-2026-03-30-1,,
195,zaf-register-uk057-2026-03-30,register,typed_timing,timing-zaf-register-uk057-2026-03-30-1,,
196,zaf-register-uk058-2026-03-30,register,typed_timing,timing-zaf-register-uk058-2026-03-30-1,,
197,zaf-register-uk059-2026-03-30,register,typed_timing,timing-zaf-register-uk059-2026-03-30-1,,
198,zaf-register-uk060-2026-03-30,register,typed_timing,timing-zaf-register-uk060-2026-03-30-1,,
199,zaf-register-uk061-2026-03-30,register,typed_timing,timing-zaf-register-uk061-2026-03-30-1,,
200,zaf-register-uk062-2026-03-30,register,typed_timing,timing-zaf-register-uk062-2026-03-30-1,,
201,zaf-register-uk063-2026-03-30,register,typed_timing,timing-zaf-register-uk063-2026-03-30-1,,
202,zaf-register-uk064-2026-03-30,register,typed_timing,timing-zaf-register-uk064-2026-03-30-1,,
203,zaf-register-uk065-2026-03-30,register,typed_timing,timing-zaf-register-uk065-2026-03-30-1,,
204,zaf-register-uk066-2026-03-30,register,typed_timing,timing-zaf-register-uk066-2026-03-30-1,,
205,zaf-register-uk067-2026-03-30,register,typed_timing,timing-zaf-register-uk067-2026-03-30-1,,
206,zaf-register-uk068-2026-03-30,register,typed_timing,timing-zaf-register-uk068-2026-03-30-1,,
207,zaf-register-uk069-2026-03-30,register,typed_timing,timing-zaf-register-uk069-2026-03-30-1,,
208,zaf-register-uk070-2026-03-30,register,typed_timing,timing-zaf-register-uk070-2026-03-30-1,,
209,zaf-register-uk071-2026-03-30,register,typed_timing,timing-zaf-register-uk071-2026-03-30-1,,
210,zaf-register-uk072-2026-03-30,register,typed_timing,timing-zaf-register-uk072-2026-03-30-1,,
211,zaf-register-uk073-2026-03-30,register,typed_timing,timing-zaf-register-uk073-2026-03-30-1,,
212,zaf-register-uk074-2026-03-30,register,typed_timing,timing-zaf-register-uk074-2026-03-30-1,,
213,zaf-register-uk075-2026-03-30,register,typed_timing,timing-zaf-register-uk075-2026-03-30-1,,
214,zaf-register-uk076-2026-03-30,register,typed_timing,timing-zaf-register-uk076-2026-03-30-1,,
215,zaf-register-uk077-2026-03-30,register,typed_timing,timing-zaf-register-uk077-2026-03-30-1,,
216,zaf-register-us001-2026-03-30,register,typed_timing,timing-zaf-register-us001-2026-03-30-1,,
217,zaf-register-us002-2026-03-30,register,typed_timing,timing-zaf-register-us002-2026-03-30-1,,
218,zaf-register-us003-2026-03-30,register,typed_timing,timing-zaf-register-us003-2026-03-30-1,,
219,zaf-register-us004-2026-03-30,register,typed_timing,timing-zaf-register-us004-2026-03-30-1,,
220,zaf-register-us006-2026-03-30,register,typed_timing,timing-zaf-register-us006-2026-03-30-1,,
221,zaf-register-us007-2026-03-30,register,typed_timing,timing-zaf-register-us007-2026-03-30-1,,
222,zaf-register-us008-2026-03-30,register,typed_timing,timing-zaf-register-us008-2026-03-30-1,,
223,zaf-register-us009-2026-03-30,register,typed_timing,timing-zaf-register-us009-2026-03-30-1,,
224,zaf-register-us010-2026-03-30,register,typed_timing,timing-zaf-register-us010-2026-03-30-1,,
225,zaf-register-us011-2026-03-30,register,typed_timing,timing-zaf-register-us011-2026-03-30-1,,
226,zaf-register-us012-2026-03-30,register,typed_timing,timing-zaf-register-us012-2026-03-30-1,,
227,zaf-register-us013-2026-03-30,register,typed_timing,timing-zaf-register-us013-2026-03-30-1,,
228,zaf-register-us014-2026-03-30,register,typed_timing,timing-zaf-register-us014-2026-03-30-1,,
229,zaf-register-us015-2026-03-30,register,typed_timing,timing-zaf-register-us015-2026-03-30-1,,
230,zaf-register-us017-2026-03-30,register,typed_timing,timing-zaf-register-us017-2026-03-30-1,,
231,zaf-register-us018-2026-03-30,register,typed_timing,timing-zaf-register-us018-2026-03-30-1,,
232,zaf-register-us019-2026-03-30,register,typed_timing,timing-zaf-register-us019-2026-03-30-1,,
233,zaf-register-us020-2026-03-30,register,typed_timing,timing-zaf-register-us020-2026-03-30-1,,
234,zaf-register-us021-2026-03-30,register,typed_timing,timing-zaf-register-us021-2026-03-30-1,,
235,zaf-register-us022-2026-03-30,register,typed_timing,timing-zaf-register-us022-2026-03-30-1,,
236,zaf-register-us023-2026-03-30,register,typed_timing,timing-zaf-register-us023-2026-03-30-1,,
237,zaf-register-us024-2026-03-30,register,typed_timing,timing-zaf-register-us024-2026-03-30-1,,
238,zaf-register-us026-2026-03-30,register,typed_timing,timing-zaf-register-us026-2026-03-30-1,,
239,zaf-register-us027-2026-03-30,register,typed_timing,timing-zaf-register-us027-2026-03-30-1,,
240,zaf-register-us028-2026-03-30,register,typed_timing,timing-zaf-register-us028-2026-03-30-1,,
241,zaf-register-us029-2026-03-30,register,typed_timing,timing-zaf-register-us029-2026-03-30-1,,
242,zaf-register-us030-2026-03-30,register,typed_timing,timing-zaf-register-us030-2026-03-30-1,,
243,zaf-register-us031-2026-03-30,register,typed_timing,timing-zaf-register-us031-2026-03-30-1,,
244,zaf-register-us032-2026-03-30,register,typed_timing,timing-zaf-register-us032-2026-03-30-1,,
245,zaf-register-us033-2026-03-30,register,typed_timing,timing-zaf-register-us033-2026-03-30-1,,
246,zaf-register-us034-2026-03-30,register,typed_timing,timing-zaf-register-us034-2026-03-30-1,,
247,zaf-register-us035-2026-03-30,register,typed_timing,timing-zaf-register-us035-2026-03-30-1,,
248,zaf-register-us037-2026-03-30,register,typed_timing,timing-zaf-register-us037-2026-03-30-1,,
249,zaf-register-us038-2026-03-30,register,typed_timing,timing-zaf-register-us038-2026-03-30-1,,
250,zaf-register-us039-2026-03-30,register,typed_timing,timing-zaf-register-us039-2026-03-30-1,,
251,zaf-register-afdb001-2026-03-30,register,typed_timing,timing-zaf-register-afdb001-2026-03-30-1,,
252,zaf-register-afdb002-2026-03-30,register,typed_timing,timing-zaf-register-afdb002-2026-03-30-1,,
253,zaf-register-afdb003-2026-03-30,register,typed_timing,timing-zaf-register-afdb003-2026-03-30-1,,
254,zaf-register-afdb004-2026-03-30,register,typed_timing,timing-zaf-register-afdb004-2026-03-30-1,,
255,zaf-register-sp001-2026-03-30,register,typed_timing,timing-zaf-register-sp001-2026-03-30-1,,
256,zaf-register-idc001-2026-03-30,register,typed_timing,timing-zaf-register-idc001-2026-03-30-1,,
257,zaf-register-idc002-2026-03-30,register,typed_timing,timing-zaf-register-idc002-2026-03-30-1,,
258,zaf-register-idc003-2026-03-30,register,typed_timing,timing-zaf-register-idc003-2026-03-30-1,,
259,zaf-murp-afdb-approved-2026,event,pending,,,missing_precise_cited_line
260,zaf-eepbip-maf-approved-2018,other_milestone,pending,,,unmapped_date_role_other_milestone
261,idn-approved-isle1-canada-2025,reporting_cutoff,typed_timing,timing-idn-approved-isle1-canada-2025-1,,
262,idn-approved-sreap-kfw-2025,reporting_cutoff,typed_timing,timing-idn-approved-sreap-kfw-2025-1,,
263,idn-approved-xurya-norfund-2025,reporting_cutoff,typed_timing,timing-idn-approved-xurya-norfund-2025-1,,
264,idn-approved-xurya-bii-2025,reporting_cutoff,typed_timing,timing-idn-approved-xurya-bii-2025-1,,
265,idn-approved-aset-kfw-2025,reporting_cutoff,typed_timing,timing-idn-approved-aset-kfw-2025-1,,
266,idn-approved-aset-afd-2025,reporting_cutoff,typed_timing,timing-idn-approved-aset-afd-2025-1,,
267,idn-approved-aicet-afd-2025,reporting_cutoff,typed_timing,timing-idn-approved-aicet-afd-2025-1,,
268,idn-approved-aicet-uk-adb-2025,reporting_cutoff,typed_timing,timing-idn-approved-aicet-uk-adb-2025-1,,
269,idn-approved-aicet-eu-acgf-2025,reporting_cutoff,typed_timing,timing-idn-approved-aicet-eu-acgf-2025-1,,
270,idn-approved-muara-laboh-jbic-2025,reporting_cutoff,typed_timing,timing-idn-approved-muara-laboh-jbic-2025-1,,
271,idn-approved-saguling-blended-2025,reporting_cutoff,typed_timing,timing-idn-approved-saguling-blended-2025-1,,
272,idn-approved-mrt-north-south-jica-2025,reporting_cutoff,typed_timing,timing-idn-approved-mrt-north-south-jica-2025-1,timing-idn-approved-mrt-north-south-jica-2025-1-approval,
