source_table,old_id,outcome,referent_kind,referent_id,detail
project-coverage.csv,sen-project-annex-01,coverage,project,project-sen-project-annex-01,
project-coverage.csv,sen-project-annex-02,coverage,project,project-sen-project-annex-02,
project-coverage.csv,sen-project-annex-03,coverage,project,project-sen-project-annex-03,
project-coverage.csv,sen-project-annex-04,coverage,project,project-sen-project-annex-04,
project-coverage.csv,sen-project-annex-05,coverage,project,project-sen-project-annex-05,
project-coverage.csv,sen-project-annex-06,coverage,project,project-sen-project-annex-06,
project-coverage.csv,sen-project-annex-07,coverage,project,project-sen-project-annex-07,
project-coverage.csv,sen-project-annex-08,coverage,project,project-sen-project-annex-08,
project-coverage.csv,sen-project-annex-09,coverage,project,project-sen-project-annex-09,
project-coverage.csv,sen-project-annex-10,coverage,project,project-sen-project-annex-10,
project-coverage.csv,sen-project-annex-11,coverage,project,project-sen-project-annex-11,
project-coverage.csv,sen-project-annex-12,coverage,project,project-sen-project-annex-12,
project-coverage.csv,sen-project-annex-13,coverage,project,project-sen-project-annex-13,
project-coverage.csv,sen-project-annex-14,coverage,project,project-sen-project-annex-14,
project-coverage.csv,sen-project-annex-15,coverage,project,project-sen-project-annex-15,
project-coverage.csv,sen-project-annex-16,coverage,project,project-sen-project-annex-16,
project-coverage.csv,sen-project-annex-17,coverage,project,project-sen-project-annex-17,
project-coverage.csv,sen-project-annex-18,coverage,project,project-sen-project-annex-18,
project-coverage.csv,sen-project-annex-19,coverage,project,project-sen-project-annex-19,
project-coverage.csv,sen-project-annex-20,coverage,project,project-sen-project-annex-20,
project-coverage.csv,sen-project-annex-21,coverage,project,project-sen-project-annex-21,
project-coverage.csv,sen-project-annex-22,coverage,project,project-sen-project-annex-22,
project-coverage.csv,sen-project-annex-23,coverage,project,project-sen-project-annex-23,
project-coverage.csv,sen-project-annex-24,coverage,project,project-sen-project-annex-24,
project-coverage.csv,sen-project-annex-25,coverage,project,project-sen-project-annex-25,
project-coverage.csv,sen-project-annex-26,coverage,project,project-sen-project-annex-26,
project-coverage.csv,sen-project-annex-27,coverage,project,project-sen-project-annex-27,
project-coverage.csv,sen-project-annex-28,coverage,project,project-sen-project-annex-28,
project-coverage.csv,sen-project-annex-29,coverage,project,project-sen-project-annex-29,
project-coverage.csv,sen-project-annex-30,coverage,project,project-sen-project-annex-30,
project-coverage.csv,sen-project-annex-31,coverage,project,project-sen-project-annex-31,
project-coverage.csv,sen-project-annex-32,coverage,project,project-sen-project-annex-32,
project-coverage.csv,sen-project-annex-33,coverage,project,project-sen-project-annex-33,
project-coverage.csv,sen-project-annex-34,coverage,project,project-sen-project-annex-34,
project-coverage.csv,sen-project-annex-35,coverage,project,project-sen-project-annex-35,
project-coverage.csv,sen-project-annex-36,coverage,project,project-sen-project-annex-36,
project-coverage.csv,sen-project-annex-37,coverage,project,project-sen-project-annex-37,
project-coverage.csv,sen-project-annex-38,coverage,project,project-sen-project-annex-38,
project-coverage.csv,sen-project-qw-02,coverage,project,project-sen-project-qw-02,
project-coverage.csv,sen-project-qw-03,coverage,project,project-sen-project-qw-03,
project-coverage.csv,sen-project-qw-04,coverage,project,project-sen-project-qw-04,
project-coverage.csv,sen-project-qw-08,coverage,project,project-sen-project-qw-08,
project-coverage.csv,sen-project-qw-10,coverage,project,project-sen-project-qw-10,
authority-coverage.csv,zaf-presidency,disposition,,,no matching party name
authority-coverage.csv,zaf-pcc,coverage,party,presidential-climate-commission,
authority-coverage.csv,zaf-jet-pmu,coverage,party,jet-project-management-unit,
authority-coverage.csv,zaf-ipg,coverage,party,international-partners-group,
authority-coverage.csv,zaf-france-afd,disposition,,,no matching party name
authority-coverage.csv,zaf-germany-kfw,disposition,,,no matching party name
authority-coverage.csv,zaf-uk,disposition,,,no matching party name
authority-coverage.csv,zaf-eu-eib,disposition,,,no matching party name
authority-coverage.csv,zaf-us,coverage,party,united-states,
authority-coverage.csv,zaf-netherlands,disposition,,,no matching party name
authority-coverage.csv,zaf-denmark,disposition,,,no matching party name
authority-coverage.csv,zaf-spain,disposition,,,no matching party name
authority-coverage.csv,zaf-switzerland,disposition,,,no matching party name
authority-coverage.csv,zaf-canada,disposition,,,no matching party name
authority-coverage.csv,zaf-cif,disposition,,,no matching party name
authority-coverage.csv,zaf-world-bank,coverage,party,world-bank,
authority-coverage.csv,zaf-afdb,coverage,party,african-development-bank,
authority-coverage.csv,zaf-dbsa,coverage,party,development-bank-of-southern-africa,
authority-coverage.csv,zaf-idc,disposition,,,no matching party name
authority-coverage.csv,zaf-eskom,coverage,party,eskom,
authority-coverage.csv,zaf-ntcsa,coverage,party,national-transmission-company-south-africa,
authority-coverage.csv,idn-cmea-task-force,disposition,,,no matching party name
authority-coverage.csv,idn-jetp-secretariat,coverage,party,jetp-indonesia-secretariat,
authority-coverage.csv,idn-memr,disposition,,,no matching party name
authority-coverage.csv,idn-pln,disposition,,,no matching party name
authority-coverage.csv,idn-ipg,coverage,party,international-partners-group,
authority-coverage.csv,idn-gfanz,disposition,,,no matching party name
authority-coverage.csv,idn-canada,disposition,,,no matching party name
authority-coverage.csv,idn-denmark,disposition,,,no matching party name
authority-coverage.csv,idn-eu,coverage,party,european-union,
authority-coverage.csv,idn-france,disposition,,,no matching party name
authority-coverage.csv,idn-germany,disposition,,,no matching party name
authority-coverage.csv,idn-italy,disposition,,,no matching party name
authority-coverage.csv,idn-japan,disposition,,,no matching party name
authority-coverage.csv,idn-norway,disposition,,,no matching party name
authority-coverage.csv,idn-uk,coverage,party,government-of-the-united-kingdom,
authority-coverage.csv,idn-us-historical,disposition,,,no matching party name
authority-coverage.csv,idn-adb,coverage,party,asian-development-bank,
authority-coverage.csv,idn-world-bank-group,disposition,,,no matching party name
authority-coverage.csv,idn-afd,disposition,,,no matching party name
authority-coverage.csv,idn-kfw,coverage,party,kfw-development-bank,
authority-coverage.csv,idn-jica,coverage,party,japan-international-cooperation-agency,
authority-coverage.csv,idn-jbic,disposition,,,no matching party name
authority-coverage.csv,idn-eib,coverage,party,european-investment-bank,
authority-coverage.csv,idn-cif-act-etm,disposition,,,no matching party name
authority-coverage.csv,idn-bii,coverage,party,british-international-investment,
authority-coverage.csv,idn-norfund,disposition,,,no matching party name
authority-coverage.csv,idn-eifo-dsif-ifu,disposition,,,no matching party name
authority-coverage.csv,idn-pidg-guarantco,disposition,,,no matching party name
authority-coverage.csv,idn-deg-proparco,disposition,,,no matching party name
authority-coverage.csv,vnm-adb,coverage,party,asian-development-bank,
authority-coverage.csv,vnm-bii,coverage,party,british-international-investment,
authority-coverage.csv,sen-mepm,coverage,party,ministry-of-energy-petroleum-and-mines,
authority-coverage.csv,sen-jetp-secretariat,disposition,,,no matching party name
authority-coverage.csv,sen-ipg,coverage,party,international-partners-group,
authority-coverage.csv,sen-france-afd,disposition,,,no matching party name
authority-coverage.csv,sen-germany-kfw,disposition,,,no matching party name
authority-coverage.csv,sen-eu,coverage,party,european-union,
authority-coverage.csv,sen-uk,coverage,party,government-of-the-united-kingdom,
authority-coverage.csv,sen-canada,disposition,,,no matching party name
authority-coverage.csv,sen-afdb,coverage,party,african-development-bank,
authority-coverage.csv,sen-world-bank-group,disposition,,,no matching party name
authority-coverage.csv,sen-eib,coverage,party,european-investment-bank,
authority-coverage.csv,sen-senelec,coverage,party,senelec,
