legacy_table,legacy_event_id,legacy_project_id,source_id,line_id,referent_kind,referent_id,identity_decision,source_support,promotion,reason
events,idn-pipeline-rscm-private-2025,idn-pipe-rscm-energy-efficiency,idn-jetp-progress-report-2025,idn-progress25-t4-3-3-rscm,project,project-idn-pipe-rscm-energy-efficiency,exact_project,finance_in_process,accept,Kencana and Kiara HVAC/boiler intervention named.
events,idn-portal-gecs-kfw-2026,idn-pipe-green-corridors-sulawesi,idn-portfolio-project-gecs,idn-portfolio-project-gecs-claim-76,agreement,agreement-idn-gecs-kfw-portal-2026,exact_portal_financing,approved_finance,accept,Portal financing table reports KfW EUR 300m approved; no signature or disbursement inferred.
events,idn-portal-nagajaya-norfund-2026,idn-pipe-nagajaya-micro-hydro,idn-portfolio-project-nagajaya,idn-portfolio-project-nagajaya-claim-78,agreement,agreement-idn-nagajaya-norfund-portal-2026,exact_portal_financing,approved_finance,accept,Portal financing table reports Norfund USD 1.26m equity approved; no signature or disbursement inferred.
implementation-events,idn-impl-green-corridors-2025,idn-pipe-green-corridors-sulawesi,idn-jetp-progress-report-2025,idn-progress25-t4-3-3-gecs,project,project-idn-pipe-green-corridors-sulawesi,exact_project,finance_only,hold,Development and board approvals do not establish physical preparation.
implementation-events,idn-impl-nagajaya-2025,idn-pipe-nagajaya-micro-hydro,idn-jetp-progress-report-2025,idn-progress25-t4-3-3-nagajaya,project,project-idn-pipe-nagajaya-micro-hydro,exact_project,preconstruction,accept,"PPA signed and future COD support a preparation-stage claim, not construction."
implementation-events,idn-impl-dediesel-east-2025,idn-pipe-dediesel-east-phase1,idn-jetp-progress-report-2025,idn-progress25-t4-3-3-dediesel-east,line,idn-progress25-t4-3-3-dediesel-east,source_row_only,procurement,accept,"Tender winner announced and PPA negotiation support procurement, not installed capacity."
implementation-events,idn-impl-e-taxi-2025,idn-pipe-e-taxi,idn-jetp-progress-report-2025,idn-progress25-t4-3-3-e-taxi,line,idn-progress25-t4-3-3-e-taxi,source_row_only,proposed,accept,"Future aim supports proposed service only, not operation."
implementation-events,idn-impl-hijaunesia2-2025,idn-pipe-hijaunesia-2,idn-jetp-progress-report-2025,idn-progress25-t4-3-3-hijaunesia2,line,idn-progress25-t4-3-3-hijaunesia2,source_row_only,procurement,accept,Group A tender and pending proposals support programme procurement only.
implementation-events,idn-impl-hydro-sumatra-2025,idn-pipe-hydro-quota-sumatra,idn-jetp-progress-report-2025,idn-progress25-t4-3-3-hydro-sumatra,line,idn-progress25-t4-3-3-hydro-sumatra,source_row_only,procurement,accept,Winner pending; quota is not an installed plant.
implementation-events,idn-impl-hydro-sulawesi-2025,idn-pipe-hydro-quota-sulawesi,idn-jetp-progress-report-2025,idn-progress25-t4-3-3-hydro-sulawesi,line,idn-progress25-t4-3-3-hydro-sulawesi,source_row_only,procurement,accept,Winner pending; quota is not an installed plant.
implementation-events,idn-impl-dieng34-2025,idn-pipe-dieng-3-4,idn-jetp-progress-report-2025,idn-progress25-t4-3-3-dieng34,project,project-idn-pipe-dieng-3-4,exact_project,finance_only,hold,Financing phase for field development does not establish physical works.
implementation-events,idn-impl-rscm-2025,idn-pipe-rscm-energy-efficiency,idn-jetp-progress-report-2025,idn-progress25-t4-3-3-rscm,project,project-idn-pipe-rscm-energy-efficiency,exact_project,preparation,accept,"Completed investment-grade audit supports pre-retrofit preparation, not completed upgrade."
implementation-events,idn-impl-nagajaya-portal-2026,idn-pipe-nagajaya-micro-hydro,idn-portfolio-project-nagajaya,idn-portfolio-project-nagajaya-claim-79,project,project-idn-pipe-nagajaya-micro-hydro,exact_project,prospective_only,hold,Portal will install two turbines; future-tense capacity does not establish preparation work.
