line_id,Unique ID,Project Name,Portfolios,Purpose,Priority Areas,Funder/Source,Funding Instrument,Disbursement Channel,Co-Financing: Name,Currency: Pledged,Amount: Pledged,Total US$,Total ZAR,Funding Partners,Implementing Entity,Institutional / South African Partner,Beneficiary,Status,Project Description,Date of Financing Agreement Signed*,End Date
zaf-jet-investment-register-q1-2026-overall-data-11,DK001,Electricity Grid Infrastructure Programme,Electricity,Capacity development / training,Transmission,,Grants,,,DKK,18130000,2719500,48135150,Denmark,"Eskom, NERSA, DMRE, IPPO","Eskom, NERSA, DMRE, IPPO",Energy consumers in South Africa,C. Implementation Phase,"Capacity building with ESKOM and relevant government minsteries and agencies: The Danish Embassy has in collaboration with Danish Energy Agency hosted a program which aims to continually improve the capacity within ESKOM and government ministeries for improving the transmission of electricity in the South African electricity grid, by drawing on the DEA's experience from a Danish context.",2021-11-01T00:00:00,2026-04-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-12,DK002,Electricity Grid Infrastructure Programme,Electricity,Capacity development / training,Distribution,,Grants,,,DKK,22159000,3323850,58832145,Denmark,"Eskom, DMRE, IPPO, NERSA","Eskom, NERSA, DMRE, IPPO",Energy consumers in South Africa,C. Implementation Phase,"Capacity building with ESKOM and relevant government minsteries and agencies: Like for transmission, The Danish Embassy has in collaboration with Danish Energy Agency hosted a program which aims to continually improve the capacity within ESKOM and government ministeries for improving the distribution of electricity in the South African electricity grid, by drawing on the DEA's experience from a Danish context.",2021-11-01T00:00:00,2026-04-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-13,DK003,JT-Mpumalanga Wind Energy: Mining Rights Mapping,JT-Mpumalanga,Infrastructure,Improving infrastructure for development,,Grants,,,DKK,1087000,152180,2693586,Denmark,"GreenCape, Mpumalanga Green Cluster Agency (MGCA)","GreenCape, Mpumalanga Green Cluster Agency (MGCA)",Owners of mining rights; Investors and developers of RE capacity in Mpumalanga; Planners in Mpumalanga Province,D. Completed,"Mining Rights Mapping and Planning in Mpumalanga: To be overlaid with other information available (Biodiversity areas, land ownership, wind measurements, bird flight pathways etc.)to support the rolling out of large-scale RE in Mpumalanga province.",2022-10-11T00:00:00,2024-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-14,DK004,Municipal Climate Resilience Programme: Alternative Service Delivery in Nomzamo,JT-Mpumalanga,Infrastructure,Improving infrastructure for development,,Grants,,,DKK,2663000,372820.00000000006,6598914.000000001,Denmark,"GreenCape Alternative Service Delivery Unit (ASDU), Community Organisation Research Council(CORC), MGCA","GreenCape Alternative Service Delivery Unit (ASDU), Community Organisation Research Council (CORC), MGCA; Residents of Nomzamo Agricultural Village in Ermelo, Mpumalanga",Citizens in Nomzamo Agricultural Village in Mpumalanga; local municipalities in the Mpumalanga Province,D. Completed,"Alternative Basic Service Delivery: In Nomzamo Agricultural Village in Mpumalanga, including a common understanding of the required framework conditions for local municipalities in the province to explore alternative service delivery models.",2022-10-11T00:00:00,2024-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-15,DK005,JT-Mpumalanga Wind Energy: Mpumalanga Wind Atlas,JT-Mpumalanga,Infrastructure,Improving infrastructure for development,,Grants,,,DKK,15000000,2250000,39825000,Denmark,"(SANEDI, CSIR) Danish Technical University, Danish Energy Agency.","SANEDI, CSIR, SAWS",Renewable energy policy makers and developers,C. Implementation Phase,"Wind Atlas South Africa (WASA): This project aims to improve digital infrastruture for RE, by mapping out where the most suitable sites for on-shore wind energy is located in South Africa, with a special focus on detailed mapping of winds in Mpumalanga, as it is a high priority area for just and green transitioning. The map will be made for public use.",2023-01-01T00:00:00,2027-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-16,DK006,Just Transition Support Programme,Electricity,Capacity development / training,Piloting social ownership models Labor Market Consortium,,Grants,,,DKK,21057000,3158550,55906335,Denmark,"NBI, NUMSA, NUM, BUSA, SEIFSA, Western Cape Province, 3F and Confederation of Danish Industries","NBI, NUMSA, NUM, BUSA, SEIFSA, Western Cape Province",Labour market organisations and members,C. Implementation Phase,"Just transition and labour market arrangements within green transition and climate: Projects involve supporting and developing small local businesses and upskilling and education of local workforces, and promoting local engagement.",2022-01-01T00:00:00,2025-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-17,DK008,Skills Research Programme,Skills,Studies/research,Mobilise PSET funding for JET,,Grants,,,DKK,6300000,945000,16726500,Denmark,"DFC, Danish Embassy, Danish universities and the participating students","Program partner institutions in South Africa (ministries, metros, utilities, and research institutions, etc.)",Scholars and their institutions in South Africa,C. Implementation Phase,"Master scholarships for South African partner insitutions, focussing on green and climate related topics: On average two South African partners are awarded with a 2-year scholarship to study in Denmark annually on topics related to green transition and climate change.",2022-01-01T00:00:00,2027-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-18,DK009,Skills Research Programme,Skills,Studies/research,Mobilise PSET funding for JET,,Grants,,,DKK,11250000,1687500,29868750,Denmark,"DFC, Danish Embassy, Danish universities and the participating students","Program partner institutions in South Africa (ministries, metros, utilities, and research institutions, etc.)",Scholars and their institutions in South Africa,C. Implementation Phase,"Short courses on cross thematic areas for South African programme partners: On average 50 scholars benefit from the short courses on an annual basis, learning programme topics include energy efficiency, green transition, climate change, RE, food and agriculture, water management, sustainable cities.",2022-01-01T00:00:00,2027-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-19,DK010,Skills Research Programme,Skills,Studies/research,Mobilise PSET funding for JET,,Grants,,,DKK,42000000,6300000,111510000,Denmark,"DFC, Danish Embassy, Danish universities and the participating students",Research institutions in South Africa,Students and research community in South Africa and Denmark,C. Implementation Phase,"Research grants for green research consortia South Africa: Research collaboration on water, energy and, urban development between South Africa and Denmark. Currently, 5 research collaborations ongoing, and 5 research collaborations in the pipeline.",2022-01-01T00:00:00,2027-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-20,DK011,Skills Capacity Development Initiative,Skills,Capacity development / training,Food and Agriculture partnership,,Grants,,,DKK,2000000,300000,5310000,Denmark,"Department of Agriculture, Department of National Health, DALRRD, Danish Veterinary and Food Administration",,,C. Implementation Phase,"New partnership yet to be scoped within ""Green transition in the food and agriculture production in South Africa"". Potential areas: Sustainable and climate friendly livestock and dietary production including food safety, hygiene and animal health, food loss , waste of water and cooling. Capacity building of small-medium scale farmers and producers. Public Private Partnerships in the food/agric value chain Regulations regarding export entering the EU markets.",2023-10-01T00:00:00,2026-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-21,DK012,JT-Mpumalanga Skills Development: Green Entrepreneurship Skills,JT-Mpumalanga,Capacity development / training,Entrepreneurship and innovation,,Grants,,,DKK,500000,75000,1327500,Denmark,Teach A Man to Fish,Teach A Man to Fish and 10 selected schools in Mpumalanga,Upper Primary Students (grade 8-10) and teachers at 10 different secondary schools in Mpumalanga,D. Completed,Skills Development in Mpumalanga to ensure a just energy transition: The project focuses on equipping youth in the Mpumalanga region with entrepreneurial and green energy-related skills. The aim is that participants can create their own job possibilites related to energy transition.,2024-07-31T00:00:00,2026-01-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-22,DK013,Electricity Infrastructure Development,Electricity,Infrastructure,Improving infrastructure for development,,Grants,,,DKK,3000000,450000,7965000,Denmark,"City of Johannesburg, City of Copenhagen",City of Johannesburg,Tenants of public buildings in Johannesburg,C. Implementation Phase,City of Johannesburg and City of Copenhagen collaboration on energy efficiency: CoJ and CoC are starting first phase of a collaboration on improving energy efficiency in public buildings in Johannesburg to improve the indoor climate and save energy and money for both the city and tenants of public buildings. Phase 1 will finish by 31. December 2027.,2024-01-01T00:00:00,2027-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-23,DK014,Electricity Wind Energy Project,Electricity,Studies/research,Capacity building in the energy sector,,Grants,,,DKK,800000,120000,2124000,Denmark,SAWEA,SAWEA,Participants in the various initiatives and events,D. Completed,Positioning wind energy as a contributor to global decarbonisation strategies: A collaboration with SAWEA where key outcomes are paper presentations at the annual WindAc Africa Conference; visiting schools in Mpumalanga and reaching 1500-2000 learners during the EnergyDrive in the province; networking events where operational best practice and innovation are showcased and discussed; learners participating in the Wind Industry Internship Programme; commissioning research study on a relevant topic.,2023-06-25T00:00:00,2025-05-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-24,DK015,Sturdee Energy Equity Investment,Electricity,Infrastructure,Infrastructure - Solar PV,IFU,"Commercial Debt, Equity & Guarantees",,,USD,22000000,22000000,389620000,Denmark,Sturdee Energy,Private Sector RES Develper,Sturdee Energy,C. Implementation Phase,"Sturdee Energy, a South African renewable energy developer, has secured USD 22 mill. in equity investment from IFU. This equity investment directly mobilises additional USD 66 mill. in debt financing. The USD 22 mill. Danish growth capital supports the expansion of Sturdee Energy's renewable portfolio, focusing on solar pv and other renewable energy technologies to increase clean energy generation and contribute to South Africa's Just Energy Transition (JET) goals. The Project aligns with the national energy strategy by adding reliable renewable capacity to the grid, improving energy security, and boost economic growth and job creation.",2024-12-09T00:00:00,2034-12-09T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-25,DK018,SADEPP,Electricity,Technical Assistance,Regulation and powermarket development,,Grants,,,DKK,80000000,12000000,212400000,Denmark,"Eskom, NERSA, NTCSA, DEE, IPPO","Eskom, NERSA, NTCSA, DEE, IPPO",Energy consumers in South Africa,A. Planned,"Capacity building with ESKOM, and relevant government minsteries and agencies: The Danish Embassy has in collaboration with Danish Energy Agency hosted a program which aims to continually improve the capacity within ESKOM and government ministeries for improving the transmission of electricity in the South African electricity grid, by drawing on the DEA's experience from a Danish context.",2026-05-01T00:00:00,2031-04-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-26,DK019,JET Youth seminar,Skills,Communication,Strengthening the Labour Market Consortium with a youth perspective,,Grants,,,DKK,27500,3850.0000000000005,68145,Denmark,Danish Embassy and University of Pretoria,University of Pretoria,Scholars and the youth in broader terms,D. Completed,"""Youth Bridging Socio-Economic Inequalities Through a Just Energy Transition"" seminar. Empowers South African youth to influence the green economy shift, fostering dialogue among young people, policymakers, and industry leaders to address environmental and socio-economic challenges. Further sthrenthening an already JET-P approved project, the Labour Market Consortium, contributing with a youth element.",2025-05-01T00:00:00,2025-05-13T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-27,DK020,Reducing Food Loss and Waste (FLW) and Building Climate Resilience Among Smallholder Farmers in South Africa,JT-Mpumalanga,Capacity development / training,"Enhanced knowledge and participation in Food System Transformation, increased resilience and sustainability of SHF practices, improved market access and post-harvest management",,Grants,,,DKK,2500000,375000,6637500,Denmark,World Wide Fund for Nature South Africa (WWF),"WWF South Africa, CSIR, DFFE, DALRRD, CGCSA, FoodForward SA, SAOSO",Smallholder farmers,C. Implementation Phase,"The project, ""Reducing Food Loss and Waste (FLW) and Building Climate Resilience Among Smallholder Farmers in South Africa,"" is a two-year initiative designed to strengthen the adaptive capacity, livelihoods, and market participation of smallholder farmers (SHFs) through agroecology, improved post-harvest systems, and food system transformation. South Africa loses an estimated 10.3 million tonnes of food annually, much of it at primary production level—a burden that falls disproportionately on SHFs who rely on rain-fed farming, have limited storage and market access, and face increasingly severe climate shocks. Recognizing this, the project positions SHFs at the centre of climate adaptation and FLW reduction by equipping them with climate-smart practices, improved post-harvest methods, and reliable market pathways. Central project activities will focus on Mpumalanga, where 450 SHFs will be supported through training, demonstration sites, and market facilitation. Complementary baseline studies on FLW will be conducted in the Eastern Cape, KwaZulu-Natal, and the Western Cape to establish national insights into hotspots, farmer practices, and opportunities for scaling. Working through strong multisector partnerships—including the Department of Forestry, Fisheries and the Environment (DFFE), the Department of Agriculture, Land Reform, and Rural Development (DALRRD), the Consumer Goods Council of South Africa (CGCSA), the Council for Scientific and Industrial Research (CSIR), FoodForward SA, and local cooperatives—the project ensures policy alignment, technical sophistication, and pathways for scaling.",2025-11-01T00:00:00,2027-11-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-28,EU001,PCC Energy Modelling Support,Electricity,Technical Assistance,Transmission,,Grants,,,EUR,150000,162000,2852820,European Union,Presidential Climate Commission,,,D. Completed,Presidential Climate Commission (PCC) Energy Modelling: The funding is to facilitate the PCC work on granular net-zero pathways for the economy and to support South African policy makers to access South African climate related socio-economic modelling focusing on key sectors (transport and energy) and key provinces (Mpumalanga and Eastern Cape).,2022-01-01T00:00:00,2023-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-29,EU002,Climate Champions CSO Programme,Electricity,Technical Assistance,Manufacturing and localising clean energy value chain,,Grants,,,EUR,2000000,2160000,38232000,European Union,"WWF SA, Green Cape, Democracy Works Foundation, Association for Rural Advancement, Social Change Assistance Trust",,,C. Implementation Phase,"The Climate Change Champions: The Climate Change Champions, funded under the thematic programme ""Civil Society Organisations (CSOs) and Local Authorities (LAs) 2014-2020"", resulted in the allocation of 5 grants. The specific objective of the call is to increase the participation of South African CSOs in tackling climate change, mitigating greenhouse gases emissions and adapting to its adverse effects. The aim is to tackle climate change while enhancing gender equality and participation of the youth.",2021-11-01T00:00:00,2025-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-30,EU003,PCC Stakeholder and Community Engagement Support,JT-Mpumalanga,Community organisational development,Manufacturing and localising clean energy value chain,,Grants,,,EUR,80000,86400,1529280,European Union,Presidential Climate Commission,,,C. Implementation Phase,"PCC Stakeholder and community engagement: The funding is to facilitate PCC stakeholder and community engagements in Mpumalanga and Eastern Cape with knowledge products, workshops, dialogues and exchanges of experiences. The PCC will decide on the proposed focus on investment opportunities arising from just transition.",2024-01-01T00:00:00,2024-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-31,EU004,PCC Energy Modelling Support,Electricity,Communication,Manufacturing and localising clean energy value chain,,Grants,,,EUR,20000,21600,380376,European Union,Presidential Climate Commission,,,D. Completed,"PCC Communication: Translation into Venda, Zulu, and isiXhosa of the Just Transition Framework to enhance information accessibility. Additionally, funding will be used to create communication materials and infographics to bolster the PCC stakeholder engagement process.",2023-01-01T00:00:00,2023-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-32,EU005,Municipal Climate Resilience Programme,Municipalities,Technical Assistance,Capability and capacity,,Grants,,,EUR,15000000,16200000.000000002,286740000,European Union,"National Treasury: COGTA, SALGA, selected municipalities",,,C. Implementation Phase,"Bridging Inequalities through Greening of Municipal Services: The action will support selected South African cities to address some of these key service delivery challenges while focusing on smart and green solutions, enabled by digitalisation and the use of technologies. It will help build adaptive capacity and capabilities in the face of climate change, resource depletion, financial shocks, growing inequality and poverty, in particular inequality in sustainable access to (greener) water, energy or waste management services.",2023-04-01T00:00:00,2027-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-33,EU006,Skills Research Programme,Skills,Studies/research,Mobilise PSET funding for JET,,Grants,,,EUR,160000,172800,3058560,European Union,University of Cape Town,,,C. Implementation Phase,"Response of the Earth System to overshoot, Climate neutrality and negative Emissions under Horizon Europe: The RESCUE project will improve knowledge and understanding in area of this call: ""Climate and Earth System responses to climate neutrality and net negative emissions"", by pursuing two overall objectives: 1) Quantify the climate and Earth system responses to pathways achieving climate neutrality by Carbon Dioxide Removal (CDR) deployment with and without temperature overshoot, and 2) Assess the potential role of CDR in reducing net GHG emissions, as well as its potential environmental risks and co-benefits.",2022-01-01T00:00:00,2026-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-34,EU007,Skills Research Programme,Skills,Studies/research,Mobilise PSET funding for JET,,Grants,,,EUR,250000,270000,4779000,European Union,University of Johannesburg,,,C. Implementation Phase,Circular economy industrial symbiosis under Horizon Europe: Circular economy industrial symbiosis,2022-01-01T00:00:00,2026-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-35,EU008,Green Hydrogen Infrastructure Development,Electricity,Infrastructure,IIPSA Infrastructure Investment Programme for SA,,Grants,,,EUR,35000000,37800000,669060000,European Union,"DFIs (DBSA, AFD and EIB) and municpalities.",,,C. Implementation Phase,"Grant to facilitate infrastructure investment of municipalities: Infrastructure Investment Programme for SA (IIPSA) was launched in 2014. It focuses on blending of the EU grants with loans from DFIs in support of infrastructure projects. Sustainable energy, transport, green hyrdogen, water are among the focal sectors of the programme. Approx. â‚¬35M will be programmed with focus on electricity generation, battery storage, transport, green hydrogen and water.",2024-01-01T00:00:00,2025-12-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-36,EU010,Skills Research Programme,Skills,Studies/research,Mobilise PSET funding for JET,,Grants,,,EUR,0,0,0,European Union,Reearch institutions and universities,,,A. Planned,"Horizon Europe - The programme facilitates collaboration and strengthens the impact of research and innovation in developing, supporting and implementing EU policies while tackling global challenges. It supports creating and better dispersing of excellent knowledge and technologies. The programme is demand driven. Global programme with EUR 95 billion budget.",2022-01-03T00:00:00,2027-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-37,EU011,Technical Assistance Facility Support to South Africa's Just Energy Transition,Energy Efficiency,Capacity development / training,JET - TA,,Grants,,,EUR,10000000,10800000,191160000,European Union,National Treasury and EU Delegation,,Key government departments and units,C. Implementation Phase,"Providing agile and direct support and capacity building to key sectors and government ministries, agencies and institutions to accelerate the implementation of key structural green policy and regulatory reform",2026-06-01T00:00:00,2029-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-38,EU012,Green Hydrogen Development Programme,Skills,Capacity development / training,Skills,,Grants,,,EUR,20000000,21600000,382320000,European Union,GIZ and AFD,,"Skills sector, mining communitites, women, youth",C. Implementation Phase,"Involves supporting career path development and employment, particularly within the value chains of green hydrogen and New Energy Vehicles. The contribution will also target curriculum development for institutions like ESKOMs Academy of Training in support of the Just Energy Transition.",2023-01-03T00:00:00,2029-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-39,EU013,JT-Mpumalanga Solar Energy: MSME Green Energy Finance Support,JT-Mpumalanga,Community organisational development,SMMEs,,Grants,,,EUR,32000000,34560000,611712000,European Union,AFD,,"SMME sector, mining communities, women, youth",A. Planned,"Will target the unlocking of innovative finance for MSMEs in green energy value chains, contributing to address financing gaps by providing e.g. guarantees and risk-sharing facilities for high risk sectors and by making available financial, technical and policy support to MSMEs that are investing in clean and alternative equipment such as solar, water or waste management",2023-01-03T00:00:00,2029-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-40,EU014,Electricity Technical Assistance Programme,Electricity,Technical Assistance,EU support to the National Energy Regulator of South Africa (NERSA); EU/RSA Business Engagement,,Grants,,,EUR,100000,108000,1905120,European Union,CSIR and DNA Econometrics,,"Energy sector, NERSA",D. Completed,"Exchange/peer-learning dialogues on the evolving role of regulators in facilitating the integration of renewable energy, promoting energy efficiency measures, and fostering a level playing field for market participants.",2023-01-03T00:00:00,2024-10-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-41,EU015,Green Hydrogen Development Programme,Green hydrogen,Studies/research,CRM and Green Hydrogen Soft Package,,Grants,,,EUR,25500000,27540000,487458000,European Union,GIZ,,Energy sector,A. Planned,"Strengthening South Africa's Critical Raw Materials (CRM) and green hydrogen and derivatives value-chains through holistic wrap-around support to foster an enabling environment through policy reform, trade and investment facilitation, and increasing capacities (including on gender) and capabilities in skills, research, innovation and sustainability activities.",,
