line_id,No.,Name of Project,Location,Capacity,Expected commissioning year,Note,No,Name of plant/construction,Information/ Source/ Concept Note,"Project name, task group",Period,Source
vnm-rmp-2023-annex-i.1-34,34,"Projects belong to Transmission line de-
velopment program under National Power
Development Plan in 2021 - 2030",National,"- New development: 49.350 MVA,
Renovation: 38.168 MVA
transmission station 500 kV;
- New development: 12.300 km,
Revolution: 1.324 km transmission
line 500 kV;
- New development: 78.525 MVA,
Renovation: 34.997 MVA
transmission station 220 kV;
- New development 16.285 km,
Renovation: 6.484 km
transmission line 220 kV.",2030,Decision No. 500/QDD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-35,35,"Develop infrastructure for electric vehi-
cles, including: electric charging system,
power supply, depot for vehicles.",National,-,2022 - 2030,"Decision No. 876/QD-TTg in
2022",,,,,,
vnm-rmp-2023-annex-i.1-36,36,"Convert and replace 244 locomotives and
80 generator cars to use electricity and
green energy",National,-,2031 - 2050,"Decision No. 876/QD-TTg in
2022",,,,,,
vnm-rmp-2023-annex-i.1-37,37,"Pilot project for the application of the
coal gasification technology, carbon
recovery and carbon capture under the
Red River basin coal seams (ouside of the
dike)","Thai Binh –
Nam Dinh",5 MW,2024 – 2030,"Resolution No. 10 NQ/TW;
Decision No. 888/QD-TTg dated
25/7/2022",,,,,,
vnm-rmp-2023-annex-i.2-1,,,TBD,,2023-2025,,1,"Pilot testing for 3-4 suitable coal-fired power plants (CFPPs)
with different characteristics to operate more flexibility and
integrate higher shares of renewable energy production.","IPG Danish Embassy - Technical CN
on Coal Power Plant Flexibility",,,
vnm-rmp-2023-annex-i.2-2,,,Thai Nguyen,115 MW,2028-2045,,2,"Transition of the Cao Ngan Coal-Thermal Power Plant to
100% biomass and establishing a biomass supply chain","UNDP-Institute of Energy - CN on
Transition of the Cao Ngan Coal-
Thermal Power Plant",,,
vnm-rmp-2023-annex-i.2-3,,,Lang Son,110 MW,2028 - 2045,,3,"Transition of the Na Duong Coal-Thermal Power Plant to
100% biomass and establishing a biomass supply chain","Vietnam National Coal - Mineral
Industries Holding Corporation
Limited - Proposal",,,
vnm-rmp-2023-annex-i.2-4,,,Quang Ninh,670 MW,2028 - 2045,,4,"Transition of the Cam Pha Coal-Thermal Power Plant to
100% biomass and establishing a biomass supply chain","Vietnam National Coal - Mineral
Industries Holding Corporation
Limited - Proposal",,,
vnm-rmp-2023-annex-i.2-5,,,Quang Ninh,440 MW,2028 - 2045,,5,"Transition of the Dong Trieu Coal-Thermal Power Plant to
100% biomass and establishing a biomass supply chain","Vietnam National Coal - Mineral
Industries Holding Corporation
Limited - Proposal",,,
vnm-rmp-2023-annex-i.2-6,,,Bac Giang,220 MW,2028 - 2045,,6,"Transition of the Son Dong Coal-Thermal Power Plant to
100% biomass and establishing a biomass supply chain","Vietnam National Coal - Mineral
Industries Holding Corporation
Limited - Proposal",,,
vnm-rmp-2023-annex-i.2-7,,,Quang Nam,30 MW,2028 - 2045,,7,"Transition of the Nong Son Coal-Thermal Power Plant to
100% biomass and establishing a biomass supply chain","Vietnam National Coal - Mineral
Industries Holding Corporation
Limited - Proposal",,,
vnm-rmp-2023-annex-i.2-8,,,"Pha Lai Ward,
Chi Linh
Town, Hai
Duong Prov-
ince",440 MW,2023-2045,,8,"Transitioning of the Pha Lai 1 Coal-Thermal Power Plant to
100% green hydrogen for 2 x 100 MW units if technology is
economically feasible and readily available","UNDP-Institute of Energy CN on
Transitioning of the Pha Lai Coal-
Thermal Power Plant",,,
vnm-rmp-2023-annex-i.2-9,,,"Pha Lai Ward,
Chi Linh
Town, Hai
Duong Prov-
ince",600 MW,2023-2045,,9,"Transitioning of the Pha Lai 2 Coal-Thermal Power Plant to
100% green ammonia through gradually shifting co-firing to
increasing GNH3 uptake","UNDP-Institute of Energy CN on
Transitioning of the Pha Lai Coal-
Thermal Power Plant",,,
vnm-rmp-2023-annex-i.2-10,,,"Phan Phong,
Nha Trang,
Khanh Hoa","1,000 MW",2024-2045,,10,"Transitioning of the Van Phong Coal-Thermal Power Plant
to partly biomass and building in Carbon Capture, Use, and
Storage (CCUS)","UNDP-Institute of Energy CN on
Transitioning of the Van Phong
Coal-Thermal Power Plant",,,
vnm-rmp-2023-annex-i.2-11,,,Tra Vinh,600 MW,,,11,Duyen Hai 1 Coal-Thermal Power Plant (ST Unit 1),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-12,,,Tra Vinh,600 MW,,,12,Duyen Hai 1 Coal-Thermal Power Plant (ST Unit 2),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-13,,,Hai Phong,300 MW,,,13,Hai Phong 2 Coal-Thermal Power Plant (ST Unit 2.1),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-14,,,Hai Phong,300 MW,,,14,Hai Phong 2 Coal-Thermal Power Plant (ST Unit 2.2),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-15,,,Quang Ninh,540 MW,,,15,Mong Duong 1 Coal-Thermal Power Plant (ST Unit 1),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-16,,,Quang Ninh,540 MW,,,16,Mong Duong 1 Coal-Thermal Power Plant (ST Unit 2),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-17,,,Quang Ninh,621 MW,,,17,Mong Duong 2 Coal-Thermal Power Plant (ST Unit 1),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-18,,,Quang Ninh,621 MW,,,18,Mong Duong 2 Coal-Thermal Power Plant (ST Unit 2),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-19,,,Thanh Hoa,300 MW,,,19,Nghi Son 1 Coal-Thermal Power Plant (ST Unit 1),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-20,,,Thanh Hoa,300 MW,,,20,Nghi Son 1 Coal-Thermal Power Plant (ST Unit 2),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-21,,,Quang Ninh,300 MW,,,21,Quang Ninh Coal-Thermal Power Plant (ST Unit 2.1),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-22,,,Quang Ninh,300,,,22,Quang Ninh Coal-Thermal Power Plant (ST Unit 2.2),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-23,,,Thai Binh,300 MW,,,23,Thai Binh 1 Coal-Thermal Power Plant (ST Unit 1),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-24,,,Thai Binh,300 MW,,,24,Thai Binh 1 Coal-Thermal Power Plant (ST Unit 2),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-25,,,Quang Ninh,300 MW,,,25,Thang Long Coal-Thermal Power Plant (ST Unit 1),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-26,,,Quang Ninh,300 MW,,,26,Thang Long Coal-Thermal Power Plant (ST Unit 2),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-27,,,Binh Thuan,620 MW,,,27,Vinh Tan 1 Coal-Thermal Power Plant (ST Unit 1),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-28,,,Binh Thuan,620 MW,,,28,Vinh Tan 1 Coal-Thermal Power Plant (ST Unit 2),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-29,,,Binh Thuan,622 MW,,,29,Vinh Tan 2 Coal-Thermal Power Plant (ST Unit 1),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-30,,,Binh Thuan,622 MW,,,30,Vinh Tan 2 Coal-Thermal Power Plant (ST Unit 2),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-31,,,Binh Thuan,600 MW,,,31,Vinh Tan 4 Coal-Thermal Power Plant (ST Unit 1),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-32,,,Binh Thuan,600 MW,,,32,Vinh Tan 4 Coal-Thermal Power Plant (ST Unit 2),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-33,,,Ha Tinh,600 MW,,,33,Vung Ang 1 Coal-Thermal Power Plant (ST Unit 1),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-34,,,Ha Tinh,600 MW,,,34,Vung Ang 1 Coal-Thermal Power Plant (ST Unit 2),"Standard Chartered Bank
(Viet Nam)",,,
vnm-rmp-2023-annex-i.2-35,,,,"49,9 +130 MW",2030,,35,Dai Ninh Floating Solar Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-36,,,,200 MW,2030,,36,Thac Mo 1 Floating Solar Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-37,,,,150 MW,2030,,37,Thac Mo 2 Floating Solar Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-38,,,,50 MW,2030,,38,Solar Farm on the Srepok 3 hydropower reservoir,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-39,,,,325 MW,2030,,39,Ham Thuan Floating Solar Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-40,,,Binh Dinh,160 MW,2030,,40,"Phu My 1, 2, 3 Solar Farm Project",VietinBank,,,
vnm-rmp-2023-annex-i.2-41,,,Phu Yen,50 MW,2030,,41,Thanh Long Phu Yen Solar Farm Project,VietinBank,,,
vnm-rmp-2023-annex-i.2-42,,,Phu Yen,50 MW,2030,,42,Europlast Phu Yen Solar Farm Project,VietinBank,,,
vnm-rmp-2023-annex-i.2-43,,,"Binh Duong,
Dong Nai",36 MW,2030,,43,"BWID DPPA Solar Farm Project in industrial park in Binh
Duong, Dong Nai",VietinBank,,,
vnm-rmp-2023-annex-i.2-44,,,"Hai Phong,
Nghe An,
Binh Duong",22 MW,2030,,44,DPPA Rooftop Solar plant in VSIP industrial park,VietinBank,,,
vnm-rmp-2023-annex-i.2-45,,,"Southern
Region",49 MW,2030,,45,TTC Hue Duc 2 Solar Farm,Standard Chartered (Viet Nam),,,
vnm-rmp-2023-annex-i.2-46,,,Binh Duong,50 MW,2024-2030,,46,"LEGO Corporation Solar Farm next to Viet Nam LEGO Manu-
facture, capacity testing for BESS application",LEGO,,,
vnm-rmp-2023-annex-i.2-47,,,"Provinces
and Cities",20 MW,2025 - 2030,,47,"Investment project on rooftop solar panel installation in
more than 2.700 Petrolimex gasoil stations, 43 company
offices and more that 30 petroleum warehouses","Vietnam National Petroleum Group
– Petrolimex (PLX)",,,
vnm-rmp-2023-annex-i.2-48,,,Tay Ninh,450 MW,2024,,48,Dau Tieng 5 Solar Power Plant,BIDV,,,
vnm-rmp-2023-annex-i.2-49,,,Ha Noi,,2024-2026,,49,Rooftop Solar plant,BIDV,,,
vnm-rmp-2023-annex-i.2-50,,,"Ba Ria-
Vung Tau",3 MW,2024-2026,,50,"Rooftop solar power system belongs to Saigon Steel Pipe
Factory project",BIDV,,,
vnm-rmp-2023-annex-i.2-51,,,"VSIP
industrial
park",,2023-2030,,51,Rooftop Solar plant in VSIP industrial park,BIDV,,,
vnm-rmp-2023-annex-i.2-52,,,,42 MW,2030,,52,V.P.L Ben Tre Solar Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-53,,,,32 MW,2030,,53,Thuan Nhien Phong wind power Famr,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-54,,,,150 MW,2030,,54,Tan Phu Dong Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-55,,,,145 MW,2030,,55,Yang Trung Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-56,,,,50 MW,2030,,56,Xanh Song Cau Windpower Farm – Phase 1,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-57,,,,25.2 MW,2030,,57,Vien An Windpower Farm (remain part without COD),PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-58,,,,50 MW,2030,,58,TNC Quang Tri 1 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-59,,,,50 MW,2030,,59,TNC Quang Tri 2 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-60,,,,30 MW,2030,,60,Thien Phu 2 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-61,,,,30 MW,2030,,61,Thien Phu Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-62,,,,120 MW,2030,,62,Thach Phu Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-63,,,,29.7 MW,2030,,63,Thanh Phong Windpower Farm – Phase 1,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-64,,,,50 MW,2030,,64,Tan Tan Nhat – Dak Glei Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-65,,,,38 MW,2030,,65,Tan Hop Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-66,,,,45 MW,2030,,66,Tan An 1 Windpower Farm – Phase 2021-2025,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-67,,,,29.4 MW,2030,,67,Sunpro Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-68,,,,46.2 MW,2030,,68,Song An Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-69,,,,88.2 MW,2030,,69,No. 7 Windpower Farm – Phase 2,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-70,,,,30 MW,2030,,70,No. 5 Windpower Farm - Thach Hai 4,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-71,,,,30 MW,2030,,71,No. 5 Windpower Farm - Thach Hai 3,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-72,,,,28 MW,2030,,72,No. 5 Windpower Farm - Thach Hai 2,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-73,,,,29.4 MW,2030,,73,Soc Trang (V2-1) No. 3 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-74,,,,50 MW,2030,,74,Ben Tre No. 20 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-75,,,,30 MW,2030,,75,Soc Trang No. 2 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-76,,,,50 MW,2030,,76,Ben Tre No. 19 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-77,,,,22 MW,2030,,77,Soc Trang No. 18 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-78,,,,26 MW,2030,,78,Phuoc The Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-79,,,,30 MW,2030,,79,Phong Dien 1 – Binh Thuan Windpower Farm – Phase 2,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-80,,,,50 MW,2030,,80,Windpower Farm for the mountainous development,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-81,,,,30 MW,2030,,81,Nhon Hoi Windpower Farm – Phase 2,"PDP8-Technical Report, Vietinbank",,,
vnm-rmp-2023-annex-i.2-82,,,,50 MW,2030,,82,"Nexif Energy Ben Tre Windpower Farm – Phase 2, 3","PDP8-Technical Report, BIDV",,,
vnm-rmp-2023-annex-i.2-83,,,,30 MW,2030,,83,Nexif Energy Ben Tre Windpower Farm,"PDP8-Technical Report, BIDV",,,
vnm-rmp-2023-annex-i.2-84,,,,30 MW,2030,,84,Nam Binh 1 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-85,,,,48 MW,2030,,85,Lig Huong Hoa 2 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-86,,,,48 MW,2030,,86,Lig Huong Hoa 1 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-87,,,,30 MW,2030,,87,Lac Hoa Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-88,,,,50 MW,2030,,88,Krong Buk 2 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-89,,,,50 MW,2030,,89,Krong Buk 1 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-90,,,,50 MW,2030,,90,Ia Pech 2 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-91,,,,30 MW,2030,,91,Huong Linh 4 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-92,,,,30 MW,2030,,92,Huong Linh 3 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-93,,,,19.8 MW,2030,,93,Hoa Thang 2.2 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-94,,,,100 MW,2030,,94,Hoa Thang 2.1 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-95,,,,30 MW,2030,,95,Hoa Dong Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-96,,,,120 MW,2030,,96,HBRE Ha Tinh Windpower Farm,"PDP8-Technical Report, Vietinbank",,,
vnm-rmp-2023-annex-i.2-97,,,,40 MW,2030,,97,Hai Anh Windpower Farm,"PDP8-Technical Report, Vietinbank",,,
vnm-rmp-2023-annex-i.2-98,,,,48 MW,2030,,98,Duyen Hai (V1-4) Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-99,,,,100 MW,2030,,99,Dak N’Drung 3 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-100,,,,100 MW,2030,,100,Dak N’Drung 2 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-101,,,,100 MW,2030,,101,Dak N’Drung 1 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-102,,,,50 MW,2030,,102,Cu Ne 2 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-103,,,,50 MW,2030,,103,Cu Ne 1 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-104,,,,30 MW,2030,,104,Cong Ly Soc Trang Windpower Farm – Phase 1,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-105,,,,50 MW,2030,,105,Tay Nguyen Processing Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-106,,,,68 MW,2030,,106,Cau Dat Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-107,,,,86 MW,2030,,107,Ca Mau 1D Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-108,,,,88 MW,2030,,108,Ca Mau 1C Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-109,,,,88 MW,2030,,109,Ca Mau 1B Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-110,,,,88 MW,2030,,110,Ca Mau 1A Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-111,,,,140.6 MW,2030,,111,Bac Lieu Windpower Farm – Phase 3,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-112,,,,50 MW,2030,,112,Asia Dak Song 1 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-113,,,Gia Lai,"47,2 MW has
COD; 52,8 MW
has not COD",2030,,113,Yale 1 Windpower Farm,"PDP8-Technical Report, Vietinbank",,,
vnm-rmp-2023-annex-i.2-114,,,Gia Lai,100 MW,2030,,114,IA Pet - Dak Doa 2 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-115,,,Gia Lai,100 MW,2030,,115,IA Pet - Dak Doa 1 Windpower Farm,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-116,,,Tra Vinh,200 MW,2030,,116,"Tra Vinh 1, 2 Windpower Farm Project",Standard Chartered (Viet Nam),,,
vnm-rmp-2023-annex-i.2-117,,,Ca Mau,300 MW,2030,,117,"Ca Mau 1,2,3 Windpower Farm Project",Standard Chartered (Viet Nam),,,
vnm-rmp-2023-annex-i.2-118,,,Gia Lai,105.5 MW,2030,,118,Cho Long Windpower Farm Project,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-119,,,Soc Trang,5 MW,2030,,119,Lac Hoa Windpower Farm Project – Phase 1,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-120,,,Gia Lai,33.5 MW,2030,,120,Ie Pech Windpower Farm Project,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-121,,,Ca Mau,100 MW,2030,,121,Khai Long - Ca Mau Windpower Farm Project - Phase 1,PDP8-Technical Report,,,
vnm-rmp-2023-annex-i.2-122,,,Binh Dinh,3200 MW,2025-2027,,122,Binh Dinh Offshore windpower Farm Project,BIDV,,,
vnm-rmp-2023-annex-i.2-123,,,Ca Mau,30 MW,2023-2025,,123,Tan An 1 Windpower Farm Project,BIDV,,,
vnm-rmp-2023-annex-i.2-124,,,Quang Tri,48 MW,2030,,124,Lien Lap Windpower Farm Project,VietinBank,,,
vnm-rmp-2023-annex-i.2-125,,,Quang Tri,48 MW,2030,,125,Phong Huy Windpower Farm Project,VietinBank,,,
vnm-rmp-2023-annex-i.2-126,,,Quang Tri,48 MW,2030,,126,Phong Nguyen Windpower Farm Project,VietinBank,,,
vnm-rmp-2023-annex-i.2-127,,,Dak Nong,660 MW,2026-2027,,127,Dak Nong Offshore windpower Farm Project,"Total Energies Renewables
Corporation và Viet Phuong
Corporation",,,
vnm-rmp-2023-annex-i.2-128,,,Ben Tre,30 MW,-,,128,Binh Đai Offshore windpower Farm Project,BIDV,,,
vnm-rmp-2023-annex-i.2-129,,,Ben Tre,30 MW,-,,129,Binh Đai 2 Offshore windpower Farm Project,BIDV,,,
vnm-rmp-2023-annex-i.2-130,,,Ben Tre,30 MW,-,,130,Binh Đai 3 Offshore windpower Farm Project,BIDV,,,
