line_id,technology_group,priority_tier,ordinal,project_name,system,estimated_start,capacity_value,capacity_unit,estimated_investment_usd_mn,natural_retirement_year,estimated_retirement_year,ruptl
idn-cipp-2023-cpr-mirror-bioenergy-18,bioenergy,priority,18,PLTBio Saumlaki,Maluku-Papua-Nusa Tenggara,2024,10.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-19,bioenergy,priority,19,PLTBio Sulbagsel,Sulawesi,2024,10.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-bioenergy-20,bioenergy,priority,20,PLTBio Sulbagsel,Sulawesi,2024,10.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-21,bioenergy,priority,21,PLTBio Sulbagut,Sulawesi,2024,10.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-22,bioenergy,priority,22,PLTBio Tual,Maluku-Papua-Nusa Tenggara,2024,10.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-bioenergy-23,bioenergy,priority,23,PLTBm Kaimana,Maluku-Papua-Nusa Tenggara,2024,10.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-24,bioenergy,priority,24,PLTBm Langsa,Sumatra,2024,10.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-25,bioenergy,priority,25,PLTBm Merauke,Maluku-Papua-Nusa Tenggara,2024,10.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-26,bioenergy,priority,26,PLTBm Sumbawa,Maluku-Papua-Nusa Tenggara,2024,10.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-27,bioenergy,priority,27,PLTSa Bekasi,Java-Madura-Bali,2024,12.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-28,bioenergy,priority,28,PLTSa Makassar,Sulawesi,2024,10.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-29,bioenergy,priority,29,PLTSa Palembang,Sumatra,2024,17.7,MW,,,,NO
idn-cipp-2023-cpr-mirror-bioenergy-30,bioenergy,priority,30,PLTSa Tangerang,Java-Madura-Bali,2024,35.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-31,bioenergy,priority,31,PLTSa Tangerang Selatan,Java-Madura-Bali,2024,20.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-32,bioenergy,priority,32,PLTSa Semarang,Java-Madura-Bali,TBD,20.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-bioenergy-33,bioenergy,priority,33,PLTSa Sulbagut,Sulawesi,TBD,10.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-coal-retirement-1,coal_retirement,priority,1,PLTU Pelabuhan Ratu,Java-Madura-Bali,2037,1050,MW,830,2045,2037,
idn-cipp-2023-cpr-mirror-coal-retirement-2,coal_retirement,priority,2,PLTU Cirebon-1,Java-Madura-Bali,2035,660,MW,300,2042,2035,
idn-cipp-2023-cpr-mirror-geothermal-1,geothermal,priority,1,PLTP Arjuno Welirang,Java-Madura-Bali,N/A,40.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-2,geothermal,priority,2,PLTP Baturaden (FTP2),Java-Madura-Bali,2024,110.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-3,geothermal,priority,3,PLTP Baturaden (FTP2),Java-Madura-Bali,2024,75.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-4,geothermal,priority,4,PLTP Baturaden (FTP2),Java-Madura-Bali,2026,35.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-5,geothermal,priority,5,PLTP Bedugul,Java-Madura-Bali,2024,60.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-6,geothermal,priority,6,PLTP Candi Umbul Telomoyo,Java-Madura-Bali,N/A,60.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-7,geothermal,priority,7,PLTP Cibuni (FTP2),Java-Madura-Bali,2024,10.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-8,geothermal,priority,8,PLTP Dieng (FTP2),Java-Madura-Bali,2024,55.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-9,geothermal,priority,9,PLTP Dieng (FTP2),Java-Madura-Bali,2024,55.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-10,geothermal,priority,10,PLTP Dieng (FTP2),Java-Madura-Bali,2024,55.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-11,geothermal,priority,11,PLTP Dieng (FTP2),Java-Madura-Bali,2024,55.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-12,geothermal,priority,12,PLTP Dieng (FTP2),Java-Madura-Bali,2024,35.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-13,geothermal,priority,13,PLTP Dieng (FTP2),Java-Madura-Bali,2024,35.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-14,geothermal,priority,14,PLTP Gunung Salak 7,Java-Madura-Bali,2024,55.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-15,geothermal,priority,15,PLTP Gunung Salak 8,Java-Madura-Bali,2024,80.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-16,geothermal,priority,16,PLTP Halmahera (Kuota) Tersebar,Maluku-Papua-Nusa Tenggara,2025,20.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-17,geothermal,priority,17,PLTP Hululais,Sumatra,2024,110.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-18,geothermal,priority,18,PLTP Ijen (FTP2),Java-Madura-Bali,2024,50.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-19,geothermal,priority,19,PLTP Ijen (FTP2),Java-Madura-Bali,2024,30.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-20,geothermal,priority,20,PLTP Ijen (FTP2),Java-Madura-Bali,2024,30.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-21,geothermal,priority,21,PLTP Jaboi (FTP2),Sumatra,2023,5.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-22,geothermal,priority,22,PLTP Jaboi (FTP2),Sumatra,2028,2.50,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-23,geothermal,priority,23,PLTP Jaboi (FTP2),Sumatra,2028,2.50,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-24,geothermal,priority,24,PLTP Java-Bali (Kuota) Tersebar,Java-Madura-Bali,2026,60.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-25,geothermal,priority,25,PLTP Java-Bali (Kuota) Tersebar,Java-Madura-Bali,2026,60.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-26,geothermal,priority,26,PLTP Java-Bali (Kuota) Tersebar,Java-Madura-Bali,2026,55.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-27,geothermal,priority,27,PLTP Java-Bali (Kuota) Tersebar,Java-Madura-Bali,2026,55.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-28,geothermal,priority,28,PLTP Java-Bali (Kuota) Tersebar,Java-Madura-Bali,2026,55.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-29,geothermal,priority,29,PLTP Java-Bali (Kuota) Tersebar,Java-Madura-Bali,2026,55.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-30,geothermal,priority,30,PLTP Java-Bali (Kuota) Tersebar,Java-Madura-Bali,2026,55.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-31,geothermal,priority,31,PLTP Java-Bali (Kuota) Tersebar,Java-Madura-Bali,2026,55.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-32,geothermal,priority,32,PLTP Java-Bali (Kuota) Tersebar,Java-Madura-Bali,2026,55.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-33,geothermal,priority,33,PLTP Java-Bali (Kuota) Tersebar,Java-Madura-Bali,2026,55.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-34,geothermal,priority,34,PLTP Java-Bali (Kuota) Tersebar,Java-Madura-Bali,2026,55.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-35,geothermal,priority,35,PLTP Java-Bali (Kuota) Tersebar,Java-Madura-Bali,2026,55.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-36,geothermal,priority,36,PLTP Kotamobagu 1,Sulawesi,2024,20.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-37,geothermal,priority,37,PLTP Kotamobagu 2,Sulawesi,2024,20.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-38,geothermal,priority,38,PLTP Kotamobagu 3,Sulawesi,2024,20.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-39,geothermal,priority,39,PLTP Kotamobagu 4,Sulawesi,2024,20.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-40,geothermal,priority,40,PLTP Mataloko,Maluku-Papua-Nusa Tenggara,2024,20.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-41,geothermal,priority,41,PLTP Muara Laboh (FTP2),Sumatra,2024,80.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-42,geothermal,priority,42,PLTP Muara Laboh (FTP2),Sumatra,2024,60.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-43,geothermal,priority,43,PLTP Patuha (FTP2),Java-Madura-Bali,2024,55.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-44,geothermal,priority,44,PLTP Patuha (FTP2),Java-Madura-Bali,2024,55.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-45,geothermal,priority,45,PLTP Patuha (FTP2),Java-Madura-Bali,2024,55.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-46,geothermal,priority,46,PLTP Patuha (FTP2),Java-Madura-Bali,2024,55.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-47,geothermal,priority,47,PLTP Patuha (FTP2),Java-Madura-Bali,2024,55.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-48,geothermal,priority,48,PLTP Patuha (FTP2),Java-Madura-Bali,2024,55.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-49,geothermal,priority,49,PLTP Patuha (FTP2),Java-Madura-Bali,2024,55.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-50,geothermal,priority,50,PLTP Rajabasa (FTP2),Sumatra,2024,110.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-51,geothermal,priority,51,PLTP Rajabasa (FTP2),Sumatra,2026,110.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-52,geothermal,priority,52,PLTP Sokoria (FTP2),Maluku-Papua-Nusa Tenggara,2024,80.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-53,geothermal,priority,53,PLTP Sokoria (FTP2),Maluku-Papua-Nusa Tenggara,2024,30.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-54,geothermal,priority,54,PLTP Sokoria (FTP2),Maluku-Papua-Nusa Tenggara,2024,11.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-55,geothermal,priority,55,PLTP Sungai Penuh (FTP2),Sumatra,2024,55.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-56,geothermal,priority,56,PLTP Ulumbu,Maluku-Papua-Nusa Tenggara,2024,3.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-57,geothermal,priority,57,PLTP Ungaran,Java-Madura-Bali,2023,55.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-58,geothermal,priority,58,PLTP Wayang Windu 3 (FTP2),Java-Madura-Bali,2024,40.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-59,geothermal,priority,59,PLTP Wayang Windu 4 (FTP2),Java-Madura-Bali,2024,55.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-60,geothermal,priority,60,PLTP Atadei,Maluku-Papua-Nusa Tenggara,2024,30.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-61,geothermal,priority,61,PLTP Danau Ranau,Sumatra,2024,30.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-62,geothermal,priority,62,PLTP Gunung Sirung,Maluku-Papua-Nusa Tenggara,2024,10.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-63,geothermal,priority,63,PLTP Gunung Talang Bukit Kili,Sumatra,N/A,40.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-64,geothermal,priority,64,PLTP Gunung Ungaran,Java-Madura-Bali,N/A,5.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-65,geothermal,priority,65,PLTP Jaboi,Sumatra,N/A,20.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-66,geothermal,priority,66,PLTP Kaldera Danau Banten,Java-Madura-Bali,N/A,110.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-67,geothermal,priority,67,PLTP Kepahiang,Sumatra,2024,70.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-68,geothermal,priority,68,PLTP Oka Ile Ange,Maluku-Papua-Nusa Tenggara,2024,110.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-69,geothermal,priority,69,PLTP Songa Wayaua,Maluku-Papua-Nusa Tenggara,2024,110.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-70,geothermal,priority,70,PLTP Tangkuban Perahu,Java-Madura-Bali,2023,10.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-71,geothermal,priority,71,PLTP Telaga Ngebel (FTP2),Java-Madura-Bali,2024,10.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-72,geothermal,priority,72,PLTP Telaga Ngebel (FTP2),Java-Madura-Bali,2024,40.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-73,geothermal,priority,73,PLTP Telaga Ngebel (FTP2),Java-Madura-Bali,2024,55.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-74,geothermal,priority,74,PLTP Tulehu,Maluku-Papua-Nusa Tenggara,2024,20.00,MW,,,,YES
idn-cipp-2023-cpr-mirror-geothermal-75,geothermal,priority,75,PLTP Sokoria (FTP2),Maluku-Papua-Nusa Tenggara,2024,55.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-76,geothermal,priority,76,PLTP Sokoria (FTP2),Maluku-Papua-Nusa Tenggara,2024,20.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-77,geothermal,priority,77,PLTP Cubadak,Sumatra,Post 2030,66.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-78,geothermal,priority,78,PLTP Gn. Ciremai,Java-Madura-Bali,Post 2030,27.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-79,geothermal,priority,79,PLTP Marana,Sulawesi,Post 2030,28.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-80,geothermal,priority,80,PLTP Lainea,Sulawesi,Post 2030,66.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-81,geothermal,priority,81,PLTP Songgoriti,Java-Madura-Bali,Post 2030,35.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-82,geothermal,priority,82,PLTP Sipaholon Ria-ria,Sulawesi,Post 2030,35.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-83,geothermal,priority,83,PLTP Bora-pulu,Sulawesi,Post 2030,123.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-84,geothermal,priority,84,PLTP Pentadio,Sulawesi,Post 2030,25.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-85,geothermal,priority,85,PLTP Suwawa,Sulawesi,Post 2030,20.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-86,geothermal,priority,86,PLTP Sembalun,Maluku-Papua-Nusa Tenggara,Post 2030,20.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-87,geothermal,priority,87,PLTP Gn. Pandan,Java-Madura-Bali,Post 2030,40.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-88,geothermal,priority,88,PLTP Gn.Willis,Java-Madura-Bali,Post 2030,50.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-89,geothermal,priority,89,PLTP Simbolon Samosir,Sumatra,Post 2030,150.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-geothermal-90,geothermal,priority,90,Government Drilling Program (Cost TBD),Nation-wide,TBD,2148.00,MW,,,,NO
idn-cipp-2023-cpr-mirror-hydro-1,hydro,priority,1,PLTA NEW 9_PLTA Sumatra 1300 MW,Sumatra,2024,1300.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-hydro-2,hydro,priority,2,PS Grindulu,Java-Madura-Bali,2025,1000.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-3,hydro,priority,3,PLTA Java Bali (Kuota) Tersebar PSPP,Java-Madura-Bali,2025,760.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-4,hydro,priority,4,PLTA NEW 9_PLTA Sumatra 500 MW,Sumatra,2024,500.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-hydro-5,hydro,priority,5,PLTA Sumatra,Sumatra,2025,500.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-hydro-6,hydro,priority,6,PLTA Hidro Sumatra (kuota) tersebar*,Sumatra,2026,400.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-7,hydro,priority,7,PLTA Hidro Sumatra (kuota) tersebar*,Sumatra,2027,400.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-8,hydro,priority,8,PLTA Sulbagsel (Kuota) Tersebar,Sulawesi,2024,400.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-hydro-9,hydro,priority,9,PLTA Sumatra (Kuota) Tersebar,Sumatra,2025,400.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-hydro-10,hydro,priority,10,PLTA Sulbagsel (Kuota) Tersebar,Sulawesi,2025,350.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-hydro-11,hydro,priority,11,PS Upper Cisokan Pump Storage (FTP2),Java-Madura-Bali,2024,260.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-12,hydro,priority,12,PS Upper Cisokan Pump Storage (FTP2),Java-Madura-Bali,2024,260.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-13,hydro,priority,13,PS Upper Cisokan Pump Storage (FTP2),Java-Madura-Bali,2024,260.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-14,hydro,priority,14,PS Upper Cisokan Pump Storage (FTP2),Java-Madura-Bali,2024,260.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-15,hydro,priority,15,PLTA Sulawesi (Kuota) Tersebar,Sulawesi,2029,250.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-hydro-16,hydro,priority,16,PLTA Sulawesi (Kuota) Tersebar,Sulawesi,2030,250.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-hydro-17,hydro,priority,17,PLTA Sumatra (Kuota) Tersebar,Sumatra,2024,250.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-hydro-18,hydro,priority,18,PS Sumatra Pump Storage-1,Sumatra,2025,250.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-19,hydro,priority,19,PS Sumatra Pump Storage-2,Sumatra,2026,250.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-20,hydro,priority,20,PLTA Hidro Sumatra (kuota) tersebar*,Sumatra,2025,200.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-21,hydro,priority,21,PLTA Hidro Sumatra (kuota) tersebar*,Sumatra,2026,200.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-22,hydro,priority,22,PLTA Kalseltengtimra (Kuota) Tersebar,Kalimantan,2024,200.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-23,hydro,priority,23,PLTA Kalseltengtimra (Kuota) Tersebar,Kalimantan,2026,200.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-24,hydro,priority,24,PLTA Kalseltengtimra (Kuota) Tersebar,Kalimantan,2026,200.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-25,hydro,priority,25,PLTA Kaltimra,Kalimantan,2025,200.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-26,hydro,priority,26,PLTA Sulbagsel (Kuota) Tersebar,Sulawesi,2026,200.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-27,hydro,priority,27,PLTA Sulbagsel (Kuota) Tersebar,Sulawesi,2025,200.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-28,hydro,priority,28,PLTA Muara Juloi,Kalimantan,2026,170.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-hydro-29,hydro,priority,29,PLTA Muara Juloi,Kalimantan,2027,170.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-hydro-30,hydro,priority,30,PLTA Pokko,Sulawesi,2026,125.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-hydro-31,hydro,priority,31,PLTA Tanjung Sakti,Sumatra,2028,114.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-32,hydro,priority,32,PLTA Bendungan Merangin,Sumatra,2026,107.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-33,hydro,priority,33,PLTA Sesayap,Kalimantan,2028,103.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-34,hydro,priority,34,PLTA Tabang,Kalimantan,2028,101.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-35,hydro,priority,35,PLTA Buttu Batu,Sulawesi,2024,100.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-36,hydro,priority,36,PLTA Buttu Batu,Sulawesi,2024,100.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-37,hydro,priority,37,PLTA Kalseltengtimra (Kuota) Tersebar,Kalimantan,2025,100.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-38,hydro,priority,38,PLTA Kalseltengtimra (Kuota) Tersebar,Kalimantan,2027,100.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-39,hydro,priority,39,PLTA Kaltimra,Kalimantan,2026,100.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-40,hydro,priority,40,PLTA Nanga Pinoh,Kalimantan,2026,100.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-41,hydro,priority,41,PLTA Simonggo,Sumatra,2028,90.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-hydro-42,hydro,priority,42,PLTA Simonggo,Sumatra,2025,90.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-43,hydro,priority,43,PLTA Sulbagsel (Kuota) Tersebar,Sulawesi,2027,80.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-44,hydro,priority,44,PLTA Bakaru 2,Sulawesi,2024,70.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-45,hydro,priority,45,PLTA Bakaru 2,Sulawesi,2024,70.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-46,hydro,priority,46,PLTA Sulbagut (Kuota) Tersebar,Sulawesi,2027,70.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-47,hydro,priority,47,PLTA Sulbagut (Kuota) Tersebar,Sulawesi,2025,60.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-48,hydro,priority,48,PLTA Kelai,Kalimantan,2024,55.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-49,hydro,priority,49,PLTA Wai Tala,Maluku-Papua-Nusa Tenggara,2028,54.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-hydro-50,hydro,priority,50,PLTA Kelai,Sumatra,2028,45.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-hydro-51,hydro,priority,51,PLTA Kumbih-3,Sumatra,2024,45.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-52,hydro,priority,52,PLTA Masang-2 (FTP2),Sumatra,2024,44.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-hydro-53,hydro,priority,53,PLTA Sulbagut,Sulawesi,2024,30.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-54,hydro,priority,54,PLTM NTB (Kuota) Tersebar,Maluku-Papua-Nusa Tenggara,2029,30.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-hydro-55,hydro,priority,55,PLTA Wai Tala,Maluku-Papua-Nusa Tenggara,2025,27.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-56,hydro,priority,56,PLTA Wai Tala,Maluku-Papua-Nusa Tenggara,2025,27.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-hydro-57,hydro,priority,57,PLTA Watunohu,Sulawesi,2024,22.0,MW,,,,NO
