term_row_id,term_id,kind,list,label,definition,scope_note,domain,range,external_scheme,external_uri,mapping_relation,recorded_at,decided_by,status,supersedes,notes
relation.concerns.1,concerns,relation,relation,concerns,"A project concerns an asset, or a condition binds a party; zero or more per subject.",,"project, observation","asset, party",,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
relation.edition_of.1,edition_of,relation,relation,edition of,A document succeeds a previous edition of the same publication.,,document,document,PROV-O,http://www.w3.org/ns/prov#wasRevisionOf,closeMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
relation.finances.1,finances,relation,relation,finances,"An agreement finances a project; many-to-many, and the hierarchy never splits money.",,agreement,project,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
relation.groups.1,groups,relation,relation,groups,"A heading line groups the lines under it in the same document, including a method note that governs them.",,line,line,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
relation.in_snapshot.1,in_snapshot,relation,relation,in snapshot,A line stands in a snapshot at a locator and ordinal.,,line,snapshot,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
relation.member_of.1,member_of,relation,relation,member of,"A line or an identity is a dated, justified member of a perimeter; a line may be a member before any identity is minted.",,"line, project, asset, agreement",perimeter,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
relation.part_of.1,part_of,relation,relation,part of,"An asset is a unit within another asset, such as a unit within a plant.",,asset,asset,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
relation.party_in.1,party_in,relation,relation,party in,"A party holds a role in an agreement, one row per role, so a party may fund one agreement and channel another.",,party,agreement,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
relation.published_by.1,published_by,relation,relation,published by,"A document is published by a publisher, with an optional role such as author, co-signatory or host.",,document,publisher,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
relation.refers_to.1,refers_to,relation,relation,refers to,"The dated, reviewed match that minted or attached an identity to a line; it never deletes the line.",,line,"project, asset, agreement, party, perimeter",,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
relation.retrieval_of.1,retrieval_of,relation,relation,retrieval of,A retrieval is one fetch attempt of a document.,,retrieval,document,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
relation.role_in.1,role_in,relation,relation,role in,"A party holds a mandate outside any agreement, such as lead agency or guarantor, on a project, asset, perimeter, document or line.",,party,"project, asset, perimeter, document, line",,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
relation.same_as.1,same_as,relation,relation,same as,"A justified claim that two rows of the same kind are one thing, such as one publication under two URLs or one item printed in two places; it does not choose a route.",,any,same kind,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
relation.timed.1,timed,relation,relation,timed,An observation has one timing row per date role; the amount lives once on the observation.,,observation,timing,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
relation.tranche_of.1,tranche_of,relation,relation,tranche of,"An agreement is a tranche of another agreement, with at most one active parent.",,agreement,agreement,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
relation.translation_of.1,translation_of,relation,relation,translation of,"A document is the same publication in another language; lines are extracted from one and cross-referenced, never doubled.",,document,document,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
relation.yields.1,yields,relation,relation,yields,A successful retrieval returned the bytes of a snapshot; a failed retrieval yields nothing.,,retrieval,snapshot,PROV-O,http://www.w3.org/ns/prov#generated,closeMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
asset_state.announced.1,announced,value,asset_state,announced,"The asset has been announced, with no permit sought.",,,,GEM,status:announced,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
asset_state.cancelled.1,cancelled,value,asset_state,cancelled,The asset will not be built.,,,,GEM,status:cancelled,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
asset_state.construction.1,construction,value,asset_state,construction,The asset is under construction.,,,,GEM,status:construction,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
asset_state.mothballed.1,mothballed,value,asset_state,mothballed,The asset is out of operation but kept for possible restart.,,,,GEM,status:mothballed,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
asset_state.operating.1,operating,value,asset_state,operating,The asset is in operation.,,,,GEM,status:operating,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
asset_state.permitted.1,permitted,value,asset_state,permitted,The asset has its permits and has not started construction.,,,,GEM,status:permitted,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
asset_state.pre_permit.1,pre_permit,value,asset_state,pre-permit,The asset is being developed and permits are being sought.,,,,GEM,status:pre-permit,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
asset_state.retired.1,retired,value,asset_state,retired,The asset has been permanently shut down.,,,,GEM,status:retired,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
asset_state.retirement_agreed.1,retirement_agreed,value,asset_state,retirement agreed,Early retirement of the asset has been agreed by the parties that decide it.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
asset_state.retirement_proposed.1,retirement_proposed,value,asset_state,retirement proposed,Early retirement of the asset has been proposed but not agreed.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
asset_state.shelved.1,shelved,value,asset_state,shelved,Work on the asset has stopped without cancellation.,,,,GEM,status:shelved,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
authority_category.bilateral_funder.1,bilateral_funder,value,authority_category,bilateral funder,A bilateral development agency or bank.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
authority_category.ipg.1,ipg,value,authority_category,ipg,The International Partners Group or one of its members acting as such.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
authority_category.jetp_secretariat.1,jetp_secretariat,value,authority_category,jetp secretariat,The secretariat of a Just Energy Transition Partnership.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
authority_category.multilateral_funder.1,multilateral_funder,value,authority_category,multilateral funder,A multilateral development bank or fund.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
authority_category.national_government.1,national_government,value,authority_category,national government,"A ministry, agency or other body of a partner government.",,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
authority_category.operator.1,operator,value,authority_category,operator,A utility or other operator of energy assets.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
authority_category.private_finance.1,private_finance,value,authority_category,private finance,A private financial institution or alliance.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
authority_category.secondary_source.1,secondary_source,value,authority_category,secondary source,"A publisher reporting on others, such as the press or a research body.",,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
axis.asset_state.1,asset_state,value,axis,asset state,"The state of an asset in its lifecycle, from announcement to retirement.",,,,GEM,status,closeMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,Global Energy Monitor status list.
axis.delivery.1,delivery,value,axis,delivery,"Whether the activity an agreement funds is in the pipeline, under way, closing, closed, cancelled or suspended.",,,,IATI,ActivityStatus,closeMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
axis.money.1,money,value,axis,money,"The state of an agreement as a document: announced to signed, cancelled or withdrawn.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
axis.project_stage.1,project_stage,value,axis,project stage,"The stage of a project, from identification to decommissioning.",,,,OC4IDS,projectStatus,closeMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
basis.gross.1,gross,value,basis,gross,"A money value before any repayment, reflow or netting.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
basis.net.1,net,value,basis,net,A money value after repayments or reflows are deducted.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
basis.unknown.1,unknown,value,basis,unknown,A money value whose basis no line states.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
country.IDN.1,IDN,value,country,Indonesia,"Indonesia, a partnership country.",,,,ISO 3166-1,alpha-3:IDN,exactMatch,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
country.SEN.1,SEN,value,country,Senegal,"Senegal, a partnership country.",,,,ISO 3166-1,alpha-3:SEN,exactMatch,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
country.VNM.1,VNM,value,country,Viet Nam,"Viet Nam, a partnership country.",,,,ISO 3166-1,alpha-3:VNM,exactMatch,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
country.ZAF.1,ZAF,value,country,South Africa,"South Africa, a partnership country.",,,,ISO 3166-1,alpha-3:ZAF,exactMatch,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
country.international.1,international,value,country,international,A publisher or document not tied to one partnership country.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
date_precision.day.1,day,value,date_precision,day,The date is known to the day.,,,,,,local,2026-09-23,"HDMX-coding-agent, ticket 0880",accepted,,"Values proposed with ticket 0880 from the precisions of event-timing.csv (day, year, unknown), with month and quarter for quarterly and monthly reports."
date_precision.month.1,month,value,date_precision,month,The date is known to the month.,,,,,,local,2026-09-23,"HDMX-coding-agent, ticket 0880",accepted,,"Values proposed with ticket 0880 from the precisions of event-timing.csv (day, year, unknown), with month and quarter for quarterly and monthly reports."
date_precision.quarter.1,quarter,value,date_precision,quarter,The date is known to the quarter.,,,,,,local,2026-09-23,"HDMX-coding-agent, ticket 0880",accepted,,"Values proposed with ticket 0880 from the precisions of event-timing.csv (day, year, unknown), with month and quarter for quarterly and monthly reports."
date_precision.unknown.1,unknown,value,date_precision,unknown,The precision of the date is not known.,,,,,,local,2026-09-23,"HDMX-coding-agent, ticket 0880",accepted,,"Values proposed with ticket 0880 from the precisions of event-timing.csv (day, year, unknown), with month and quarter for quarterly and monthly reports."
date_precision.year.1,year,value,date_precision,year,The date is known to the year.,,,,,,local,2026-09-23,"HDMX-coding-agent, ticket 0880",accepted,,"Values proposed with ticket 0880 from the precisions of event-timing.csv (day, year, unknown), with month and quarter for quarterly and monthly reports."
date_role.approval.1,approval,value,date_role,approval,The date a decision-maker approved the subject.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
date_role.event.1,event,value,date_role,event,"The date a thing happened, such as a signature or a point flow.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
date_role.period_end.1,period_end,value,date_role,period end,The last day of the interval a flow covers.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
date_role.period_start.1,period_start,value,date_role,period start,The first day of the interval a flow covers.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
date_role.planned.1,planned,value,date_role,planned,"A date the publisher plans for the subject, not yet reached.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
date_role.register_date.1,register_date,value,date_role,register date,The date a register states for its row.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
date_role.report_date.1,report_date,value,date_role,report date,The date a report was published or signed.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
date_role.reporting_cutoff.1,reporting_cutoff,value,date_role,reporting cutoff,The date up to which a report states its figures.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
date_role.target.1,target,value,date_role,target,The date by which a target is to be reached.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
decision_status.accepted.1,accepted,value,decision_status,accepted,The row is in force when no row supersedes it.,,,,,,local,2026-09-23,"author, docs/jetp-ledger-storage.md (2026-09-22)",accepted,,
decision_status.candidate.1,candidate,value,decision_status,candidate,The row is pending review and not in force.,,,,,,local,2026-09-23,"author, docs/jetp-ledger-storage.md (2026-09-22)",accepted,,
decision_status.rejected.1,rejected,value,decision_status,rejected,A terminal rejected row revokes whatever its chain previously accepted.,,,,,,local,2026-09-23,"author, docs/jetp-ledger-storage.md (2026-09-22)",accepted,,
decision_type.flow_coverage.1,flow_coverage,value,decision_type,flow coverage,An adjudication of which period or perimeter a flow covers.,,,,,,local,2026-09-23,"author, docs/jetp-ledger-storage.md (2026-09-22)",accepted,,
decision_type.identity.1,identity,value,decision_type,identity,"An adjudication that rows are, or are not, one identity.",,,,,,local,2026-09-23,"author, docs/jetp-ledger-storage.md (2026-09-22)",accepted,,
decision_type.occurrence_membership.1,occurrence_membership,value,decision_type,occurrence membership,An adjudication that a flow or state belongs to one occurrence.,,,,,,local,2026-09-23,"author, docs/jetp-ledger-storage.md (2026-09-22)",accepted,,
decision_type.perimeter_compatibility.1,perimeter_compatibility,value,decision_type,perimeter compatibility,An adjudication that two perimeters can or cannot be compared.,,,,,,local,2026-09-23,"author, docs/jetp-ledger-storage.md (2026-09-22)",accepted,,
delivery.cancelled.1,cancelled,value,delivery,cancelled,The activity was cancelled.,,,,IATI,ActivityStatus:5,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
delivery.closed.1,closed,value,delivery,closed,The activity is closed.,,,,IATI,ActivityStatus:4,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
delivery.finalisation.1,finalisation,value,delivery,finalisation,"Physical activity is complete or the final disbursement has been made, with the activity still open.",,,,IATI,ActivityStatus:3,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
delivery.implementation.1,implementation,value,delivery,implementation,The activity is under way.,,,,IATI,ActivityStatus:2,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
delivery.pipeline.1,pipeline,value,delivery,pipeline,The activity is being scoped or planned.,,,,IATI,ActivityStatus:1,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
delivery.suspended.1,suspended,value,delivery,suspended,The activity is temporarily suspended.,,,,IATI,ActivityStatus:6,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
document_type.annual_report.1,annual_report,value,document_type,annual report,A yearly report of a publisher.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
document_type.approval_document.1,approval_document,value,document_type,approval document,A funder's document approving an operation.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
document_type.data_portal.1,data_portal,value,document_type,data portal,A database or portal published by a register.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
document_type.financing_agreement.1,financing_agreement,value,document_type,financing agreement,The signed text of a financing agreement.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
document_type.implementation_plan.1,implementation_plan,value,document_type,implementation plan,A plan that states how the investments are to be carried out.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
document_type.investment_plan.1,investment_plan,value,document_type,investment plan,A plan that states the investments a partnership needs.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
document_type.official_news.1,official_news,value,document_type,official news,A news release of an official body.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
document_type.operator_report.1,operator_report,value,document_type,operator report,A report of a utility or operator.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
document_type.political_declaration.1,political_declaration,value,document_type,political declaration,A declaration by which partners set up or restate a partnership.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
document_type.progress_update.1,progress_update,value,document_type,progress update,A report of progress between annual reports.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
document_type.project_list.1,project_list,value,document_type,project list,"A list or register of projects, grants or positions.",,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
document_type.project_page.1,project_page,value,document_type,project page,A web page about one project.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
document_type.secondary_news.1,secondary_news,value,document_type,secondary news,A press article or other secondary report.,,,,,,local,2026-09-23,"author, config/jetp_tracking.yaml",accepted,,
flow_type.commitment.1,commitment,value,flow_type,commitment,A firm written obligation to provide funds.,,,,IATI,TransactionType:2,closeMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,"IATI code 2, Outgoing Commitment."
flow_type.disbursement.1,disbursement,value,flow_type,disbursement,Funds paid out to a recipient.,,,,IATI,TransactionType:3,closeMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,"IATI code 3, Disbursement."
flow_type.expenditure.1,expenditure,value,flow_type,expenditure,Funds spent directly on goods and services.,,,,IATI,TransactionType:4,closeMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,"IATI code 4, Expenditure."
flow_type.pledge.1,pledge,value,flow_type,pledge,A promise of funds that is not yet a binding commitment.,,,,IATI,TransactionType:12,closeMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,"IATI code 12, Outgoing Pledge."
line_classification.absence.1,absence,value,line_classification,absence,"A line where the publisher states that something is not there, such as an empty list or a withheld item.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
line_classification.count.1,count,value,line_classification,count,A count the publisher gives without naming what is counted.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
line_classification.envelope.1,envelope,value,line_classification,envelope,"A total the publisher states for a partnership, portfolio or programme.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
line_classification.evaluation.1,evaluation,value,line_classification,evaluation,A line that records the publisher's assessment of a submission or item.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
line_classification.heading.1,heading,value,line_classification,heading,"A line that groups other lines under a governance or budget envelope, or states a method note that governs them.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
line_classification.named_item.1,named_item,value,line_classification,named item,"A line that names the one item it states, such as a project, a plant or a grant.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
line_classification.quota.1,quota,value,line_classification,quota,"A line that states a quantity to be procured or allocated rather than an item, such as 250 MW of capacity.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
line_classification.register_allocation.1,register_allocation,value,line_classification,register allocation,A row of a funder register that allocates an amount from a funder to a use.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
line_classification.submission.1,submission,value,line_classification,submission,"A line whose publisher puts something forward for a decision not yet taken, such as a promoter's submission.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
line_classification.unnamed_item.1,unnamed_item,value,line_classification,unnamed item,"A line that states an item without naming it, such as an unresolved position in a plan annex.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
mapping_relation.broadMatch.1,broadMatch,value,mapping_relation,broadMatch,The external concept is broader than the term.,,,,SKOS,http://www.w3.org/2004/02/skos/core#broadMatch,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
mapping_relation.closeMatch.1,closeMatch,value,mapping_relation,closeMatch,The external concept is close enough to use in most contexts.,,,,SKOS,http://www.w3.org/2004/02/skos/core#closeMatch,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
mapping_relation.exactMatch.1,exactMatch,value,mapping_relation,exactMatch,The external concept can be used in place of the term.,,,,SKOS,http://www.w3.org/2004/02/skos/core#exactMatch,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
mapping_relation.local.1,local,value,mapping_relation,local,The ledger defines the word itself; no external concept is claimed.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
mapping_relation.narrowMatch.1,narrowMatch,value,mapping_relation,narrowMatch,The external concept is narrower than the term.,,,,SKOS,http://www.w3.org/2004/02/skos/core#narrowMatch,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
mapping_relation.relatedMatch.1,relatedMatch,value,mapping_relation,relatedMatch,"The external concept is related to the term, without either containing the other.",,,,SKOS,http://www.w3.org/2004/02/skos/core#relatedMatch,exactMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
marker.adaptation.1,adaptation,value,marker,adaptation,The Rio marker for climate change adaptation.,,,,OECD DAC,marker:adaptation,closeMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
marker.biodiversity.1,biodiversity,value,marker,biodiversity,The Rio marker for biological diversity.,,,,OECD DAC,marker:biodiversity,closeMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
marker.desertification.1,desertification,value,marker,desertification,The Rio marker for combating desertification.,,,,OECD DAC,marker:desertification,closeMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
marker.gender.1,gender,value,marker,gender,"The OECD DAC policy marker for gender equality, a non-Rio marker.",,,,OECD DAC,marker:gender,closeMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
marker.mitigation.1,mitigation,value,marker,mitigation,The Rio marker for climate change mitigation.,,,,OECD DAC,marker:mitigation,closeMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
marker_score.0.1,0,value,marker_score,not targeted,The activity was screened and does not target the objective.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
marker_score.1.1,1,value,marker_score,significant,The objective is significant: important but not the main reason for the activity.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
marker_score.2.1,2,value,marker_score,principal,The objective is principal: the main reason for the activity.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
marker_score.not_screened.1,not_screened,value,marker_score,not screened,The marker field is blank; this is not a score of 0.,,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
measure.absence.1,absence,value,measure,absence,"A statement that something is not there, counted as zero only when the publisher says so.",counting,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
measure.amount.1,amount,value,measure,amount,"The amount of money at a state of an agreement, with the publisher's own status word.",money,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
measure.capacity.1,capacity,value,measure,capacity,"The capacity of an asset, with its unit.",physical,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
measure.condition.1,condition,value,measure,condition,"A condition of an agreement as printed, whose concerns relation names the party it binds.",money,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
