case_id,role,source_unit,stage,structured_record_available,linked_documents,local_stage_document,attempted,retrieved,validates_stage,observation,missingness_reason
GB-1-109636,sample,programme,procurement,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-1-109636,sample,programme,start,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-1-107160,sample,programme,approval,false,,not_established,false,false,false,not_attempted,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-1-107160,sample,programme,procurement,false,,not_established,false,false,false,not_attempted,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-1-107160,sample,programme,start,false,,not_established,false,false,false,not_attempted,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-1-107874,sample,programme,approval,false,,not_established,false,false,false,not_attempted,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-1-107874,sample,programme,procurement,false,,not_established,false,false,false,not_attempted,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-1-107874,sample,programme,start,false,,not_established,false,false,false,not_attempted,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-3-Frontline Diplomatic Enabling Activity-MA,sample,programme,approval,false,,not_established,false,false,false,not_attempted,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-3-Frontline Diplomatic Enabling Activity-MA,sample,programme,procurement,false,,not_established,false,false,false,not_attempted,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-3-Frontline Diplomatic Enabling Activity-MA,sample,programme,start,false,,not_established,false,false,false,not_attempted,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-1-113505,sample,programme,approval,false,,not_established,false,false,false,not_attempted,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-1-113505,sample,programme,procurement,false,,not_established,false,false,false,not_attempted,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-1-113505,sample,programme,start,false,,not_established,false,false,false,not_attempted,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-1-112151,challenge,programme,approval,true,1,not_established,false,false,false,pointers_only,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-1-112151,challenge,programme,procurement,true,1,not_established,false,false,false,pointers_only,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-1-112151,challenge,programme,start,true,1,not_established,false,false,false,pointers_only,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-1-112151-101,challenge,component,approval,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-1-112151-101,challenge,component,procurement,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-1-112151-101,challenge,component,start,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-1-400032,challenge,programme,approval,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-1-400032,challenge,programme,procurement,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-1-400032,challenge,programme,start,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-1-400142,challenge,programme,approval,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-1-400142,challenge,programme,procurement,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-1-400142,challenge,programme,start,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-1-400343,challenge,programme,approval,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-1-400343,challenge,programme,procurement,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-1-400343,challenge,programme,start,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-1-400397,challenge,programme,approval,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-1-400397,challenge,programme,procurement,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-1-400397,challenge,programme,start,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-1-400542,challenge,programme,approval,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-1-400542,challenge,programme,procurement,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-1-400542,challenge,programme,start,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-1-400717,challenge,programme,approval,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-1-400717,challenge,programme,procurement,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
GB-GOV-1-400717,challenge,programme,start,true,0,not_established,false,false,false,no_links_in_payload,consult document-assessment.csv for fetched originals; no automatic title-to-stage inference
